B25105_001E,name,county,county subdivision,state
697.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
657.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
612.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
442.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
677.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
590.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
686.0,"Central CCD, Pickens County, South Carolina",077,90533,45
777.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
654.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
778.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
588.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
834.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
683.0,"Liberty CCD, Pickens County, South Carolina",077,91950,45
522.0,"Jonesville CCD, Union County, South Carolina",087,91742,45
489.0,"Carlisle CCD, Union County, South Carolina",087,90507,45
330.0,"Cross Keys CCD, Union County, South Carolina",087,90832,45
508.0,"West Springs CCD, Union County, South Carolina",087,93679,45
578.0,"Lockhart CCD, Union County, South Carolina",087,91989,45
559.0,"Union CCD, Union County, South Carolina",087,93497,45
586.0,"Hemingway CCD, Williamsburg County, South Carolina",089,91495,45
653.0,"Trio CCD, Williamsburg County, South Carolina",089,93458,45
486.0,"Greeleyville CCD, Williamsburg County, South Carolina",089,91339,45
530.0,"Kingstree CCD, Williamsburg County, South Carolina",089,91768,45
505.0,"Nesmith CCD, Williamsburg County, South Carolina",089,92353,45
664.0,"Lane CCD, Williamsburg County, South Carolina",089,91898,45
796.0,"Aiken CCD, Aiken County, South Carolina",003,90026,45
629.0,"Jackson CCD, Aiken County, South Carolina",003,91651,45
731.0,"Beech Island CCD, Aiken County, South Carolina",003,90208,45
741.0,"New Ellenton CCD, Aiken County, South Carolina",003,92379,45
758.0,"North Augusta CCD, Aiken County, South Carolina",003,92418,45
492.0,"Salley CCD, Aiken County, South Carolina",003,92977,45
532.0,"Wagener CCD, Aiken County, South Carolina",003,93562,45
544.0,"Monetta CCD, Aiken County, South Carolina",003,92223,45
433.0,"Windsor CCD, Aiken County, South Carolina",003,93744,45
547.0,"Fairfax CCD, Allendale County, South Carolina",005,91092,45
373.0,"Millett CCD, Allendale County, South Carolina",005,92197,45
503.0,"Allendale CCD, Allendale County, South Carolina",005,90052,45
479.0,"Sycamore CCD, Allendale County, South Carolina",005,93367,45
441.0,"Whitmire CCD, Newberry County, South Carolina",071,93705,45
676.0,"Newberry CCD, Newberry County, South Carolina",071,92366,45
634.0,"Pomaria CCD, Newberry County, South Carolina",071,92704,45
610.0,"Barnwell CCD, Barnwell County, South Carolina",011,90143,45
509.0,"Mountain Rest CCD, Oconee County, South Carolina",073,92249,45
589.0,"Walhalla CCD, Oconee County, South Carolina",073,93575,45
675.0,"Salem CCD, Oconee County, South Carolina",073,92964,45
652.0,"Oakway CCD, Oconee County, South Carolina",073,92457,45
602.0,"Cades CCD, Williamsburg County, South Carolina",089,90442,45
463.0,"Blackville CCD, Barnwell County, South Carolina",011,90286,45
578.0,"Williston CCD, Barnwell County, South Carolina",011,93731,45
592.0,"Kline-Snelling CCD, Barnwell County, South Carolina",011,91794,45
1067.0,"Goose Creek-Hanahan CCD, Berkeley County, South Carolina",015,91274,45
725.0,"Edisto Island CCD, Charleston County, South Carolina",019,90988,45
1264.0,"James Island CCD, Charleston County, South Carolina",019,91664,45
1225.0,"Johns Island CCD, Charleston County, South Carolina",019,91703,45
1605.0,"Mount Pleasant CCD, Charleston County, South Carolina",019,92301,45
780.0,"McClellanville CCD, Charleston County, South Carolina",019,92080,45
926.0,"Wadmalaw Island CCD, Charleston County, South Carolina",019,93549,45
523.0,"Lake Swamp CCD, Darlington County, South Carolina",031,91820,45
577.0,"Darlington CCD, Darlington County, South Carolina",031,90858,45
517.0,"Lamar CCD, Darlington County, South Carolina",031,91846,45
603.0,"North Hartsville CCD, Darlington County, South Carolina",031,92431,45
456.0,"Society Hill CCD, Darlington County, South Carolina",031,93185,45
637.0,"Hartsville CCD, Darlington County, South Carolina",031,91469,45
553.0,"Andrews CCD, Georgetown County, South Carolina",043,90078,45
577.0,"Plantersville CCD, Georgetown County, South Carolina",043,92665,45
545.0,"Pleasant Hill-Folly Grove CCD, Georgetown County, South Carolina",043,92678,45
551.0,"Bennettsville CCD, Marlboro County, South Carolina",069,90234,45
466.0,"Wallace CCD, Marlboro County, South Carolina",069,93588,45
694.0,"Georgetown CCD, Georgetown County, South Carolina",043,91248,45
416.0,"McColl CCD, Marlboro County, South Carolina",069,92093,45
509.0,"Clio CCD, Marlboro County, South Carolina",069,90676,45
465.0,"Blenheim CCD, Marlboro County, South Carolina",069,90299,45
1256.0,"Fort Mill CCD, York County, South Carolina",091,91183,45
572.0,"McConnells CCD, York County, South Carolina",091,92106,45
735.0,"York CCD, York County, South Carolina",091,93822,45
990.0,"Clover CCD, York County, South Carolina",091,90689,45
530.0,"Hickory Grove CCD, York County, South Carolina",091,91521,45
906.0,"Rock Hill CCD, York County, South Carolina",091,92886,45
509.0,"Iva CCD, Anderson County, South Carolina",007,91638,45
640.0,"Williamston-Pelzer CCD, Anderson County, South Carolina",007,93718,45
497.0,"Honea Path CCD, Anderson County, South Carolina",007,91560,45
721.0,"Anderson CCD, Anderson County, South Carolina",007,90065,45
578.0,"Belton CCD, Anderson County, South Carolina",007,90221,45
615.0,"Starr CCD, Anderson County, South Carolina",007,93224,45
712.0,"Pendleton CCD, Anderson County, South Carolina",007,92626,45
715.0,"Prosperity CCD, Newberry County, South Carolina",071,92756,45
659.0,"Chappells CCD, Newberry County, South Carolina",071,90559,45
642.0,"Trenton CCD, Edgefield County, South Carolina",037,93445,45
436.0,"Pleasant Lane CCD, Edgefield County, South Carolina",037,92691,45
573.0,"Edgefield CCD, Edgefield County, South Carolina",037,90975,45
643.0,"Johnston CCD, Edgefield County, South Carolina",037,91729,45
376.0,"Chester West CCD, Chester County, South Carolina",023,90637,45
420.0,"Great Falls CCD, Chester County, South Carolina",023,91326,45
483.0,"Richburg CCD, Chester County, South Carolina",023,92821,45
504.0,"Chester CCD, Chester County, South Carolina",023,90611,45
526.0,"Summerton CCD, Clarendon County, South Carolina",027,93263,45
474.0,"Alcolu CCD, Clarendon County, South Carolina",027,90039,45
501.0,"Sardinia CCD, Clarendon County, South Carolina",027,93055,45
578.0,"Manning East CCD, Clarendon County, South Carolina",027,92158,45
