B25105_001E,name,county,county subdivision,state
1387.0,"Bow CCD, Skagit County, Washington",057,90272,53
1084.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
1045.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
1083.0,"Burlington CCD, Skagit County, Washington",057,90384,53
1219.0,"Conway CCD, Skagit County, Washington",057,90768,53
1116.0,"La Conner CCD, Skagit County, Washington",057,91536,53
817.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
1079.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
1314.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
1181.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
713.0,"Springdale CCD, Stevens County, Washington",065,93232,53
717.0,"Chewelah CCD, Stevens County, Washington",065,90560,53
747.0,"Colville CCD, Stevens County, Washington",065,90688,53
323.0,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
1063.0,"Loon Lake CCD, Stevens County, Washington",065,91680,53
622.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
915.0,"Spokane CCD, Spokane County, Washington",063,93200,53
1085.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
713.0,"Rockford CCD, Spokane County, Washington",063,92816,53
1060.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
973.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
1101.0,"Colbert CCD, Spokane County, Washington",063,90640,53
1189.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
1089.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
673.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
594.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
714.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
926.0,"Wenatchee CCD, Chelan County, Washington",007,93712,53
774.0,"Cashmere CCD, Chelan County, Washington",007,90448,53
743.0,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",007,91600,53
-666666666.0,"Stehekin CCD, Chelan County, Washington",007,93280,53
888.0,"Port Angeles CCD, Clallam County, Washington",009,92592,53
567.0,"Forks CCD, Clallam County, Washington",009,91168,53
917.0,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
805.0,"Crescent CCD, Clallam County, Washington",009,90816,53
860.0,"Longview-Kelso CCD, Cowlitz County, Washington",015,91664,53
1145.0,"Kalama CCD, Cowlitz County, Washington",015,91440,53
1166.0,"Rose Valley CCD, Cowlitz County, Washington",015,92864,53
1194.0,"Woodland CCD, Cowlitz County, Washington",015,93856,53
918.0,"Castle Rock CCD, Cowlitz County, Washington",015,90464,53
687.0,"Curlew CCD, Ferry County, Washington",019,90832,53
374.0,"Colville Reservation CCD, Ferry County, Washington",019,90704,53
551.0,"Republic CCD, Ferry County, Washington",019,92752,53
827.0,"Entiat CCD, Chelan County, Washington",007,91040,53
1037.0,"Malaga CCD, Chelan County, Washington",007,91840,53
679.0,"Manson CCD, Chelan County, Washington",007,91904,53
836.0,"Chelan CCD, Chelan County, Washington",007,90544,53
276.0,"West End CCD, Jefferson County, Washington",031,93728,53
1164.0,"Bremerton CCD, Kitsap County, Washington",035,90288,53
1239.0,"Kingston CCD, Kitsap County, Washington",035,91488,53
1373.0,"Poulsbo CCD, Kitsap County, Washington",035,92624,53
1773.0,"Bainbridge Island CCD, Kitsap County, Washington",035,90120,53
1270.0,"Port Orchard CCD, Kitsap County, Washington",035,92608,53
1611.0,"Enumclaw Plateau CCD, King County, Washington",033,91056,53
1780.0,"Tahoma-Maple Valley CCD, King County, Washington",033,93392,53
1491.0,"Seattle CCD, King County, Washington",033,92928,53
1293.0,"Vashon Island CCD, King County, Washington",033,93616,53
2183.0,"Issaquah Plateau CCD, King County, Washington",033,91392,53
2068.0,"Snoqualmie Valley CCD, King County, Washington",033,93078,53
595.0,"Naselle CCD, Pacific County, Washington",049,92128,53
688.0,"Willapa Valley CCD, Pacific County, Washington",049,93776,53
593.0,"Raymond CCD, Pacific County, Washington",049,92736,53
645.0,"Newport CCD, Pend Oreille County, Washington",051,92160,53
625.0,"Ione-Metaline Falls CCD, Pend Oreille County, Washington",051,91376,53
1019.0,"Orcas CCD, San Juan County, Washington",055,92432,53
857.0,"Lopez CCD, San Juan County, Washington",055,91696,53
670.0,"Stevenson CCD, Skamania County, Washington",059,93312,53
507.0,"Rosalia CCD, Whitman County, Washington",075,92848,53
969.0,"Uniontown CCD, Whitman County, Washington",075,93536,53
707.0,"Colfax-Palouse CCD, Whitman County, Washington",075,90656,53
815.0,"Pullman CCD, Whitman County, Washington",075,92656,53
593.0,"Rock Lake CCD, Whitman County, Washington",075,92832,53
715.0,"Tekoa CCD, Whitman County, Washington",075,93424,53
869.0,"Yakima CCD, Yakima County, Washington",077,93904,53
822.0,"Mabton CCD, Yakima County, Washington",077,91808,53
836.0,"Sunnyside CCD, Yakima County, Washington",077,93344,53
1024.0,"Northeast Yakima CCD, Yakima County, Washington",077,92192,53
494.0,"South Yakima CCD, Yakima County, Washington",077,93184,53
745.0,"Toppenish-Wapato CCD, Yakima County, Washington",077,93472,53
828.0,"Northwest Yakima CCD, Yakima County, Washington",077,92240,53
331.0,"Clallam Bay-Neah Bay CCD, Clallam County, Washington",009,90576,53
907.0,"Sequim CCD, Clallam County, Washington",009,92960,53
994.0,"White Salmon CCD, Klickitat County, Washington",039,93744,53
705.0,"Goldendale CCD, Klickitat County, Washington",039,91264,53
898.0,"Ethel CCD, Lewis County, Washington",041,91088,53
721.0,"Mineral CCD, Lewis County, Washington",041,91984,53
1117.0,"Logan Hill CCD, Lewis County, Washington",041,91648,53
668.0,"Mossyrock CCD, Lewis County, Washington",041,92048,53
608.0,"Morton CCD, Lewis County, Washington",041,92016,53
1123.0,"Bunker CCD, Lewis County, Washington",041,90352,53
693.0,"Big Bottom CCD, Lewis County, Washington",041,90208,53
841.0,"Centralia-Chehalis CCD, Lewis County, Washington",041,90512,53
586.0,"Bridgeport CCD, Douglas County, Washington",017,90320,53
1005.0,"East Wenatchee CCD, Douglas County, Washington",017,90944,53
715.0,"Waterville CCD, Douglas County, Washington",017,93696,53
480.0,"Humptulips CCD, Grays Harbor County, Washington",027,91360,53
315.0,"Quinault Reservation CCD, Grays Harbor County, Washington",027,92704,53
1075.0,"Malone-Porter CCD, Grays Harbor County, Washington",027,91856,53
735.0,"Oakville CCD, Grays Harbor County, Washington",027,92288,53
807.0,"Aberdeen-Hoquiam CCD, Grays Harbor County, Washington",027,90016,53
806.0,"Elma CCD, Grays Harbor County, Washington",027,91024,53
538.0,"North River CCD, Grays Harbor County, Washington",027,92208,53
807.0,"Wishkah CCD, Grays Harbor County, Washington",027,93840,53
1087.0,"McCleary CCD, Grays Harbor County, Washington",027,91824,53
1604.0,"Fort Lewis-DuPont CCD, Pierce County, Washington",053,91184,53
1654.0,"Mount Rainier CCD, Pierce County, Washington",053,92064,53
1469.0,"Buckley CCD, Pierce County, Washington",053,90336,53
1427.0,"Puyallup CCD, Pierce County, Washington",053,92672,53
1265.0,"Roy CCD, Pierce County, Washington",053,92880,53
1060.0,"Eatonville CCD, Pierce County, Washington",053,90976,53
1613.0,"Gig Harbor Peninsula CCD, Pierce County, Washington",053,91232,53
1499.0,"Graham-Thrift CCD, Pierce County, Washington",053,91280,53
1164.0,"Tacoma CCD, Pierce County, Washington",053,93376,53
607.0,"Skamokawa CCD, Wahkiakum County, Washington",069,92992,53
637.0,"Grays River CCD, Wahkiakum County, Washington",069,91328,53
902.0,"Puget Island CCD, Wahkiakum County, Washington",069,92640,53
964.0,"Pasco CCD, Franklin County, Washington",021,92512,53
820.0,"Kahlotus CCD, Franklin County, Washington",021,91424,53
711.0,"Connell CCD, Franklin County, Washington",021,90752,53
1212.0,"Pasco North CCD, Franklin County, Washington",021,92528,53
1111.0,"Touchet CCD, Walla Walla County, Washington",071,93488,53
942.0,"Waitsburg CCD, Walla Walla County, Washington",071,93648,53
723.0,"Eureka Flat CCD, Walla Walla County, Washington",071,91104,53
1054.0,"Burbank CCD, Walla Walla County, Washington",071,90368,53
859.0,"Walla Walla-College Place CCD, Walla Walla County, Washington",071,93664,53
519.0,"Wilson Creek CCD, Grant County, Washington",025,93792,53
777.0,"Ephrata-Soap Lake CCD, Grant County, Washington",025,91072,53
1319.0,"Gloyd CCD, Grant County, Washington",025,91248,53
901.0,"Moses Lake CCD, Grant County, Washington",025,92032,53
797.0,"Quincy CCD, Grant County, Washington",025,92720,53
732.0,"George CCD, Grant County, Washington",025,91200,53
607.0,"Grand Coulee CCD, Grant County, Washington",025,91296,53
711.0,"Warden CCD, Grant County, Washington",025,93680,53
631.0,"Coulee City CCD, Grant County, Washington",025,90784,53
771.0,"Lummi Reservation CCD, Whatcom County, Washington",073,91760,53
981.0,"Lummi Island CCD, Whatcom County, Washington",073,91744,53
1087.0,"Bellingham CCD, Whatcom County, Washington",073,90176,53
1233.0,"Ferndale CCD, Whatcom County, Washington",073,91152,53
1220.0,"Lynden CCD, Whatcom County, Washington",073,91792,53
1092.0,"Blaine CCD, Whatcom County, Washington",073,90224,53
954.0,"East Whatcom CCD, Whatcom County, Washington",073,90960,53
1033.0,"Sumas CCD, Whatcom County, Washington",073,93328,53
866.0,"Point Roberts CCD, Whatcom County, Washington",073,92560,53
1476.0,"Granite Falls CCD, Snohomish County, Washington",061,91312,53
1622.0,"Monroe CCD, Snohomish County, Washington",061,92000,53
1472.0,"Arlington CCD, Snohomish County, Washington",061,90080,53
1574.0,"Edmonds CCD, Snohomish County, Washington",061,90992,53
1310.0,"Everett CCD, Snohomish County, Washington",061,91120,53
2055.0,"Maltby CCD, Snohomish County, Washington",061,91872,53
971.0,"Darrington CCD, Snohomish County, Washington",061,90839,53
1761.0,"Lake Stevens CCD, Snohomish County, Washington",061,91584,53
1472.0,"Stanwood CCD, Snohomish County, Washington",061,93248,53
1530.0,"Marysville CCD, Snohomish County, Washington",061,91936,53
1588.0,"Snohomish CCD, Snohomish County, Washington",061,93056,53
1133.0,"North Bonneville CCD, Skamania County, Washington",059,92179,53
2014.0,"North Skamania CCD, Skamania County, Washington",059,92216,53
1325.0,"Sultan CCD, Snohomish County, Washington",061,93320,53
1269.0,"Tulalip Reservation CCD, Snohomish County, Washington",061,93506,53
890.0,"Carson-Underwood CCD, Skamania County, Washington",059,90424,53
684.0,"Mattawa-Royal City CCD, Grant County, Washington",025,91944,53
1312.0,"Camano Island CCD, Island County, Washington",029,90400,53
454.0,"Neilton CCD, Grays Harbor County, Washington",027,92136,53
1162.0,"Central Whidbey Island CCD, Island County, Washington",029,90528,53
1173.0,"North Whidbey Island CCD, Island County, Washington",029,92256,53
1163.0,"South Whidbey Island CCD, Island County, Washington",029,93168,53
837.0,"Ocean Shores CCD, Grays Harbor County, Washington",027,92296,53
715.0,"Yakama Nation Reservation CCD, Klickitat County, Washington",039,93896,53
893.0,"West Mason CCD, Mason County, Washington",045,93734,53
1069.0,"Union-Grapeview CCD, Mason County, Washington",045,93528,53
924.0,"Belfair-Tahuya CCD, Mason County, Washington",045,90162,53
933.0,"Timber Lake-Harstine Island CCD, Mason County, Washington",045,93444,53
723.0,"Westport CCD, Grays Harbor County, Washington",027,93739,53
933.0,"Montesano CCD, Grays Harbor County, Washington",027,92008,53
1187.0,"Key Peninsula-Anderson Island CCD, Pierce County, Washington",053,91480,53
715.0,"Cathlamet CCD, Wahkiakum County, Washington",069,90478,53
1481.0,"Spokane South CCD, Spokane County, Washington",063,93224,53
1013.0,"Cheney-Medical Lake CCD, Spokane County, Washington",063,90552,53
932.0,"Amber-Cheney South CCD, Spokane County, Washington",063,90056,53
554.0,"Tonasket CCD, Okanogan County, Washington",047,93454,53
1201.0,"Bay View CCD, Skagit County, Washington",057,90144,53
1659.0,"Lake Cavanaugh CCD, Skagit County, Washington",057,91560,53
1113.0,"Upper Samish River CCD, Skagit County, Washington",057,93544,53
882.0,"East Skagit CCD, Skagit County, Washington",057,90936,53
697.0,"East Ferry CCD, Ferry County, Washington",019,90920,53
1130.0,"Manastash Ridge CCD, Kittitas County, Washington",037,91890,53
1358.0,"Northeast Kittitas CCD, Kittitas County, Washington",037,92188,53
567.0,"Horse Heaven Hills Plateau CCD, Klickitat County, Washington",039,91346,53
757.0,"Dallesport-Klickitat CCD, Klickitat County, Washington",039,90836,53
1066.0,"Northeast Cowlitz CCD, Cowlitz County, Washington",015,92182,53
696.0,"Long Beach-North Beach Peninsula CCD, Pacific County, Washington",049,91656,53
1003.0,"Winlock-Pe Ell CCD, Lewis County, Washington",041,93816,53
426.0,"LaCrosse CCD, Whitman County, Washington",075,91552,53
880.0,"Napavine CCD, Lewis County, Washington",041,92120,53
1051.0,"Newaukum Prairie CCD, Lewis County, Washington",041,92146,53
866.0,"Toledo-Vader CCD, Lewis County, Washington",041,93448,53
896.0,"Discovery Bay-Port Townsend CCD, Jefferson County, Washington",031,90898,53
920.0,"Oak Bay-Port Ludlow CCD, Jefferson County, Washington",031,92274,53
746.0,"Quilcene Bay-Brinnon CCD, Jefferson County, Washington",031,92690,53
-666666666.0,"Hanford Site CCD, Benton County, Washington",005,91336,53
729.0,"Garfield-Oakesdale CCD, Whitman County, Washington",075,91192,53
495.0,"Hunters-Gifford CCD, Stevens County, Washington",065,91368,53
1259.0,"Federal Way-Auburn CCD, King County, Washington",033,91140,53
1798.0,"Seattle East CCD, King County, Washington",033,92931,53
1232.0,"San Juan Island CCD, San Juan County, Washington",055,92914,53
580.0,"Colville Reservation CCD, Okanogan County, Washington",047,90720,53
921.0,"Early Winters CCD, Okanogan County, Washington",047,90912,53
662.0,"Brewster-Wakefield CCD, Okanogan County, Washington",047,90304,53
499.0,"Oroville CCD, Okanogan County, Washington",047,92480,53
636.0,"Conconully-Riverside CCD, Okanogan County, Washington",047,90736,53
587.0,"Okanogan CCD, Okanogan County, Washington",047,92320,53
713.0,"Methow Valley CCD, Okanogan County, Washington",047,91968,53
714.0,"Omak CCD, Okanogan County, Washington",047,92416,53
