B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
34.0,34.0,0.0,0.0,0.0,0.0,"Sand Creek township, Meade County, Kansas",119,62925,20
9536.0,7605.0,1173.0,287.0,408.0,63.0,"Coffeyville city, Montgomery County, Kansas",125,14600,20
1796.0,1567.0,122.0,46.0,54.0,7.0,"Meade Center township, Meade County, Kansas",119,45350,20
29.0,29.0,0.0,0.0,0.0,0.0,"Odee township, Meade County, Kansas",119,52075,20
324.0,324.0,0.0,0.0,0.0,0.0,"Rutland township, Montgomery County, Kansas",125,61925,20
650.0,522.0,0.0,125.0,3.0,0.0,"Fowler township, Meade County, Kansas",119,24200,20
282.0,250.0,20.0,12.0,0.0,0.0,"Drum Creek township, Montgomery County, Kansas",125,18700,20
400.0,353.0,47.0,0.0,0.0,0.0,"Liberty township, Montgomery County, Kansas",125,40275,20
892.0,776.0,42.0,66.0,8.0,0.0,"Sycamore township, Montgomery County, Kansas",125,69750,20
73.0,72.0,1.0,0.0,0.0,0.0,"Logan township, Meade County, Kansas",119,42000,20
214.0,214.0,0.0,0.0,0.0,0.0,"Mertilla township, Meade County, Kansas",119,46025,20
119.0,115.0,4.0,0.0,0.0,0.0,"Crooked Creek township, Meade County, Kansas",119,16450,20
289.0,289.0,0.0,0.0,0.0,0.0,"Cherokee township, Montgomery County, Kansas",125,12850,20
2225.0,1860.0,179.0,137.0,49.0,0.0,"Cherryvale city, Montgomery County, Kansas",125,12925,20
8858.0,7128.0,1172.0,302.0,252.0,4.0,"Independence city, Montgomery County, Kansas",125,33875,20
1966.0,1626.0,254.0,56.0,30.0,0.0,"Caney city, Montgomery County, Kansas",125,10375,20
2511.0,2146.0,112.0,125.0,112.0,16.0,"Independence township, Montgomery County, Kansas",125,33900,20
1332.0,1301.0,0.0,31.0,0.0,0.0,"Parker township, Montgomery County, Kansas",125,54525,20
1676.0,1588.0,52.0,0.0,36.0,0.0,"Fawn Creek township, Montgomery County, Kansas",125,23325,20
559.0,503.0,27.0,23.0,6.0,0.0,"Louisburg township, Montgomery County, Kansas",125,42900,20
345.0,340.0,5.0,0.0,0.0,0.0,"West Cherry township, Montgomery County, Kansas",125,76825,20
87.0,66.0,21.0,0.0,0.0,0.0,"Grant township, Republic County, Kansas",157,28050,20
