B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
1627.0,1503.0,54.0,54.0,16.0,0.0,"Cunningham CCD, Carlisle County, Kentucky",039,90968,21
2081.0,1695.0,285.0,82.0,11.0,8.0,"Prestonville CCD, Carroll County, Kentucky",041,92840,21
1410.0,1355.0,35.0,19.0,1.0,0.0,"Arlington CCD, Carlisle County, Kentucky",039,90080,21
8422.0,6655.0,957.0,413.0,397.0,0.0,"Carrollton CCD, Carroll County, Kentucky",041,90608,21
2845.0,2355.0,336.0,136.0,0.0,18.0,"Kirkmansville CCD, Todd County, Kentucky",219,91928,21
1767.0,1613.0,134.0,18.0,2.0,0.0,"Bardwell CCD, Carlisle County, Kentucky",039,90160,21
1446.0,1340.0,55.0,36.0,15.0,0.0,"Ravenna CCD, Estill County, Kentucky",065,92888,21
7002.0,6348.0,359.0,185.0,110.0,0.0,"Albany CCD, Clinton County, Kentucky",053,90032,21
3075.0,2872.0,109.0,94.0,0.0,0.0,"Cumberland City CCD, Clinton County, Kentucky",053,90944,21
5931.0,5101.0,318.0,482.0,30.0,0.0,"Irvine CCD, Estill County, Kentucky",065,91816,21
8517.0,7124.0,601.0,454.0,320.0,18.0,"Warsaw CCD, Gallatin County, Kentucky",077,93616,21
2955.0,2658.0,67.0,140.0,71.0,19.0,"Paint Lick CCD, Garrard County, Kentucky",079,92664,21
7385.0,6102.0,822.0,432.0,23.0,6.0,"Lancaster CCD, Garrard County, Kentucky",079,91976,21
6707.0,6201.0,252.0,202.0,37.0,15.0,"Bryantsville CCD, Garrard County, Kentucky",079,90400,21
4235.0,3964.0,136.0,110.0,13.0,12.0,"Salvisa-McAfee CCD, Mercer County, Kentucky",167,93064,21
6704.0,6177.0,224.0,228.0,75.0,0.0,"Butler CCD, Pendleton County, Kentucky",191,90472,21
3474.0,2865.0,302.0,258.0,23.0,26.0,"Burgin CCD, Mercer County, Kentucky",167,90424,21
13417.0,11190.0,952.0,1044.0,175.0,56.0,"Harrodsburg CCD, Mercer County, Kentucky",167,91624,21
4999.0,4263.0,359.0,139.0,238.0,0.0,"Falmouth CCD, Pendleton County, Kentucky",191,91200,21
2135.0,1952.0,110.0,67.0,6.0,0.0,"Mount Olivet CCD, Robertson County, Kentucky",201,92408,21
1685.0,1673.0,0.0,12.0,0.0,0.0,"Bryan CCD, Russell County, Kentucky",207,90384,21
3670.0,3439.0,188.0,43.0,0.0,0.0,"Eli CCD, Russell County, Kentucky",207,91120,21
8943.0,7871.0,401.0,591.0,78.0,2.0,"Springfield CCD, Washington County, Kentucky",229,93328,21
4104.0,3656.0,295.0,105.0,33.0,15.0,"Jamestown CCD, Russell County, Kentucky",207,91864,21
8083.0,7076.0,724.0,269.0,14.0,0.0,"Russell Springs CCD, Russell County, Kentucky",207,92984,21
5968.0,5239.0,296.0,433.0,0.0,0.0,"Taylorsville CCD, Spencer County, Kentucky",215,93448,21
2981.0,2729.0,124.0,43.0,85.0,0.0,"Willisburg CCD, Washington County, Kentucky",229,93728,21
2002.0,1708.0,42.0,123.0,129.0,0.0,"Sharpsburg CCD, Bath County, Kentucky",011,93144,21
3748.0,3330.0,347.0,69.0,2.0,0.0,"Salt Lick CCD, Bath County, Kentucky",011,93056,21
6291.0,5230.0,573.0,428.0,5.0,55.0,"Owingsville CCD, Bath County, Kentucky",011,92640,21
2171.0,1936.0,98.0,41.0,96.0,0.0,"Wickliffe CCD, Ballard County, Kentucky",007,93696,21
1356.0,1245.0,76.0,35.0,0.0,0.0,"Barlow CCD, Ballard County, Kentucky",007,90168,21
4555.0,4054.0,199.0,199.0,103.0,0.0,"La Center CCD, Ballard County, Kentucky",007,91952,21
3505.0,3167.0,133.0,103.0,78.0,24.0,"Rocky Hill CCD, Barren County, Kentucky",009,92944,21
21096.0,17797.0,1952.0,977.0,370.0,0.0,"Glasgow CCD, Barren County, Kentucky",009,91408,21
3722.0,3443.0,40.0,82.0,157.0,0.0,"Tracy CCD, Barren County, Kentucky",009,93496,21
7239.0,5955.0,723.0,495.0,58.0,8.0,"Cave City CCD, Barren County, Kentucky",009,90640,21
3274.0,3055.0,93.0,107.0,19.0,0.0,"Hiseville CCD, Barren County, Kentucky",009,91744,21
3820.0,3575.0,193.0,9.0,43.0,0.0,"Temple Hill CCD, Barren County, Kentucky",009,93464,21
4770.0,4163.0,472.0,84.0,51.0,0.0,"Junction City CCD, Boyle County, Kentucky",021,91896,21
20649.0,15999.0,2034.0,1629.0,879.0,108.0,"Danville CCD, Boyle County, Kentucky",021,91000,21
4124.0,3330.0,707.0,57.0,30.0,0.0,"Perryville CCD, Boyle County, Kentucky",021,92744,21
1593.0,1429.0,25.0,131.0,8.0,0.0,"Gresham CCD, Green County, Kentucky",087,91536,21
4118.0,3707.0,169.0,242.0,0.0,0.0,"Greensburg CCD, Green County, Kentucky",087,91504,21
2398.0,2175.0,189.0,29.0,5.0,0.0,"Donansburg CCD, Green County, Kentucky",087,91064,21
2782.0,2450.0,234.0,56.0,28.0,14.0,"Summersville CCD, Green County, Kentucky",087,93408,21
2740.0,2417.0,95.0,155.0,73.0,0.0,"Patesville CCD, Hancock County, Kentucky",091,92696,21
3405.0,3101.0,76.0,206.0,22.0,0.0,"Lewisport CCD, Hancock County, Kentucky",091,92032,21
2489.0,2335.0,82.0,43.0,29.0,0.0,"Hawesville CCD, Hancock County, Kentucky",091,91640,21
2040.0,1944.0,96.0,0.0,0.0,0.0,"Cawood CCD, Harlan County, Kentucky",095,90648,21
13648.0,12312.0,846.0,381.0,109.0,0.0,"Harlan CCD, Harlan County, Kentucky",095,91608,21
967.0,891.0,39.0,37.0,0.0,0.0,"Alva CCD, Harlan County, Kentucky",095,90056,21
2571.0,2462.0,90.0,19.0,0.0,0.0,"Wallins Creek CCD, Harlan County, Kentucky",095,93584,21
1164.0,1090.0,48.0,21.0,0.0,5.0,"Poor Fork CCD, Harlan County, Kentucky",095,92824,21
1179.0,1115.0,58.0,2.0,4.0,0.0,"Pine Mountain CCD, Harlan County, Kentucky",095,92792,21
4490.0,3948.0,406.0,102.0,29.0,5.0,"Cumberland CCD, Harlan County, Kentucky",095,90936,21
3598.0,3125.0,235.0,80.0,158.0,0.0,"Warfield CCD, Martin County, Kentucky",159,93600,21
3701.0,3141.0,275.0,277.0,3.0,5.0,"Sonora CCD, Hardin County, Kentucky",093,93264,21
911.0,731.0,20.0,98.0,60.0,2.0,"West Point CCD, Hardin County, Kentucky",093,93664,21
50665.0,40487.0,6229.0,2152.0,1520.0,277.0,"Elizabethtown CCD, Hardin County, Kentucky",093,91128,21
38380.0,29543.0,4280.0,2051.0,2123.0,383.0,"Radcliff CCD, Hardin County, Kentucky",093,92880,21
3219.0,2864.0,317.0,38.0,0.0,0.0,"Summit CCD, Hardin County, Kentucky",093,93416,21
3195.0,2674.0,395.0,126.0,0.0,0.0,"Cecilia CCD, Hardin County, Kentucky",093,90656,21
5695.0,5161.0,279.0,241.0,3.0,11.0,"Waynesburg CCD, Lincoln County, Kentucky",137,93632,21
3961.0,3404.0,275.0,273.0,9.0,0.0,"Crab Orchard CCD, Lincoln County, Kentucky",137,90888,21
5721.0,4717.0,450.0,554.0,0.0,0.0,"Hustonville CCD, Lincoln County, Kentucky",137,91792,21
8800.0,7610.0,727.0,415.0,41.0,7.0,"Stanford CCD, Lincoln County, Kentucky",137,93344,21
3500.0,3162.0,250.0,80.0,8.0,0.0,"Calhoun CCD, McLean County, Kentucky",149,90496,21
1614.0,1409.0,106.0,82.0,17.0,0.0,"Sacramento CCD, McLean County, Kentucky",149,93000,21
1234.0,1065.0,156.0,10.0,3.0,0.0,"Island CCD, McLean County, Kentucky",149,91832,21
2926.0,2533.0,187.0,197.0,7.0,2.0,"Livermore CCD, McLean County, Kentucky",149,92056,21
1987.0,1885.0,50.0,35.0,15.0,2.0,"Fountain Run CCD, Monroe County, Kentucky",171,91312,21
6761.0,5598.0,722.0,328.0,107.0,6.0,"Tompkinsville CCD, Monroe County, Kentucky",171,93488,21
8328.0,7453.0,289.0,287.0,299.0,0.0,"Beaver Dam CCD, Ohio County, Kentucky",183,90200,21
3888.0,3185.0,408.0,171.0,124.0,0.0,"Hartford CCD, Ohio County, Kentucky",183,91632,21
1590.0,1446.0,81.0,37.0,26.0,0.0,"Horse Branch CCD, Ohio County, Kentucky",183,91776,21
3009.0,2760.0,95.0,122.0,10.0,22.0,"Fordsville CCD, Ohio County, Kentucky",183,91280,21
3700.0,3088.0,182.0,308.0,122.0,0.0,"Heflin-Beda CCD, Ohio County, Kentucky",183,91688,21
5862.0,5079.0,430.0,221.0,118.0,14.0,"Clay City CCD, Powell County, Kentucky",197,90728,21
1445.0,1281.0,128.0,31.0,0.0,5.0,"Centertown CCD, Ohio County, Kentucky",183,90672,21
1805.0,1516.0,117.0,159.0,13.0,0.0,"McHenry-Rockport CCD, Ohio County, Kentucky",183,92144,21
6337.0,5397.0,581.0,340.0,19.0,0.0,"Stanton CCD, Powell County, Kentucky",197,93352,21
8680.0,6723.0,757.0,262.0,930.0,8.0,"Morganfield CCD, Union County, Kentucky",225,92384,21
4695.0,3899.0,577.0,157.0,62.0,0.0,"Sturgis CCD, Union County, Kentucky",225,93384,21
1398.0,1232.0,96.0,47.0,23.0,0.0,"Uniontown CCD, Union County, Kentucky",225,93536,21
4231.0,3892.0,180.0,119.0,27.0,13.0,"Sebree CCD, Webster County, Kentucky",233,93120,21
2228.0,1894.0,259.0,62.0,13.0,0.0,"Clay CCD, Webster County, Kentucky",233,90720,21
3837.0,3287.0,484.0,63.0,3.0,0.0,"Providence CCD, Webster County, Kentucky",233,92856,21
2712.0,2259.0,251.0,180.0,21.0,1.0,"Dixon CCD, Webster County, Kentucky",233,91056,21
10710.0,9506.0,871.0,236.0,97.0,0.0,"Princeton CCD, Caldwell County, Kentucky",033,92848,21
1905.0,1660.0,83.0,107.0,52.0,3.0,"Fredonia CCD, Caldwell County, Kentucky",033,91336,21
23390.0,17702.0,2582.0,1477.0,1189.0,440.0,"Murray CCD, Calloway County, Kentucky",035,92480,21
4303.0,3840.0,280.0,102.0,68.0,13.0,"Shiloh CCD, Calloway County, Kentucky",035,93176,21
4303.0,3995.0,165.0,123.0,15.0,5.0,"Kirksey CCD, Calloway County, Kentucky",035,91936,21
3279.0,2846.0,303.0,0.0,130.0,0.0,"New Concord CCD, Calloway County, Kentucky",035,92512,21
6284.0,5417.0,327.0,258.0,273.0,9.0,"Liberty CCD, Casey County, Kentucky",045,92040,21
2111.0,1826.0,160.0,58.0,67.0,0.0,"Clementsville CCD, Casey County, Kentucky",045,90736,21
2542.0,2240.0,74.0,120.0,96.0,12.0,"Dunnville CCD, Casey County, Kentucky",045,91088,21
3319.0,3144.0,64.0,91.0,10.0,10.0,"Middleburg CCD, Casey County, Kentucky",045,92296,21
12985.0,11340.0,781.0,558.0,286.0,20.0,"Brandenburg CCD, Meade County, Kentucky",163,90328,21
2468.0,2406.0,9.0,17.0,36.0,0.0,"Cerulean CCD, Trigg County, Kentucky",221,90687,21
21.0,6.0,3.0,6.0,6.0,0.0,"Land Between the Lakes CCD, Trigg County, Kentucky",221,91980,21
1765.0,1677.0,22.0,48.0,12.0,6.0,"Mount Hermon CCD, Monroe County, Kentucky",171,92400,21
2658.0,2461.0,55.0,142.0,0.0,0.0,"Goforth-Locust Grove CCD, Pendleton County, Kentucky",191,91420,21
4665.0,4041.0,296.0,309.0,19.0,0.0,"Canton CCD, Trigg County, Kentucky",221,90588,21
