B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
2029.0,1837.0,40.0,106.0,46.0,0.0,"Palmyra town, Somerset County, Maine",025,56520,23
914.0,819.0,71.0,16.0,8.0,0.0,"Solon town, Somerset County, Maine",025,69505,23
57.0,55.0,2.0,0.0,0.0,0.0,"Brighton plantation, Somerset County, Maine",025,07380,23
663.0,634.0,11.0,8.0,10.0,0.0,"New Portland town, Somerset County, Maine",025,49205,23
867.0,803.0,32.0,13.0,15.0,4.0,"Smithfield town, Somerset County, Maine",025,69155,23
899.0,812.0,41.0,35.0,11.0,0.0,"Embden town, Somerset County, Maine",025,23410,23
8.0,8.0,0.0,0.0,0.0,0.0,"Northwest Somerset UT, Somerset County, Maine",025,53636,23
2155.0,2068.0,34.0,37.0,16.0,0.0,"St. Albans town, Somerset County, Maine",025,64850,23
20.0,20.0,0.0,0.0,0.0,0.0,"West Forks plantation, Somerset County, Maine",025,82840,23
4712.0,3839.0,480.0,365.0,28.0,0.0,"Madison town, Somerset County, Maine",025,42660,23
2621.0,2336.0,183.0,61.0,41.0,0.0,"Anson town, Somerset County, Maine",025,01395,23
27.0,27.0,0.0,0.0,0.0,0.0,"Dennistown plantation, Somerset County, Maine",025,17285,23
6526.0,5381.0,481.0,558.0,93.0,13.0,"Fairfield town, Somerset County, Maine",025,24320,23
1642.0,1449.0,89.0,81.0,17.0,6.0,"Hartland town, Somerset County, Maine",025,31740,23
570.0,549.0,7.0,11.0,3.0,0.0,"Moscow town, Somerset County, Maine",025,47455,23
96.0,85.0,0.0,6.0,5.0,0.0,"Pleasant Ridge plantation, Somerset County, Maine",025,59705,23
59.0,59.0,0.0,0.0,0.0,0.0,"Seboomook Lake UT, Somerset County, Maine",025,67238,23
1582.0,1458.0,86.0,22.0,16.0,0.0,"Gouldsboro town, Hancock County, Maine",009,28450,23
2.0,2.0,0.0,0.0,0.0,0.0,"Northwest Hancock UT, Hancock County, Maine",009,53620,23
772.0,664.0,25.0,21.0,2.0,60.0,"Otis town, Hancock County, Maine",009,55890,23
2042.0,1887.0,107.0,40.0,8.0,0.0,"Deer Isle town, Hancock County, Maine",009,17145,23
2321.0,2004.0,180.0,82.0,55.0,0.0,"Hancock town, Hancock County, Maine",009,30970,23
72.0,64.0,1.0,0.0,7.0,0.0,"Osborn town, Hancock County, Maine",009,55855,23
365.0,294.0,61.0,3.0,7.0,0.0,"Sorrento town, Hancock County, Maine",009,69750,23
1111.0,1048.0,58.0,0.0,5.0,0.0,"Stonington town, Hancock County, Maine",009,74580,23
1064.0,960.0,76.0,7.0,21.0,0.0,"Sullivan town, Hancock County, Maine",009,74965,23
968.0,880.0,66.0,10.0,12.0,0.0,"Brooks town, Waldo County, Maine",027,07870,23
976.0,863.0,13.0,60.0,40.0,0.0,"Frankfort town, Waldo County, Maine",027,26280,23
825.0,722.0,54.0,49.0,0.0,0.0,"Knox town, Waldo County, Maine",027,37585,23
920.0,871.0,20.0,0.0,29.0,0.0,"Belmont town, Waldo County, Maine",027,04125,23
955.0,914.0,18.0,0.0,19.0,4.0,"Monroe town, Waldo County, Maine",027,46475,23
880.0,777.0,63.0,6.0,30.0,4.0,"Waldo town, Waldo County, Maine",027,79480,23
827.0,794.0,26.0,0.0,7.0,0.0,"Montville town, Waldo County, Maine",027,46790,23
1469.0,1326.0,74.0,67.0,0.0,2.0,"Palermo town, Waldo County, Maine",027,56450,23
747.0,710.0,3.0,32.0,2.0,0.0,"Prospect town, Waldo County, Maine",027,61210,23
1493.0,1385.0,65.0,31.0,12.0,0.0,"Searsmont town, Waldo County, Maine",027,66565,23
1447.0,1278.0,51.0,43.0,67.0,8.0,"Stockton Springs town, Waldo County, Maine",027,74475,23
987.0,899.0,57.0,16.0,15.0,0.0,"Troy town, Waldo County, Maine",027,77625,23
1860.0,1691.0,31.0,39.0,69.0,30.0,"Northport town, Waldo County, Maine",027,52845,23
2338.0,1855.0,194.0,138.0,144.0,7.0,"Unity town, Waldo County, Maine",027,78255,23
714.0,672.0,21.0,18.0,3.0,0.0,"Freedom town, Waldo County, Maine",027,26420,23
756.0,621.0,117.0,0.0,17.0,1.0,"Islesboro town, Waldo County, Maine",027,35240,23
862.0,800.0,17.0,18.0,27.0,0.0,"Liberty town, Waldo County, Maine",027,39055,23
1961.0,1718.0,36.0,105.0,94.0,8.0,"Lincolnville town, Waldo County, Maine",027,39755,23
681.0,524.0,113.0,5.0,39.0,0.0,"Jackson town, Waldo County, Maine",027,35450,23
