B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
46275.0,20530.0,10646.0,10962.0,2364.0,1773.0,"East Lansing city, Ingham County, Michigan",065,24120,26
2461.0,2262.0,119.0,53.0,27.0,0.0,"Leslie township, Ingham County, Michigan",065,47200,26
8254.0,6387.0,1143.0,602.0,114.0,8.0,"Mason city, Ingham County, Michigan",065,52180,26
8100.0,6049.0,1074.0,741.0,181.0,55.0,"Lansing charter township, Ingham County, Michigan",065,46020,26
1924.0,1635.0,133.0,156.0,0.0,0.0,"Leslie city, Ingham County, Michigan",065,47180,26
1665.0,1537.0,57.0,54.0,17.0,0.0,"Locke township, Ingham County, Michigan",065,49040,26
41483.0,32862.0,4638.0,2261.0,1071.0,651.0,"Meridian charter township, Ingham County, Michigan",065,53140,26
3145.0,2716.0,199.0,212.0,0.0,18.0,"Onondaga township, Ingham County, Michigan",065,60800,26
3506.0,3164.0,172.0,170.0,0.0,0.0,"Leroy township, Ingham County, Michigan",065,47080,26
4205.0,3941.0,121.0,124.0,19.0,0.0,"Aurelius township, Ingham County, Michigan",065,04240,26
2880.0,2651.0,102.0,74.0,47.0,6.0,"Alaiedon township, Ingham County, Michigan",065,00800,26
3891.0,3277.0,444.0,170.0,0.0,0.0,"Williamston city, Ingham County, Michigan",065,87420,26
1849.0,1720.0,65.0,64.0,0.0,0.0,"Wheatfield township, Ingham County, Michigan",065,86520,26
2447.0,2315.0,78.0,31.0,23.0,0.0,"Ingham township, Ingham County, Michigan",065,40640,26
1146.0,1059.0,34.0,53.0,0.0,0.0,"White Oak township, Ingham County, Michigan",065,86900,26
1892.0,1772.0,28.0,71.0,21.0,0.0,"Beaverton township, Gladwin County, Michigan",051,06680,26
834.0,805.0,4.0,25.0,0.0,0.0,"Bentley township, Gladwin County, Michigan",051,07360,26
2231.0,2053.0,45.0,128.0,0.0,5.0,"Billings township, Gladwin County, Michigan",051,08360,26
972.0,818.0,114.0,40.0,0.0,0.0,"Sherman township, Gladwin County, Michigan",051,73140,26
1733.0,1514.0,35.0,150.0,34.0,0.0,"Butman township, Gladwin County, Michigan",051,12180,26
2518.0,2412.0,59.0,47.0,0.0,0.0,"Sage township, Gladwin County, Michigan",051,70500,26
1243.0,1145.0,80.0,10.0,8.0,0.0,"Hay township, Gladwin County, Michigan",051,37300,26
2858.0,2279.0,415.0,142.0,22.0,0.0,"Gladwin city, Gladwin County, Michigan",051,32320,26
1129.0,1055.0,39.0,35.0,0.0,0.0,"Gladwin township, Gladwin County, Michigan",051,32340,26
411.0,370.0,9.0,32.0,0.0,0.0,"Bourret township, Gladwin County, Michigan",051,09720,26
1356.0,1296.0,50.0,10.0,0.0,0.0,"Buckeye township, Gladwin County, Michigan",051,11440,26
895.0,801.0,18.0,70.0,3.0,3.0,"Clement township, Gladwin County, Michigan",051,16360,26
2513.0,2264.0,120.0,117.0,12.0,0.0,"Tobacco township, Gladwin County, Michigan",051,79860,26
1914.0,1792.0,86.0,21.0,11.0,4.0,"Grout township, Gladwin County, Michigan",051,35620,26
1262.0,1163.0,53.0,25.0,14.0,7.0,"Secord township, Gladwin County, Michigan",051,72240,26
1189.0,949.0,116.0,121.0,0.0,3.0,"Beaverton city, Gladwin County, Michigan",051,06660,26
113.0,105.0,0.0,8.0,0.0,0.0,"Grim township, Gladwin County, Michigan",051,35340,26
1368.0,1239.0,112.0,17.0,0.0,0.0,"Wakeshma township, Kalamazoo County, Michigan",077,82840,26
75133.0,50316.0,14876.0,6670.0,2584.0,687.0,"Kalamazoo city, Kalamazoo County, Michigan",077,42160,26
6253.0,5709.0,348.0,66.0,130.0,0.0,"Pavilion township, Kalamazoo County, Michigan",077,62960,26
47559.0,40679.0,4597.0,1034.0,1023.0,226.0,"Portage city, Kalamazoo County, Michigan",077,65560,26
2340.0,2227.0,86.0,27.0,0.0,0.0,"Prairie Ronde township, Kalamazoo County, Michigan",077,66200,26
4770.0,4104.0,364.0,209.0,90.0,3.0,"Ross township, Kalamazoo County, Michigan",077,69820,26
1910.0,1398.0,391.0,70.0,36.0,15.0,"Parchment city, Kalamazoo County, Michigan",077,62340,26
1990.0,1495.0,340.0,131.0,24.0,0.0,"Galesburg city, Kalamazoo County, Michigan",077,31260,26
7892.0,6752.0,456.0,484.0,195.0,5.0,"Richland township, Kalamazoo County, Michigan",077,68260,26
4370.0,3661.0,562.0,83.0,55.0,9.0,"Brady township, Kalamazoo County, Michigan",077,09920,26
1949.0,1749.0,156.0,30.0,14.0,0.0,"Charleston township, Kalamazoo County, Michigan",077,14720,26
8587.0,7383.0,721.0,335.0,139.0,9.0,"Schoolcraft township, Kalamazoo County, Michigan",077,71880,26
2484.0,2297.0,156.0,8.0,12.0,11.0,"Climax township, Kalamazoo County, Michigan",077,16460,26
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Leelanau County, Michigan",089,00000,26
4398.0,3745.0,126.0,407.0,120.0,0.0,"Elmwood charter township, Leelanau County, Michigan",089,25700,26
2472.0,2261.0,42.0,107.0,62.0,0.0,"Bingham township, Leelanau County, Michigan",089,08440,26
1272.0,1174.0,40.0,31.0,18.0,9.0,"Centerville township, Leelanau County, Michigan",089,14340,26
1176.0,1069.0,25.0,32.0,50.0,0.0,"Empire township, Leelanau County, Michigan",089,26000,26
1663.0,1501.0,65.0,53.0,34.0,10.0,"Solon township, Leelanau County, Michigan",089,74500,26
1483.0,1349.0,81.0,46.0,7.0,0.0,"Burlington township, Lapeer County, Michigan",087,11840,26
4502.0,4075.0,95.0,253.0,76.0,3.0,"Hadley township, Lapeer County, Michigan",087,35840,26
8704.0,6804.0,964.0,806.0,116.0,14.0,"Lapeer city, Lapeer County, Michigan",087,46040,26
5002.0,4549.0,311.0,61.0,47.0,34.0,"Lapeer township, Lapeer County, Michigan",087,46060,26
7814.0,6859.0,371.0,579.0,3.0,2.0,"Mayfield township, Lapeer County, Michigan",087,52500,26
4501.0,4000.0,281.0,203.0,17.0,0.0,"Marathon township, Lapeer County, Michigan",087,51420,26
1565.0,1413.0,65.0,80.0,3.0,4.0,"Rich township, Lapeer County, Michigan",087,68160,26
5175.0,4701.0,260.0,170.0,18.0,26.0,"Elba township, Lapeer County, Michigan",087,25160,26
3088.0,2844.0,35.0,185.0,22.0,2.0,"Imlay township, Lapeer County, Michigan",087,40300,26
4215.0,3691.0,236.0,208.0,80.0,0.0,"Metamora township, Lapeer County, Michigan",087,53360,26
4719.0,4494.0,177.0,28.0,10.0,10.0,"Attica township, Lapeer County, Michigan",087,04040,26
1922.0,1859.0,15.0,31.0,0.0,17.0,"Burnside township, Lapeer County, Michigan",087,11900,26
4.0,0.0,0.0,4.0,0.0,0.0,"Brown City city, Lapeer County, Michigan",087,11180,26
1728.0,1605.0,81.0,24.0,14.0,4.0,"Goodland township, Lapeer County, Michigan",087,32960,26
4700.0,4144.0,342.0,166.0,39.0,9.0,"Dryden township, Lapeer County, Michigan",087,23160,26
3543.0,3050.0,323.0,149.0,21.0,0.0,"North Branch township, Lapeer County, Michigan",087,58090,26
6673.0,6057.0,100.0,505.0,5.0,6.0,"Almont township, Lapeer County, Michigan",087,01680,26
3094.0,2830.0,198.0,44.0,22.0,0.0,"Arcadia township, Lapeer County, Michigan",087,03280,26
5735.0,5244.0,244.0,247.0,0.0,0.0,"Oregon township, Lapeer County, Michigan",087,61060,26
46957.0,38539.0,5358.0,2527.0,452.0,81.0,"Roseville city, Macomb County, Michigan",099,69800,26
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Macomb County, Michigan",099,00000,26
32271.0,26844.0,2484.0,2716.0,211.0,16.0,"Eastpointe city, Macomb County, Michigan",099,24290,26
739.0,626.0,45.0,57.0,11.0,0.0,"Memphis city, Macomb County, Michigan",099,52960,26
5459.0,4900.0,358.0,156.0,45.0,0.0,"Armada township, Macomb County, Michigan",099,03540,26
3847.0,3380.0,260.0,189.0,9.0,9.0,"Alamo township, Kalamazoo County, Michigan",077,00840,26
2169.0,1930.0,173.0,51.0,11.0,4.0,"Aetna township, Mecosta County, Michigan",107,00500,26
5634.0,5314.0,167.0,153.0,0.0,0.0,"Deerfield township, Lapeer County, Michigan",087,21160,26
3551.0,2636.0,440.0,189.0,209.0,77.0,"Imlay City city, Lapeer County, Michigan",087,40320,26
1035.0,911.0,28.0,84.0,9.0,3.0,"Frost township, Clare County, Michigan",035,30900,26
1190.0,1093.0,24.0,24.0,49.0,0.0,"Greenwood township, Clare County, Michigan",035,35120,26
976.0,859.0,59.0,43.0,15.0,0.0,"Hatton township, Clare County, Michigan",035,37160,26
4612.0,3662.0,706.0,228.0,16.0,0.0,"Hayes township, Clare County, Michigan",035,37340,26
396.0,356.0,3.0,24.0,13.0,0.0,"Summerfield township, Clare County, Michigan",035,77120,26
687.0,660.0,11.0,3.0,13.0,0.0,"Arthur township, Clare County, Michigan",035,03620,26
685.0,597.0,53.0,23.0,12.0,0.0,"Franklin township, Clare County, Michigan",035,30280,26
1677.0,1573.0,38.0,59.0,7.0,0.0,"Hamilton township, Clare County, Michigan",035,36140,26
1819.0,1504.0,169.0,107.0,39.0,0.0,"Lincoln township, Clare County, Michigan",035,47620,26
8966.0,7995.0,303.0,293.0,295.0,80.0,"York charter township, Washtenaw County, Michigan",161,89100,26
6316.0,5691.0,300.0,220.0,95.0,10.0,"Lodi township, Washtenaw County, Michigan",161,49120,26
8379.0,7282.0,595.0,356.0,136.0,10.0,"Northfield township, Washtenaw County, Michigan",161,58280,26
37368.0,30180.0,3292.0,2087.0,1090.0,719.0,"Pittsfield charter township, Washtenaw County, Michigan",161,64560,26
118217.0,76282.0,20262.0,8383.0,8995.0,4295.0,"Ann Arbor city, Washtenaw County, Michigan",161,03000,26
3558.0,3205.0,311.0,15.0,27.0,0.0,"Lima township, Washtenaw County, Michigan",161,47460,26
20573.0,12151.0,4757.0,2374.0,1023.0,268.0,"Ypsilanti city, Washtenaw County, Michigan",161,89140,26
6305.0,6078.0,108.0,82.0,16.0,21.0,"Dexter township, Washtenaw County, Michigan",161,22180,26
