B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
968.0,869.0,0.0,19.0,65.0,15.0,"Skinnersville township, Washington County, North Carolina",187,92968,37
6760.0,6282.0,311.0,80.0,87.0,0.0,"Plymouth township, Washington County, North Carolina",187,92540,37
1618.0,1540.0,36.0,40.0,2.0,0.0,"Scuppernong township, Washington County, North Carolina",187,92876,37
2764.0,2540.0,94.0,16.0,108.0,6.0,"Lees Mill township, Washington County, North Carolina",187,91768,37
4007.0,3423.0,171.0,282.0,129.0,2.0,"Courthouse township, Camden County, North Carolina",029,90784,37
2424.0,2236.0,57.0,92.0,24.0,15.0,"Shiloh township, Camden County, North Carolina",029,92920,37
3831.0,3643.0,39.0,104.0,45.0,0.0,"South Mills township, Camden County, North Carolina",029,93044,37
909.0,909.0,0.0,0.0,0.0,0.0,"Sweetwater township, Clay County, North Carolina",043,93192,37
1306.0,1095.0,34.0,0.0,177.0,0.0,"Shooting Creek township, Clay County, North Carolina",043,92944,37
586.0,542.0,0.0,0.0,44.0,0.0,"Tusquittee township, Clay County, North Carolina",043,93792,37
2312.0,2145.0,0.0,54.0,113.0,0.0,"Brasstown township, Clay County, North Carolina",043,90360,37
3770.0,3272.0,201.0,99.0,198.0,0.0,"Hayesville township, Clay County, North Carolina",043,91436,37
1863.0,1565.0,163.0,124.0,11.0,0.0,"Black River township, Cumberland County, North Carolina",051,90288,37
13508.0,12041.0,641.0,314.0,482.0,30.0,"Eastover township, Cumberland County, North Carolina",051,90968,37
66809.0,52892.0,8500.0,1729.0,2977.0,711.0,"Cross Creek township, Cumberland County, North Carolina",051,90832,37
57490.0,48203.0,5053.0,1628.0,2275.0,331.0,"Rockfish township, Cumberland County, North Carolina",051,92724,37
94780.0,73696.0,10333.0,1764.0,7789.0,1198.0,"Seventy-First township, Cumberland County, North Carolina",051,92892,37
9791.0,8487.0,702.0,71.0,519.0,12.0,"Grays Creek township, Cumberland County, North Carolina",051,91296,37
1211.0,996.0,178.0,37.0,0.0,0.0,"Beaver Dam township, Cumberland County, North Carolina",051,90192,37
17642.0,14664.0,1843.0,463.0,543.0,129.0,"Pearces Mill township, Cumberland County, North Carolina",051,92460,37
23495.0,19019.0,2625.0,451.0,1032.0,368.0,"Carvers Creek township, Cumberland County, North Carolina",051,90532,37
28041.0,15348.0,3800.0,1047.0,6387.0,1459.0,"Manchester township, Cumberland County, North Carolina",051,91964,37
12833.0,11768.0,763.0,69.0,230.0,3.0,"Cedar Creek township, Cumberland County, North Carolina",051,90572,37
44304.0,38104.0,3609.0,1340.0,1237.0,14.0,"South Point township, Gaston County, North Carolina",071,93048,37
15954.0,14067.0,1030.0,577.0,275.0,5.0,"Crowders Mountain township, Gaston County, North Carolina",071,90844,37
85299.0,71700.0,8677.0,2693.0,2032.0,197.0,"Gastonia township, Gaston County, North Carolina",071,91216,37
368.0,341.0,27.0,0.0,0.0,0.0,"Minneapolis township, Avery County, North Carolina",011,92090,37
3741.0,3101.0,123.0,357.0,157.0,3.0,"Banner Elk township, Avery County, North Carolina",011,90148,37
70.0,70.0,0.0,0.0,0.0,0.0,"Carey's Flat township, Avery County, North Carolina",011,90510,37
594.0,594.0,0.0,0.0,0.0,0.0,"Roaring Creek township, Avery County, North Carolina",011,92708,37
465.0,407.0,10.0,48.0,0.0,0.0,"Pyatte township, Avery County, North Carolina",011,92586,37
417.0,388.0,0.0,27.0,2.0,0.0,"Linville township, Avery County, North Carolina",011,91826,37
1105.0,1094.0,0.0,11.0,0.0,0.0,"Pineola township, Avery County, North Carolina",011,92502,37
1507.0,1296.0,99.0,56.0,56.0,0.0,"Altamont township, Avery County, North Carolina",011,90052,37
315.0,315.0,0.0,0.0,0.0,0.0,"Hughes township, Avery County, North Carolina",011,91558,37
285.0,285.0,0.0,0.0,0.0,0.0,"Frank township, Avery County, North Carolina",011,91154,37
534.0,510.0,8.0,0.0,16.0,0.0,"Cranberry township, Avery County, North Carolina",011,90812,37
461.0,435.0,7.0,0.0,19.0,0.0,"Beech Mountain township, Avery County, North Carolina",011,90212,37
128.0,128.0,0.0,0.0,0.0,0.0,"Heaton township, Avery County, North Carolina",011,91442,37
9976.0,8503.0,817.0,281.0,375.0,0.0,"Lower Hominy township, Buncombe County, North Carolina",021,91932,37
12774.0,11484.0,368.0,527.0,382.0,13.0,"Reems Creek township, Buncombe County, North Carolina",021,92648,37
20222.0,17769.0,1478.0,476.0,382.0,117.0,"Leicester township, Buncombe County, North Carolina",021,91776,37
7349.0,6062.0,818.0,365.0,104.0,0.0,"French Broad township, Buncombe County, North Carolina",021,91176,37
3518.0,3200.0,199.0,97.0,22.0,0.0,"Ivy township, Buncombe County, North Carolina",021,91604,37
15004.0,13492.0,863.0,340.0,289.0,20.0,"Limestone township, Buncombe County, North Carolina",021,91816,37
17487.0,15700.0,984.0,287.0,375.0,141.0,"Upper Hominy township, Buncombe County, North Carolina",021,93840,37
7347.0,6864.0,199.0,85.0,199.0,0.0,"Avery Creek township, Buncombe County, North Carolina",021,90108,37
1418.0,1309.0,56.0,34.0,14.0,5.0,"Broad River township, Buncombe County, North Carolina",021,90380,37
11730.0,10729.0,443.0,104.0,454.0,0.0,"Fairview township, Buncombe County, North Carolina",021,91056,37
1674.0,1546.0,76.0,0.0,51.0,1.0,"Sandy Mush township, Buncombe County, North Carolina",021,92832,37
5400.0,4911.0,184.0,229.0,76.0,0.0,"Jerusalem township, Davie County, North Carolina",059,91660,37
2359.0,2203.0,83.0,73.0,0.0,0.0,"Fulton township, Davie County, North Carolina",059,91192,37
10194.0,8873.0,672.0,520.0,121.0,8.0,"Mocksville township, Davie County, North Carolina",059,92100,37
2917.0,2428.0,141.0,300.0,48.0,0.0,"Calahaln township, Davie County, North Carolina",059,90472,37
12457.0,11330.0,105.0,598.0,424.0,0.0,"Farmington township, Davie County, North Carolina",059,91080,37
4442.0,4062.0,92.0,219.0,0.0,69.0,"Shady Grove township, Davie County, North Carolina",059,92896,37
