B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
77.0,77.0,0.0,0.0,0.0,0.0,"Dixie Valley CCD, Churchill County, Nevada",001,94238,32
23656.0,18705.0,2670.0,802.0,1379.0,100.0,"Fallon CCD, Churchill County, Nevada",001,94308,32
0.0,0.0,0.0,0.0,0.0,0.0,"Carson Sink CCD, Churchill County, Nevada",001,94154,32
8464.0,7172.0,271.0,651.0,370.0,0.0,"Genoa-Jacks Valley CCD, Douglas County, Nevada",005,94378,32
794.0,788.0,0.0,0.0,6.0,0.0,"Pine Nut CCD, Douglas County, Nevada",005,94658,32
5210.0,4590.0,187.0,85.0,299.0,49.0,"Zephyr Cove CCD, Douglas County, Nevada",005,94952,32
30496.0,25790.0,2588.0,724.0,1367.0,27.0,"Gardnerville-Minden CCD, Douglas County, Nevada",005,94364,32
2326.0,1890.0,218.0,63.0,152.0,3.0,"Topaz Lake CCD, Douglas County, Nevada",005,94826,32
5328.0,4285.0,865.0,40.0,98.0,40.0,"Battle Mountain CCD, Lander County, Nevada",015,94070,32
411.0,326.0,1.0,84.0,0.0,0.0,"Austin CCD, Lander County, Nevada",015,94042,32
5105.0,4325.0,211.0,496.0,73.0,0.0,"Lovelock CCD, Pershing County, Nevada",027,94518,32
1509.0,1359.0,18.0,132.0,0.0,0.0,"Imlay CCD, Pershing County, Nevada",027,94448,32
1290.0,1066.0,29.0,11.0,134.0,50.0,"McDermitt CCD, Humboldt County, Nevada",013,94546,32
553.0,444.0,41.0,38.0,30.0,0.0,"Goldfield CCD, Esmeralda County, Nevada",009,94420,32
498.0,385.0,113.0,0.0,0.0,0.0,"Beowawe CCD, Eureka County, Nevada",011,94098,32
1230.0,1100.0,74.0,37.0,19.0,0.0,"Eureka CCD, Eureka County, Nevada",011,94294,32
1432.0,1172.0,187.0,34.0,39.0,0.0,"Golconda CCD, Humboldt County, Nevada",013,94406,32
116.0,108.0,0.0,0.0,8.0,0.0,"Mina CCD, Mineral County, Nevada",021,94588,32
113.0,93.0,0.0,20.0,0.0,0.0,"Summit Lake CCD, Humboldt County, Nevada",013,94798,32
13800.0,11624.0,1002.0,724.0,395.0,55.0,"Winnemucca CCD, Humboldt County, Nevada",013,94910,32
3207.0,2941.0,126.0,56.0,84.0,0.0,"Hawthorne CCD, Mineral County, Nevada",021,94434,32
1106.0,965.0,13.0,117.0,11.0,0.0,"Walker River CCD, Mineral County, Nevada",021,94868,32
19.0,19.0,0.0,0.0,0.0,0.0,"Cherry Creek CCD, White Pine County, Nevada",033,94168,32
5853.0,4971.0,573.0,183.0,117.0,9.0,"Ely CCD, White Pine County, Nevada",033,94280,32
1537.0,1388.0,136.0,0.0,13.0,0.0,"McGill CCD, White Pine County, Nevada",033,94560,32
357.0,338.0,0.0,15.0,4.0,0.0,"Lund CCD, White Pine County, Nevada",033,94532,32
1868.0,1360.0,51.0,444.0,13.0,0.0,"Ruth CCD, White Pine County, Nevada",033,94742,32
164.0,164.0,0.0,0.0,0.0,0.0,"Baker CCD, White Pine County, Nevada",033,94056,32
2190.0,1843.0,228.0,70.0,49.0,0.0,"Wells CCD, Elko County, Nevada",007,94882,32
1485.0,1116.0,164.0,12.0,193.0,0.0,"Jackpot CCD, Elko County, Nevada",007,94476,32
4291.0,3323.0,684.0,60.0,174.0,50.0,"West Wendover CCD, Elko County, Nevada",007,94896,32
39828.0,33624.0,4127.0,794.0,1240.0,43.0,"Elko CCD, Elko County, Nevada",007,94266,32
145.0,145.0,0.0,0.0,0.0,0.0,"Montello CCD, Elko County, Nevada",007,94602,32
2330.0,1908.0,254.0,137.0,29.0,2.0,"Carlin CCD, Elko County, Nevada",007,94126,32
