B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
9716.0,8655.0,793.0,158.0,86.0,24.0,"Stilwell East CCD, Adair County, Oklahoma",001,93250,40
4979.0,4634.0,160.0,12.0,173.0,0.0,"Westville CCD, Adair County, Oklahoma",001,93796,40
2484.0,2277.0,71.0,60.0,76.0,0.0,"Watts CCD, Adair County, Oklahoma",001,93588,40
4639.0,4371.0,105.0,110.0,50.0,3.0,"Stilwell West CCD, Adair County, Oklahoma",001,93263,40
2729.0,2322.0,181.0,203.0,23.0,0.0,"Konawa CCD, Seminole County, Oklahoma",133,91612,40
2199.0,1912.0,95.0,119.0,73.0,0.0,"Seminole South CCD, Seminole County, Oklahoma",133,92795,40
7384.0,6349.0,507.0,362.0,166.0,0.0,"Wewoka CCD, Seminole County, Oklahoma",133,93835,40
12607.0,10821.0,926.0,705.0,144.0,11.0,"Seminole North CCD, Seminole County, Oklahoma",133,92782,40
1868.0,1750.0,50.0,60.0,8.0,0.0,"Velma-Alma CCD, Stephens County, Oklahoma",137,93432,40
8347.0,7151.0,750.0,343.0,92.0,11.0,"Marlow CCD, Stephens County, Oklahoma",137,91781,40
5964.0,5180.0,383.0,329.0,56.0,16.0,"Comanche CCD, Stephens County, Oklahoma",137,90650,40
27691.0,22829.0,3091.0,997.0,747.0,27.0,"Duncan CCD, Stephens County, Oklahoma",137,90780,40
392.0,351.0,34.0,0.0,6.0,1.0,"Keyes CCD, Cimarron County, Oklahoma",025,91560,40
1815.0,1638.0,96.0,46.0,35.0,0.0,"Boise City CCD, Cimarron County, Oklahoma",025,90286,40
4598.0,3586.0,384.0,260.0,344.0,24.0,"Watonga CCD, Blaine County, Oklahoma",011,93575,40
1535.0,1446.0,21.0,68.0,0.0,0.0,"Canton CCD, Blaine County, Oklahoma",011,90416,40
1849.0,1648.0,82.0,117.0,2.0,0.0,"Geary CCD, Blaine County, Oklahoma",011,91170,40
1578.0,1367.0,164.0,23.0,24.0,0.0,"Okeene CCD, Blaine County, Oklahoma",011,92392,40
37719.0,31511.0,3937.0,980.0,1161.0,130.0,"Ardmore CCD, Carter County, Oklahoma",019,90156,40
3278.0,2803.0,251.0,152.0,53.0,19.0,"Wilson CCD, Carter County, Oklahoma",019,93861,40
2625.0,2327.0,209.0,69.0,20.0,0.0,"Ardmore North CCD, Carter County, Oklahoma",019,90169,40
1309.0,1229.0,41.0,33.0,1.0,5.0,"Healdton North CCD, Carter County, Oklahoma",019,91287,40
2966.0,2758.0,188.0,7.0,11.0,2.0,"Healdton Central CCD, Carter County, Oklahoma",019,91274,40
1867.0,1791.0,43.0,17.0,16.0,0.0,"West Coal CCD, Coal County, Oklahoma",029,93705,40
3751.0,3166.0,317.0,192.0,68.0,8.0,"East Coal CCD, Coal County, Oklahoma",029,90871,40
627.0,594.0,7.0,26.0,0.0,0.0,"Lamont CCD, Grant County, Oklahoma",053,91625,40
1764.0,1511.0,106.0,103.0,44.0,0.0,"Medford CCD, Grant County, Oklahoma",053,91820,40
458.0,440.0,3.0,15.0,0.0,0.0,"Wakita CCD, Grant County, Oklahoma",053,93510,40
1591.0,1433.0,138.0,14.0,6.0,0.0,"Southwest Grant CCD, Grant County, Oklahoma",053,93159,40
257.0,215.0,21.0,20.0,1.0,0.0,"Northwest Greer CCD, Greer County, Oklahoma",055,92275,40
3350.0,2891.0,267.0,135.0,48.0,9.0,"Mangum CCD, Greer County, Oklahoma",055,91768,40
2353.0,1580.0,116.0,563.0,94.0,0.0,"Granite CCD, Greer County, Oklahoma",055,91196,40
8166.0,7540.0,519.0,72.0,35.0,0.0,"Kingfisher CCD, Kingfisher County, Oklahoma",073,91586,40
4611.0,4215.0,195.0,131.0,58.0,12.0,"Hennessey CCD, Kingfisher County, Oklahoma",073,91326,40
2482.0,2345.0,61.0,66.0,10.0,0.0,"Okarche-Cashion CCD, Kingfisher County, Oklahoma",073,92379,40
17901.0,15613.0,869.0,1229.0,136.0,54.0,"Purcell CCD, McClain County, Oklahoma",087,92626,40
1147.0,1079.0,46.0,15.0,7.0,0.0,"East McClain CCD, McClain County, Oklahoma",087,90929,40
11799.0,10884.0,482.0,310.0,116.0,7.0,"Checotah CCD, McIntosh County, Oklahoma",091,90520,40
1581.0,1516.0,22.0,16.0,27.0,0.0,"Hitchita-Pierce CCD, McIntosh County, Oklahoma",091,91352,40
5267.0,4742.0,277.0,191.0,41.0,16.0,"Eufaula CCD, McIntosh County, Oklahoma",091,91079,40
979.0,912.0,18.0,48.0,0.0,1.0,"Hanna CCD, McIntosh County, Oklahoma",091,91248,40
7401.0,6509.0,379.0,316.0,197.0,0.0,"South Marshall CCD, Marshall County, Oklahoma",095,93081,40
8642.0,7585.0,411.0,352.0,290.0,4.0,"North Marshall CCD, Marshall County, Oklahoma",095,92210,40
4996.0,4384.0,211.0,306.0,95.0,0.0,"West Murray CCD, Murray County, Oklahoma",099,93770,40
8626.0,7254.0,1044.0,244.0,82.0,2.0,"East Murray CCD, Murray County, Oklahoma",099,90962,40
766.0,604.0,102.0,38.0,22.0,0.0,"Billings CCD, Noble County, Oklahoma",103,90234,40
7429.0,6286.0,482.0,337.0,312.0,12.0,"Perry CCD, Noble County, Oklahoma",103,92522,40
3132.0,2737.0,160.0,216.0,19.0,0.0,"East Noble CCD, Noble County, Oklahoma",103,90975,40
5955.0,4806.0,770.0,337.0,42.0,0.0,"Nowata CCD, Nowata County, Oklahoma",105,92353,40
2159.0,2045.0,52.0,24.0,38.0,0.0,"South Coffeyville-Wann CCD, Nowata County, Oklahoma",105,92912,40
1646.0,1434.0,130.0,39.0,43.0,0.0,"Lenapah-Delaware CCD, Nowata County, Oklahoma",105,91664,40
3391.0,3039.0,191.0,47.0,111.0,3.0,"Wyandotte CCD, Ottawa County, Oklahoma",115,93913,40
19525.0,16335.0,1980.0,652.0,528.0,30.0,"Miami CCD, Ottawa County, Oklahoma",115,91846,40
4314.0,3549.0,262.0,342.0,161.0,0.0,"Afton-Fairland CCD, Ottawa County, Oklahoma",115,90039,40
5026.0,4169.0,497.0,292.0,62.0,6.0,"Chelsea CCD, Rogers County, Oklahoma",131,90533,40
44026.0,37904.0,3275.0,2228.0,583.0,36.0,"Claremore CCD, Rogers County, Oklahoma",131,90585,40
6644.0,6028.0,281.0,204.0,87.0,44.0,"Inola CCD, Rogers County, Oklahoma",131,91482,40
26008.0,22789.0,1091.0,1618.0,452.0,58.0,"Catoosa CCD, Rogers County, Oklahoma",131,90468,40
9280.0,7845.0,989.0,156.0,282.0,8.0,"Roland CCD, Sequoyah County, Oklahoma",135,92678,40
10216.0,8597.0,998.0,165.0,456.0,0.0,"Muldrow CCD, Sequoyah County, Oklahoma",135,91911,40
4972.0,4459.0,322.0,96.0,95.0,0.0,"Sallisaw North CCD, Sequoyah County, Oklahoma",135,92730,40
7912.0,6916.0,436.0,461.0,99.0,0.0,"Vian CCD, Sequoyah County, Oklahoma",135,93445,40
8457.0,6541.0,1311.0,281.0,289.0,35.0,"Sallisaw CCD, Sequoyah County, Oklahoma",135,92717,40
55956.0,49158.0,1754.0,4070.0,901.0,73.0,"Coweta CCD, Wagoner County, Oklahoma",145,90676,40
16811.0,13438.0,1923.0,1189.0,215.0,46.0,"Wagoner CCD, Wagoner County, Oklahoma",145,93497,40
3319.0,3049.0,124.0,128.0,18.0,0.0,"South Wagoner CCD, Wagoner County, Oklahoma",145,93120,40
783.0,718.0,15.0,19.0,31.0,0.0,"Carmen CCD, Alfalfa County, Oklahoma",003,90429,40
803.0,653.0,31.0,5.0,114.0,0.0,"North Alfalfa CCD, Alfalfa County, Oklahoma",003,92015,40
2147.0,1763.0,191.0,108.0,74.0,11.0,"Cherokee CCD, Alfalfa County, Oklahoma",003,90546,40
2105.0,1763.0,79.0,254.0,9.0,0.0,"Helena CCD, Alfalfa County, Oklahoma",003,91313,40
1879.0,1488.0,261.0,68.0,62.0,0.0,"South Woods CCD, Woods County, Oklahoma",151,93198,40
6573.0,4934.0,628.0,704.0,297.0,10.0,"Alva CCD, Woods County, Oklahoma",151,90091,40
449.0,394.0,22.0,2.0,31.0,0.0,"West Woods CCD, Woods County, Oklahoma",151,93809,40
2763.0,2348.0,260.0,111.0,44.0,0.0,"Cyril-Cement CCD, Caddo County, Oklahoma",015,90728,40
1715.0,1570.0,52.0,71.0,16.0,6.0,"Hydro CCD, Caddo County, Oklahoma",015,91456,40
6523.0,5546.0,364.0,373.0,183.0,57.0,"Binger-Hinton CCD, Caddo County, Oklahoma",015,90247,40
1494.0,1312.0,77.0,105.0,0.0,0.0,"Fort Cobb CCD, Caddo County, Oklahoma",015,91131,40
10624.0,9445.0,667.0,356.0,156.0,0.0,"Anadarko CCD, Caddo County, Oklahoma",015,90117,40
2544.0,2352.0,120.0,46.0,26.0,0.0,"Apache CCD, Caddo County, Oklahoma",015,90143,40
3434.0,2816.0,439.0,139.0,26.0,14.0,"Carnegie CCD, Caddo County, Oklahoma",015,90442,40
2956.0,2609.0,228.0,109.0,6.0,4.0,"Lexington CCD, Cleveland County, Oklahoma",027,91677,40
22112.0,19601.0,1095.0,1070.0,334.0,12.0,"East Cleveland CCD, Cleveland County, Oklahoma",027,90858,40
