B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,county,county subdivision,state
3521.0,3269.0,115.0,3.0,117.0,17.0,"Little Compton town, Newport County, Rhode Island",005,42400,44
15996.0,13253.0,1138.0,92.0,1226.0,287.0,"Middletown town, Newport County, Rhode Island",005,45460,44
24539.0,17245.0,2088.0,704.0,3973.0,529.0,"Newport city, Newport County, Rhode Island",005,49960,44
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Newport County, Rhode Island",005,00000,44
5467.0,4823.0,201.0,117.0,232.0,94.0,"Jamestown town, Newport County, Rhode Island",005,36820,44
17267.0,15483.0,785.0,248.0,709.0,42.0,"Portsmouth town, Newport County, Rhode Island",005,57880,44
15766.0,14713.0,351.0,231.0,449.0,22.0,"Tiverton town, Newport County, Rhode Island",005,70880,44
80279.0,72194.0,3756.0,2690.0,1543.0,96.0,"Warwick city, Kent County, Rhode Island",003,74300,44
34534.0,31235.0,1559.0,1166.0,484.0,90.0,"Coventry town, Kent County, Rhode Island",003,18640,44
28354.0,24187.0,2404.0,1268.0,435.0,60.0,"West Warwick town, Kent County, Rhode Island",003,78440,44
6092.0,5469.0,143.0,331.0,98.0,51.0,"West Greenwich town, Kent County, Rhode Island",003,77720,44
13065.0,12077.0,566.0,159.0,256.0,7.0,"East Greenwich town, Kent County, Rhode Island",003,22240,44
34190.0,32605.0,1149.0,2.0,374.0,60.0,"Cumberland town, Providence County, Rhode Island",007,20080,44
41112.0,36294.0,2784.0,303.0,1311.0,420.0,"Woonsocket city, Providence County, Rhode Island",007,80780,44
32073.0,28696.0,2239.0,236.0,683.0,219.0,"North Providence town, Providence County, Rhode Island",007,51760,44
21391.0,19574.0,1319.0,159.0,298.0,41.0,"Lincoln town, Providence County, Rhode Island",007,41500,44
46904.0,40393.0,4637.0,606.0,901.0,367.0,"East Providence city, Providence County, Rhode Island",007,22960,44
9839.0,9192.0,439.0,67.0,141.0,0.0,"Glocester town, Providence County, Rhode Island",007,30340,44
12193.0,10688.0,1285.0,40.0,142.0,38.0,"North Smithfield town, Providence County, Rhode Island",007,52480,44
18976.0,15432.0,2614.0,203.0,577.0,150.0,"Central Falls city, Providence County, Rhode Island",007,14140,44
21507.0,19500.0,784.0,126.0,960.0,137.0,"Smithfield town, Providence County, Rhode Island",007,66200,44
70975.0,60610.0,7619.0,441.0,1809.0,496.0,"Pawtucket city, Providence County, Rhode Island",007,54640,44
177277.0,140712.0,22461.0,1458.0,9374.0,3272.0,"Providence city, Providence County, Rhode Island",007,59000,44
4659.0,4519.0,105.0,16.0,9.0,10.0,"Foster town, Providence County, Rhode Island",007,27460,44
28975.0,26530.0,1955.0,136.0,337.0,17.0,"Johnston town, Providence County, Rhode Island",007,37720,44
10523.0,10174.0,252.0,97.0,0.0,0.0,"Scituate town, Providence County, Rhode Island",007,64220,44
16251.0,14348.0,1417.0,117.0,318.0,51.0,"Burrillville town, Providence County, Rhode Island",007,11800,44
80046.0,71472.0,5719.0,1363.0,1232.0,260.0,"Cranston city, Providence County, Rhode Island",007,19180,44
16079.0,14833.0,391.0,358.0,390.0,107.0,"Barrington town, Bristol County, Rhode Island",001,05140,44
10428.0,8607.0,1015.0,367.0,439.0,0.0,"Warren town, Bristol County, Rhode Island",001,73760,44
22201.0,19159.0,1408.0,438.0,1133.0,63.0,"Bristol town, Bristol County, Rhode Island",001,09280,44
22355.0,19983.0,1287.0,157.0,817.0,111.0,"Westerly town, Washington County, Rhode Island",009,77000,44
25940.0,23376.0,1131.0,769.0,620.0,44.0,"North Kingstown town, Washington County, Rhode Island",009,51580,44
30523.0,25722.0,1248.0,1301.0,2111.0,141.0,"South Kingstown town, Washington County, Rhode Island",009,67460,44
8112.0,7758.0,213.0,85.0,56.0,0.0,"Hopkinton town, Washington County, Rhode Island",009,35380,44
7496.0,7074.0,249.0,137.0,36.0,0.0,"Richmond town, Washington County, Rhode Island",009,61160,44
6761.0,5839.0,416.0,244.0,256.0,6.0,"Exeter town, Washington County, Rhode Island",009,25300,44
15510.0,12405.0,1911.0,501.0,651.0,42.0,"Narragansett town, Washington County, Rhode Island",009,48340,44
822.0,788.0,18.0,8.0,4.0,4.0,"New Shoreham town, Washington County, Rhode Island",009,50500,44
7701.0,7017.0,423.0,169.0,92.0,0.0,"Charlestown town, Washington County, Rhode Island",009,14500,44
