B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
342.0,319.0,9.0,11.0,0.0,3.0,"Sonora CCD, Tuolumne County, California",109,93080,06
65.0,63.0,2.0,0.0,0.0,0.0,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
115.0,115.0,0.0,0.0,0.0,0.0,"Escalon CCD, San Joaquin County, California",077,90900,06
3269.0,2693.0,321.0,210.0,0.0,45.0,"Thornton CCD, San Joaquin County, California",077,93340,06
64.0,64.0,0.0,0.0,0.0,0.0,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
260.0,215.0,12.0,0.0,33.0,0.0,"Lockeford CCD, San Joaquin County, California",077,91690,06
9098.0,7974.0,731.0,118.0,0.0,275.0,"Lodi CCD, San Joaquin County, California",077,91700,06
62869.0,52810.0,6495.0,2213.0,395.0,956.0,"Stockton CCD, San Joaquin County, California",077,93240,06
12422.0,10245.0,826.0,938.0,16.0,397.0,"Manteca CCD, San Joaquin County, California",077,91870,06
367.0,306.0,41.0,7.0,13.0,0.0,"Ripon CCD, San Joaquin County, California",077,92620,06
19534.0,16564.0,840.0,1580.0,121.0,429.0,"Tracy CCD, San Joaquin County, California",077,93400,06
185.0,185.0,0.0,0.0,0.0,0.0,"Sutter Creek-Plymouth CCD, Amador County, California",005,93300,06
152.0,77.0,75.0,0.0,0.0,0.0,"Jackson CCD, Amador County, California",005,91430,06
120.0,103.0,0.0,17.0,0.0,0.0,"Pine Grove-Silver Lake CCD, Amador County, California",005,92470,06
125.0,98.0,4.0,23.0,0.0,0.0,"Ione CCD, Amador County, California",005,91410,06
87.0,43.0,0.0,44.0,0.0,0.0,"Dos Palos CCD, Merced County, California",047,90720,06
57.0,51.0,6.0,0.0,0.0,0.0,"Planada-Le Grand CCD, Merced County, California",047,92500,06
1192.0,1020.0,16.0,147.0,1.0,8.0,"Los Banos CCD, Merced County, California",047,91760,06
12431.0,9985.0,997.0,994.0,85.0,370.0,"Merced CCD, Merced County, California",047,91960,06
0.0,0.0,0.0,0.0,0.0,0.0,"Snelling CCD, Merced County, California",047,93050,06
