B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
55.0,31.0,24.0,0.0,0.0,0.0,"Torrington CCD, Goshen County, Wyoming",015,93465,56
0.0,0.0,0.0,0.0,0.0,0.0,"Goshen Hole CCD, Goshen County, Wyoming",015,91430,56
3.0,3.0,0.0,0.0,0.0,0.0,"Rawhide Creek CCD, Goshen County, Wyoming",015,92585,56
23.0,23.0,0.0,0.0,0.0,0.0,"Evanston CCD, Uinta County, Wyoming",041,91155,56
2.0,2.0,0.0,0.0,0.0,0.0,"Bridger Valley CCD, Uinta County, Wyoming",041,90440,56
0.0,0.0,0.0,0.0,0.0,0.0,"Ten Sleep CCD, Washakie County, Wyoming",043,93300,56
11.0,11.0,0.0,0.0,0.0,0.0,"Worland CCD, Washakie County, Wyoming",043,93795,56
0.0,0.0,0.0,0.0,0.0,0.0,"Thermopolis West CCD, Hot Springs County, Wyoming",017,93410,56
0.0,0.0,0.0,0.0,0.0,0.0,"Thermopolis East CCD, Hot Springs County, Wyoming",017,93355,56
4.0,4.0,0.0,0.0,0.0,0.0,"Dubois CCD, Fremont County, Wyoming",013,91045,56
13.0,13.0,0.0,0.0,0.0,0.0,"Lander CCD, Fremont County, Wyoming",013,92035,56
5.0,5.0,0.0,0.0,0.0,0.0,"Shoshoni CCD, Fremont County, Wyoming",013,93080,56
5.0,5.0,0.0,0.0,0.0,0.0,"Pinedale CCD, Sublette County, Wyoming",035,92475,56
4.0,4.0,0.0,0.0,0.0,0.0,"Boulder CCD, Sublette County, Wyoming",035,90385,56
1.0,0.0,0.0,0.0,0.0,1.0,"Big Piney CCD, Sublette County, Wyoming",035,90330,56
34.0,0.0,0.0,0.0,34.0,0.0,"Upton CCD, Weston County, Wyoming",045,93520,56
271.0,266.0,0.0,5.0,0.0,0.0,"Newcastle CCD, Weston County, Wyoming",045,92255,56
10.0,7.0,0.0,3.0,0.0,0.0,"Central Big Horn CCD, Big Horn County, Wyoming",003,90688,56
34.0,34.0,0.0,0.0,0.0,0.0,"North Big Horn CCD, Big Horn County, Wyoming",003,92393,56
31.0,28.0,0.0,0.0,0.0,3.0,"Wind River Reservation CCD, Fremont County, Wyoming",013,93742,56
0.0,0.0,0.0,0.0,0.0,0.0,"Wind River Reservation CCD, Hot Springs County, Wyoming",017,93744,56
4.0,0.0,0.0,3.0,0.0,1.0,"South Big Horn CCD, Big Horn County, Wyoming",003,93142,56
0.0,0.0,0.0,0.0,0.0,0.0,"East Niobrara CCD, Niobrara County, Wyoming",027,91128,56
17.0,14.0,0.0,3.0,0.0,0.0,"West Niobrara CCD, Niobrara County, Wyoming",027,93603,56
103.0,88.0,0.0,14.0,1.0,0.0,"Gillette South CCD, Campbell County, Wyoming",005,91265,56
126.0,123.0,0.0,0.0,3.0,0.0,"Gillette North CCD, Campbell County, Wyoming",005,91210,56
32.0,24.0,0.0,0.0,8.0,0.0,"Afton CCD, Lincoln County, Wyoming",023,90055,56
0.0,0.0,0.0,0.0,0.0,0.0,"Kemmerer West CCD, Lincoln County, Wyoming",023,91980,56
17.0,10.0,7.0,0.0,0.0,0.0,"Kemmerer East CCD, Lincoln County, Wyoming",023,91925,56
0.0,0.0,0.0,0.0,0.0,0.0,"Kaycee CCD, Johnson County, Wyoming",019,91870,56
0.0,0.0,0.0,0.0,0.0,0.0,"Buffalo CCD, Johnson County, Wyoming",019,90495,56
