B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
393.0,323.0,59.0,7.0,3.0,1.0,"Gloucester city, Essex County, Massachusetts",009,26150,25
79.0,6.0,17.0,0.0,8.0,48.0,"Hamilton town, Essex County, Massachusetts",009,27900,25
10.0,6.0,4.0,0.0,0.0,0.0,"Bernardston town, Franklin County, Massachusetts",011,05560,25
70.0,23.0,47.0,0.0,0.0,0.0,"Gill town, Franklin County, Massachusetts",011,25730,25
6.0,0.0,6.0,0.0,0.0,0.0,"Hawley town, Franklin County, Massachusetts",011,29475,25
15.0,11.0,4.0,0.0,0.0,0.0,"Shelburne town, Franklin County, Massachusetts",011,61135,25
13.0,13.0,0.0,0.0,0.0,0.0,"Leverett town, Franklin County, Massachusetts",011,35180,25
0.0,0.0,0.0,0.0,0.0,0.0,"Heath town, Franklin County, Massachusetts",011,29650,25
0.0,0.0,0.0,0.0,0.0,0.0,"Leyden town, Franklin County, Massachusetts",011,35285,25
13.0,6.0,0.0,0.0,1.0,6.0,"Northfield town, Franklin County, Massachusetts",011,47835,25
51.0,51.0,0.0,0.0,0.0,0.0,"Ware town, Hampshire County, Massachusetts",015,72880,25
720.0,519.0,102.0,65.0,34.0,0.0,"Northampton city, Hampshire County, Massachusetts",015,46330,25
9.0,9.0,0.0,0.0,0.0,0.0,"Plainfield town, Hampshire County, Massachusetts",015,54030,25
0.0,0.0,0.0,0.0,0.0,0.0,"Westhampton town, Hampshire County, Massachusetts",015,76380,25
3.0,3.0,0.0,0.0,0.0,0.0,"Worthington town, Hampshire County, Massachusetts",015,82175,25
2382.0,1299.0,639.0,256.0,126.0,62.0,"Amherst town, Hampshire County, Massachusetts",015,01325,25
0.0,0.0,0.0,0.0,0.0,0.0,"Granby town, Hampshire County, Massachusetts",015,26535,25
0.0,0.0,0.0,0.0,0.0,0.0,"Goshen town, Hampshire County, Massachusetts",015,26290,25
0.0,0.0,0.0,0.0,0.0,0.0,"Chesterfield town, Hampshire County, Massachusetts",015,13590,25
387.0,134.0,133.0,0.0,20.0,100.0,"Hadley town, Hampshire County, Massachusetts",015,27690,25
40.0,40.0,0.0,0.0,0.0,0.0,"Huntington town, Hampshire County, Massachusetts",015,31785,25
7.0,0.0,0.0,7.0,0.0,0.0,"Pelham town, Hampshire County, Massachusetts",015,52560,25
485.0,317.0,70.0,17.0,33.0,48.0,"South Hadley town, Hampshire County, Massachusetts",015,64145,25
56.0,55.0,0.0,1.0,0.0,0.0,"Belchertown town, Hampshire County, Massachusetts",015,04825,25
0.0,0.0,0.0,0.0,0.0,0.0,"Middlefield town, Hampshire County, Massachusetts",015,40990,25
0.0,0.0,0.0,0.0,0.0,0.0,"Southampton town, Hampshire County, Massachusetts",015,62745,25
37.0,37.0,0.0,0.0,0.0,0.0,"Cummington town, Hampshire County, Massachusetts",015,16040,25
7.0,7.0,0.0,0.0,0.0,0.0,"Williamsburg town, Hampshire County, Massachusetts",015,79915,25
57.0,54.0,2.0,1.0,0.0,0.0,"Hatfield town, Hampshire County, Massachusetts",015,29265,25
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Nantucket County, Massachusetts",019,00000,25
909.0,671.0,156.0,30.0,28.0,24.0,"Nantucket town, Nantucket County, Massachusetts",019,43790,25
3227.0,2726.0,187.0,193.0,96.0,25.0,"Revere city, Suffolk County, Massachusetts",025,56585,25
2726.0,2303.0,286.0,108.0,20.0,9.0,"Chelsea city, Suffolk County, Massachusetts",025,13205,25
166779.0,144945.0,14586.0,3727.0,2083.0,1438.0,"Boston city, Suffolk County, Massachusetts",025,07000,25
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Suffolk County, Massachusetts",025,00000,25
182.0,166.0,13.0,0.0,3.0,0.0,"Chatham town, Barnstable County, Massachusetts",001,12995,25
110.0,110.0,0.0,0.0,0.0,0.0,"Eastham town, Barnstable County, Massachusetts",001,19295,25
1087.0,854.0,146.0,18.0,9.0,60.0,"Falmouth town, Barnstable County, Massachusetts",001,23105,25
516.0,458.0,50.0,0.0,8.0,0.0,"Bourne town, Barnstable County, Massachusetts",001,07175,25
519.0,253.0,253.0,0.0,0.0,13.0,"Dennis town, Barnstable County, Massachusetts",001,16775,25
353.0,333.0,0.0,0.0,20.0,0.0,"Mashpee town, Barnstable County, Massachusetts",001,39100,25
20.0,20.0,0.0,0.0,0.0,0.0,"Truro town, Barnstable County, Massachusetts",001,70605,25
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Barnstable County, Massachusetts",001,00000,25
70.0,42.0,20.0,8.0,0.0,0.0,"Wellfleet town, Barnstable County, Massachusetts",001,74385,25
198.0,198.0,0.0,0.0,0.0,0.0,"Orleans town, Barnstable County, Massachusetts",001,51440,25
67.0,54.0,0.0,5.0,8.0,0.0,"Brewster town, Barnstable County, Massachusetts",001,07980,25
10.0,1.0,0.0,0.0,9.0,0.0,"Sandwich town, Barnstable County, Massachusetts",001,59735,25
50.0,42.0,8.0,0.0,0.0,0.0,"Provincetown town, Barnstable County, Massachusetts",001,55500,25
238.0,238.0,0.0,0.0,0.0,0.0,"Harwich town, Barnstable County, Massachusetts",001,29020,25
454.0,421.0,25.0,8.0,0.0,0.0,"Yarmouth town, Barnstable County, Massachusetts",001,82525,25
0.0,0.0,0.0,0.0,0.0,0.0,"Gosnold town, Dukes County, Massachusetts",007,26325,25
27.0,24.0,0.0,0.0,3.0,0.0,"Chilmark town, Dukes County, Massachusetts",007,13800,25
32.0,25.0,7.0,0.0,0.0,0.0,"Edgartown town, Dukes County, Massachusetts",007,21150,25
423.0,335.0,23.0,0.0,65.0,0.0,"Tisbury town, Dukes County, Massachusetts",007,69940,25
18.0,18.0,0.0,0.0,0.0,0.0,"West Tisbury town, Dukes County, Massachusetts",007,78235,25
170.0,153.0,17.0,0.0,0.0,0.0,"Oak Bluffs town, Dukes County, Massachusetts",007,50390,25
2.0,2.0,0.0,0.0,0.0,0.0,"Aquinnah town, Dukes County, Massachusetts",007,01585,25
0.0,0.0,0.0,0.0,0.0,0.0,"Dunstable town, Middlesex County, Massachusetts",017,17825,25
195.0,195.0,0.0,0.0,0.0,0.0,"Holliston town, Middlesex County, Massachusetts",017,30700,25
1058.0,955.0,56.0,14.0,33.0,0.0,"Marlborough city, Middlesex County, Massachusetts",017,38715,25
514.0,447.0,23.0,15.0,0.0,29.0,"Ashland town, Middlesex County, Massachusetts",017,02130,25
170.0,137.0,33.0,0.0,0.0,0.0,"Reading town, Middlesex County, Massachusetts",017,56130,25
5179.0,4200.0,471.0,165.0,261.0,82.0,"Somerville city, Middlesex County, Massachusetts",017,62535,25
30.0,21.0,9.0,0.0,0.0,0.0,"Ashby town, Middlesex County, Massachusetts",017,01955,25
49.0,0.0,16.0,19.0,14.0,0.0,"Boxborough town, Middlesex County, Massachusetts",017,07350,25
4507.0,4039.0,266.0,164.0,16.0,22.0,"Framingham town, Middlesex County, Massachusetts",017,24925,25
7985.0,5736.0,1355.0,261.0,281.0,352.0,"Lowell city, Middlesex County, Massachusetts",017,37000,25
91.0,87.0,2.0,2.0,0.0,0.0,"Wayland town, Middlesex County, Massachusetts",017,73790,25
34.0,34.0,0.0,0.0,0.0,0.0,"Carlisle town, Middlesex County, Massachusetts",017,11525,25
1381.0,812.0,441.0,92.0,36.0,0.0,"Billerica town, Middlesex County, Massachusetts",017,05805,25
258.0,241.0,7.0,10.0,0.0,0.0,"Hudson town, Middlesex County, Massachusetts",017,31540,25
434.0,434.0,0.0,0.0,0.0,0.0,"Maynard town, Middlesex County, Massachusetts",017,39625,25
16.0,16.0,0.0,0.0,0.0,0.0,"Sherborn town, Middlesex County, Massachusetts",017,61380,25
447.0,442.0,5.0,0.0,0.0,0.0,"Stoneham town, Middlesex County, Massachusetts",017,67665,25
623.0,557.0,21.0,0.0,45.0,0.0,"Wilmington town, Middlesex County, Massachusetts",017,80230,25
376.0,358.0,18.0,0.0,0.0,0.0,"Ayer town, Middlesex County, Massachusetts",017,03005,25
1339.0,1239.0,38.0,21.0,0.0,41.0,"Burlington town, Middlesex County, Massachusetts",017,09840,25
8755.0,7322.0,1040.0,268.0,71.0,54.0,"Everett city, Middlesex County, Massachusetts",017,21990,25
240.0,239.0,1.0,0.0,0.0,0.0,"Lincoln town, Middlesex County, Massachusetts",017,35425,25
147.0,147.0,0.0,0.0,0.0,0.0,"Sudbury town, Middlesex County, Massachusetts",017,68260,25
66.0,66.0,0.0,0.0,0.0,0.0,"Tyngsborough town, Middlesex County, Massachusetts",017,71025,25
325.0,271.0,46.0,2.0,6.0,0.0,"Wakefield town, Middlesex County, Massachusetts",017,72215,25
2377.0,2286.0,9.0,54.0,12.0,16.0,"Woburn city, Middlesex County, Massachusetts",017,81035,25
238.0,170.0,26.0,15.0,21.0,6.0,"Weston town, Middlesex County, Massachusetts",017,77255,25
565.0,557.0,0.0,8.0,0.0,0.0,"Tewksbury town, Middlesex County, Massachusetts",017,69415,25
112.0,112.0,0.0,0.0,0.0,0.0,"Westford town, Middlesex County, Massachusetts",017,76135,25
421.0,270.0,31.0,45.0,75.0,0.0,"Belmont town, Middlesex County, Massachusetts",017,05070,25
1418.0,1163.0,151.0,0.0,72.0,32.0,"Dracut town, Middlesex County, Massachusetts",017,17475,25
68.0,8.0,50.0,0.0,10.0,0.0,"Groton town, Middlesex County, Massachusetts",017,27480,25
271.0,261.0,7.0,1.0,0.0,2.0,"Lexington town, Middlesex County, Massachusetts",017,35215,25
1.0,0.0,1.0,0.0,0.0,0.0,"Stow town, Middlesex County, Massachusetts",017,68050,25
266.0,263.0,3.0,0.0,0.0,0.0,"Chelmsford town, Middlesex County, Massachusetts",017,13135,25
5008.0,4430.0,261.0,202.0,41.0,74.0,"Medford city, Middlesex County, Massachusetts",017,39835,25
633.0,518.0,75.0,40.0,0.0,0.0,"Shirley town, Middlesex County, Massachusetts",017,61590,25
983.0,609.0,229.0,60.0,26.0,59.0,"Melrose city, Middlesex County, Massachusetts",017,40115,25
198.0,125.0,64.0,0.0,9.0,0.0,"North Reading town, Middlesex County, Massachusetts",017,48955,25
4034.0,3072.0,364.0,254.0,91.0,253.0,"Waltham city, Middlesex County, Massachusetts",017,72600,25
564.0,320.0,219.0,24.0,1.0,0.0,"Acton town, Middlesex County, Massachusetts",017,00380,25
627.0,506.0,15.0,35.0,23.0,48.0,"Natick town, Middlesex County, Massachusetts",017,43895,25
801.0,654.0,108.0,1.0,38.0,0.0,"Arlington town, Middlesex County, Massachusetts",017,01605,25
651.0,400.0,87.0,125.0,39.0,0.0,"Concord town, Middlesex County, Massachusetts",017,15060,25
64.0,61.0,0.0,3.0,0.0,0.0,"Littleton town, Middlesex County, Massachusetts",017,35950,25
141.0,48.0,90.0,2.0,1.0,0.0,"Pepperell town, Middlesex County, Massachusetts",017,52805,25
158.0,103.0,0.0,21.0,33.0,1.0,"Winchester town, Middlesex County, Massachusetts",017,80510,25
450.0,449.0,1.0,0.0,0.0,0.0,"Bedford town, Middlesex County, Massachusetts",017,04615,25
11920.0,10315.0,919.0,261.0,262.0,163.0,"Cambridge city, Middlesex County, Massachusetts",017,11000,25
332.0,307.0,14.0,4.0,7.0,0.0,"Hopkinton town, Middlesex County, Massachusetts",017,31085,25
31.0,31.0,0.0,0.0,0.0,0.0,"Townsend town, Middlesex County, Massachusetts",017,70360,25
10342.0,9070.0,798.0,123.0,45.0,306.0,"Malden city, Middlesex County, Massachusetts",017,37875,25
2875.0,2310.0,110.0,163.0,272.0,20.0,"Newton city, Middlesex County, Massachusetts",017,45560,25
0.0,0.0,0.0,0.0,0.0,0.0,"Hinsdale town, Berkshire County, Massachusetts",003,30315,25
0.0,0.0,0.0,0.0,0.0,0.0,"Mount Washington town, Berkshire County, Massachusetts",003,43300,25
0.0,0.0,0.0,0.0,0.0,0.0,"Cheshire town, Berkshire County, Massachusetts",003,13345,25
10.0,10.0,0.0,0.0,0.0,0.0,"Florida town, Berkshire County, Massachusetts",003,24120,25
9.0,9.0,0.0,0.0,0.0,0.0,"Hancock town, Berkshire County, Massachusetts",003,28180,25
40.0,36.0,0.0,4.0,0.0,0.0,"Savoy town, Berkshire County, Massachusetts",003,60225,25
54.0,54.0,0.0,0.0,0.0,0.0,"West Stockbridge town, Berkshire County, Massachusetts",003,77990,25
391.0,161.0,94.0,31.0,75.0,30.0,"Williamstown town, Berkshire County, Massachusetts",003,79985,25
5.0,5.0,0.0,0.0,0.0,0.0,"Monterey town, Berkshire County, Massachusetts",003,42460,25
7.0,7.0,0.0,0.0,0.0,0.0,"New Ashford town, Berkshire County, Massachusetts",003,44385,25
0.0,0.0,0.0,0.0,0.0,0.0,"Sheffield town, Berkshire County, Massachusetts",003,61065,25
16.0,12.0,0.0,0.0,4.0,0.0,"Orange town, Franklin County, Massachusetts",011,51265,25
0.0,0.0,0.0,0.0,0.0,0.0,"Warwick town, Franklin County, Massachusetts",011,73265,25
3.0,0.0,0.0,0.0,0.0,3.0,"Whately town, Franklin County, Massachusetts",011,79110,25
119.0,105.0,0.0,5.0,9.0,0.0,"Montague town, Franklin County, Massachusetts",011,42285,25
