B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Sequatchie County, Tennessee",153,90534,47
26.0,22.0,4.0,0.0,0.0,0.0,"District 4, Sequatchie County, Tennessee",153,90724,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 7, Scott County, Tennessee",151,91292,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 2, Sequatchie County, Tennessee",153,90344,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Sequatchie County, Tennessee",153,90914,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Sequatchie County, Tennessee",153,91104,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 4, Jackson County, Tennessee",087,90658,47
14.0,10.0,4.0,0.0,0.0,0.0,"District 1, Jackson County, Tennessee",087,90088,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 7, Macon County, Tennessee",111,91252,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Macon County, Tennessee",111,91062,47
28.0,14.0,14.0,0.0,0.0,0.0,"District 4, Macon County, Tennessee",111,90682,47
62.0,62.0,0.0,0.0,0.0,0.0,"District 5, Macon County, Tennessee",111,90872,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 8, Macon County, Tennessee",111,91442,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 9, Macon County, Tennessee",111,91632,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 10, Macon County, Tennessee",111,91822,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Bledsoe County, Tennessee",007,90768,47
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Bledsoe County, Tennessee",007,90958,47
1056.0,998.0,42.0,1.0,15.0,0.0,"District 1, Blount County, Tennessee",009,90010,47
314.0,313.0,1.0,0.0,0.0,0.0,"District 2, Blount County, Tennessee",009,90200,47
343.0,253.0,90.0,0.0,0.0,0.0,"District 3, Blount County, Tennessee",009,90390,47
297.0,280.0,17.0,0.0,0.0,0.0,"District 4, Blount County, Tennessee",009,90580,47
226.0,167.0,0.0,48.0,11.0,0.0,"District 5, Blount County, Tennessee",009,90770,47
72.0,72.0,0.0,0.0,0.0,0.0,"District 6, Blount County, Tennessee",009,90960,47
