B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
866.0,595.0,210.0,51.0,10.0,0.0,"Gainesville CCD, Cooke County, Texas",097,91435,48
159.0,82.0,0.0,77.0,0.0,0.0,"Raymondville CCD, Willacy County, Texas",489,93205,48
0.0,0.0,0.0,0.0,0.0,0.0,"Valley View CCD, Cooke County, Texas",097,93995,48
0.0,0.0,0.0,0.0,0.0,0.0,"Gainesville Southeast CCD, Cooke County, Texas",097,91440,48
96.0,52.0,15.0,29.0,0.0,0.0,"Callisburg CCD, Cooke County, Texas",097,90580,48
20.0,0.0,0.0,13.0,7.0,0.0,"Muenster CCD, Cooke County, Texas",097,92680,48
140.0,76.0,43.0,21.0,0.0,0.0,"Crosbyton CCD, Crosby County, Texas",107,90905,48
11.0,11.0,0.0,0.0,0.0,0.0,"Ralls CCD, Crosby County, Texas",107,93185,48
81.0,81.0,0.0,0.0,0.0,0.0,"Lorenzo CCD, Crosby County, Texas",107,92290,48
3.0,3.0,0.0,0.0,0.0,0.0,"Lamesa Southwest CCD, Dawson County, Texas",115,92125,48
0.0,0.0,0.0,0.0,0.0,0.0,"Lamesa Northwest CCD, Dawson County, Texas",115,92115,48
782.0,535.0,15.0,232.0,0.0,0.0,"Lamesa CCD, Dawson County, Texas",115,92105,48
0.0,0.0,0.0,0.0,0.0,0.0,"Lamesa Southeast CCD, Dawson County, Texas",115,92120,48
0.0,0.0,0.0,0.0,0.0,0.0,"Lamesa Northeast CCD, Dawson County, Texas",115,92110,48
39.0,39.0,0.0,0.0,0.0,0.0,"Roby CCD, Fisher County, Texas",151,93275,48
72.0,72.0,0.0,0.0,0.0,0.0,"Rotan CCD, Fisher County, Texas",151,93340,48
0.0,0.0,0.0,0.0,0.0,0.0,"McCaulley CCD, Fisher County, Texas",151,92350,48
0.0,0.0,0.0,0.0,0.0,0.0,"Realitos-Concepcion CCD, Duval County, Texas",131,93215,48
0.0,0.0,0.0,0.0,0.0,0.0,"Benavides CCD, Duval County, Texas",131,90260,48
120.0,37.0,0.0,83.0,0.0,0.0,"San Diego CCD, Duval County, Texas",131,93420,48
45.0,45.0,0.0,0.0,0.0,0.0,"Freer CCD, Duval County, Texas",131,91405,48
377.0,348.0,0.0,23.0,6.0,0.0,"Old River CCD, Burleson County, Texas",051,92890,48
534.0,508.0,0.0,26.0,0.0,0.0,"Somerville CCD, Burleson County, Texas",051,93610,48
1132.0,860.0,19.0,240.0,13.0,0.0,"Caldwell CCD, Burleson County, Texas",051,90570,48
104.0,104.0,0.0,0.0,0.0,0.0,"Cooks Point CCD, Burleson County, Texas",051,90825,48
0.0,0.0,0.0,0.0,0.0,0.0,"Blanco CCD, Blanco County, Texas",031,90330,48
76.0,75.0,0.0,1.0,0.0,0.0,"Johnson City CCD, Blanco County, Texas",031,91950,48
212.0,212.0,0.0,0.0,0.0,0.0,"Buna CCD, Jasper County, Texas",241,90520,48
4917.0,4138.0,545.0,223.0,11.0,0.0,"Jasper CCD, Jasper County, Texas",241,91920,48
702.0,668.0,19.0,5.0,10.0,0.0,"Kirbyville CCD, Jasper County, Texas",241,92040,48
2024.0,1955.0,51.0,18.0,0.0,0.0,"Nome-China CCD, Jefferson County, Texas",245,92770,48
55383.0,46923.0,6039.0,1967.0,368.0,86.0,"Beaumont CCD, Jefferson County, Texas",245,90230,48
89.0,88.0,0.0,0.0,0.0,1.0,"Sabine Pass CCD, Jefferson County, Texas",245,93385,48
4.0,4.0,0.0,0.0,0.0,0.0,"Brackettville CCD, Kinney County, Texas",271,90400,48
0.0,0.0,0.0,0.0,0.0,0.0,"Hereford West CCD, Deaf Smith County, Texas",117,91790,48
211.0,156.0,40.0,10.0,5.0,0.0,"Hereford East CCD, Deaf Smith County, Texas",117,91785,48
10213.0,7293.0,2144.0,575.0,150.0,51.0,"Galveston CCD, Galveston County, Texas",167,91445,48
450.0,439.0,7.0,4.0,0.0,0.0,"Borger CCD, Hutchinson County, Texas",233,90385,48
17.0,10.0,7.0,0.0,0.0,0.0,"Stinnett CCD, Hutchinson County, Texas",233,93750,48
485.0,313.0,0.0,118.0,0.0,54.0,"Dilley CCD, Frio County, Texas",163,91055,48
67.0,63.0,0.0,4.0,0.0,0.0,"Crane South CCD, Crane County, Texas",103,90885,48
145.0,104.0,9.0,32.0,0.0,0.0,"Crane North CCD, Crane County, Texas",103,90880,48
0.0,0.0,0.0,0.0,0.0,0.0,"Adamsville CCD, Lampasas County, Texas",281,90015,48
16.0,0.0,7.0,7.0,2.0,0.0,"Lometa CCD, Lampasas County, Texas",281,92255,48
605.0,573.0,19.0,10.0,3.0,0.0,"Lampasas CCD, Lampasas County, Texas",281,92130,48
0.0,0.0,0.0,0.0,0.0,0.0,"Rochelle CCD, McCulloch County, Texas",307,93280,48
0.0,0.0,0.0,0.0,0.0,0.0,"Melvin CCD, McCulloch County, Texas",307,92505,48
161.0,156.0,0.0,5.0,0.0,0.0,"Brady CCD, McCulloch County, Texas",307,90405,48
0.0,0.0,0.0,0.0,0.0,0.0,"Mason West CCD, Mason County, Texas",319,92450,48
9.0,9.0,0.0,0.0,0.0,0.0,"Bolivar Peninsula CCD, Galveston County, Texas",167,90370,48
24404.0,20369.0,2255.0,939.0,803.0,38.0,"Texas City-League City CCD, Galveston County, Texas",167,93880,48
5996.0,4721.0,925.0,350.0,0.0,0.0,"La Marque-Hitchcock CCD, Galveston County, Texas",167,92100,48
2243.0,1271.0,276.0,116.0,435.0,145.0,"El Paso North Central CCD, El Paso County, Texas",141,91225,48
18117.0,13031.0,2551.0,469.0,1419.0,647.0,"El Paso CCD, El Paso County, Texas",141,91215,48
3856.0,3049.0,186.0,226.0,317.0,78.0,"El Paso East CCD, El Paso County, Texas",141,91220,48
4163.0,2956.0,516.0,36.0,376.0,279.0,"El Paso Northwest CCD, El Paso County, Texas",141,91230,48
85.0,18.0,0.0,67.0,0.0,0.0,"Cotulla CCD, La Salle County, Texas",283,90870,48
15.0,0.0,0.0,7.0,0.0,8.0,"Encinal CCD, La Salle County, Texas",283,91240,48
0.0,0.0,0.0,0.0,0.0,0.0,"Miami CCD, Roberts County, Texas",393,92555,48
23.0,23.0,0.0,0.0,0.0,0.0,"West Terrell CCD, Terrell County, Texas",443,94175,48
0.0,0.0,0.0,0.0,0.0,0.0,"East Terrell CCD, Terrell County, Texas",443,91140,48
34.0,34.0,0.0,0.0,0.0,0.0,"Colmesneil-Chester CCD, Tyler County, Texas",457,90785,48
157.0,157.0,0.0,0.0,0.0,0.0,"Warren CCD, Tyler County, Texas",457,94075,48
2006.0,1608.0,161.0,226.0,11.0,0.0,"Woodville CCD, Tyler County, Texas",457,94285,48
150.0,78.0,72.0,0.0,0.0,0.0,"Spurger CCD, Tyler County, Texas",457,93710,48
0.0,0.0,0.0,0.0,0.0,0.0,"Sabinal CCD, Uvalde County, Texas",463,93375,48
62.0,56.0,4.0,2.0,0.0,0.0,"Uvalde CCD, Uvalde County, Texas",463,93980,48
151.0,94.0,45.0,12.0,0.0,0.0,"Shamrock CCD, Wheeler County, Texas",483,93545,48
11.0,2.0,9.0,0.0,0.0,0.0,"Wheeler CCD, Wheeler County, Texas",483,94190,48
