B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
33570.0,16929.0,16641.0,29483.0,14691.0,14792.0,2504.0,1322.0,1182.0,419.0,345.0,74.0,1040.0,447.0,593.0,124.0,124.0,0.0,"Marana CCD, Pima County, Arizona",019,92040,04
3663.0,1883.0,1780.0,3028.0,1515.0,1513.0,451.0,263.0,188.0,73.0,32.0,41.0,106.0,68.0,38.0,5.0,5.0,0.0,"Ajo CCD, Pima County, Arizona",019,90051,04
865332.0,426846.0,438486.0,673160.0,329032.0,344128.0,135828.0,67448.0,68380.0,16036.0,9177.0,6859.0,32067.0,16673.0,15394.0,8241.0,4516.0,3725.0,"Tucson CCD, Pima County, Arizona",019,93570,04
85522.0,40557.0,44965.0,74092.0,34867.0,39225.0,7322.0,3563.0,3759.0,726.0,446.0,280.0,3078.0,1557.0,1521.0,304.0,124.0,180.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
24018.0,14976.0,9042.0,19631.0,11983.0,7648.0,2534.0,1587.0,947.0,968.0,960.0,8.0,676.0,358.0,318.0,209.0,88.0,121.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
425110.0,209922.0,215188.0,342713.0,169752.0,172961.0,52218.0,25524.0,26694.0,6410.0,2864.0,3546.0,21007.0,10357.0,10650.0,2762.0,1425.0,1337.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
3189358.0,1579155.0,1610203.0,2617052.0,1291002.0,1326050.0,418428.0,209732.0,208696.0,27983.0,14320.0,13663.0,104289.0,52785.0,51504.0,21606.0,11316.0,10290.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
272528.0,132452.0,140076.0,235522.0,114684.0,120838.0,25361.0,11769.0,13592.0,1192.0,642.0,550.0,9364.0,4759.0,4605.0,1089.0,598.0,491.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
3827.0,1774.0,2053.0,3531.0,1618.0,1913.0,229.0,118.0,111.0,35.0,23.0,12.0,32.0,15.0,17.0,0.0,0.0,0.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
4535.0,2078.0,2457.0,4282.0,1936.0,2346.0,122.0,76.0,46.0,131.0,66.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
