B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
2597.0,1353.0,1244.0,2258.0,1207.0,1051.0,205.0,78.0,127.0,78.0,38.0,40.0,51.0,28.0,23.0,5.0,2.0,3.0,"Harrison township, Blackford County, Indiana",009,31630,18
25344.0,11984.0,13360.0,19992.0,9352.0,10640.0,2737.0,1451.0,1286.0,1500.0,705.0,795.0,1010.0,404.0,606.0,105.0,72.0,33.0,"Perry township, Vanderburgh County, Indiana",163,59166,18
280.0,194.0,86.0,280.0,194.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Union township, Vanderburgh County, Indiana",163,77696,18
8757.0,4340.0,4417.0,7765.0,3878.0,3887.0,712.0,343.0,369.0,135.0,64.0,71.0,122.0,55.0,67.0,23.0,0.0,23.0,"Scott township, Vanderburgh County, Indiana",163,68472,18
7642.0,3861.0,3781.0,7201.0,3739.0,3462.0,359.0,109.0,250.0,0.0,0.0,0.0,82.0,13.0,69.0,0.0,0.0,0.0,"German township, Vanderburgh County, Indiana",163,27486,18
67062.0,31373.0,35689.0,54778.0,25920.0,28858.0,7931.0,3432.0,4499.0,2150.0,973.0,1177.0,1992.0,938.0,1054.0,211.0,110.0,101.0,"Knight township, Vanderburgh County, Indiana",163,40212,18
29164.0,13867.0,15297.0,23860.0,11358.0,12502.0,4080.0,1905.0,2175.0,675.0,334.0,341.0,488.0,234.0,254.0,61.0,36.0,25.0,"Pigeon township, Vanderburgh County, Indiana",163,59670,18
7408.0,3512.0,3896.0,6703.0,3154.0,3549.0,390.0,185.0,205.0,238.0,124.0,114.0,77.0,49.0,28.0,0.0,0.0,0.0,"Licking township, Blackford County, Indiana",009,43650,18
1177.0,645.0,532.0,1051.0,533.0,518.0,68.0,54.0,14.0,48.0,48.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,"Jackson township, Blackford County, Indiana",009,36774,18
850.0,467.0,383.0,811.0,445.0,366.0,0.0,0.0,0.0,30.0,13.0,17.0,0.0,0.0,0.0,9.0,9.0,0.0,"Washington township, Blackford County, Indiana",009,80360,18
1926.0,930.0,996.0,1639.0,810.0,829.0,32.0,19.0,13.0,247.0,101.0,146.0,8.0,0.0,8.0,0.0,0.0,0.0,"Jefferson township, Carroll County, Indiana",015,37872,18
1208.0,592.0,616.0,1027.0,468.0,559.0,120.0,98.0,22.0,59.0,26.0,33.0,0.0,0.0,0.0,2.0,0.0,2.0,"Jackson township, Carroll County, Indiana",015,36828,18
2727.0,1343.0,1384.0,2530.0,1247.0,1283.0,62.0,35.0,27.0,114.0,54.0,60.0,21.0,7.0,14.0,0.0,0.0,0.0,"Monroe township, Carroll County, Indiana",015,50256,18
660.0,337.0,323.0,653.0,337.0,316.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rock Creek township, Carroll County, Indiana",015,65268,18
888.0,420.0,468.0,846.0,408.0,438.0,29.0,12.0,17.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,"Democrat township, Carroll County, Indiana",015,17686,18
466.0,241.0,225.0,430.0,219.0,211.0,0.0,0.0,0.0,36.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,"Madison township, Carroll County, Indiana",015,45900,18
696.0,368.0,328.0,601.0,289.0,312.0,0.0,0.0,0.0,44.0,35.0,9.0,51.0,44.0,7.0,0.0,0.0,0.0,"Adams township, Carroll County, Indiana",015,00316,18
585.0,287.0,298.0,585.0,287.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Liberty township, Carroll County, Indiana",015,43200,18
4523.0,2242.0,2281.0,4101.0,2015.0,2086.0,281.0,170.0,111.0,130.0,57.0,73.0,5.0,0.0,5.0,6.0,0.0,6.0,"Deer Creek township, Carroll County, Indiana",015,17236,18
1576.0,770.0,806.0,1341.0,638.0,703.0,121.0,59.0,62.0,93.0,57.0,36.0,21.0,16.0,5.0,0.0,0.0,0.0,"Burlington township, Carroll County, Indiana",015,09262,18
2401.0,1274.0,1127.0,2159.0,1112.0,1047.0,188.0,117.0,71.0,53.0,45.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,"Tippecanoe township, Carroll County, Indiana",015,75824,18
382.0,226.0,156.0,343.0,204.0,139.0,39.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Washington township, Carroll County, Indiana",015,80414,18
3439.0,1713.0,1726.0,3243.0,1529.0,1714.0,143.0,143.0,0.0,35.0,23.0,12.0,18.0,18.0,0.0,0.0,0.0,0.0,"Lexington township, Scott County, Indiana",143,43164,18
1460.0,749.0,711.0,1293.0,683.0,610.0,117.0,25.0,92.0,19.0,10.0,9.0,23.0,23.0,0.0,8.0,8.0,0.0,"Finley township, Scott County, Indiana",143,23224,18
6391.0,3198.0,3193.0,5375.0,2678.0,2697.0,735.0,389.0,346.0,243.0,117.0,126.0,34.0,10.0,24.0,4.0,4.0,0.0,"Jennings township, Scott County, Indiana",143,38448,18
9758.0,4661.0,5097.0,8212.0,3882.0,4330.0,877.0,503.0,374.0,561.0,231.0,330.0,108.0,45.0,63.0,0.0,0.0,0.0,"Vienna township, Scott County, Indiana",143,79100,18
