B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
4379.0,2015.0,2364.0,4071.0,1849.0,2222.0,128.0,106.0,22.0,110.0,53.0,57.0,70.0,7.0,63.0,0.0,0.0,0.0,"District 2, Yazoo County, Mississippi",163,91476,28
9104.0,6048.0,3056.0,7449.0,4523.0,2926.0,499.0,403.0,96.0,137.0,129.0,8.0,773.0,747.0,26.0,246.0,246.0,0.0,"District 4, Yazoo County, Mississippi",163,92952,28
3816.0,1780.0,2036.0,3550.0,1691.0,1859.0,158.0,41.0,117.0,94.0,48.0,46.0,14.0,0.0,14.0,0.0,0.0,0.0,"District 2, Winston County, Mississippi",159,91458,28
3540.0,1863.0,1677.0,3100.0,1579.0,1521.0,291.0,154.0,137.0,126.0,117.0,9.0,23.0,13.0,10.0,0.0,0.0,0.0,"District 1, Winston County, Mississippi",159,90720,28
5399.0,2529.0,2870.0,5161.0,2409.0,2752.0,74.0,48.0,26.0,74.0,33.0,41.0,90.0,39.0,51.0,0.0,0.0,0.0,"District 1, Yazoo County, Mississippi",163,90738,28
4578.0,2307.0,2271.0,3699.0,1872.0,1827.0,484.0,219.0,265.0,180.0,105.0,75.0,206.0,102.0,104.0,9.0,9.0,0.0,"District 3, Yazoo County, Mississippi",163,92214,28
3726.0,1725.0,2001.0,3350.0,1611.0,1739.0,249.0,85.0,164.0,69.0,29.0,40.0,58.0,0.0,58.0,0.0,0.0,0.0,"District 5, Yazoo County, Mississippi",163,93690,28
3970.0,1919.0,2051.0,3459.0,1741.0,1718.0,292.0,120.0,172.0,219.0,58.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Attala County, Mississippi",007,90036,28
4092.0,1886.0,2206.0,3136.0,1387.0,1749.0,570.0,258.0,312.0,331.0,229.0,102.0,55.0,12.0,43.0,0.0,0.0,0.0,"District 2, Attala County, Mississippi",007,90774,28
3201.0,1624.0,1577.0,2808.0,1380.0,1428.0,172.0,132.0,40.0,42.0,23.0,19.0,167.0,86.0,81.0,12.0,3.0,9.0,"District 5, Attala County, Mississippi",007,92988,28
2974.0,1396.0,1578.0,2620.0,1226.0,1394.0,258.0,112.0,146.0,79.0,58.0,21.0,17.0,0.0,17.0,0.0,0.0,0.0,"District 4, Attala County, Mississippi",007,92250,28
4235.0,1849.0,2386.0,3375.0,1397.0,1978.0,584.0,256.0,328.0,200.0,160.0,40.0,73.0,36.0,37.0,3.0,0.0,3.0,"District 3, Attala County, Mississippi",007,91512,28
1785.0,801.0,984.0,1745.0,788.0,957.0,27.0,7.0,20.0,8.0,3.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,"District 4, Benton County, Mississippi",009,92259,28
1575.0,830.0,745.0,1371.0,754.0,617.0,87.0,19.0,68.0,26.0,0.0,26.0,91.0,57.0,34.0,0.0,0.0,0.0,"District 2, Benton County, Mississippi",009,90783,28
1474.0,728.0,746.0,1296.0,657.0,639.0,74.0,27.0,47.0,81.0,34.0,47.0,23.0,10.0,13.0,0.0,0.0,0.0,"District 3, Benton County, Mississippi",009,91521,28
1891.0,1078.0,813.0,1626.0,911.0,715.0,61.0,13.0,48.0,191.0,141.0,50.0,13.0,13.0,0.0,0.0,0.0,0.0,"District 5, Benton County, Mississippi",009,92997,28
1621.0,832.0,789.0,1539.0,783.0,756.0,0.0,0.0,0.0,11.0,11.0,0.0,30.0,15.0,15.0,41.0,23.0,18.0,"District 5, Franklin County, Mississippi",037,93123,28
1535.0,787.0,748.0,1273.0,671.0,602.0,234.0,88.0,146.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Benton County, Mississippi",009,90045,28
1609.0,759.0,850.0,1579.0,755.0,824.0,25.0,4.0,21.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,"District 1, Franklin County, Mississippi",037,90171,28
1379.0,635.0,744.0,1300.0,580.0,720.0,21.0,15.0,6.0,51.0,38.0,13.0,7.0,2.0,5.0,0.0,0.0,0.0,"District 2, Franklin County, Mississippi",037,90909,28
1229.0,602.0,627.0,1107.0,550.0,557.0,48.0,21.0,27.0,74.0,31.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Franklin County, Mississippi",037,91647,28
1838.0,881.0,957.0,1733.0,834.0,899.0,92.0,38.0,54.0,9.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,"District 4, Franklin County, Mississippi",037,92385,28
4814.0,2174.0,2640.0,4029.0,1827.0,2202.0,538.0,193.0,345.0,112.0,69.0,43.0,135.0,85.0,50.0,0.0,0.0,0.0,"District 5, Coahoma County, Mississippi",027,93078,28
4523.0,2126.0,2397.0,3815.0,1830.0,1985.0,588.0,253.0,335.0,70.0,26.0,44.0,50.0,17.0,33.0,0.0,0.0,0.0,"District 1, Coahoma County, Mississippi",027,90126,28
5771.0,2654.0,3117.0,5047.0,2346.0,2701.0,612.0,245.0,367.0,27.0,27.0,0.0,85.0,36.0,49.0,0.0,0.0,0.0,"District 3, Coahoma County, Mississippi",027,91602,28
3502.0,1516.0,1986.0,2969.0,1291.0,1678.0,478.0,184.0,294.0,36.0,22.0,14.0,19.0,19.0,0.0,0.0,0.0,0.0,"District 4, Coahoma County, Mississippi",027,92340,28
5267.0,2528.0,2739.0,4653.0,2206.0,2447.0,256.0,132.0,124.0,132.0,68.0,64.0,226.0,122.0,104.0,0.0,0.0,0.0,"District 2, Coahoma County, Mississippi",027,90864,28
2852.0,1442.0,1410.0,2717.0,1368.0,1349.0,119.0,67.0,52.0,8.0,2.0,6.0,8.0,5.0,3.0,0.0,0.0,0.0,"District 5, Jasper County, Mississippi",061,93231,28
3513.0,1703.0,1810.0,3268.0,1585.0,1683.0,97.0,25.0,72.0,140.0,93.0,47.0,8.0,0.0,8.0,0.0,0.0,0.0,"District 4, Jasper County, Mississippi",061,92493,28
3042.0,1534.0,1508.0,2587.0,1306.0,1281.0,200.0,87.0,113.0,210.0,96.0,114.0,45.0,45.0,0.0,0.0,0.0,0.0,"District 2, Jasper County, Mississippi",061,91017,28
3059.0,1449.0,1610.0,2784.0,1315.0,1469.0,69.0,35.0,34.0,206.0,99.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Jasper County, Mississippi",061,90279,28
3934.0,1796.0,2138.0,3771.0,1713.0,2058.0,59.0,13.0,46.0,73.0,49.0,24.0,28.0,21.0,7.0,3.0,0.0,3.0,"District 3, Jasper County, Mississippi",061,91755,28
13141.0,6393.0,6748.0,12727.0,6160.0,6567.0,243.0,163.0,80.0,171.0,70.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Jones County, Mississippi",067,91782,28
14726.0,7388.0,7338.0,13524.0,6825.0,6699.0,791.0,385.0,406.0,297.0,109.0,188.0,114.0,69.0,45.0,0.0,0.0,0.0,"District 2, Jones County, Mississippi",067,91044,28
2623.0,1089.0,1534.0,2321.0,894.0,1427.0,73.0,31.0,42.0,218.0,157.0,61.0,11.0,7.0,4.0,0.0,0.0,0.0,"District 2, Walthall County, Mississippi",147,91404,28
15965.0,7511.0,8454.0,14775.0,6878.0,7897.0,582.0,268.0,314.0,481.0,282.0,199.0,119.0,75.0,44.0,8.0,8.0,0.0,"District 4, Jones County, Mississippi",067,92520,28
12981.0,6385.0,6596.0,11614.0,5620.0,5994.0,1041.0,562.0,479.0,316.0,193.0,123.0,10.0,10.0,0.0,0.0,0.0,0.0,"District 1, Jones County, Mississippi",067,90306,28
10429.0,4940.0,5489.0,9685.0,4606.0,5079.0,701.0,312.0,389.0,35.0,14.0,21.0,8.0,8.0,0.0,0.0,0.0,0.0,"District 5, Jones County, Mississippi",067,93258,28
2491.0,1342.0,1149.0,2321.0,1239.0,1082.0,63.0,40.0,23.0,46.0,24.0,22.0,61.0,39.0,22.0,0.0,0.0,0.0,"District 1, Walthall County, Mississippi",147,90666,28
2996.0,1451.0,1545.0,2647.0,1237.0,1410.0,229.0,129.0,100.0,18.0,14.0,4.0,102.0,71.0,31.0,0.0,0.0,0.0,"District 3, Walthall County, Mississippi",147,92142,28
2629.0,1414.0,1215.0,2539.0,1349.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,65.0,25.0,0.0,0.0,0.0,"District 5, Walthall County, Mississippi",147,93618,28
3657.0,1787.0,1870.0,3200.0,1696.0,1504.0,193.0,23.0,170.0,56.0,38.0,18.0,208.0,30.0,178.0,0.0,0.0,0.0,"District 4, Walthall County, Mississippi",147,92880,28
6894.0,3363.0,3531.0,6278.0,3080.0,3198.0,325.0,154.0,171.0,260.0,110.0,150.0,13.0,10.0,3.0,18.0,9.0,9.0,"District 3, Monroe County, Mississippi",095,91908,28
6381.0,3172.0,3209.0,5974.0,2947.0,3027.0,229.0,110.0,119.0,136.0,92.0,44.0,23.0,15.0,8.0,19.0,8.0,11.0,"District 4, Monroe County, Mississippi",095,92646,28
