B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
23.0,16.0,7.0,23.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Garnet township, Divide County, North Dakota",023,29420,38
10.0,5.0,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"De Witt township, Divide County, North Dakota",023,19500,38
11.0,7.0,4.0,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Elkhorn township, Divide County, North Dakota",023,23140,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Frazier township, Divide County, North Dakota",023,28220,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Upland township, Divide County, North Dakota",023,80900,38
7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lincoln Valley township, Divide County, North Dakota",023,46740,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Plumer township, Divide County, North Dakota",023,63340,38
146.0,105.0,41.0,146.0,105.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sioux Trail township, Divide County, North Dakota",023,73420,38
2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Smoky Butte township, Divide County, North Dakota",023,73700,38
20.0,4.0,16.0,20.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Burg township, Divide County, North Dakota",023,10780,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Clinton township, Divide County, North Dakota",023,14900,38
63.0,27.0,36.0,63.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fillmore township, Divide County, North Dakota",023,26340,38
46.0,25.0,21.0,46.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Palmer township, Divide County, North Dakota",023,60700,38
16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,0.0,0.0,0.0,"Hayland township, Divide County, North Dakota",023,36500,38
15.0,0.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mentor township, Divide County, North Dakota",023,52260,38
4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ambrose township, Divide County, North Dakota",023,01900,38
132.0,87.0,45.0,112.0,67.0,45.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Blooming Valley township, Divide County, North Dakota",023,07940,38
87.0,49.0,38.0,87.0,49.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coalfield township, Divide County, North Dakota",023,15020,38
12.0,6.0,6.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Stoneview township, Divide County, North Dakota",023,76300,38
31.0,13.0,18.0,31.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Gooseneck township, Divide County, North Dakota",023,31580,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hawkeye township, Divide County, North Dakota",023,36300,38
23.0,14.0,9.0,21.0,12.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Twin Butte township, Divide County, North Dakota",023,80260,38
891.0,381.0,510.0,778.0,341.0,437.0,40.0,9.0,31.0,30.0,11.0,19.0,33.0,20.0,13.0,10.0,0.0,10.0,"Crosby city, Divide County, North Dakota",023,16940,38
66.0,30.0,36.0,63.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,"Daneville township, Divide County, North Dakota",023,17940,38
46.0,24.0,22.0,46.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lake George township, McHenry County, North Dakota",049,43820,38
156.0,117.0,39.0,148.0,111.0,37.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"Denbigh township, McHenry County, North Dakota",049,19020,38
218.0,111.0,107.0,180.0,90.0,90.0,0.0,0.0,0.0,33.0,16.0,17.0,5.0,5.0,0.0,0.0,0.0,0.0,"Granville city, McHenry County, North Dakota",049,32660,38
2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Karlsruhe township, McHenry County, North Dakota",049,41420,38
59.0,30.0,29.0,59.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lake Hester township, McHenry County, North Dakota",049,43860,38
33.0,11.0,22.0,33.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Little Deep township, McHenry County, North Dakota",049,47260,38
39.0,30.0,9.0,39.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Odin township, McHenry County, North Dakota",049,59180,38
5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rose Hill township, McHenry County, North Dakota",049,68310,38
