B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
2176.0,1131.0,1045.0,1899.0,955.0,944.0,62.0,45.0,17.0,84.0,68.0,16.0,115.0,47.0,68.0,16.0,16.0,0.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
15000.0,7035.0,7965.0,12159.0,5705.0,6454.0,1869.0,827.0,1042.0,629.0,349.0,280.0,249.0,142.0,107.0,94.0,12.0,82.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
20581.0,10032.0,10549.0,17065.0,8349.0,8716.0,2652.0,1206.0,1446.0,759.0,421.0,338.0,105.0,56.0,49.0,0.0,0.0,0.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
2200.0,1075.0,1125.0,2081.0,1063.0,1018.0,119.0,12.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
2122.0,1042.0,1080.0,1889.0,912.0,977.0,27.0,8.0,19.0,129.0,82.0,47.0,71.0,40.0,31.0,6.0,0.0,6.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
5356.0,3227.0,2129.0,4678.0,2780.0,1898.0,198.0,60.0,138.0,435.0,380.0,55.0,45.0,7.0,38.0,0.0,0.0,0.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
11616.0,5967.0,5649.0,7605.0,3775.0,3830.0,1876.0,1130.0,746.0,1326.0,766.0,560.0,576.0,234.0,342.0,233.0,62.0,171.0,"Central CCD, Pickens County, South Carolina",077,90533,45
36967.0,17997.0,18970.0,31843.0,15692.0,16151.0,2746.0,1160.0,1586.0,1591.0,812.0,779.0,779.0,333.0,446.0,8.0,0.0,8.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
15060.0,7744.0,7316.0,13395.0,6849.0,6546.0,1286.0,704.0,582.0,284.0,129.0,155.0,95.0,62.0,33.0,0.0,0.0,0.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
10159.0,5250.0,4909.0,9161.0,4688.0,4473.0,260.0,147.0,113.0,666.0,402.0,264.0,72.0,13.0,59.0,0.0,0.0,0.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
10434.0,5200.0,5234.0,9492.0,4696.0,4796.0,545.0,269.0,276.0,154.0,93.0,61.0,219.0,118.0,101.0,24.0,24.0,0.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
19862.0,9983.0,9879.0,10824.0,5244.0,5580.0,2619.0,1569.0,1050.0,3849.0,2040.0,1809.0,2336.0,1019.0,1317.0,234.0,111.0,123.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
12823.0,6144.0,6679.0,11049.0,5313.0,5736.0,1366.0,598.0,768.0,156.0,74.0,82.0,235.0,159.0,76.0,17.0,0.0,17.0,"Liberty CCD, Pickens County, South Carolina",077,91950,45
3797.0,2043.0,1754.0,3524.0,1889.0,1635.0,143.0,64.0,79.0,100.0,64.0,36.0,6.0,2.0,4.0,24.0,24.0,0.0,"Jonesville CCD, Union County, South Carolina",087,91742,45
1659.0,799.0,860.0,1562.0,759.0,803.0,33.0,8.0,25.0,51.0,23.0,28.0,8.0,4.0,4.0,5.0,5.0,0.0,"Carlisle CCD, Union County, South Carolina",087,90507,45
969.0,441.0,528.0,811.0,393.0,418.0,115.0,26.0,89.0,43.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cross Keys CCD, Union County, South Carolina",087,90832,45
2194.0,889.0,1305.0,2190.0,885.0,1305.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West Springs CCD, Union County, South Carolina",087,93679,45
2526.0,1195.0,1331.0,2415.0,1156.0,1259.0,56.0,18.0,38.0,55.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lockhart CCD, Union County, South Carolina",087,91989,45
16327.0,7903.0,8424.0,13629.0,6687.0,6942.0,2016.0,813.0,1203.0,639.0,375.0,264.0,43.0,28.0,15.0,0.0,0.0,0.0,"Union CCD, Union County, South Carolina",087,93497,45
4680.0,2047.0,2633.0,4282.0,1786.0,2496.0,181.0,99.0,82.0,217.0,162.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hemingway CCD, Williamsburg County, South Carolina",089,91495,45
2541.0,1369.0,1172.0,2446.0,1354.0,1092.0,17.0,8.0,9.0,33.0,7.0,26.0,37.0,0.0,37.0,8.0,0.0,8.0,"Trio CCD, Williamsburg County, South Carolina",089,93458,45
2506.0,1031.0,1475.0,2389.0,980.0,1409.0,73.0,39.0,34.0,32.0,0.0,32.0,1.0,1.0,0.0,11.0,11.0,0.0,"Greeleyville CCD, Williamsburg County, South Carolina",089,91339,45
12436.0,5516.0,6920.0,11070.0,4805.0,6265.0,972.0,480.0,492.0,195.0,125.0,70.0,101.0,57.0,44.0,98.0,49.0,49.0,"Kingstree CCD, Williamsburg County, South Carolina",089,91768,45
2393.0,1053.0,1340.0,2307.0,997.0,1310.0,31.0,25.0,6.0,11.0,5.0,6.0,10.0,0.0,10.0,34.0,26.0,8.0,"Nesmith CCD, Williamsburg County, South Carolina",089,92353,45
4051.0,2747.0,1304.0,3698.0,2408.0,1290.0,85.0,79.0,6.0,116.0,108.0,8.0,111.0,111.0,0.0,41.0,41.0,0.0,"Lane CCD, Williamsburg County, South Carolina",089,91898,45
63119.0,30222.0,32897.0,52268.0,24883.0,27385.0,6695.0,3298.0,3397.0,1341.0,762.0,579.0,2539.0,1109.0,1430.0,276.0,170.0,106.0,"Aiken CCD, Aiken County, South Carolina",003,90026,45
3417.0,1697.0,1720.0,3206.0,1626.0,1580.0,160.0,37.0,123.0,0.0,0.0,0.0,51.0,34.0,17.0,0.0,0.0,0.0,"Jackson CCD, Aiken County, South Carolina",003,91651,45
8181.0,4103.0,4078.0,6962.0,3510.0,3452.0,867.0,379.0,488.0,144.0,112.0,32.0,201.0,102.0,99.0,7.0,0.0,7.0,"Beech Island CCD, Aiken County, South Carolina",003,90208,45
11427.0,5430.0,5997.0,10347.0,4864.0,5483.0,603.0,306.0,297.0,55.0,16.0,39.0,394.0,226.0,168.0,28.0,18.0,10.0,"New Ellenton CCD, Aiken County, South Carolina",003,92379,45
55036.0,26592.0,28444.0,48379.0,23135.0,25244.0,3880.0,2164.0,1716.0,933.0,360.0,573.0,1802.0,919.0,883.0,42.0,14.0,28.0,"North Augusta CCD, Aiken County, South Carolina",003,92418,45
2506.0,1182.0,1324.0,2385.0,1135.0,1250.0,100.0,29.0,71.0,9.0,9.0,0.0,6.0,3.0,3.0,6.0,6.0,0.0,"Salley CCD, Aiken County, South Carolina",003,92977,45
4648.0,2426.0,2222.0,4457.0,2313.0,2144.0,78.0,39.0,39.0,78.0,46.0,32.0,35.0,28.0,7.0,0.0,0.0,0.0,"Wagener CCD, Aiken County, South Carolina",003,93562,45
4696.0,2209.0,2487.0,4192.0,2044.0,2148.0,342.0,109.0,233.0,8.0,4.0,4.0,142.0,40.0,102.0,12.0,12.0,0.0,"Monetta CCD, Aiken County, South Carolina",003,92223,45
5261.0,2479.0,2782.0,5175.0,2430.0,2745.0,17.0,0.0,17.0,12.0,7.0,5.0,57.0,42.0,15.0,0.0,0.0,0.0,"Windsor CCD, Aiken County, South Carolina",003,93744,45
3657.0,2185.0,1472.0,3120.0,1674.0,1446.0,15.0,0.0,15.0,516.0,505.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0,"Fairfax CCD, Allendale County, South Carolina",005,91092,45
452.0,239.0,213.0,434.0,229.0,205.0,0.0,0.0,0.0,18.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,"Millett CCD, Allendale County, South Carolina",005,92197,45
4212.0,2020.0,2192.0,3794.0,1877.0,1917.0,268.0,46.0,222.0,55.0,46.0,9.0,95.0,51.0,44.0,0.0,0.0,0.0,"Allendale CCD, Allendale County, South Carolina",005,90052,45
1038.0,494.0,544.0,1019.0,483.0,536.0,3.0,1.0,2.0,11.0,7.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,"Sycamore CCD, Allendale County, South Carolina",005,93367,45
3335.0,1701.0,1634.0,3060.0,1540.0,1520.0,171.0,110.0,61.0,54.0,18.0,36.0,50.0,33.0,17.0,0.0,0.0,0.0,"Whitmire CCD, Newberry County, South Carolina",071,93705,45
18312.0,8867.0,9445.0,16086.0,7655.0,8431.0,1378.0,791.0,587.0,624.0,281.0,343.0,190.0,125.0,65.0,34.0,15.0,19.0,"Newberry CCD, Newberry County, South Carolina",071,92366,45
3605.0,1737.0,1868.0,3380.0,1620.0,1760.0,194.0,96.0,98.0,17.0,15.0,2.0,14.0,6.0,8.0,0.0,0.0,0.0,"Pomaria CCD, Newberry County, South Carolina",071,92704,45
8660.0,3935.0,4725.0,7288.0,3359.0,3929.0,894.0,322.0,572.0,185.0,131.0,54.0,270.0,109.0,161.0,23.0,14.0,9.0,"Barnwell CCD, Barnwell County, South Carolina",011,90143,45
1966.0,1012.0,954.0,1892.0,984.0,908.0,11.0,0.0,11.0,31.0,11.0,20.0,32.0,17.0,15.0,0.0,0.0,0.0,"Mountain Rest CCD, Oconee County, South Carolina",073,92249,45
19884.0,9813.0,10071.0,17638.0,8544.0,9094.0,1544.0,895.0,649.0,213.0,137.0,76.0,445.0,221.0,224.0,44.0,16.0,28.0,"Walhalla CCD, Oconee County, South Carolina",073,93575,45
5813.0,2817.0,2996.0,5199.0,2534.0,2665.0,74.0,53.0,21.0,61.0,18.0,43.0,479.0,212.0,267.0,0.0,0.0,0.0,"Salem CCD, Oconee County, South Carolina",073,92964,45
10004.0,5250.0,4754.0,8975.0,4696.0,4279.0,645.0,372.0,273.0,152.0,74.0,78.0,176.0,92.0,84.0,56.0,16.0,40.0,"Oakway CCD, Oconee County, South Carolina",073,92457,45
2151.0,1089.0,1062.0,1968.0,993.0,975.0,32.0,7.0,25.0,145.0,89.0,56.0,6.0,0.0,6.0,0.0,0.0,0.0,"Cades CCD, Williamsburg County, South Carolina",089,90442,45
3353.0,1469.0,1884.0,2882.0,1209.0,1673.0,303.0,209.0,94.0,89.0,26.0,63.0,72.0,25.0,47.0,7.0,0.0,7.0,"Blackville CCD, Barnwell County, South Carolina",011,90286,45
