B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
8212.0,4050.0,4162.0,7436.0,3722.0,3714.0,218.0,68.0,150.0,383.0,195.0,188.0,147.0,49.0,98.0,28.0,16.0,12.0,"Timberlake district, Campbell County, Virginia",031,96087,51
8220.0,4070.0,4150.0,7623.0,3818.0,3805.0,137.0,32.0,105.0,414.0,209.0,205.0,46.0,11.0,35.0,0.0,0.0,0.0,"Concord district, Campbell County, Virginia",031,90968,51
7054.0,3276.0,3778.0,5815.0,2783.0,3032.0,892.0,320.0,572.0,271.0,139.0,132.0,61.0,23.0,38.0,15.0,11.0,4.0,"Seneca district, Campbell County, Virginia",031,95623,51
6451.0,3148.0,3303.0,5988.0,2916.0,3072.0,248.0,113.0,135.0,123.0,76.0,47.0,74.0,37.0,37.0,18.0,6.0,12.0,"Brookneal district, Campbell County, Virginia",031,90504,51
8106.0,4136.0,3970.0,7456.0,3798.0,3658.0,195.0,79.0,116.0,320.0,206.0,114.0,133.0,53.0,80.0,2.0,0.0,2.0,"Rustburg district, Campbell County, Virginia",031,95503,51
65475.0,31196.0,34279.0,55071.0,26306.0,28765.0,4815.0,2377.0,2438.0,3588.0,1490.0,2098.0,1254.0,612.0,642.0,747.0,411.0,336.0,"Tuckahoe district, Henrico County, Virginia",087,96119,51
60813.0,27775.0,33038.0,51628.0,23332.0,28296.0,5333.0,2737.0,2596.0,3010.0,1357.0,1653.0,498.0,204.0,294.0,344.0,145.0,199.0,"Fairfield district, Henrico County, Virginia",087,93511,51
66639.0,32230.0,34409.0,54843.0,26529.0,28314.0,5338.0,2469.0,2869.0,2915.0,1386.0,1529.0,2374.0,1300.0,1074.0,1169.0,546.0,623.0,"Three Chopt district, Henrico County, Virginia",087,96079,51
9400.0,4574.0,4826.0,8331.0,4060.0,4271.0,432.0,178.0,254.0,280.0,154.0,126.0,357.0,182.0,175.0,0.0,0.0,0.0,"Iriswood district, Henry County, Virginia",089,93975,51
67182.0,32249.0,34933.0,54931.0,26584.0,28347.0,5888.0,2668.0,3220.0,4064.0,1879.0,2185.0,1055.0,397.0,658.0,1244.0,721.0,523.0,"Brookland district, Henrico County, Virginia",087,90496,51
60264.0,28069.0,32195.0,54175.0,24975.0,29200.0,3810.0,1887.0,1923.0,1894.0,1020.0,874.0,385.0,187.0,198.0,0.0,0.0,0.0,"Varina district, Henrico County, Virginia",087,96175,51
8622.0,3955.0,4667.0,7464.0,3462.0,4002.0,564.0,282.0,282.0,355.0,166.0,189.0,239.0,45.0,194.0,0.0,0.0,0.0,"Collinsville district, Henry County, Virginia",089,90944,51
8143.0,4012.0,4131.0,7270.0,3457.0,3813.0,482.0,322.0,160.0,277.0,159.0,118.0,114.0,74.0,40.0,0.0,0.0,0.0,"Reed Creek district, Henry County, Virginia",089,95263,51
8317.0,4214.0,4103.0,7079.0,3567.0,3512.0,513.0,265.0,248.0,655.0,350.0,305.0,70.0,32.0,38.0,0.0,0.0,0.0,"Blackberry district, Henry County, Virginia",089,90288,51
9037.0,4264.0,4773.0,8398.0,3941.0,4457.0,290.0,132.0,158.0,264.0,154.0,110.0,85.0,37.0,48.0,0.0,0.0,0.0,"Ridgeway district, Henry County, Virginia",089,95295,51
7956.0,3808.0,4148.0,7446.0,3543.0,3903.0,207.0,90.0,117.0,238.0,124.0,114.0,57.0,51.0,6.0,8.0,0.0,8.0,"Horsepasture district, Henry County, Virginia",089,93919,51
5332.0,2688.0,2644.0,4018.0,2016.0,2002.0,401.0,233.0,168.0,265.0,109.0,156.0,541.0,293.0,248.0,107.0,37.0,70.0,"Dahlgren district, King George County, Virginia",099,91080,51
8413.0,4339.0,4074.0,7572.0,3901.0,3671.0,335.0,179.0,156.0,208.0,107.0,101.0,276.0,130.0,146.0,22.0,22.0,0.0,"James Monroe district, King George County, Virginia",099,94039,51
4851.0,2325.0,2526.0,4519.0,2122.0,2397.0,133.0,111.0,22.0,35.0,21.0,14.0,140.0,59.0,81.0,24.0,12.0,12.0,"Shiloh district, King George County, Virginia",099,95687,51
6646.0,3288.0,3358.0,5460.0,2712.0,2748.0,272.0,172.0,100.0,640.0,270.0,370.0,263.0,134.0,129.0,11.0,0.0,11.0,"James Madison district, King George County, Virginia",099,94031,51
5439.0,2658.0,2781.0,5048.0,2459.0,2589.0,89.0,38.0,51.0,272.0,148.0,124.0,30.0,13.0,17.0,0.0,0.0,0.0,"West Point district, King William County, Virginia",101,96327,51
7027.0,3395.0,3632.0,6404.0,3180.0,3224.0,90.0,36.0,54.0,456.0,147.0,309.0,66.0,32.0,34.0,11.0,0.0,11.0,"Acquinton district, King William County, Virginia",101,90016,51
3665.0,1888.0,1777.0,3402.0,1711.0,1691.0,52.0,35.0,17.0,96.0,47.0,49.0,91.0,71.0,20.0,24.0,24.0,0.0,"Mangohick district, King William County, Virginia",101,94479,51
3728.0,1733.0,1995.0,3631.0,1660.0,1971.0,39.0,33.0,6.0,20.0,2.0,18.0,38.0,38.0,0.0,0.0,0.0,0.0,"Mountain Road district, Louisa County, Virginia",109,94759,51
4755.0,2209.0,2546.0,4395.0,2052.0,2343.0,162.0,63.0,99.0,161.0,86.0,75.0,29.0,0.0,29.0,8.0,8.0,0.0,"Patrick Henry district, Louisa County, Virginia",109,95015,51
4865.0,2359.0,2506.0,4113.0,1927.0,2186.0,419.0,226.0,193.0,149.0,114.0,35.0,184.0,92.0,92.0,0.0,0.0,0.0,"Louisa district, Louisa County, Virginia",109,94375,51
4689.0,2350.0,2339.0,4100.0,2025.0,2075.0,344.0,169.0,175.0,162.0,90.0,72.0,67.0,50.0,17.0,16.0,16.0,0.0,"Mineral district, Louisa County, Virginia",109,94711,51
3968.0,1998.0,1970.0,3555.0,1746.0,1809.0,148.0,63.0,85.0,194.0,161.0,33.0,71.0,28.0,43.0,0.0,0.0,0.0,"Cuckoo district, Louisa County, Virginia",109,91040,51
6920.0,3280.0,3640.0,5716.0,2881.0,2835.0,485.0,92.0,393.0,561.0,243.0,318.0,128.0,55.0,73.0,30.0,9.0,21.0,"Green Spring district, Louisa County, Virginia",109,93767,51
5608.0,2905.0,2703.0,4677.0,2486.0,2191.0,344.0,170.0,174.0,556.0,218.0,338.0,31.0,31.0,0.0,0.0,0.0,0.0,"Jackson district, Louisa County, Virginia",109,93999,51
1711.0,950.0,761.0,1499.0,826.0,673.0,102.0,69.0,33.0,62.0,41.0,21.0,48.0,14.0,34.0,0.0,0.0,0.0,"Chesapeake district, Mathews County, Virginia",115,90808,51
3288.0,1420.0,1868.0,2837.0,1176.0,1661.0,232.0,139.0,93.0,177.0,92.0,85.0,42.0,13.0,29.0,0.0,0.0,0.0,"Westville district, Mathews County, Virginia",115,96335,51
3729.0,1800.0,1929.0,3401.0,1514.0,1887.0,57.0,49.0,8.0,261.0,232.0,29.0,7.0,5.0,2.0,3.0,0.0,3.0,"Piankatank district, Mathews County, Virginia",115,95055,51
2288.0,1062.0,1226.0,2144.0,1035.0,1109.0,63.0,8.0,55.0,50.0,19.0,31.0,31.0,0.0,31.0,0.0,0.0,0.0,"Jamaica district, Middlesex County, Virginia",119,94023,51
4300.0,2225.0,2075.0,3864.0,2041.0,1823.0,144.0,48.0,96.0,208.0,89.0,119.0,84.0,47.0,37.0,0.0,0.0,0.0,"Pine Top district, Middlesex County, Virginia",119,95079,51
4048.0,1973.0,2075.0,3556.0,1721.0,1835.0,87.0,68.0,19.0,324.0,157.0,167.0,81.0,27.0,54.0,0.0,0.0,0.0,"Saluda district, Middlesex County, Virginia",119,95559,51
3047.0,1455.0,1592.0,2955.0,1413.0,1542.0,60.0,25.0,35.0,32.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 501, Prince Edward County, Virginia",147,92593,51
1667.0,744.0,923.0,1362.0,594.0,768.0,99.0,30.0,69.0,90.0,44.0,46.0,106.0,66.0,40.0,10.0,10.0,0.0,"District 701, Prince Edward County, Virginia",147,92613,51
2979.0,2322.0,657.0,2430.0,1792.0,638.0,76.0,68.0,8.0,329.0,318.0,11.0,132.0,132.0,0.0,12.0,12.0,0.0,"District 401, Prince Edward County, Virginia",147,92583,51
2364.0,1216.0,1148.0,2142.0,1101.0,1041.0,108.0,69.0,39.0,114.0,46.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 201, Prince Edward County, Virginia",147,92563,51
2317.0,758.0,1559.0,1949.0,637.0,1312.0,49.0,20.0,29.0,298.0,89.0,209.0,12.0,12.0,0.0,9.0,0.0,9.0,"District 801, Prince Edward County, Virginia",147,92623,51
2427.0,1116.0,1311.0,2384.0,1104.0,1280.0,35.0,4.0,31.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,"District 601, Prince Edward County, Virginia",147,92603,51
3166.0,1532.0,1634.0,3005.0,1440.0,1565.0,0.0,0.0,0.0,39.0,39.0,0.0,81.0,38.0,43.0,41.0,15.0,26.0,"District 301, Prince Edward County, Virginia",147,92573,51
4670.0,2147.0,2523.0,3488.0,1574.0,1914.0,325.0,96.0,229.0,764.0,412.0,352.0,93.0,65.0,28.0,0.0,0.0,0.0,"District 101, Prince Edward County, Virginia",147,92553,51
19276.0,11170.0,8106.0,14964.0,8855.0,6109.0,599.0,288.0,311.0,1836.0,846.0,990.0,1666.0,1100.0,566.0,211.0,81.0,130.0,"Bland district, Prince George County, Virginia",149,90352,51
3735.0,2072.0,1663.0,3376.0,1803.0,1573.0,91.0,62.0,29.0,222.0,191.0,31.0,46.0,16.0,30.0,0.0,0.0,0.0,"Blackwater district, Prince George County, Virginia",149,90328,51
1397.0,666.0,731.0,1205.0,581.0,624.0,0.0,0.0,0.0,192.0,85.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,"Brandon district, Prince George County, Virginia",149,90472,51
8336.0,4225.0,4111.0,7045.0,3543.0,3502.0,151.0,105.0,46.0,361.0,195.0,166.0,761.0,373.0,388.0,18.0,9.0,9.0,"Rives district, Prince George County, Virginia",149,95343,51
4573.0,2356.0,2217.0,4160.0,2102.0,2058.0,296.0,176.0,120.0,96.0,57.0,39.0,21.0,21.0,0.0,0.0,0.0,0.0,"Templeton district, Prince George County, Virginia",149,96063,51
1127.0,435.0,692.0,867.0,308.0,559.0,0.0,0.0,0.0,260.0,127.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Richmond County, Virginia",159,91271,51
1814.0,863.0,951.0,1597.0,777.0,820.0,37.0,11.0,26.0,173.0,68.0,105.0,7.0,7.0,0.0,0.0,0.0,0.0,"District 3, Richmond County, Virginia",159,91571,51
2709.0,2006.0,703.0,2242.0,1581.0,661.0,41.0,16.0,25.0,393.0,378.0,15.0,33.0,31.0,2.0,0.0,0.0,0.0,"District 2, Richmond County, Virginia",159,91421,51
1513.0,809.0,704.0,1453.0,773.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,17.0,24.0,19.0,19.0,0.0,"District 4, Richmond County, Virginia",159,91721,51
1606.0,814.0,792.0,1499.0,707.0,792.0,8.0,8.0,0.0,87.0,87.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,"District 5, Richmond County, Virginia",159,91871,51
13289.0,6437.0,6852.0,11282.0,5398.0,5884.0,1176.0,576.0,600.0,696.0,394.0,302.0,118.0,52.0,66.0,17.0,17.0,0.0,"Central district, Rockingham County, Virginia",165,90736,51
14628.0,7232.0,7396.0,12611.0,6182.0,6429.0,1211.0,720.0,491.0,611.0,256.0,355.0,170.0,74.0,96.0,25.0,0.0,25.0,"Plains district, Rockingham County, Virginia",165,95095,51
18900.0,9121.0,9779.0,16721.0,8148.0,8573.0,1276.0,570.0,706.0,588.0,287.0,301.0,299.0,116.0,183.0,16.0,0.0,16.0,"Stonewall district, Rockingham County, Virginia",165,95951,51
21884.0,10606.0,11278.0,19842.0,9548.0,10294.0,958.0,419.0,539.0,829.0,489.0,340.0,183.0,101.0,82.0,72.0,49.0,23.0,"Ashby district, Rockingham County, Virginia",165,90080,51
9065.0,4545.0,4520.0,8002.0,3967.0,4035.0,744.0,397.0,347.0,220.0,120.0,100.0,80.0,61.0,19.0,19.0,0.0,19.0,"Linville district, Rockingham County, Virginia",165,94287,51
4373.0,2307.0,2066.0,3586.0,1765.0,1821.0,324.0,183.0,141.0,333.0,254.0,79.0,130.0,105.0,25.0,0.0,0.0,0.0,"District 6, Scott County, Virginia",169,92026,51
3890.0,1944.0,1946.0,3459.0,1755.0,1704.0,209.0,87.0,122.0,109.0,65.0,44.0,113.0,37.0,76.0,0.0,0.0,0.0,"District 1, Scott County, Virginia",169,91276,51
3517.0,1713.0,1804.0,3127.0,1551.0,1576.0,342.0,155.0,187.0,7.0,7.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,"District 3, Scott County, Virginia",169,91576,51
3900.0,1928.0,1972.0,3364.0,1667.0,1697.0,307.0,131.0,176.0,115.0,55.0,60.0,112.0,75.0,37.0,2.0,0.0,2.0,"District 4, Scott County, Virginia",169,91726,51
3291.0,1574.0,1717.0,3178.0,1527.0,1651.0,62.0,27.0,35.0,36.0,20.0,16.0,15.0,0.0,15.0,0.0,0.0,0.0,"District 2, Scott County, Virginia",169,91426,51
3227.0,1690.0,1537.0,2904.0,1520.0,1384.0,170.0,56.0,114.0,71.0,54.0,17.0,76.0,54.0,22.0,6.0,6.0,0.0,"District 5, Scott County, Virginia",169,91876,51
17689.0,8904.0,8785.0,16108.0,8074.0,8034.0,534.0,235.0,299.0,680.0,386.0,294.0,330.0,192.0,138.0,37.0,17.0,20.0,"Chancellor district, Spotsylvania County, Virginia",177,90760,51
18452.0,9393.0,9059.0,16643.0,8511.0,8132.0,902.0,461.0,441.0,660.0,357.0,303.0,202.0,51.0,151.0,45.0,13.0,32.0,"Livingston district, Spotsylvania County, Virginia",177,94311,51
18890.0,8703.0,10187.0,16480.0,7609.0,8871.0,975.0,426.0,549.0,709.0,331.0,378.0,586.0,264.0,322.0,140.0,73.0,67.0,"Lee Hill district, Spotsylvania County, Virginia",177,94231,51
19542.0,9749.0,9793.0,16415.0,8227.0,8188.0,1401.0,694.0,707.0,1081.0,544.0,537.0,448.0,222.0,226.0,197.0,62.0,135.0,"Battlefield district, Spotsylvania County, Virginia",177,90168,51
18075.0,8885.0,9190.0,15224.0,7468.0,7756.0,1038.0,380.0,658.0,1357.0,832.0,525.0,440.0,197.0,243.0,16.0,8.0,8.0,"Courtland district, Spotsylvania County, Virginia",177,91008,51
17722.0,8863.0,8859.0,15558.0,7728.0,7830.0,1134.0,649.0,485.0,729.0,306.0,423.0,294.0,180.0,114.0,7.0,0.0,7.0,"Berkeley district, Spotsylvania County, Virginia",177,90232,51
18245.0,8617.0,9628.0,16326.0,7822.0,8504.0,871.0,360.0,511.0,822.0,363.0,459.0,217.0,72.0,145.0,9.0,0.0,9.0,"Salem district, Spotsylvania County, Virginia",177,95543,51
1302.0,610.0,692.0,1260.0,577.0,683.0,11.0,11.0,0.0,31.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bacons Castle district, Surry County, Virginia",181,90136,51
1229.0,522.0,707.0,1127.0,438.0,689.0,68.0,50.0,18.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,"Carsley district, Surry County, Virginia",181,90624,51
1333.0,646.0,687.0,1292.0,634.0,658.0,33.0,7.0,26.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"Claremont district, Surry County, Virginia",181,90848,51
1325.0,651.0,674.0,1163.0,572.0,591.0,56.0,16.0,40.0,102.0,63.0,39.0,4.0,0.0,4.0,0.0,0.0,0.0,"Dendron district, Surry County, Virginia",181,91136,51
1445.0,783.0,662.0,1330.0,704.0,626.0,25.0,10.0,15.0,30.0,29.0,1.0,60.0,40.0,20.0,0.0,0.0,0.0,"Surry district, Surry County, Virginia",181,96023,51
2551.0,1324.0,1227.0,2363.0,1245.0,1118.0,22.0,0.0,22.0,117.0,79.0,38.0,49.0,0.0,49.0,0.0,0.0,0.0,"Russell district, Clarke County, Virginia",043,95495,51
2766.0,1423.0,1343.0,2266.0,1177.0,1089.0,57.0,29.0,28.0,433.0,214.0,219.0,10.0,3.0,7.0,0.0,0.0,0.0,"White Post district, Clarke County, Virginia",043,96367,51
3243.0,1578.0,1665.0,3001.0,1470.0,1531.0,55.0,37.0,18.0,85.0,38.0,47.0,102.0,33.0,69.0,0.0,0.0,0.0,"Berryville district, Clarke County, Virginia",043,90256,51
3144.0,1576.0,1568.0,2912.0,1455.0,1457.0,5.0,5.0,0.0,146.0,73.0,73.0,81.0,43.0,38.0,0.0,0.0,0.0,"Buckmarsh district, Clarke County, Virginia",043,90544,51
2465.0,1220.0,1245.0,2288.0,1105.0,1183.0,44.0,36.0,8.0,124.0,70.0,54.0,0.0,0.0,0.0,9.0,9.0,0.0,"Millwood district, Clarke County, Virginia",043,94703,51
7354.0,3660.0,3694.0,6777.0,3410.0,3367.0,307.0,86.0,221.0,103.0,64.0,39.0,167.0,100.0,67.0,0.0,0.0,0.0,"Blackwater district, Franklin County, Virginia",067,90320,51
8705.0,4412.0,4293.0,7317.0,3771.0,3546.0,753.0,356.0,397.0,461.0,266.0,195.0,174.0,19.0,155.0,0.0,0.0,0.0,"Snow Creek district, Franklin County, Virginia",067,95743,51
7121.0,3605.0,3516.0,6037.0,3045.0,2992.0,583.0,331.0,252.0,326.0,157.0,169.0,164.0,72.0,92.0,11.0,0.0,11.0,"Blue Ridge district, Franklin County, Virginia",067,90392,51
8289.0,4132.0,4157.0,7621.0,3835.0,3786.0,224.0,114.0,110.0,427.0,166.0,261.0,17.0,17.0,0.0,0.0,0.0,0.0,"Gills Creek district, Franklin County, Virginia",067,93703,51
7931.0,3781.0,4150.0,6827.0,3290.0,3537.0,556.0,217.0,339.0,398.0,217.0,181.0,150.0,57.0,93.0,0.0,0.0,0.0,"Union Hall district, Franklin County, Virginia",067,96151,51
8151.0,3903.0,4248.0,7575.0,3629.0,3946.0,305.0,180.0,125.0,236.0,80.0,156.0,35.0,14.0,21.0,0.0,0.0,0.0,"Boone district, Franklin County, Virginia",067,90432,51
8216.0,3861.0,4355.0,6906.0,3130.0,3776.0,901.0,443.0,458.0,309.0,227.0,82.0,93.0,60.0,33.0,7.0,1.0,6.0,"Rocky Mount district, Franklin County, Virginia",067,95431,51
1088.0,486.0,602.0,1003.0,481.0,522.0,44.0,0.0,44.0,29.0,0.0,29.0,12.0,5.0,7.0,0.0,0.0,0.0,"Buena Vista district, King and Queen County, Virginia",097,90552,51
1689.0,885.0,804.0,1661.0,862.0,799.0,0.0,0.0,0.0,28.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,"Stevensville district, King and Queen County, Virginia",097,95903,51
1562.0,800.0,762.0,1413.0,723.0,690.0,0.0,0.0,0.0,139.0,77.0,62.0,10.0,0.0,10.0,0.0,0.0,0.0,"Shanghai district, King and Queen County, Virginia",097,95631,51
1252.0,575.0,677.0,1196.0,548.0,648.0,5.0,5.0,0.0,0.0,0.0,0.0,51.0,22.0,29.0,0.0,0.0,0.0,"Newtown district, King and Queen County, Virginia",097,94863,51
1376.0,719.0,657.0,1307.0,671.0,636.0,26.0,26.0,0.0,43.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,"St. Stephens Church district, King and Queen County, Virginia",097,95527,51
3376.0,1452.0,1924.0,3086.0,1309.0,1777.0,116.0,69.0,47.0,52.0,19.0,33.0,122.0,55.0,67.0,0.0,0.0,0.0,"District 5, Mecklenburg County, Virginia",117,91853,51
3105.0,1599.0,1506.0,2693.0,1353.0,1340.0,168.0,121.0,47.0,111.0,51.0,60.0,133.0,74.0,59.0,0.0,0.0,0.0,"District 1, Mecklenburg County, Virginia",117,91253,51
4385.0,1989.0,2396.0,4180.0,1928.0,2252.0,109.0,25.0,84.0,52.0,14.0,38.0,31.0,22.0,9.0,13.0,0.0,13.0,"District 3, Mecklenburg County, Virginia",117,91553,51
2576.0,1246.0,1330.0,2431.0,1196.0,1235.0,117.0,33.0,84.0,16.0,9.0,7.0,9.0,5.0,4.0,3.0,3.0,0.0,"District 7, Mecklenburg County, Virginia",117,92153,51
3535.0,1784.0,1751.0,3259.0,1625.0,1634.0,76.0,28.0,48.0,126.0,82.0,44.0,74.0,49.0,25.0,0.0,0.0,0.0,"District 9, Mecklenburg County, Virginia",117,92453,51
3630.0,1828.0,1802.0,3287.0,1682.0,1605.0,84.0,25.0,59.0,181.0,65.0,116.0,78.0,56.0,22.0,0.0,0.0,0.0,"District 4, Mecklenburg County, Virginia",117,91703,51
4254.0,2255.0,1999.0,3886.0,2037.0,1849.0,127.0,67.0,60.0,169.0,104.0,65.0,72.0,47.0,25.0,0.0,0.0,0.0,"District 6, Mecklenburg County, Virginia",117,92003,51
3566.0,1562.0,2004.0,3411.0,1503.0,1908.0,96.0,25.0,71.0,25.0,9.0,16.0,24.0,15.0,9.0,10.0,10.0,0.0,"District 8, Mecklenburg County, Virginia",117,92303,51
2246.0,1094.0,1152.0,2133.0,1074.0,1059.0,71.0,16.0,55.0,37.0,2.0,35.0,5.0,2.0,3.0,0.0,0.0,0.0,"District 2, Mecklenburg County, Virginia",117,91403,51
3579.0,1823.0,1756.0,3141.0,1574.0,1567.0,19.0,19.0,0.0,358.0,204.0,154.0,61.0,26.0,35.0,0.0,0.0,0.0,"District 2, New Kent County, Virginia",127,91407,51
3731.0,1806.0,1925.0,3358.0,1649.0,1709.0,31.0,17.0,14.0,144.0,43.0,101.0,198.0,97.0,101.0,0.0,0.0,0.0,"District 4, New Kent County, Virginia",127,91707,51
3952.0,1888.0,2064.0,3494.0,1604.0,1890.0,29.0,15.0,14.0,415.0,255.0,160.0,14.0,14.0,0.0,0.0,0.0,0.0,"District 1, New Kent County, Virginia",127,91257,51
3529.0,2052.0,1477.0,2795.0,1521.0,1274.0,19.0,10.0,9.0,666.0,477.0,189.0,49.0,44.0,5.0,0.0,0.0,0.0,"District 3, New Kent County, Virginia",127,91557,51
5615.0,2691.0,2924.0,4814.0,2266.0,2548.0,175.0,70.0,105.0,473.0,295.0,178.0,153.0,60.0,93.0,0.0,0.0,0.0,"District 5, New Kent County, Virginia",127,91857,51
9681.0,5622.0,4059.0,8669.0,4857.0,3812.0,262.0,121.0,141.0,537.0,523.0,14.0,203.0,121.0,82.0,10.0,0.0,10.0,"Pastures district, Augusta County, Virginia",015,94999,51
11598.0,5507.0,6091.0,10233.0,4717.0,5516.0,319.0,103.0,216.0,781.0,500.0,281.0,265.0,187.0,78.0,0.0,0.0,0.0,"Wayne district, Augusta County, Virginia",015,96271,51
9330.0,4687.0,4643.0,7446.0,3647.0,3799.0,1008.0,543.0,465.0,668.0,390.0,278.0,62.0,41.0,21.0,146.0,66.0,80.0,"Beverley Manor district, Augusta County, Virginia",015,90272,51
11222.0,5532.0,5690.0,10092.0,4993.0,5099.0,699.0,349.0,350.0,204.0,95.0,109.0,202.0,95.0,107.0,25.0,0.0,25.0,"South River district, Augusta County, Virginia",015,95791,51
10283.0,5228.0,5055.0,8907.0,4664.0,4243.0,875.0,266.0,609.0,362.0,214.0,148.0,139.0,84.0,55.0,0.0,0.0,0.0,"Riverheads district, Augusta County, Virginia",015,95335,51
10883.0,5620.0,5263.0,9823.0,5076.0,4747.0,341.0,186.0,155.0,536.0,250.0,286.0,149.0,90.0,59.0,34.0,18.0,16.0,"North River district, Augusta County, Virginia",015,94911,51
10704.0,5194.0,5510.0,9751.0,4738.0,5013.0,548.0,219.0,329.0,405.0,237.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,"Middle River district, Augusta County, Virginia",015,94671,51
1616.0,813.0,803.0,1540.0,780.0,760.0,30.0,10.0,20.0,0.0,0.0,0.0,46.0,23.0,23.0,0.0,0.0,0.0,"District 1, Cumberland County, Virginia",049,91220,51
2400.0,1248.0,1152.0,2351.0,1217.0,1134.0,23.0,20.0,3.0,11.0,11.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,"District 2, Cumberland County, Virginia",049,91370,51
1635.0,585.0,1050.0,1597.0,559.0,1038.0,22.0,22.0,0.0,16.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Cumberland County, Virginia",049,91520,51
1694.0,924.0,770.0,1596.0,829.0,767.0,28.0,28.0,0.0,45.0,42.0,3.0,25.0,25.0,0.0,0.0,0.0,0.0,"District 4, Cumberland County, Virginia",049,91670,51
2355.0,1200.0,1155.0,2129.0,1047.0,1082.0,27.0,27.0,0.0,118.0,75.0,43.0,17.0,17.0,0.0,64.0,34.0,30.0,"District 5, Cumberland County, Virginia",049,91820,51
2977.0,1539.0,1438.0,2903.0,1518.0,1385.0,71.0,21.0,50.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,"Clintwood district, Dickenson County, Virginia",051,90880,51
3166.0,1657.0,1509.0,2821.0,1408.0,1413.0,146.0,91.0,55.0,152.0,125.0,27.0,47.0,33.0,14.0,0.0,0.0,0.0,"Sand Lick district, Dickenson County, Virginia",051,95575,51
2599.0,1238.0,1361.0,2393.0,1134.0,1259.0,149.0,65.0,84.0,37.0,19.0,18.0,20.0,20.0,0.0,0.0,0.0,0.0,"Ervinton district, Dickenson County, Virginia",051,93495,51
3209.0,1706.0,1503.0,3147.0,1685.0,1462.0,53.0,12.0,41.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kenady district, Dickenson County, Virginia",051,94135,51
