B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
10113.0,9009.0,776.0,115.0,123.0,90.0,"Marana CCD, Pima County, Arizona",019,92040,04
1546.0,1337.0,152.0,0.0,52.0,5.0,"Ajo CCD, Pima County, Arizona",019,90051,04
315442.0,243927.0,56730.0,5867.0,5846.0,3072.0,"Tucson CCD, Pima County, Arizona",019,93570,04
35182.0,30370.0,3944.0,390.0,340.0,138.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
7210.0,6015.0,764.0,302.0,36.0,93.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
78046.0,62736.0,11014.0,1642.0,2306.0,348.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
1101031.0,917946.0,150224.0,6896.0,19902.0,6063.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
26557.0,23148.0,2099.0,143.0,1027.0,140.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
658.0,601.0,49.0,0.0,8.0,0.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
427.0,403.0,0.0,24.0,0.0,0.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
8974.0,7562.0,640.0,34.0,280.0,458.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
25588.0,22326.0,2228.0,95.0,536.0,403.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
1483.0,1008.0,314.0,97.0,64.0,0.0,"Payson CCD, Gila County, Arizona",007,92570,04
718.0,650.0,43.0,25.0,0.0,0.0,"Winkelman CCD, Gila County, Arizona",007,93927,04
1273.0,1171.0,99.0,0.0,3.0,0.0,"Salt River CCD, Maricopa County, Arizona",013,93060,04
7124.0,5640.0,1196.0,202.0,65.0,21.0,"Globe-Miami CCD, Gila County, Arizona",007,91495,04
1212.0,724.0,94.0,173.0,139.0,82.0,"Bonita-Klondyke CCD, Graham County, Arizona",009,90357,04
1183.0,1050.0,86.0,30.0,0.0,17.0,"Pima CCD, Graham County, Arizona",009,92652,04
9234.0,7987.0,561.0,447.0,201.0,38.0,"Safford CCD, Graham County, Arizona",009,92907,04
37481.0,33015.0,2938.0,563.0,274.0,691.0,"Nogales CCD, Santa Cruz County, Arizona",023,92295,04
551.0,507.0,6.0,14.0,0.0,24.0,"Patagonia CCD, Santa Cruz County, Arizona",023,92550,04
1963.0,1745.0,132.0,68.0,18.0,0.0,"Benson CCD, Cochise County, Arizona",003,90255,04
12235.0,9938.0,1319.0,108.0,593.0,277.0,"Sierra Vista CCD, Cochise County, Arizona",003,93182,04
4399.0,3646.0,425.0,212.0,66.0,50.0,"Willcox CCD, Cochise County, Arizona",003,93825,04
12840.0,10844.0,1439.0,372.0,104.0,81.0,"Douglas CCD, Cochise County, Arizona",003,90969,04
7759.0,6935.0,506.0,48.0,189.0,81.0,"Bisbee CCD, Cochise County, Arizona",003,90306,04
5307.0,4749.0,419.0,81.0,26.0,32.0,"Parker CCD, La Paz County, Arizona",012,92480,04
3794.0,2186.0,66.0,1121.0,90.0,331.0,"Elfrida CCD, Cochise County, Arizona",003,91122,04
438.0,397.0,19.0,11.0,3.0,8.0,"Bowie CCD, Cochise County, Arizona",003,90408,04
45.0,45.0,0.0,0.0,0.0,0.0,"Fort Apache CCD, Apache County, Arizona",001,91275,04
0.0,0.0,0.0,0.0,0.0,0.0,"Dennehotso CCD, Apache County, Arizona",001,90918,04
39.0,37.0,2.0,0.0,0.0,0.0,"Sweetwater CCD, Apache County, Arizona",001,93315,04
343.0,272.0,24.0,40.0,7.0,0.0,"Chinle CCD, Apache County, Arizona",001,90612,04
457.0,368.0,11.0,36.0,0.0,42.0,"Fort Defiance CCD, Apache County, Arizona",001,91326,04
1263.0,1080.0,100.0,52.0,31.0,0.0,"Eagar-Springerville CCD, Apache County, Arizona",001,91071,04
123.0,121.0,2.0,0.0,0.0,0.0,"Puerco CCD, Apache County, Arizona",001,92805,04
1995.0,1696.0,137.0,162.0,0.0,0.0,"St. Johns CCD, Apache County, Arizona",001,92958,04
1024.0,966.0,46.0,12.0,0.0,0.0,"Tuba City CCD, Coconino County, Arizona",005,93519,04
0.0,0.0,0.0,0.0,0.0,0.0,"Havasupai CCD, Coconino County, Arizona",005,91530,04
0.0,0.0,0.0,0.0,0.0,0.0,"Hualapai CCD, Coconino County, Arizona",005,91683,04
0.0,0.0,0.0,0.0,0.0,0.0,"Hopi CCD, Coconino County, Arizona",005,91581,04
1601.0,1433.0,61.0,62.0,35.0,10.0,"Williams CCD, Coconino County, Arizona",005,93876,04
17838.0,14135.0,1812.0,794.0,1082.0,15.0,"Prescott CCD, Yavapai County, Arizona",025,92754,04
667.0,615.0,26.0,0.0,20.0,6.0,"Congress CCD, Yavapai County, Arizona",025,90765,04
6163.0,4971.0,872.0,140.0,132.0,48.0,"Mingus Mountain CCD, Yavapai County, Arizona",025,92193,04
72282.0,57896.0,9886.0,1030.0,2416.0,1054.0,"Yuma CCD, Yuma County, Arizona",027,93978,04
3580.0,2632.0,837.0,47.0,27.0,37.0,"Wellton CCD, Yuma County, Arizona",027,93672,04
50234.0,44736.0,4219.0,297.0,248.0,734.0,"Somerton CCD, Yuma County, Arizona",027,93264,04
3387.0,2851.0,326.0,120.0,80.0,10.0,"Clifton CCD, Greenlee County, Arizona",011,90663,04
845.0,769.0,42.0,33.0,0.0,1.0,"Duncan CCD, Greenlee County, Arizona",011,91020,04
16605.0,13283.0,1776.0,814.0,436.0,296.0,"Eloy CCD, Pinal County, Arizona",021,91173,04
5803.0,4171.0,878.0,581.0,71.0,102.0,"Snowflake CCD, Navajo County, Arizona",017,93213,04
136.0,126.0,10.0,0.0,0.0,0.0,"Hopi CCD, Navajo County, Arizona",017,91632,04
158.0,134.0,0.0,21.0,3.0,0.0,"Indian Wells CCD, Navajo County, Arizona",017,91785,04
12633.0,8156.0,890.0,2089.0,443.0,1055.0,"Florence CCD, Pinal County, Arizona",021,91224,04
32382.0,25239.0,4242.0,2225.0,627.0,49.0,"North Pinal CCD, Pinal County, Arizona",021,92346,04
7237.0,5832.0,838.0,389.0,163.0,15.0,"Coolidge CCD, Pinal County, Arizona",021,90816,04
15373.0,11776.0,2316.0,788.0,469.0,24.0,"Maricopa-Stanfield CCD, Pinal County, Arizona",021,92091,04
625.0,503.0,98.0,12.0,0.0,12.0,"Gila River CCD, Pinal County, Arizona",021,91428,04
27431.0,22850.0,3473.0,813.0,240.0,55.0,"Casa Grande CCD, Pinal County, Arizona",021,90510,04
5980.0,5229.0,563.0,80.0,108.0,0.0,"San Manuel CCD, Pinal County, Arizona",021,93162,04
7576.0,5429.0,1210.0,148.0,789.0,0.0,"Kingman CCD, Mohave County, Arizona",015,91885,04
703.0,579.0,56.0,13.0,55.0,0.0,"Ash Fork CCD, Yavapai County, Arizona",025,90204,04
137.0,132.0,2.0,0.0,0.0,3.0,"Tonto National Forest CCD, Maricopa County, Arizona",013,93472,04
5013.0,4327.0,269.0,247.0,117.0,53.0,"Camp Verde-Sedona CCD, Yavapai County, Arizona",025,90484,04
16205.0,11382.0,2044.0,1758.0,962.0,59.0,"Flagstaff CCD, Coconino County, Arizona",005,91198,04
119.0,97.0,0.0,22.0,0.0,0.0,"Kaibab Plateau CCD, Coconino County, Arizona",005,91838,04
15384.0,11882.0,2674.0,379.0,446.0,3.0,"Bullhead City CCD, Mohave County, Arizona",015,90470,04
946.0,946.0,0.0,0.0,0.0,0.0,"North Mohave CCD, Mohave County, Arizona",015,92340,04
8328.0,6345.0,1392.0,123.0,444.0,24.0,"Lake Havasu City CCD, Mohave County, Arizona",015,91964,04
443.0,328.0,58.0,13.0,40.0,4.0,"Fort Apache CCD, Navajo County, Arizona",017,91279,04
5078.0,3944.0,335.0,668.0,48.0,83.0,"Winslow-Holbrook CCD, Navajo County, Arizona",017,93952,04
62.0,50.0,4.0,8.0,0.0,0.0,"Kayenta CCD, Navajo County, Arizona",017,91860,04
269.0,256.0,7.0,6.0,0.0,0.0,"San Carlos CCD, Gila County, Arizona",007,93109,04
125.0,116.0,1.0,1.0,0.0,7.0,"Tonto Basin CCD, Gila County, Arizona",007,93470,04
56.0,48.0,8.0,0.0,0.0,0.0,"Fort Apache CCD, Gila County, Arizona",007,91277,04
593.0,526.0,22.0,11.0,34.0,0.0,"Cordes Lakes-Mayer CCD, Yavapai County, Arizona",025,90840,04
104.0,66.0,0.0,0.0,38.0,0.0,"Piñon CCD, Navajo County, Arizona",017,92703,04
0.0,0.0,0.0,0.0,0.0,0.0,"Tohono O'odham Nation CCD, Pinal County, Arizona",021,93377,04
181.0,165.0,9.0,2.0,5.0,0.0,"Tohono O'odham Nation CCD, Pima County, Arizona",019,93375,04
