B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
3027.0,2123.0,305.0,585.0,14.0,0.0,"Sonora CCD, Tuolumne County, California",109,93080,06
1252.0,1156.0,21.0,72.0,0.0,3.0,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
3901.0,3526.0,193.0,182.0,0.0,0.0,"Escalon CCD, San Joaquin County, California",077,90900,06
4311.0,3510.0,549.0,213.0,39.0,0.0,"Thornton CCD, San Joaquin County, California",077,93340,06
2753.0,2552.0,136.0,42.0,0.0,23.0,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
3700.0,3092.0,539.0,39.0,30.0,0.0,"Lockeford CCD, San Joaquin County, California",077,91690,06
28876.0,24029.0,3752.0,730.0,306.0,59.0,"Lodi CCD, San Joaquin County, California",077,91700,06
159957.0,136235.0,19043.0,3606.0,870.0,203.0,"Stockton CCD, San Joaquin County, California",077,93240,06
41970.0,35608.0,4290.0,1630.0,175.0,267.0,"Manteca CCD, San Joaquin County, California",077,91870,06
4399.0,3986.0,122.0,291.0,0.0,0.0,"Ripon CCD, San Joaquin County, California",077,92620,06
40973.0,35509.0,2365.0,2900.0,142.0,57.0,"Tracy CCD, San Joaquin County, California",077,93400,06
868.0,743.0,56.0,69.0,0.0,0.0,"Sutter Creek-Plymouth CCD, Amador County, California",005,93300,06
627.0,451.0,161.0,15.0,0.0,0.0,"Jackson CCD, Amador County, California",005,91430,06
1241.0,1194.0,14.0,33.0,0.0,0.0,"Pine Grove-Silver Lake CCD, Amador County, California",005,92470,06
2094.0,1481.0,166.0,442.0,5.0,0.0,"Ione CCD, Amador County, California",005,91410,06
6578.0,5728.0,721.0,129.0,0.0,0.0,"Dos Palos CCD, Merced County, California",047,90720,06
6537.0,5747.0,587.0,142.0,19.0,42.0,"Planada-Le Grand CCD, Merced County, California",047,92500,06
28883.0,25498.0,1912.0,1198.0,275.0,0.0,"Los Banos CCD, Merced County, California",047,91760,06
52938.0,42812.0,7140.0,2572.0,271.0,143.0,"Merced CCD, Merced County, California",047,91960,06
392.0,317.0,58.0,17.0,0.0,0.0,"Snelling CCD, Merced County, California",047,93050,06
2896.0,2287.0,107.0,471.0,20.0,11.0,"Hilmar-Irwin CCD, Merced County, California",047,91290,06
4829.0,4291.0,329.0,209.0,0.0,0.0,"Gustine CCD, Merced County, California",047,91210,06
1494.0,1149.0,185.0,148.0,12.0,0.0,"Lakeport CCD, Lake County, California",033,91540,06
1003.0,817.0,22.0,156.0,8.0,0.0,"Mariposa CCD, Mariposa County, California",043,91880,06
569.0,431.0,0.0,109.0,6.0,23.0,"Coulterville CCD, Mariposa County, California",043,90600,06
88.0,86.0,0.0,2.0,0.0,0.0,"Surprise Valley CCD, Modoc County, California",049,93270,06
27636.0,22860.0,3965.0,581.0,205.0,25.0,"Atwater CCD, Merced County, California",047,90150,06
22333.0,19143.0,1805.0,1144.0,0.0,241.0,"Livingston-Delhi CCD, Merced County, California",047,91670,06
279.0,194.0,0.0,16.0,69.0,0.0,"Yuba Foothills CCD, Yuba County, California",115,93830,06
3935.0,2546.0,951.0,294.0,60.0,84.0,"Marysville CCD, Yuba County, California",115,91900,06
23.0,23.0,0.0,0.0,0.0,0.0,"Adin-Lookout CCD, Modoc County, California",049,90010,06
