B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
8023.0,7001.0,693.0,12.0,246.0,71.0,"Lower Christiana CCD, New Castle County, Delaware",003,91924,10
730.0,708.0,8.0,0.0,14.0,0.0,"Piedmont CCD, New Castle County, Delaware",003,92960,10
7590.0,5562.0,1301.0,216.0,461.0,50.0,"Wilmington CCD, New Castle County, Delaware",003,93996,10
608.0,539.0,44.0,0.0,25.0,0.0,"Red Lion CCD, New Castle County, Delaware",003,93256,10
3028.0,2302.0,300.0,69.0,342.0,15.0,"Upper Christiana CCD, New Castle County, Delaware",003,93848,10
2829.0,2213.0,211.0,0.0,354.0,51.0,"Brandywine CCD, New Castle County, Delaware",003,90148,10
2965.0,2821.0,76.0,27.0,28.0,13.0,"Middletown-Odessa CCD, New Castle County, Delaware",003,92072,10
4751.0,4300.0,386.0,1.0,58.0,6.0,"Pike Creek-Central Kirkwood CCD, New Castle County, Delaware",003,93108,10
1261.0,825.0,364.0,0.0,46.0,26.0,"Laurel-Delmar CCD, Sussex County, Delaware",005,91628,10
1278.0,1241.0,12.0,0.0,25.0,0.0,"Milton CCD, Sussex County, Delaware",005,92664,10
12284.0,10527.0,1102.0,50.0,333.0,272.0,"New Castle CCD, New Castle County, Delaware",003,92812,10
1998.0,1708.0,123.0,41.0,118.0,8.0,"Bridgeville-Greenwood CCD, Sussex County, Delaware",005,90296,10
1166.0,940.0,161.0,0.0,65.0,0.0,"Lewes CCD, Sussex County, Delaware",005,91776,10
1932.0,1713.0,178.0,4.0,37.0,0.0,"Millsboro CCD, Sussex County, Delaware",005,92516,10
2445.0,2124.0,258.0,53.0,0.0,10.0,"Seaford CCD, Sussex County, Delaware",005,93404,10
2768.0,2477.0,10.0,54.0,224.0,3.0,"Milford South CCD, Sussex County, Delaware",005,92368,10
3848.0,3652.0,39.0,74.0,83.0,0.0,"Georgetown CCD, Sussex County, Delaware",005,91036,10
255.0,237.0,0.0,0.0,18.0,0.0,"Kenton CCD, Kent County, Delaware",001,91480,10
855.0,715.0,65.0,19.0,56.0,0.0,"Milford North CCD, Kent County, Delaware",001,92220,10
590.0,514.0,0.0,22.0,54.0,0.0,"Harrington CCD, Kent County, Delaware",001,91332,10
329.0,302.0,27.0,0.0,0.0,0.0,"Felton CCD, Kent County, Delaware",001,90888,10
5902.0,4426.0,727.0,29.0,604.0,116.0,"Dover CCD, Kent County, Delaware",001,90740,10
1680.0,1457.0,63.0,29.0,111.0,20.0,"Central Kent CCD, Kent County, Delaware",001,90444,10
1942.0,1643.0,62.0,175.0,62.0,0.0,"Smyrna CCD, Kent County, Delaware",001,93700,10
6545.0,4675.0,1244.0,44.0,534.0,48.0,"Newark CCD, New Castle County, Delaware",003,92738,10
3018.0,2659.0,209.0,0.0,148.0,2.0,"Glasgow CCD, New Castle County, Delaware",003,91110,10
2816.0,2304.0,157.0,20.0,335.0,0.0,"Selbyville-Frankford CCD, Sussex County, Delaware",005,93552,10
