B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
22.0,22.0,0.0,0.0,0.0,0.0,"District 2, East Carroll Parish, Louisiana",035,94249,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 3, East Carroll Parish, Louisiana",035,94429,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 5, East Carroll Parish, Louisiana",035,94807,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 8, East Carroll Parish, Louisiana",035,95269,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, East Carroll Parish, Louisiana",035,94975,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 7, East Carroll Parish, Louisiana",035,95128,22
1408.0,1134.0,60.0,0.0,214.0,0.0,"District 11, Ascension Parish, Louisiana",005,95544,22
264.0,165.0,0.0,0.0,99.0,0.0,"District 1, Ascension Parish, Louisiana",005,94006,22
402.0,325.0,57.0,0.0,0.0,20.0,"District 3, Ascension Parish, Louisiana",005,94387,22
414.0,374.0,0.0,0.0,40.0,0.0,"District 5, Ascension Parish, Louisiana",005,94765,22
828.0,828.0,0.0,0.0,0.0,0.0,"District 8, Ascension Parish, Louisiana",005,95244,22
391.0,143.0,17.0,9.0,222.0,0.0,"District 2, Ascension Parish, Louisiana",005,94206,22
488.0,425.0,0.0,0.0,63.0,0.0,"District 4, Ascension Parish, Louisiana",005,94572,22
469.0,184.0,285.0,0.0,0.0,0.0,"District 6, Ascension Parish, Louisiana",005,94938,22
849.0,563.0,239.0,6.0,0.0,41.0,"District 10, Ascension Parish, Louisiana",005,95466,22
308.0,224.0,84.0,0.0,0.0,0.0,"District 7, Ascension Parish, Louisiana",005,95097,22
231.0,231.0,0.0,0.0,0.0,0.0,"District 9, Ascension Parish, Louisiana",005,95361,22
665.0,506.0,119.0,19.0,21.0,0.0,"District F, Lafayette Parish, Louisiana",055,95812,22
1070.0,578.0,270.0,15.0,207.0,0.0,"District A, Lafayette Parish, Louisiana",055,95737,22
1338.0,931.0,155.0,41.0,195.0,16.0,"District E, Lafayette Parish, Louisiana",055,95797,22
3434.0,2388.0,741.0,173.0,60.0,72.0,"District G, Lafayette Parish, Louisiana",055,95827,22
11.0,11.0,0.0,0.0,0.0,0.0,"District 4, Grant Parish, Louisiana",043,94618,22
17.0,15.0,0.0,0.0,0.0,2.0,"District 3, Grant Parish, Louisiana",043,94441,22
7002.0,5699.0,670.0,185.0,279.0,169.0,"District 2, Jefferson Parish, Louisiana",051,94273,22
7257.0,6266.0,612.0,78.0,279.0,22.0,"District 3, Jefferson Parish, Louisiana",051,94453,22
19992.0,17405.0,1890.0,353.0,208.0,136.0,"District 4, Jefferson Parish, Louisiana",051,94630,22
12415.0,11790.0,417.0,66.0,81.0,61.0,"District 1, Jefferson Parish, Louisiana",051,94069,22
14446.0,11939.0,1336.0,580.0,251.0,340.0,"District 5, Jefferson Parish, Louisiana",051,94829,22
174.0,174.0,0.0,0.0,0.0,0.0,"District 1, Beauregard Parish, Louisiana",011,94015,22
65.0,57.0,1.0,0.0,7.0,0.0,"District 3A, Beauregard Parish, Louisiana",011,94552,22
109.0,100.0,5.0,0.0,0.0,4.0,"District 3B, Beauregard Parish, Louisiana",011,94555,22
155.0,144.0,0.0,8.0,3.0,0.0,"District 3D, Beauregard Parish, Louisiana",011,94561,22
