B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
17.0,17.0,0.0,0.0,0.0,0.0,"Sunburst CCD, Toole County, Montana",101,93402,30
23.0,0.0,0.0,0.0,23.0,0.0,"Glacier National Park CCD, Glacier County, Montana",035,91460,30
0.0,0.0,0.0,0.0,0.0,0.0,"Fort Peck Reservation CCD, Daniels County, Montana",019,91218,30
15.0,3.0,0.0,0.0,12.0,0.0,"Lavina CCD, Golden Valley County, Montana",037,92016,30
114.0,110.0,4.0,0.0,0.0,0.0,"Cut Bank CCD, Glacier County, Montana",035,90777,30
36.0,21.0,0.0,0.0,15.0,0.0,"Baker CCD, Fallon County, Montana",025,90168,30
16.0,16.0,0.0,0.0,0.0,0.0,"Plevna CCD, Fallon County, Montana",025,92730,30
46.0,16.0,0.0,30.0,0.0,0.0,"Ryegate CCD, Golden Valley County, Montana",037,92940,30
4.0,0.0,0.0,0.0,4.0,0.0,"Stanford CCD, Judith Basin County, Montana",045,93318,30
23.0,23.0,0.0,0.0,0.0,0.0,"Geyser CCD, Judith Basin County, Montana",045,91407,30
17.0,17.0,0.0,0.0,0.0,0.0,"Hobson CCD, Judith Basin County, Montana",045,91785,30
1425.0,1181.0,106.0,91.0,47.0,0.0,"Butte CCD, Silver Bow County, Montana",093,90483,30
29.0,29.0,0.0,0.0,0.0,0.0,"Park City CCD, Stillwater County, Montana",095,92604,30
226.0,216.0,0.0,0.0,0.0,10.0,"Columbus CCD, Stillwater County, Montana",095,90693,30
73.0,53.0,18.0,0.0,2.0,0.0,"Absarokee CCD, Stillwater County, Montana",095,90021,30
2.0,2.0,0.0,0.0,0.0,0.0,"North Stillwater CCD, Stillwater County, Montana",095,92510,30
224.0,147.0,23.0,31.0,23.0,0.0,"Anaconda CCD, Deer Lodge County, Montana",023,90063,30
204.0,120.0,37.0,19.0,28.0,0.0,"Boulder CCD, Jefferson County, Montana",043,90399,30
64.0,53.0,11.0,0.0,0.0,0.0,"Whitehall CCD, Jefferson County, Montana",043,93822,30
13.0,11.0,0.0,0.0,2.0,0.0,"Drummond CCD, Granite County, Montana",039,90945,30
56.0,36.0,0.0,20.0,0.0,0.0,"Philipsburg CCD, Granite County, Montana",039,92625,30
0.0,0.0,0.0,0.0,0.0,0.0,"Circle CCD, McCone County, Montana",055,90630,30
50.0,50.0,0.0,0.0,0.0,0.0,"North McCone CCD, McCone County, Montana",055,92487,30
50.0,50.0,0.0,0.0,0.0,0.0,"Harlowton CCD, Wheatland County, Montana",107,91659,30
10.0,0.0,0.0,10.0,0.0,0.0,"Judith Gap-Shawmut CCD, Wheatland County, Montana",107,91869,30
