B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
16.0,15.0,0.0,0.0,1.0,0.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
90.0,75.0,0.0,0.0,0.0,15.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
3646.0,2832.0,409.0,200.0,183.0,22.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
67.0,37.0,21.0,0.0,9.0,0.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
827.0,767.0,33.0,11.0,7.0,9.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
2143.0,1645.0,218.0,133.0,143.0,4.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
35.0,35.0,0.0,0.0,0.0,0.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
40.0,26.0,0.0,11.0,3.0,0.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
15.0,0.0,15.0,0.0,0.0,0.0,"Powers CCD, Coos County, Oregon",011,92567,41
439.0,366.0,34.0,6.0,0.0,33.0,"Bandon CCD, Coos County, Oregon",011,90221,41
119.0,113.0,0.0,0.0,0.0,6.0,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
2745.0,2235.0,238.0,7.0,241.0,24.0,"Coos Bay CCD, Coos County, Oregon",011,90629,41
251.0,233.0,18.0,0.0,0.0,0.0,"Eastside CCD, Coos County, Oregon",011,91003,41
182.0,46.0,136.0,0.0,0.0,0.0,"Coquille CCD, Coos County, Oregon",011,90646,41
131.0,103.0,0.0,15.0,13.0,0.0,"North Bayside CCD, Coos County, Oregon",011,92159,41
151.0,151.0,0.0,0.0,0.0,0.0,"Port Orford CCD, Curry County, Oregon",015,92533,41
0.0,0.0,0.0,0.0,0.0,0.0,"Agness CCD, Curry County, Oregon",015,90051,41
591.0,262.0,27.0,0.0,302.0,0.0,"Brookings CCD, Curry County, Oregon",015,90357,41
190.0,187.0,3.0,0.0,0.0,0.0,"Gold Beach CCD, Curry County, Oregon",015,91207,41
583.0,537.0,45.0,0.0,1.0,0.0,"Harbor CCD, Curry County, Oregon",015,91275,41
85.0,85.0,0.0,0.0,0.0,0.0,"Condon CCD, Gilliam County, Oregon",021,90612,41
69.0,15.0,54.0,0.0,0.0,0.0,"Arlington CCD, Gilliam County, Oregon",021,90102,41
717.0,680.0,11.0,13.0,13.0,0.0,"Parkdale CCD, Hood River County, Oregon",027,92431,41
2902.0,2715.0,126.0,20.0,18.0,23.0,"Odell CCD, Hood River County, Oregon",027,92380,41
236.0,198.0,34.0,0.0,4.0,0.0,"Dee CCD, Hood River County, Oregon",027,90850,41
84.0,84.0,0.0,0.0,0.0,0.0,"Cascade Locks CCD, Hood River County, Oregon",027,90476,41
3181.0,3031.0,40.0,6.0,26.0,78.0,"Hood River CCD, Hood River County, Oregon",027,91343,41
183.0,133.0,0.0,0.0,50.0,0.0,"Silver Lake-Fort Rock CCD, Lake County, Oregon",037,92924,41
3.0,3.0,0.0,0.0,0.0,0.0,"Warner Valley CCD, Lake County, Oregon",037,93417,41
7.0,1.0,0.0,0.0,6.0,0.0,"Summer Lake CCD, Lake County, Oregon",037,93145,41
421.0,321.0,56.0,37.0,7.0,0.0,"Lakeview CCD, Lake County, Oregon",037,91632,41
314.0,278.0,10.0,10.0,16.0,0.0,"Corbett CCD, Multnomah County, Oregon",051,90663,41
25.0,11.0,0.0,0.0,14.0,0.0,"Skyline CCD, Multnomah County, Oregon",051,92975,41
19.0,19.0,0.0,0.0,0.0,0.0,"Cove CCD, Union County, Oregon",061,90714,41
20.0,0.0,11.0,0.0,9.0,0.0,"Starkey CCD, Union County, Oregon",061,93111,41
87.0,55.0,26.0,0.0,6.0,0.0,"Elgin CCD, Union County, Oregon",061,91037,41
914.0,811.0,48.0,34.0,21.0,0.0,"La Grande CCD, Union County, Oregon",061,91615,41
123.0,107.0,5.0,2.0,0.0,9.0,"Union CCD, Union County, Oregon",061,93281,41
112.0,99.0,5.0,8.0,0.0,0.0,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",035,93594,41
26.0,26.0,0.0,0.0,0.0,0.0,"East Marion CCD, Marion County, Oregon",047,90994,41
621.0,610.0,2.0,9.0,0.0,0.0,"Beavercreek CCD, Clackamas County, Oregon",005,90272,41
960.0,931.0,29.0,0.0,0.0,0.0,"Chehalem Mountains CCD, Washington County, Oregon",067,90510,41
61.0,36.0,20.0,5.0,0.0,0.0,"Langell Valley CCD, Klamath County, Oregon",035,91651,41
8395.0,5985.0,1896.0,198.0,238.0,78.0,"Rockcreek CCD, Washington County, Oregon",067,92678,41
183.0,181.0,2.0,0.0,0.0,0.0,"Wingville-Haines CCD, Baker County, Oregon",001,93555,41
221.0,202.0,7.0,4.0,8.0,0.0,"McKenzie River CCD, Lane County, Oregon",039,91719,41
121.0,109.0,12.0,0.0,0.0,0.0,"Middle Siuslaw River-Triangle Lake CCD, Lane County, Oregon",039,91889,41
266.0,253.0,13.0,0.0,0.0,0.0,"Florence CCD, Lane County, Oregon",039,91147,41
80.0,31.0,36.0,9.0,4.0,0.0,"Dunes City CCD, Lane County, Oregon",039,90943,41
13613.0,11607.0,1379.0,186.0,395.0,46.0,"Hermiston-Umatilla CCD, Umatilla County, Oregon",059,91334,41
59.0,52.0,7.0,0.0,0.0,0.0,"Upper Siuslaw River CCD, Lane County, Oregon",039,93300,41
1616.0,1342.0,169.0,13.0,92.0,0.0,"Prineville CCD, Crook County, Oregon",013,92592,41
1831.0,1420.0,320.0,56.0,22.0,13.0,"Newport CCD, Lincoln County, Oregon",041,92133,41
1337.0,1204.0,5.0,35.0,93.0,0.0,"Lincoln City CCD, Lincoln County, Oregon",041,91674,41
3750.0,3219.0,309.0,143.0,79.0,0.0,"Milton-Freewater CCD, Umatilla County, Oregon",059,91929,41
189.0,167.0,11.0,0.0,11.0,0.0,"Umatilla Reservation CCD, Umatilla County, Oregon",059,93270,41
52315.0,41293.0,6257.0,2108.0,2260.0,397.0,"Portland East CCD, Multnomah County, Oregon",051,92518,41
7164.0,4835.0,1087.0,343.0,553.0,346.0,"Portland West CCD, Multnomah County, Oregon",051,92520,41
27256.0,23380.0,2372.0,356.0,994.0,154.0,"Gresham CCD, Multnomah County, Oregon",051,91249,41
0.0,0.0,0.0,0.0,0.0,0.0,"West Bench CCD, Malheur County, Oregon",045,93442,41
843.0,797.0,24.0,0.0,22.0,0.0,"Sutherlin CCD, Douglas County, Oregon",019,93153,41
2076.0,1604.0,319.0,103.0,12.0,38.0,"Tillamook CCD, Tillamook County, Oregon",057,93213,41
263.0,263.0,0.0,0.0,0.0,0.0,"Neskowin CCD, Tillamook County, Oregon",057,92108,41
49.0,49.0,0.0,0.0,0.0,0.0,"Nehalem CCD, Tillamook County, Oregon",057,92091,41
419.0,406.0,5.0,8.0,0.0,0.0,"Carlton CCD, Yamhill County, Oregon",071,90459,41
1630.0,1342.0,205.0,8.0,75.0,0.0,"Dayton-Amity CCD, Yamhill County, Oregon",071,90816,41
7420.0,6120.0,792.0,197.0,239.0,72.0,"McMinnville CCD, Yamhill County, Oregon",071,91734,41
1037.0,612.0,106.0,120.0,186.0,13.0,"Sheridan CCD, Yamhill County, Oregon",071,92890,41
5299.0,4806.0,215.0,270.0,8.0,0.0,"Newberg CCD, Yamhill County, Oregon",071,92125,41
7.0,4.0,3.0,0.0,0.0,0.0,"Hereford CCD, Baker County, Oregon",001,91326,41
29.0,13.0,16.0,0.0,0.0,0.0,"Halfway CCD, Baker County, Oregon",001,91258,41
11.0,11.0,0.0,0.0,0.0,0.0,"Eagle Valley CCD, Baker County, Oregon",001,90969,41
11.0,9.0,0.0,0.0,0.0,2.0,"Huntington CCD, Baker County, Oregon",001,91377,41
379.0,258.0,26.0,20.0,75.0,0.0,"Baker City CCD, Baker County, Oregon",001,90204,41
215.0,204.0,0.0,11.0,0.0,0.0,"Williams CCD, Josephine County, Oregon",033,93519,41
731.0,543.0,22.0,0.0,166.0,0.0,"Cave Junction CCD, Josephine County, Oregon",033,90493,41
4515.0,4033.0,228.0,53.0,191.0,10.0,"Grants Pass CCD, Josephine County, Oregon",033,91241,41
261.0,174.0,4.0,81.0,0.0,2.0,"Northwest Josephine CCD, Josephine County, Oregon",033,92295,41
214.0,214.0,0.0,0.0,0.0,0.0,"Wilderville CCD, Josephine County, Oregon",033,93485,41
317.0,238.0,7.0,72.0,0.0,0.0,"Chiloquin CCD, Klamath County, Oregon",035,90527,41
5850.0,4550.0,1135.0,12.0,130.0,23.0,"Klamath Falls CCD, Klamath County, Oregon",035,91581,41
426.0,389.0,0.0,0.0,37.0,0.0,"Merrill CCD, Klamath County, Oregon",035,91870,41
707.0,602.0,96.0,3.0,6.0,0.0,"Malin CCD, Klamath County, Oregon",035,91785,41
234.0,47.0,187.0,0.0,0.0,0.0,"Keno CCD, Klamath County, Oregon",035,91564,41
203.0,150.0,0.0,27.0,0.0,26.0,"Crescent Lake CCD, Klamath County, Oregon",035,90731,41
1592.0,1251.0,198.0,84.0,59.0,0.0,"Pendleton CCD, Umatilla County, Oregon",059,92448,41
151.0,127.0,21.0,0.0,3.0,0.0,"Pilot Rock CCD, Umatilla County, Oregon",059,92465,41
33.0,16.0,0.0,0.0,17.0,0.0,"Umapine CCD, Umatilla County, Oregon",059,93264,41
75.0,75.0,0.0,0.0,0.0,0.0,"Weston CCD, Umatilla County, Oregon",059,93451,41
44.0,43.0,1.0,0.0,0.0,0.0,"Athena CCD, Umatilla County, Oregon",059,90170,41
79.0,69.0,10.0,0.0,0.0,0.0,"Siletz CCD, Lincoln County, Oregon",041,92907,41
173.0,95.0,61.0,0.0,17.0,0.0,"Toledo CCD, Lincoln County, Oregon",041,93230,41
544.0,426.0,80.0,11.0,27.0,0.0,"Waldport CCD, Lincoln County, Oregon",041,93349,41
23.0,23.0,0.0,0.0,0.0,0.0,"Eddyville CCD, Lincoln County, Oregon",041,91020,41
103.0,91.0,3.0,0.0,9.0,0.0,"Depoe Bay CCD, Lincoln County, Oregon",041,90884,41
430.0,366.0,42.0,22.0,0.0,0.0,"North Albany CCD, Benton County, Oregon",003,92142,41
219.0,168.0,51.0,0.0,0.0,0.0,"Southwest Benton CCD, Benton County, Oregon",003,93077,41
4980.0,3226.0,670.0,507.0,499.0,78.0,"Corvallis CCD, Benton County, Oregon",003,90680,41
483.0,445.0,25.0,0.0,0.0,13.0,"Southeast Benton CCD, Benton County, Oregon",003,93009,41
88.0,69.0,19.0,0.0,0.0,0.0,"North Benton CCD, Benton County, Oregon",003,92176,41
56.0,56.0,0.0,0.0,0.0,0.0,"Goble CCD, Columbia County, Oregon",009,91190,41
1484.0,1307.0,41.0,133.0,3.0,0.0,"St. Helens CCD, Columbia County, Oregon",009,92703,41
205.0,73.0,41.0,0.0,91.0,0.0,"Clatskanie CCD, Columbia County, Oregon",009,90544,41
148.0,143.0,0.0,5.0,0.0,0.0,"Rainier CCD, Columbia County, Oregon",009,92601,41
416.0,201.0,0.0,215.0,0.0,0.0,"Scappoose CCD, Columbia County, Oregon",009,92805,41
84.0,31.0,12.0,21.0,0.0,20.0,"Vernonia CCD, Columbia County, Oregon",009,93332,41
11.0,11.0,0.0,0.0,0.0,0.0,"Powell Butte CCD, Crook County, Oregon",013,92550,41
14.0,14.0,0.0,0.0,0.0,0.0,"Crooked River CCD, Crook County, Oregon",013,90765,41
35.0,31.0,0.0,4.0,0.0,0.0,"Moro CCD, Sherman County, Oregon",055,91989,41
35.0,26.0,3.0,6.0,0.0,0.0,"Wasco CCD, Sherman County, Oregon",055,93434,41
133.0,133.0,0.0,0.0,0.0,0.0,"Dufur CCD, Wasco County, Oregon",065,90935,41
54.0,35.0,0.0,0.0,19.0,0.0,"Antelope CCD, Wasco County, Oregon",065,90085,41
4075.0,3636.0,224.0,107.0,108.0,0.0,"The Dalles CCD, Wasco County, Oregon",065,93196,41
64.0,59.0,0.0,5.0,0.0,0.0,"Warm Springs CCD, Wasco County, Oregon",065,93400,41
134.0,64.0,60.0,10.0,0.0,0.0,"Drewsey CCD, Harney County, Oregon",025,90918,41
178.0,144.0,16.0,15.0,3.0,0.0,"Burns CCD, Harney County, Oregon",025,90391,41
43.0,36.0,7.0,0.0,0.0,0.0,"Diamond CCD, Harney County, Oregon",025,90901,41
182.0,162.0,20.0,0.0,0.0,0.0,"Lowell CCD, Lane County, Oregon",039,91700,41
162.0,162.0,0.0,0.0,0.0,0.0,"Oakridge CCD, Lane County, Oregon",039,92346,41
173.0,96.0,75.0,2.0,0.0,0.0,"Pleasant Hill CCD, Lane County, Oregon",039,92482,41
935.0,819.0,113.0,0.0,3.0,0.0,"Badger Mountain CCD, Lane County, Oregon",039,90187,41
142.0,114.0,17.0,10.0,0.0,1.0,"Marcola CCD, Lane County, Oregon",039,91802,41
1514.0,1436.0,47.0,0.0,31.0,0.0,"Cottage Grove CCD, Lane County, Oregon",039,90697,41
428.0,405.0,2.0,0.0,21.0,0.0,"Creswell CCD, Lane County, Oregon",039,90748,41
24469.0,17654.0,4438.0,1017.0,1100.0,260.0,"Eugene-Springfield CCD, Lane County, Oregon",039,91105,41
102.0,87.0,15.0,0.0,0.0,0.0,"Coburg CCD, Lane County, Oregon",039,90578,41
1251.0,746.0,413.0,23.0,60.0,9.0,"Junction City CCD, Lane County, Oregon",039,91513,41
42.0,42.0,0.0,0.0,0.0,0.0,"Jordan Valley CCD, Malheur County, Oregon",045,91479,41
101.0,32.0,69.0,0.0,0.0,0.0,"Owyhee CCD, Malheur County, Oregon",045,92414,41
247.0,245.0,0.0,0.0,2.0,0.0,"Dead Ox Flat CCD, Malheur County, Oregon",045,90833,41
2385.0,1683.0,459.0,142.0,77.0,24.0,"Nyssa CCD, Malheur County, Oregon",045,92329,41
684.0,565.0,75.0,0.0,44.0,0.0,"Vale CCD, Malheur County, Oregon",045,93315,41
255.0,145.0,0.0,0.0,108.0,2.0,"Adrian CCD, Malheur County, Oregon",045,90017,41
629.0,506.0,5.0,101.0,8.0,9.0,"Brogan CCD, Malheur County, Oregon",045,90340,41
5471.0,4105.0,1194.0,46.0,126.0,0.0,"Ontario CCD, Malheur County, Oregon",045,92397,41
107.0,51.0,0.0,56.0,0.0,0.0,"Malheur Junction CCD, Malheur County, Oregon",045,91768,41
0.0,0.0,0.0,0.0,0.0,0.0,"Juntura CCD, Malheur County, Oregon",045,91530,41
0.0,0.0,0.0,0.0,0.0,0.0,"Imnaha CCD, Wallowa County, Oregon",063,91394,41
46.0,26.0,20.0,0.0,0.0,0.0,"Wallowa CCD, Wallowa County, Oregon",063,93366,41
54.0,47.0,7.0,0.0,0.0,0.0,"Joseph CCD, Wallowa County, Oregon",063,91496,41
86.0,80.0,0.0,0.0,6.0,0.0,"Enterprise CCD, Wallowa County, Oregon",063,91071,41
