B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,"St. Petersburg borough, Clarion County, Pennsylvania",031,67384,42
19.0,2.0,17.0,0.0,0.0,0.0,"Strattanville borough, Clarion County, Pennsylvania",031,74728,42
0.0,0.0,0.0,0.0,0.0,0.0,"Porter township, Clarion County, Pennsylvania",031,62144,42
125.0,125.0,0.0,0.0,0.0,0.0,"Douglass township, Montgomery County, Pennsylvania",091,19672,42
543.0,471.0,50.0,6.0,0.0,16.0,"East Norriton township, Montgomery County, Pennsylvania",091,21600,42
283.0,282.0,0.0,1.0,0.0,0.0,"Lower Frederick township, Montgomery County, Pennsylvania",091,44912,42
470.0,378.0,33.0,59.0,0.0,0.0,"Lower Salford township, Montgomery County, Pennsylvania",091,45096,42
77.0,67.0,0.0,4.0,6.0,0.0,"Rockledge borough, Montgomery County, Pennsylvania",091,65568,42
1123.0,910.0,133.0,39.0,41.0,0.0,"Springfield township, Montgomery County, Pennsylvania",091,73088,42
670.0,638.0,25.0,0.0,7.0,0.0,"Towamencin township, Montgomery County, Pennsylvania",091,77152,42
10.0,10.0,0.0,0.0,0.0,0.0,"Manchester township, Wayne County, Pennsylvania",127,46856,42
58.0,55.0,0.0,3.0,0.0,0.0,"Dyberry township, Wayne County, Pennsylvania",127,20576,42
78.0,26.0,0.0,33.0,0.0,19.0,"Paupack township, Wayne County, Pennsylvania",127,58480,42
0.0,0.0,0.0,0.0,0.0,0.0,"Prompton borough, Wayne County, Pennsylvania",127,62744,42
73.0,73.0,0.0,0.0,0.0,0.0,"South Canaan township, Wayne County, Pennsylvania",127,72024,42
16.0,16.0,0.0,0.0,0.0,0.0,"Buckingham township, Wayne County, Pennsylvania",127,09824,42
123.0,59.0,0.0,13.0,51.0,0.0,"Hawley borough, Wayne County, Pennsylvania",127,33200,42
71.0,56.0,0.0,15.0,0.0,0.0,"Mount Pleasant township, Wayne County, Pennsylvania",127,51872,42
5.0,0.0,5.0,0.0,0.0,0.0,"Starrucca borough, Wayne County, Pennsylvania",127,73784,42
32.0,32.0,0.0,0.0,0.0,0.0,"Waymart borough, Wayne County, Pennsylvania",127,81712,42
31.0,12.0,0.0,0.0,19.0,0.0,"Cherry Ridge township, Wayne County, Pennsylvania",127,13096,42
17.0,17.0,0.0,0.0,0.0,0.0,"Lebanon township, Wayne County, Pennsylvania",127,42176,42
0.0,0.0,0.0,0.0,0.0,0.0,"Oregon township, Wayne County, Pennsylvania",127,57000,42
31.0,31.0,0.0,0.0,0.0,0.0,"Preston township, Wayne County, Pennsylvania",127,62600,42
323.0,323.0,0.0,0.0,0.0,0.0,"Salem township, Wayne County, Pennsylvania",127,67488,42
19.0,19.0,0.0,0.0,0.0,0.0,"Damascus township, Wayne County, Pennsylvania",127,18104,42
586.0,403.0,75.0,30.0,74.0,4.0,"Canaan township, Wayne County, Pennsylvania",127,11056,42
261.0,219.0,9.0,21.0,12.0,0.0,"Honesdale borough, Wayne County, Pennsylvania",127,35520,42
0.0,0.0,0.0,0.0,0.0,0.0,"Bethany borough, Wayne County, Pennsylvania",127,05976,42
31.0,22.0,3.0,3.0,3.0,0.0,"Texas township, Wayne County, Pennsylvania",127,76424,42
53.0,46.0,0.0,0.0,7.0,0.0,"Palmyra township, Wayne County, Pennsylvania",127,57736,42
0.0,0.0,0.0,0.0,0.0,0.0,"Pleasantville borough, Bedford County, Pennsylvania",009,61496,42
61.0,46.0,15.0,0.0,0.0,0.0,"Bedford borough, Bedford County, Pennsylvania",009,04944,42
2.0,0.0,0.0,2.0,0.0,0.0,"Lincoln township, Bedford County, Pennsylvania",009,43416,42
3.0,3.0,0.0,0.0,0.0,0.0,"Mann township, Bedford County, Pennsylvania",009,46928,42
18.0,18.0,0.0,0.0,0.0,0.0,"South Woodbury township, Bedford County, Pennsylvania",009,72656,42
6.0,6.0,0.0,0.0,0.0,0.0,"Woodbury township, Bedford County, Pennsylvania",009,86136,42
17.0,17.0,0.0,0.0,0.0,0.0,"Hyndman borough, Bedford County, Pennsylvania",009,36640,42
0.0,0.0,0.0,0.0,0.0,0.0,"East St. Clair township, Bedford County, Pennsylvania",009,21788,42
25.0,22.0,0.0,0.0,3.0,0.0,"Saxton borough, Bedford County, Pennsylvania",009,68072,42
127.0,127.0,0.0,0.0,0.0,0.0,"East Hanover township, Dauphin County, Pennsylvania",043,21208,42
488.0,476.0,12.0,0.0,0.0,0.0,"Highspire borough, Dauphin County, Pennsylvania",043,34664,42
33.0,25.0,2.0,0.0,0.0,6.0,"Pillow borough, Dauphin County, Pennsylvania",043,60264,42
36.0,36.0,0.0,0.0,0.0,0.0,"Wiconisco township, Dauphin County, Pennsylvania",043,84976,42
11.0,11.0,0.0,0.0,0.0,0.0,"Berrysburg borough, Dauphin County, Pennsylvania",043,05856,42
665.0,616.0,8.0,40.0,1.0,0.0,"Lower Swatara township, Dauphin County, Pennsylvania",043,45120,42
215.0,145.0,42.0,0.0,22.0,6.0,"Hummelstown borough, Dauphin County, Pennsylvania",043,36232,42
8.0,0.0,0.0,0.0,8.0,0.0,"Millersburg borough, Dauphin County, Pennsylvania",043,49680,42
29.0,25.0,2.0,2.0,0.0,0.0,"Dauphin borough, Dauphin County, Pennsylvania",043,18272,42
