B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
13793.0,11076.0,1630.0,965.0,77.0,45.0,"Sonora CCD, Tuolumne County, California",109,93080,06
11533.0,10284.0,574.0,619.0,39.0,17.0,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
9255.0,8046.0,855.0,292.0,62.0,0.0,"Escalon CCD, San Joaquin County, California",077,90900,06
4520.0,3714.0,391.0,199.0,216.0,0.0,"Thornton CCD, San Joaquin County, California",077,93340,06
3093.0,2918.0,135.0,40.0,0.0,0.0,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
7257.0,6559.0,433.0,233.0,20.0,12.0,"Lockeford CCD, San Joaquin County, California",077,91690,06
41325.0,35640.0,3748.0,1165.0,729.0,43.0,"Lodi CCD, San Joaquin County, California",077,91700,06
80745.0,68542.0,8350.0,2459.0,1134.0,260.0,"Stockton CCD, San Joaquin County, California",077,93240,06
41171.0,35981.0,3154.0,1237.0,710.0,89.0,"Manteca CCD, San Joaquin County, California",077,91870,06
11876.0,10586.0,481.0,601.0,182.0,26.0,"Ripon CCD, San Joaquin County, California",077,92620,06
38718.0,33032.0,2617.0,2250.0,678.0,141.0,"Tracy CCD, San Joaquin County, California",077,93400,06
7088.0,6338.0,395.0,289.0,29.0,37.0,"Sutter Creek-Plymouth CCD, Amador County, California",005,93300,06
6278.0,5258.0,439.0,497.0,84.0,0.0,"Jackson CCD, Amador County, California",005,91430,06
8039.0,7284.0,325.0,310.0,120.0,0.0,"Pine Grove-Silver Lake CCD, Amador County, California",005,92470,06
7969.0,6562.0,597.0,761.0,49.0,0.0,"Ione CCD, Amador County, California",005,91410,06
2033.0,1826.0,175.0,32.0,0.0,0.0,"Dos Palos CCD, Merced County, California",047,90720,06
991.0,898.0,87.0,4.0,2.0,0.0,"Planada-Le Grand CCD, Merced County, California",047,92500,06
9950.0,8906.0,566.0,362.0,116.0,0.0,"Los Banos CCD, Merced County, California",047,91760,06
30451.0,25280.0,3455.0,1342.0,351.0,23.0,"Merced CCD, Merced County, California",047,91960,06
548.0,548.0,0.0,0.0,0.0,0.0,"Snelling CCD, Merced County, California",047,93050,06
