B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
8368.0,7514.0,600.0,20.0,197.0,37.0,"Redding town, Fairfield County, Connecticut",001,63480,09
33574.0,31973.0,996.0,259.0,346.0,0.0,"Stratford town, Fairfield County, Connecticut",001,74190,09
63096.0,54109.0,5068.0,374.0,3036.0,509.0,"Stamford town, Fairfield County, Connecticut",001,73070,09
17932.0,15860.0,1594.0,26.0,408.0,44.0,"New Canaan town, Fairfield County, Connecticut",001,50580,09
12466.0,11801.0,287.0,0.0,366.0,12.0,"New Fairfield town, Fairfield County, Connecticut",001,50860,09
24761.0,22949.0,979.0,322.0,446.0,65.0,"Newtown town, Fairfield County, Connecticut",001,52980,09
8953.0,8351.0,335.0,32.0,188.0,47.0,"Weston town, Fairfield County, Connecticut",001,83430,09
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Fairfield County, Connecticut",001,00000,09
6985.0,6568.0,320.0,12.0,74.0,11.0,"Easton town, Fairfield County, Connecticut",001,23890,09
15869.0,14281.0,873.0,22.0,644.0,49.0,"Wilton town, Fairfield County, Connecticut",001,86370,09
31317.0,26434.0,2646.0,780.0,1242.0,215.0,"Bridgeport town, Fairfield County, Connecticut",001,08070,09
18973.0,17114.0,945.0,43.0,734.0,137.0,"Darien town, Fairfield County, Connecticut",001,18850,09
52015.0,46616.0,3191.0,369.0,1506.0,333.0,"Fairfield town, Fairfield County, Connecticut",001,26620,09
16174.0,15114.0,801.0,155.0,104.0,0.0,"Bethel town, Fairfield County, Connecticut",001,04720,09
22223.0,20296.0,1099.0,168.0,499.0,161.0,"Ridgefield town, Fairfield County, Connecticut",001,63970,09
35740.0,32225.0,2132.0,595.0,730.0,58.0,"Shelton town, Fairfield County, Connecticut",001,68170,09
23595.0,21358.0,1131.0,96.0,915.0,95.0,"Westport town, Fairfield County, Connecticut",001,83500,09
43327.0,39046.0,2357.0,339.0,1227.0,358.0,"Danbury town, Fairfield County, Connecticut",001,18500,09
5400.0,5108.0,254.0,0.0,38.0,0.0,"Beacon Falls town, New Haven County, Connecticut",009,03250,09
27731.0,23969.0,2347.0,469.0,772.0,174.0,"West Haven town, New Haven County, Connecticut",009,82870,09
4740.0,4486.0,218.0,24.0,12.0,0.0,"Bethany town, New Haven County, Connecticut",009,04580,09
22197.0,19827.0,1803.0,205.0,350.0,12.0,"East Haven town, New Haven County, Connecticut",009,22910,09
20236.0,18641.0,923.0,304.0,343.0,25.0,"Guilford town, New Haven County, Connecticut",009,34950,09
16924.0,15243.0,931.0,288.0,271.0,191.0,"Madison town, New Haven County, Connecticut",009,44560,09
6597.0,6303.0,203.0,86.0,5.0,0.0,"Middlebury town, New Haven County, Connecticut",009,46940,09
15193.0,14564.0,321.0,197.0,111.0,0.0,"Wolcott town, New Haven County, Connecticut",009,87560,09
38025.0,35453.0,1911.0,290.0,370.0,1.0,"Wallingford town, New Haven County, Connecticut",009,78740,09
6764.0,6166.0,267.0,114.0,209.0,8.0,"Woodbridge town, New Haven County, Connecticut",009,87700,09
11783.0,11137.0,371.0,203.0,72.0,0.0,"Ansonia town, New Haven County, Connecticut",009,01220,09
23228.0,21588.0,1243.0,219.0,170.0,8.0,"Naugatuck town, New Haven County, Connecticut",009,49950,09
12037.0,11347.0,470.0,76.0,144.0,0.0,"Orange town, New Haven County, Connecticut",009,57600,09
11595.0,11117.0,324.0,124.0,0.0,30.0,"Oxford town, New Haven County, Connecticut",009,58300,09
8639.0,7824.0,370.0,316.0,116.0,13.0,"Prospect town, New Haven County, Connecticut",009,62290,09
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, New Haven County, Connecticut",009,00000,09
24748.0,21682.0,2320.0,387.0,302.0,57.0,"Branford town, New Haven County, Connecticut",009,07310,09
8398.0,7671.0,382.0,319.0,13.0,13.0,"Derby town, New Haven County, Connecticut",009,19550,09
37523.0,34961.0,2028.0,264.0,258.0,12.0,"Meriden town, New Haven County, Connecticut",009,46520,09
39482.0,30774.0,4411.0,1087.0,2416.0,794.0,"New Haven town, New Haven County, Connecticut",009,52070,09
17242.0,16100.0,493.0,414.0,226.0,9.0,"Southbury town, New Haven County, Connecticut",009,69640,09
23834.0,22148.0,949.0,393.0,329.0,15.0,"Cheshire town, New Haven County, Connecticut",009,14160,09
12652.0,11864.0,569.0,219.0,0.0,0.0,"North Branford town, New Haven County, Connecticut",009,53890,09
3411.0,3186.0,185.0,11.0,29.0,0.0,"Sherman town, Fairfield County, Connecticut",001,68310,09
