B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
1605.0,1491.0,54.0,44.0,16.0,0.0,"Cunningham CCD, Carlisle County, Kentucky",039,90968,21
2035.0,1665.0,269.0,82.0,11.0,8.0,"Prestonville CCD, Carroll County, Kentucky",041,92840,21
1301.0,1254.0,27.0,19.0,1.0,0.0,"Arlington CCD, Carlisle County, Kentucky",039,90080,21
7298.0,5825.0,849.0,397.0,227.0,0.0,"Carrollton CCD, Carroll County, Kentucky",041,90608,21
2825.0,2335.0,336.0,136.0,0.0,18.0,"Kirkmansville CCD, Todd County, Kentucky",219,91928,21
1656.0,1502.0,134.0,18.0,2.0,0.0,"Bardwell CCD, Carlisle County, Kentucky",039,90160,21
1317.0,1224.0,55.0,23.0,15.0,0.0,"Ravenna CCD, Estill County, Kentucky",065,92888,21
6701.0,6102.0,329.0,162.0,108.0,0.0,"Albany CCD, Clinton County, Kentucky",053,90032,21
2978.0,2775.0,109.0,94.0,0.0,0.0,"Cumberland City CCD, Clinton County, Kentucky",053,90944,21
5846.0,5040.0,305.0,471.0,30.0,0.0,"Irvine CCD, Estill County, Kentucky",065,91816,21
7761.0,6467.0,601.0,408.0,274.0,11.0,"Warsaw CCD, Gallatin County, Kentucky",077,93616,21
2903.0,2611.0,67.0,140.0,66.0,19.0,"Paint Lick CCD, Garrard County, Kentucky",079,92664,21
6896.0,5831.0,693.0,366.0,0.0,6.0,"Lancaster CCD, Garrard County, Kentucky",079,91976,21
6262.0,5798.0,210.0,202.0,37.0,15.0,"Bryantsville CCD, Garrard County, Kentucky",079,90400,21
3797.0,3586.0,99.0,87.0,13.0,12.0,"Salvisa-McAfee CCD, Mercer County, Kentucky",167,93064,21
6431.0,5943.0,224.0,195.0,69.0,0.0,"Butler CCD, Pendleton County, Kentucky",191,90472,21
3259.0,2689.0,279.0,242.0,23.0,26.0,"Burgin CCD, Mercer County, Kentucky",167,90424,21
12232.0,10235.0,854.0,912.0,175.0,56.0,"Harrodsburg CCD, Mercer County, Kentucky",167,91624,21
4859.0,4208.0,333.0,137.0,181.0,0.0,"Falmouth CCD, Pendleton County, Kentucky",191,91200,21
2019.0,1836.0,110.0,67.0,6.0,0.0,"Mount Olivet CCD, Robertson County, Kentucky",201,92408,21
1651.0,1639.0,0.0,12.0,0.0,0.0,"Bryan CCD, Russell County, Kentucky",207,90384,21
3632.0,3420.0,169.0,43.0,0.0,0.0,"Eli CCD, Russell County, Kentucky",207,91120,21
7754.0,6872.0,315.0,531.0,36.0,0.0,"Springfield CCD, Washington County, Kentucky",229,93328,21
3788.0,3376.0,267.0,104.0,33.0,8.0,"Jamestown CCD, Russell County, Kentucky",207,91864,21
7407.0,6523.0,661.0,209.0,14.0,0.0,"Russell Springs CCD, Russell County, Kentucky",207,92984,21
5473.0,4853.0,213.0,407.0,0.0,0.0,"Taylorsville CCD, Spencer County, Kentucky",215,93448,21
2743.0,2491.0,124.0,43.0,85.0,0.0,"Willisburg CCD, Washington County, Kentucky",229,93728,21
1802.0,1513.0,42.0,118.0,129.0,0.0,"Sharpsburg CCD, Bath County, Kentucky",011,93144,21
3622.0,3204.0,347.0,69.0,2.0,0.0,"Salt Lick CCD, Bath County, Kentucky",011,93056,21
6062.0,5092.0,573.0,383.0,0.0,14.0,"Owingsville CCD, Bath County, Kentucky",011,92640,21
1943.0,1708.0,98.0,41.0,96.0,0.0,"Wickliffe CCD, Ballard County, Kentucky",007,93696,21
1270.0,1159.0,76.0,35.0,0.0,0.0,"Barlow CCD, Ballard County, Kentucky",007,90168,21
4300.0,3799.0,199.0,199.0,103.0,0.0,"La Center CCD, Ballard County, Kentucky",007,91952,21
3357.0,3065.0,133.0,71.0,64.0,24.0,"Rocky Hill CCD, Barren County, Kentucky",009,92944,21
18644.0,15793.0,1663.0,844.0,344.0,0.0,"Glasgow CCD, Barren County, Kentucky",009,91408,21
3469.0,3190.0,40.0,82.0,157.0,0.0,"Tracy CCD, Barren County, Kentucky",009,93496,21
6356.0,5374.0,591.0,333.0,58.0,0.0,"Cave City CCD, Barren County, Kentucky",009,90640,21
3206.0,3001.0,79.0,107.0,19.0,0.0,"Hiseville CCD, Barren County, Kentucky",009,91744,21
3665.0,3420.0,193.0,9.0,43.0,0.0,"Temple Hill CCD, Barren County, Kentucky",009,93464,21
4502.0,3936.0,448.0,72.0,46.0,0.0,"Junction City CCD, Boyle County, Kentucky",021,91896,21
16827.0,13334.0,1624.0,1247.0,585.0,37.0,"Danville CCD, Boyle County, Kentucky",021,91000,21
4061.0,3270.0,707.0,54.0,30.0,0.0,"Perryville CCD, Boyle County, Kentucky",021,92744,21
1530.0,1366.0,25.0,131.0,8.0,0.0,"Gresham CCD, Green County, Kentucky",087,91536,21
3716.0,3366.0,169.0,181.0,0.0,0.0,"Greensburg CCD, Green County, Kentucky",087,91504,21
2373.0,2150.0,189.0,29.0,5.0,0.0,"Donansburg CCD, Green County, Kentucky",087,91064,21
2662.0,2330.0,234.0,56.0,28.0,14.0,"Summersville CCD, Green County, Kentucky",087,93408,21
2676.0,2358.0,95.0,150.0,73.0,0.0,"Patesville CCD, Hancock County, Kentucky",091,92696,21
3219.0,2915.0,76.0,206.0,22.0,0.0,"Lewisport CCD, Hancock County, Kentucky",091,92032,21
2373.0,2234.0,82.0,28.0,29.0,0.0,"Hawesville CCD, Hancock County, Kentucky",091,91640,21
2040.0,1944.0,96.0,0.0,0.0,0.0,"Cawood CCD, Harlan County, Kentucky",095,90648,21
12682.0,11426.0,774.0,373.0,109.0,0.0,"Harlan CCD, Harlan County, Kentucky",095,91608,21
967.0,891.0,39.0,37.0,0.0,0.0,"Alva CCD, Harlan County, Kentucky",095,90056,21
2544.0,2435.0,90.0,19.0,0.0,0.0,"Wallins Creek CCD, Harlan County, Kentucky",095,93584,21
1093.0,1024.0,48.0,21.0,0.0,0.0,"Poor Fork CCD, Harlan County, Kentucky",095,92824,21
1155.0,1095.0,58.0,0.0,2.0,0.0,"Pine Mountain CCD, Harlan County, Kentucky",095,92792,21
4273.0,3746.0,401.0,97.0,29.0,0.0,"Cumberland CCD, Harlan County, Kentucky",095,90936,21
3492.0,3054.0,235.0,78.0,125.0,0.0,"Warfield CCD, Martin County, Kentucky",159,93600,21
3621.0,3065.0,271.0,277.0,3.0,5.0,"Sonora CCD, Hardin County, Kentucky",093,93264,21
859.0,686.0,20.0,91.0,60.0,2.0,"West Point CCD, Hardin County, Kentucky",093,93664,21
41064.0,33770.0,4778.0,1388.0,998.0,130.0,"Elizabethtown CCD, Hardin County, Kentucky",093,91128,21
