B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
164.0,155.0,9.0,0.0,0.0,0.0,"Enterprise township, Linn County, Missouri",115,22438,29
179.0,179.0,0.0,0.0,0.0,0.0,"Grantsville township, Linn County, Missouri",115,28612,29
87.0,84.0,0.0,3.0,0.0,0.0,"North Salem township, Linn County, Missouri",115,53300,29
396.0,350.0,25.0,12.0,9.0,0.0,"Benton township, Linn County, Missouri",115,04726,29
151.0,131.0,20.0,0.0,0.0,0.0,"Jackson township, Linn County, Missouri",115,35864,29
778.0,737.0,31.0,8.0,2.0,0.0,"Parson Creek township, Linn County, Missouri",115,56378,29
383.0,368.0,15.0,0.0,0.0,0.0,"Yellow Creek township, Linn County, Missouri",115,81304,29
4898.0,4206.0,423.0,232.0,30.0,7.0,"Willow Springs township, Howell County, Missouri",091,80116,29
1633.0,1536.0,61.0,17.0,19.0,0.0,"Benton township, Howell County, Missouri",091,04690,29
1212.0,1212.0,0.0,0.0,0.0,0.0,"South Fork township, Howell County, Missouri",091,68780,29
1570.0,1376.0,67.0,127.0,0.0,0.0,"Dry Creek township, Howell County, Missouri",091,20188,29
18127.0,15140.0,2057.0,767.0,163.0,0.0,"Howell township, Howell County, Missouri",091,33382,29
1638.0,1479.0,108.0,7.0,39.0,5.0,"Sisson township, Howell County, Missouri",091,68078,29
557.0,536.0,18.0,3.0,0.0,0.0,"Myatt township, Howell County, Missouri",091,50960,29
3825.0,3388.0,262.0,139.0,6.0,30.0,"Goldsberry township, Howell County, Missouri",091,27748,29
1223.0,1062.0,38.0,98.0,25.0,0.0,"Kingsville township, Johnson County, Missouri",101,38936,29
604.0,505.0,55.0,21.0,23.0,0.0,"Rose Hill township, Johnson County, Missouri",101,63146,29
19873.0,12762.0,3829.0,2555.0,579.0,148.0,"Warrensburg township, Johnson County, Missouri",101,77110,29
6412.0,4179.0,711.0,249.0,1016.0,257.0,"Washington township, Johnson County, Missouri",101,77524,29
5033.0,4608.0,18.0,281.0,126.0,0.0,"Jackson township, Johnson County, Missouri",101,35846,29
630.0,613.0,9.0,0.0,8.0,0.0,"Jefferson township, Johnson County, Missouri",101,36836,29
1236.0,988.0,125.0,108.0,15.0,0.0,"Chilhowee township, Johnson County, Missouri",101,13672,29
484.0,414.0,13.0,41.0,16.0,0.0,"Simpson township, Johnson County, Missouri",101,68006,29
711.0,671.0,0.0,40.0,0.0,0.0,"Columbus township, Johnson County, Missouri",101,15724,29
454.0,454.0,0.0,0.0,0.0,0.0,"Grover township, Johnson County, Missouri",101,29620,29
2019.0,1755.0,149.0,45.0,62.0,8.0,"Post Oak township, Johnson County, Missouri",101,59312,29
2989.0,2600.0,177.0,188.0,12.0,12.0,"Madison township, Johnson County, Missouri",101,45434,29
2115.0,1995.0,114.0,0.0,6.0,0.0,"Auglaize township, Laclede County, Missouri",105,02494,29
17297.0,15215.0,1124.0,631.0,298.0,29.0,"Lebanon township, Laclede County, Missouri",105,41186,29
686.0,686.0,0.0,0.0,0.0,0.0,"Eldridge township, Laclede County, Missouri",105,21556,29
683.0,558.0,47.0,26.0,52.0,0.0,"Gasconade township, Laclede County, Missouri",105,26596,29
1708.0,1629.0,67.0,12.0,0.0,0.0,"Washington township, Laclede County, Missouri",105,77542,29
834.0,613.0,18.0,112.0,91.0,0.0,"Franklin township, Laclede County, Missouri",105,25660,29
366.0,355.0,0.0,11.0,0.0,0.0,"Chapel township, Howell County, Missouri",091,13168,29
927.0,883.0,43.0,1.0,0.0,0.0,"Hutton Valley township, Howell County, Missouri",091,34120,29
556.0,477.0,74.0,5.0,0.0,0.0,"Siloam Springs township, Howell County, Missouri",091,67844,29
2120.0,1903.0,152.0,30.0,28.0,7.0,"Spring Creek township, Howell County, Missouri",091,69644,29
1255.0,1165.0,38.0,52.0,0.0,0.0,"Hazel Hill township, Johnson County, Missouri",101,31240,29
1635.0,1304.0,159.0,168.0,4.0,0.0,"Centerview township, Johnson County, Missouri",101,12700,29
1302.0,1217.0,30.0,0.0,55.0,0.0,"Montserrat township, Johnson County, Missouri",101,49700,29
1657.0,1354.0,76.0,181.0,46.0,0.0,"Union township, Laclede County, Missouri",105,74734,29
3970.0,3563.0,315.0,65.0,27.0,0.0,"Spring Hollow township, Laclede County, Missouri",105,70072,29
637.0,593.0,15.0,29.0,0.0,0.0,"Prairie township, Howard County, Missouri",089,59546,29
1903.0,1703.0,62.0,112.0,21.0,5.0,"Franklin township, Howard County, Missouri",089,25642,29
2935.0,2536.0,114.0,223.0,62.0,0.0,"Richmond township, Howard County, Missouri",089,61652,29
923.0,880.0,17.0,26.0,0.0,0.0,"Moniteau township, Howard County, Missouri",089,49232,29
524.0,429.0,50.0,32.0,13.0,0.0,"May/Smith township, Laclede County, Missouri",105,46937,29
1754.0,1505.0,200.0,44.0,0.0,5.0,"Phillipsburg township, Laclede County, Missouri",105,57386,29
91348.0,70013.0,10687.0,3649.0,6747.0,252.0,"Kaw township, Jackson County, Missouri",095,38054,29
106130.0,95898.0,7147.0,1769.0,1125.0,191.0,"Blue township, Jackson County, Missouri",095,06490,29
28251.0,23124.0,2332.0,1457.0,1268.0,70.0,"Washington township, Jackson County, Missouri",095,77506,29
69510.0,61667.0,5647.0,1056.0,1061.0,79.0,"Sni-A-Bar township, Jackson County, Missouri",095,68438,29
7720.0,7087.0,429.0,88.0,116.0,0.0,"Van Buren township, Jackson County, Missouri",095,75598,29
85561.0,76312.0,6202.0,1498.0,1401.0,148.0,"Prairie township, Jackson County, Missouri",095,59564,29
6234.0,5533.0,581.0,68.0,52.0,0.0,"Fort Osage township, Jackson County, Missouri",095,25282,29
31048.0,27672.0,2095.0,541.0,692.0,48.0,"Brooking township, Jackson County, Missouri",095,08686,29
416.0,383.0,33.0,0.0,0.0,0.0,"Hoberg township, Lawrence County, Missouri",109,32428,29
9039.0,7310.0,815.0,459.0,435.0,20.0,"Aurora township, Lawrence County, Missouri",109,02566,29
331.0,331.0,0.0,0.0,0.0,0.0,"Red Oak township, Lawrence County, Missouri",109,61040,29
5403.0,4742.0,236.0,320.0,78.0,27.0,"Pierce township, Lawrence County, Missouri",109,57440,29
995.0,970.0,25.0,0.0,0.0,0.0,"Vineyard township, Lawrence County, Missouri",109,76228,29
3192.0,2187.0,488.0,298.0,213.0,6.0,"Buck Prairie township, Lawrence County, Missouri",109,09442,29
1415.0,1258.0,136.0,7.0,12.0,2.0,"Spring River township, Lawrence County, Missouri",109,70090,29
293.0,271.0,8.0,0.0,14.0,0.0,"Grand River township, Daviess County, Missouri",061,28270,29
96.0,86.0,2.0,8.0,0.0,0.0,"Washington township, Daviess County, Missouri",061,77362,29
1245.0,1131.0,14.0,63.0,33.0,4.0,"Jamesport township, Daviess County, Missouri",061,36350,29
103.0,91.0,7.0,0.0,5.0,0.0,"Bigelow township, Holt County, Missouri",087,05482,29
107.0,89.0,0.0,2.0,16.0,0.0,"Minton township, Holt County, Missouri",087,48836,29
203.0,203.0,0.0,0.0,0.0,0.0,"Liberty township, Holt County, Missouri",087,42140,29
325.0,285.0,18.0,17.0,5.0,0.0,"Union township, Holt County, Missouri",087,74680,29
1439.0,1220.0,96.0,100.0,23.0,0.0,"Benton township, Holt County, Missouri",087,04672,29
306.0,245.0,36.0,22.0,0.0,3.0,"Forest township, Holt County, Missouri",087,25048,29
123.0,123.0,0.0,0.0,0.0,0.0,"Hickory township, Holt County, Missouri",087,31852,29
63.0,53.0,10.0,0.0,0.0,0.0,"Nodaway township, Holt County, Missouri",087,52706,29
385.0,347.0,4.0,34.0,0.0,0.0,"Freistatt township, Lawrence County, Missouri",109,25930,29
931.0,870.0,38.0,23.0,0.0,0.0,"Mount Pleasant township, Lawrence County, Missouri",109,50582,29
1155.0,1153.0,0.0,0.0,2.0,0.0,"Turnback township, Lawrence County, Missouri",109,74104,29
7077.0,6027.0,564.0,283.0,203.0,0.0,"Mount Vernon township, Lawrence County, Missouri",109,50690,29
1406.0,1268.0,42.0,82.0,14.0,0.0,"Ozark township, Lawrence County, Missouri",109,55784,29
1725.0,1474.0,95.0,150.0,6.0,0.0,"Lincoln township, Lawrence County, Missouri",109,42806,29
7687.0,6543.0,470.0,526.0,148.0,0.0,"Saline township, Miller County, Missouri",131,65342,29
1089.0,985.0,58.0,31.0,15.0,0.0,"Equality township, Miller County, Missouri",131,22528,29
5889.0,4985.0,264.0,510.0,130.0,0.0,"Glaze township, Miller County, Missouri",131,27244,29
1205.0,1129.0,76.0,0.0,0.0,0.0,"Jim Henry township, Miller County, Missouri",131,37322,29
1725.0,1632.0,58.0,35.0,0.0,0.0,"Osage township, Miller County, Missouri",131,55172,29
3329.0,2992.0,156.0,38.0,143.0,0.0,"Richwoods township, Miller County, Missouri",131,61778,29
2488.0,2388.0,53.0,47.0,0.0,0.0,"Franklin township, Miller County, Missouri",131,25678,29
312.0,300.0,0.0,12.0,0.0,0.0,"Jefferson township, Harrison County, Missouri",081,36818,29
200.0,196.0,0.0,0.0,4.0,0.0,"Trail Creek township, Harrison County, Missouri",081,73744,29
126.0,105.0,21.0,0.0,0.0,0.0,"Butler township, Harrison County, Missouri",081,10072,29
84.0,73.0,11.0,0.0,0.0,0.0,"Clay township, Harrison County, Missouri",081,14392,29
98.0,98.0,0.0,0.0,0.0,0.0,"Hamilton township, Harrison County, Missouri",081,30070,29
90.0,90.0,0.0,0.0,0.0,0.0,"Lincoln township, Harrison County, Missouri",081,42752,29
90.0,87.0,0.0,3.0,0.0,0.0,"Washington township, Harrison County, Missouri",081,77488,29
125.0,122.0,3.0,0.0,0.0,0.0,"Adams township, Harrison County, Missouri",081,00226,29
361.0,325.0,14.0,22.0,0.0,0.0,"White Oak township, Harrison County, Missouri",081,79486,29
341.0,327.0,14.0,0.0,0.0,0.0,"Sherman township, Harrison County, Missouri",081,67448,29
3189.0,2497.0,375.0,127.0,178.0,12.0,"Bethany township, Harrison County, Missouri",081,05086,29
359.0,293.0,0.0,66.0,0.0,0.0,"Dallas township, Harrison County, Missouri",081,18064,29
296.0,287.0,0.0,9.0,0.0,0.0,"Green township, Lawrence County, Missouri",109,28972,29
589.0,554.0,5.0,8.0,22.0,0.0,"Colfax township, Harrison County, Missouri",081,15508,29
42.0,42.0,0.0,0.0,0.0,0.0,"Fox Creek township, Harrison County, Missouri",081,25455,29
472.0,448.0,2.0,22.0,0.0,0.0,"Jefferson township, Daviess County, Missouri",061,36782,29
655.0,571.0,16.0,58.0,10.0,0.0,"Liberty township, Daviess County, Missouri",061,42104,29
1961.0,1681.0,161.0,79.0,40.0,0.0,"Union township, Daviess County, Missouri",061,74590,29
431.0,417.0,8.0,4.0,2.0,0.0,"Grant township, Harrison County, Missouri",081,28486,29
305.0,287.0,13.0,1.0,4.0,0.0,"Madison township, Harrison County, Missouri",081,45398,29
119.0,119.0,0.0,0.0,0.0,0.0,"Cypress township, Harrison County, Missouri",081,17956,29
323.0,264.0,48.0,7.0,0.0,4.0,"Marion township, Harrison County, Missouri",081,46046,29
510.0,452.0,39.0,9.0,10.0,0.0,"Sugar Creek township, Harrison County, Missouri",081,71350,29
417.0,373.0,29.0,8.0,7.0,0.0,"Union township, Harrison County, Missouri",081,74662,29
1685.0,1479.0,78.0,117.0,11.0,0.0,"Dover township, Lafayette County, Missouri",107,19936,29
7205.0,6523.0,349.0,271.0,22.0,40.0,"Sni-A-Bar township, Lafayette County, Missouri",107,68456,29
4494.0,3719.0,545.0,145.0,57.0,28.0,"Davis township, Lafayette County, Missouri",107,18406,29
2246.0,2181.0,49.0,16.0,0.0,0.0,"Washington township, Lafayette County, Missouri",107,77560,29
4606.0,3737.0,238.0,307.0,324.0,0.0,"Clay township, Lafayette County, Missouri",107,14428,29
1485.0,1302.0,58.0,86.0,38.0,1.0,"Middleton township, Lafayette County, Missouri",107,47882,29
4621.0,3650.0,290.0,484.0,168.0,29.0,"Lexington township, Lafayette County, Missouri",107,41888,29
3392.0,2967.0,205.0,157.0,60.0,3.0,"Freedom township, Lafayette County, Missouri",107,25858,29
294.0,259.0,0.0,9.0,26.0,0.0,"Chalk Level township, St. Clair County, Missouri",185,13024,29
412.0,362.0,6.0,10.0,34.0,0.0,"Speedwell township, St. Clair County, Missouri",185,69356,29
166.0,157.0,9.0,0.0,0.0,0.0,"Taber township, St. Clair County, Missouri",185,72124,29
582.0,482.0,27.0,21.0,52.0,0.0,"Roscoe township, St. Clair County, Missouri",185,63092,29
544.0,459.0,16.0,32.0,37.0,0.0,"Collins township, St. Clair County, Missouri",185,15580,29
242.0,224.0,14.0,4.0,0.0,0.0,"Monegaw township, St. Clair County, Missouri",185,49142,29
1346.0,1171.0,83.0,67.0,20.0,5.0,"Appleton township, St. Clair County, Missouri",185,01504,29
530.0,490.0,33.0,0.0,0.0,7.0,"Doyal township, St. Clair County, Missouri",185,20008,29
574.0,403.0,11.0,53.0,107.0,0.0,"Jackson township, St. Clair County, Missouri",185,36080,29
5479.0,4462.0,708.0,73.0,236.0,0.0,"Liberty township, Pulaski County, Missouri",169,42266,29
24247.0,13840.0,1678.0,729.0,7088.0,912.0,"Cullen township, Pulaski County, Missouri",169,17740,29
213.0,172.0,41.0,0.0,0.0,0.0,"Roubidoux township, Pulaski County, Missouri",169,63254,29
3902.0,3168.0,343.0,113.0,239.0,39.0,"Union township, Pulaski County, Missouri",169,74878,29
202.0,181.0,0.0,0.0,21.0,0.0,"Piney township, Pulaski County, Missouri",169,57872,29
105.0,105.0,0.0,0.0,0.0,0.0,"Sherman township, Putnam County, Missouri",171,67466,29
328.0,275.0,19.0,0.0,34.0,0.0,"Wilson township, Putnam County, Missouri",171,80242,29
125.0,125.0,0.0,0.0,0.0,0.0,"Grant township, Putnam County, Missouri",171,28522,29
229.0,229.0,0.0,0.0,0.0,0.0,"Richland township, Putnam County, Missouri",171,61580,29
2123.0,1839.0,189.0,30.0,65.0,0.0,"Union township, Putnam County, Missouri",171,74896,29
334.0,320.0,14.0,0.0,0.0,0.0,"Lincoln township, Putnam County, Missouri",171,42842,29
579.0,545.0,8.0,5.0,21.0,0.0,"Elm township, Putnam County, Missouri",171,21952,29
192.0,192.0,0.0,0.0,0.0,0.0,"Jackson township, Putnam County, Missouri",171,36026,29
192.0,182.0,0.0,10.0,0.0,0.0,"Liberty township, Putnam County, Missouri",171,42284,29
203.0,203.0,0.0,0.0,0.0,0.0,"York township, Putnam County, Missouri",171,81340,29
200.0,199.0,0.0,1.0,0.0,0.0,"Medicine township, Putnam County, Missouri",171,47126,29
490.0,412.0,27.0,0.0,51.0,0.0,"Cedar Creek township, Taney County, Missouri",213,12286,29
5838.0,5171.0,315.0,143.0,209.0,0.0,"Scott township, Taney County, Missouri",213,66350,29
17389.0,13633.0,2003.0,765.0,944.0,44.0,"Branson township, Taney County, Missouri",213,07984,29
9700.0,8505.0,797.0,165.0,225.0,8.0,"Swan township, Taney County, Missouri",213,71818,29
2491.0,2162.0,232.0,28.0,62.0,7.0,"Tavern township, Pulaski County, Missouri",169,72448,29
4543.0,3845.0,387.0,201.0,105.0,5.0,"Jasper township, Taney County, Missouri",213,36584,29
738.0,637.0,17.0,74.0,6.0,4.0,"Beaver township, Taney County, Missouri",213,03808,29
449.0,415.0,16.0,7.0,11.0,0.0,"Big Creek township, Taney County, Missouri",213,05446,29
8877.0,6912.0,929.0,416.0,599.0,21.0,"Oliver township, Taney County, Missouri",213,54632,29
996.0,836.0,137.0,9.0,14.0,0.0,"Carroll township, Texas County, Missouri",215,11548,29
1327.0,1167.0,77.0,66.0,14.0,3.0,"Jackson township, Texas County, Missouri",215,36170,29
1226.0,1046.0,88.0,75.0,14.0,3.0,"Lynch township, Texas County, Missouri",215,44660,29
1514.0,1289.0,197.0,22.0,6.0,0.0,"Roubidoux township, Texas County, Missouri",215,63290,29
862.0,826.0,4.0,32.0,0.0,0.0,"Morris township, Texas County, Missouri",215,50042,29
4234.0,3723.0,315.0,141.0,39.0,16.0,"Piney township, Texas County, Missouri",215,57890,29
