B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
9835.0,9333.0,355.0,101.0,39.0,7.0,"Northern district, Harrison County, West Virginia",033,92352,54
10824.0,10264.0,268.0,157.0,117.0,18.0,"Southwest district, Harrison County, West Virginia",033,92952,54
10753.0,8480.0,1690.0,354.0,208.0,21.0,"South Urban district, Harrison County, West Virginia",033,92932,54
11743.0,10654.0,707.0,316.0,66.0,0.0,"Southern district, Harrison County, West Virginia",033,92923,54
8695.0,7439.0,927.0,218.0,111.0,0.0,"North Urban district, Harrison County, West Virginia",033,92368,54
12313.0,11125.0,604.0,396.0,180.0,8.0,"Eastern district, Harrison County, West Virginia",033,90975,54
10090.0,8727.0,575.0,198.0,569.0,21.0,"District 2, Ohio County, West Virginia",069,90824,54
14294.0,12843.0,773.0,329.0,316.0,33.0,"District 3, Ohio County, West Virginia",069,90862,54
14921.0,13803.0,305.0,261.0,541.0,11.0,"District 1, Ohio County, West Virginia",069,90788,54
1727.0,1640.0,30.0,8.0,49.0,0.0,"Grant district, Ritchie County, West Virginia",085,91380,54
1261.0,1049.0,121.0,31.0,60.0,0.0,"Murphy district, Ritchie County, West Virginia",085,92244,54
3369.0,3097.0,157.0,95.0,20.0,0.0,"Union district, Ritchie County, West Virginia",085,93336,54
3431.0,3266.0,96.0,46.0,22.0,1.0,"Clay district, Ritchie County, West Virginia",085,90552,54
1804.0,1608.0,25.0,19.0,152.0,0.0,"District 4, Calhoun County, West Virginia",013,90873,54
1196.0,1183.0,9.0,4.0,0.0,0.0,"District 1, Calhoun County, West Virginia",013,90766,54
1913.0,1710.0,65.0,138.0,0.0,0.0,"District 5, Calhoun County, West Virginia",013,90885,54
1411.0,1289.0,94.0,28.0,0.0,0.0,"District 3, Calhoun County, West Virginia",013,90836,54
881.0,843.0,38.0,0.0,0.0,0.0,"District 2, Calhoun County, West Virginia",013,90800,54
5696.0,5002.0,324.0,132.0,238.0,0.0,"District 2, Morgan County, West Virginia",065,90822,54
4970.0,4734.0,118.0,12.0,97.0,9.0,"District 1, Morgan County, West Virginia",065,90786,54
5946.0,5507.0,88.0,66.0,285.0,0.0,"District 3, Morgan County, West Virginia",065,90858,54
21502.0,18615.0,1807.0,882.0,185.0,13.0,"District 2, Raleigh County, West Virginia",081,90828,54
21268.0,18966.0,1507.0,614.0,181.0,0.0,"District 1, Raleigh County, West Virginia",081,90792,54
23737.0,21130.0,1167.0,1036.0,385.0,19.0,"District 3, Raleigh County, West Virginia",081,90864,54
3284.0,2996.0,251.0,15.0,22.0,0.0,"Western district, Braxton County, West Virginia",007,93597,54
3701.0,3250.0,244.0,112.0,95.0,0.0,"Northern district, Braxton County, West Virginia",007,92346,54
3792.0,3500.0,26.0,245.0,21.0,0.0,"Southern district, Braxton County, West Virginia",007,92922,54
2976.0,2438.0,326.0,172.0,13.0,27.0,"Eastern district, Braxton County, West Virginia",007,90968,54
9576.0,8689.0,507.0,228.0,108.0,44.0,"Curry district, Putnam County, West Virginia",079,90720,54
10262.0,9929.0,245.0,55.0,33.0,0.0,"Buffalo-Union district, Putnam County, West Virginia",079,90292,54
8351.0,7862.0,280.0,141.0,68.0,0.0,"Pocatalico district, Putnam County, West Virginia",079,92508,54
14028.0,12814.0,700.0,466.0,17.0,31.0,"Teays district, Putnam County, West Virginia",079,93090,54
11408.0,10467.0,602.0,195.0,144.0,0.0,"Scott district, Putnam County, West Virginia",079,92736,54
3685.0,3274.0,252.0,51.0,108.0,0.0,"West district, Barbour County, West Virginia",001,93588,54
5610.0,5024.0,317.0,221.0,43.0,5.0,"South district, Barbour County, West Virginia",001,92892,54
6602.0,5626.0,533.0,231.0,212.0,0.0,"North district, Barbour County, West Virginia",001,92328,54
7222.0,6574.0,291.0,245.0,112.0,0.0,"District 1, Boone County, West Virginia",005,90762,54
6986.0,6112.0,820.0,47.0,7.0,0.0,"District 2, Boone County, West Virginia",005,90796,54
8316.0,7315.0,643.0,294.0,45.0,19.0,"District 3, Boone County, West Virginia",005,90832,54
5217.0,5152.0,14.0,10.0,41.0,0.0,"Big Creek district, McDowell County, West Virginia",047,90168,54
4756.0,4180.0,249.0,261.0,53.0,13.0,"Browns Creek district, McDowell County, West Virginia",047,90240,54
