B01003_001E,name,county,county subdivision,state
1813.0,"Louisville CCD, Barbour County, Alabama",005,91989,01
13011.0,"Eufaula CCD, Barbour County, Alabama",005,91017,01
4291.0,"Clayton CCD, Barbour County, Alabama",005,90630,01
3721.0,"Clio CCD, Barbour County, Alabama",005,90648,01
3365.0,"Bakerhill CCD, Barbour County, Alabama",005,90189,01
8844.0,"West Blocton CCD, Bibb County, Alabama",007,93438,01
12815.0,"Centreville-Brent CCD, Bibb County, Alabama",007,90531,01
921.0,"Piper-Coleanor CCD, Bibb County, Alabama",007,92601,01
1488.0,"Midway CCD, Bullock County, Alabama",011,92133,01
5608.0,"Union Springs CCD, Bullock County, Alabama",011,93249,01
1321.0,"Fitzpatrick CCD, Bullock County, Alabama",011,91098,01
2061.0,"Inverness CCD, Bullock County, Alabama",011,91701,01
18506.0,"Jacksonville CCD, Calhoun County, Alabama",015,91746,01
6962.0,"Choccolocco CCD, Calhoun County, Alabama",015,90585,01
4623.0,"Ohatchee CCD, Calhoun County, Alabama",015,92430,01
6918.0,"Piedmont CCD, Calhoun County, Alabama",015,92556,01
1270.0,"Waverly CCD, Chambers County, Alabama",017,93393,01
66449.0,"Anniston CCD, Calhoun County, Alabama",015,90099,01
2859.0,"Five Points CCD, Chambers County, Alabama",017,91107,01
10245.0,"Lanett CCD, Chambers County, Alabama",017,91827,01
796.0,"Milltown CCD, Chambers County, Alabama",017,92169,01
5122.0,"La Fayette CCD, Chambers County, Alabama",017,91818,01
1362.0,"Coffeeville CCD, Clarke County, Alabama",025,90675,01
4948.0,"Grove Hill CCD, Clarke County, Alabama",025,91440,01
1281.0,"Fulton CCD, Clarke County, Alabama",025,91260,01
6339.0,"Thomasville CCD, Clarke County, Alabama",025,93132,01
3856.0,"Berry CCD, Fayette County, Alabama",057,90279,01
8090.0,"Fayette CCD, Fayette County, Alabama",057,91089,01
1332.0,"Pine Level CCD, Montgomery County, Alabama",101,92592,01
40611.0,"Albertville-Boaz CCD, Marshall County, Alabama",095,90054,01
10787.0,"Mount Meigs CCD, Montgomery County, Alabama",101,92295,01
21871.0,"Pike Road CCD, Montgomery County, Alabama",101,92565,01
183169.0,"Montgomery CCD, Montgomery County, Alabama",101,92214,01
