B01003_001E,name,county,county subdivision,state
47938.0,"Hilo CCD, Hawaii County, Hawaii",001,90630,15
11193.0,"South Kona CCD, Hawaii County, Hawaii",001,93240,15
41369.0,"North Kona CCD, Hawaii County, Hawaii",001,92610,15
4292.0,"Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",001,90720,15
3003.0,"Paauhau-Paauilo CCD, Hawaii County, Hawaii",001,92700,15
11228.0,"Pahoa-Kalapana CCD, Hawaii County, Hawaii",001,92790,15
6310.0,"North Kohala CCD, Hawaii County, Hawaii",001,92520,15
4646.0,"Papaikou-Wailea CCD, Hawaii County, Hawaii",001,92880,15
8948.0,"Kau CCD, Hawaii County, Hawaii",001,91170,15
19657.0,"South Kohala CCD, Hawaii County, Hawaii",001,93150,15
36124.0,"Keaau-Mountain View CCD, Hawaii County, Hawaii",001,91350,15
1617.0,"North Hilo CCD, Hawaii County, Hawaii",001,92430,15
115160.0,"Koolaupoko CCD, Honolulu County, Hawaii",003,91800,15
45685.0,"Wahiawa CCD, Honolulu County, Hawaii",003,93420,15
344153.0,"Ewa CCD, Honolulu County, Hawaii",003,90270,15
12733.0,"Waialua CCD, Honolulu County, Hawaii",003,93510,15
20788.0,"Koolauloa CCD, Honolulu County, Hawaii",003,91710,15
49089.0,"Waianae CCD, Honolulu County, Hawaii",003,93600,15
402452.0,"Honolulu CCD, Honolulu County, Hawaii",003,90810,15
13506.0,"Kula CCD, Maui County, Hawaii",009,91890,15
20563.0,"Makawao-Paia CCD, Maui County, Hawaii",009,92250,15
24482.0,"Kihei CCD, Maui County, Hawaii",009,91530,15
9226.0,"Haiku-Pauwela CCD, Maui County, Hawaii",009,90360,15
1726.0,"Hana CCD, Maui County, Hawaii",009,90450,15
22234.0,"Wailuku CCD, Maui County, Hawaii",009,93870,15
3203.0,"Lanai CCD, Maui County, Hawaii",009,92070,15
7647.0,"Waihee-Waikapu CCD, Maui County, Hawaii",009,93690,15
23568.0,"Lahaina CCD, Maui County, Hawaii",009,91980,15
2751.0,"West Molokai CCD, Maui County, Hawaii",009,93960,15
4143.0,"East Molokai CCD, Maui County, Hawaii",009,90090,15
30706.0,"Kahului CCD, Maui County, Hawaii",009,90900,15
0.0,"Puunene CCD, Maui County, Hawaii",009,93060,15
339.0,"Spreckelsville CCD, Maui County, Hawaii",009,93330,15
0.0,"Niihau CCD, Kauai County, Hawaii",007,92340,15
5337.0,"Kekaha-Waimea CCD, Kauai County, Hawaii",007,91440,15
6878.0,"Lihue CCD, Kauai County, Hawaii",007,92160,15
11374.0,"Puhi-Hanamaulu CCD, Kauai County, Hawaii",007,92970,15
4133.0,"Kaumakani-Hanapepe CCD, Kauai County, Hawaii",007,91260,15
9527.0,"Eleele-Kalaheo CCD, Kauai County, Hawaii",007,90180,15
8105.0,"Kapaa CCD, Kauai County, Hawaii",007,91080,15
13687.0,"Wailua-Anahola CCD, Kauai County, Hawaii",007,93780,15
5844.0,"Hanalei CCD, Kauai County, Hawaii",007,90540,15
6208.0,"Koloa-Poipu CCD, Kauai County, Hawaii",007,91620,15
86.0,"Kalawao CCD, Kalawao County, Hawaii",005,90990,15
