B01003_001E,name,county,county subdivision,state
1487.0,"Dublin town, Cheshire County, New Hampshire",005,19140,33
1243.0,"Richmond town, Cheshire County, New Hampshire",005,64420,33
3566.0,"Chesterfield town, Cheshire County, New Hampshire",005,12260,33
3809.0,"Walpole town, Cheshire County, New Hampshire",005,78420,33
4221.0,"Winchester town, Cheshire County, New Hampshire",005,85540,33
884.0,"Surry town, Cheshire County, New Hampshire",005,75300,33
6005.0,"Rindge town, Cheshire County, New Hampshire",005,64580,33
216.0,"Roxbury town, Cheshire County, New Hampshire",005,65700,33
725.0,"Sullivan town, Cheshire County, New Hampshire",005,74900,33
2294.0,"Fitzwilliam town, Cheshire County, New Hampshire",005,26500,33
1847.0,"Alstead town, Cheshire County, New Hampshire",005,00820,33
702.0,"Gilsum town, Cheshire County, New Hampshire",005,29220,33
913.0,"Harrisville town, Cheshire County, New Hampshire",005,34420,33
5314.0,"Jaffrey town, Cheshire County, New Hampshire",005,38500,33
23204.0,"Keene city, Cheshire County, New Hampshire",005,39300,33
1193.0,"Stoddard town, Cheshire County, New Hampshire",005,73700,33
2182.0,"Troy town, Cheshire County, New Hampshire",005,77380,33
575.0,"Nelson town, Cheshire County, New Hampshire",005,50580,33
7169.0,"Swanzey town, Cheshire County, New Hampshire",005,75700,33
708.0,"Marlow town, Cheshire County, New Hampshire",005,45700,33
3925.0,"Hinsdale town, Cheshire County, New Hampshire",005,36660,33
2248.0,"Canterbury town, Merrimack County, New Hampshire",013,09860,33
2788.0,"Dunbarton town, Merrimack County, New Hampshire",013,19460,33
5403.0,"Loudon town, Merrimack County, New Hampshire",013,43380,33
4525.0,"New London town, Merrimack County, New Hampshire",013,52100,33
1932.0,"Sutton town, Merrimack County, New Hampshire",013,75460,33
2887.0,"Warner town, Merrimack County, New Hampshire",013,78580,33
1477.0,"Wilmot town, Merrimack County, New Hampshire",013,84900,33
5614.0,"Hopkinton town, Merrimack County, New Hampshire",013,37540,33
1872.0,"Webster town, Merrimack County, New Hampshire",013,80020,33
4315.0,"Allenstown town, Merrimack County, New Hampshire",013,00660,33
2590.0,"Chichester town, Merrimack County, New Hampshire",013,12420,33
1281.0,"Danbury town, Merrimack County, New Hampshire",013,16980,33
8491.0,"Franklin city, Merrimack County, New Hampshire",013,27380,33
3983.0,"Boscawen town, Merrimack County, New Hampshire",013,06260,33
4893.0,"Henniker town, Merrimack County, New Hampshire",013,35540,33
13987.0,"Hooksett town, Merrimack County, New Hampshire",013,37300,33
1892.0,"Newbury town, Merrimack County, New Hampshire",013,50900,33
7137.0,"Pembroke town, Merrimack County, New Hampshire",013,60020,33
4820.0,"Northfield town, Merrimack County, New Hampshire",013,54260,33
1262.0,"Salisbury town, Merrimack County, New Hampshire",013,66980,33
7692.0,"Bow town, Merrimack County, New Hampshire",013,06500,33
1680.0,"Bradford town, Merrimack County, New Hampshire",013,06980,33
2783.0,"Andover town, Merrimack County, New Hampshire",013,01460,33
946.0,"Hill town, Merrimack County, New Hampshire",013,35860,33
42717.0,"Concord city, Merrimack County, New Hampshire",013,14200,33
