B01003_001E,name,county,county subdivision,state
1206.0,"District 3, Sequatchie County, Tennessee",153,90534,47
1632.0,"District 4, Sequatchie County, Tennessee",153,90724,47
3666.0,"District 7, Scott County, Tennessee",151,91292,47
1856.0,"District 2, Sequatchie County, Tennessee",153,90344,47
1760.0,"District 5, Sequatchie County, Tennessee",153,90914,47
2216.0,"District 6, Sequatchie County, Tennessee",153,91104,47
1413.0,"District 4, Jackson County, Tennessee",087,90658,47
1865.0,"District 1, Jackson County, Tennessee",087,90088,47
1747.0,"District 7, Macon County, Tennessee",111,91252,47
1902.0,"District 6, Macon County, Tennessee",111,91062,47
2566.0,"District 4, Macon County, Tennessee",111,90682,47
2402.0,"District 5, Macon County, Tennessee",111,90872,47
2328.0,"District 8, Macon County, Tennessee",111,91442,47
2113.0,"District 9, Macon County, Tennessee",111,91632,47
2808.0,"District 10, Macon County, Tennessee",111,91822,47
2077.0,"District 5, Bledsoe County, Tennessee",007,90768,47
2324.0,"District 6, Bledsoe County, Tennessee",007,90958,47
12081.0,"District 1, Blount County, Tennessee",009,90010,47
11908.0,"District 2, Blount County, Tennessee",009,90200,47
12127.0,"District 3, Blount County, Tennessee",009,90390,47
19696.0,"District 4, Blount County, Tennessee",009,90580,47
11694.0,"District 5, Blount County, Tennessee",009,90770,47
12628.0,"District 6, Blount County, Tennessee",009,90960,47
11586.0,"District 7, Blount County, Tennessee",009,91150,47
11719.0,"District 8, Blount County, Tennessee",009,91340,47
12428.0,"District 9, Blount County, Tennessee",009,91530,47
11268.0,"District 10, Blount County, Tennessee",009,91720,47
15600.0,"District 1, Bradley County, Tennessee",011,90012,47
14775.0,"District 2, Bradley County, Tennessee",011,90202,47
15220.0,"District 3, Bradley County, Tennessee",011,90392,47
13737.0,"District 4, Bradley County, Tennessee",011,90582,47
13538.0,"District 5, Bradley County, Tennessee",011,90772,47
16105.0,"District 6, Bradley County, Tennessee",011,90962,47
14691.0,"District 7, Bradley County, Tennessee",011,91152,47
7739.0,"District 1, Campbell County, Tennessee",013,90014,47
7809.0,"District 2, Campbell County, Tennessee",013,90204,47
7339.0,"District 3, Campbell County, Tennessee",013,90394,47
9352.0,"District 4, Campbell County, Tennessee",013,90584,47
3259.0,"District 3, Cannon County, Tennessee",015,90396,47
