B01003_001E,name,county,county subdivision,state
16431.0,"Gainesville CCD, Cooke County, Texas",097,91435,48
13687.0,"Raymondville CCD, Willacy County, Texas",489,93205,48
4820.0,"Valley View CCD, Cooke County, Texas",097,93995,48
6978.0,"Gainesville Southeast CCD, Cooke County, Texas",097,91440,48
5933.0,"Callisburg CCD, Cooke County, Texas",097,90580,48
4902.0,"Muenster CCD, Cooke County, Texas",097,92680,48
2069.0,"Crosbyton CCD, Crosby County, Texas",107,90905,48
2254.0,"Ralls CCD, Crosby County, Texas",107,93185,48
1572.0,"Lorenzo CCD, Crosby County, Texas",107,92290,48
304.0,"Lamesa Southwest CCD, Dawson County, Texas",115,92125,48
354.0,"Lamesa Northwest CCD, Dawson County, Texas",115,92115,48
11646.0,"Lamesa CCD, Dawson County, Texas",115,92105,48
357.0,"Lamesa Southeast CCD, Dawson County, Texas",115,92120,48
434.0,"Lamesa Northeast CCD, Dawson County, Texas",115,92110,48
1855.0,"Roby CCD, Fisher County, Texas",151,93275,48
1771.0,"Rotan CCD, Fisher County, Texas",151,93340,48
249.0,"McCaulley CCD, Fisher County, Texas",151,92350,48
1174.0,"Realitos-Concepcion CCD, Duval County, Texas",131,93215,48
2535.0,"Benavides CCD, Duval County, Texas",131,90260,48
4750.0,"San Diego CCD, Duval County, Texas",131,93420,48
2975.0,"Freer CCD, Duval County, Texas",131,91405,48
3010.0,"Old River CCD, Burleson County, Texas",051,92890,48
4538.0,"Somerville CCD, Burleson County, Texas",051,93610,48
8654.0,"Caldwell CCD, Burleson County, Texas",051,90570,48
1394.0,"Cooks Point CCD, Burleson County, Texas",051,90825,48
5856.0,"Blanco CCD, Blanco County, Texas",031,90330,48
5233.0,"Johnson City CCD, Blanco County, Texas",031,91950,48
10591.0,"Buna CCD, Jasper County, Texas",241,90520,48
17669.0,"Jasper CCD, Jasper County, Texas",241,91920,48
7184.0,"Kirbyville CCD, Jasper County, Texas",241,92040,48
10042.0,"Nome-China CCD, Jefferson County, Texas",245,92770,48
117248.0,"Beaumont CCD, Jefferson County, Texas",245,90230,48
2158.0,"Sabine Pass CCD, Jefferson County, Texas",245,93385,48
3631.0,"Brackettville CCD, Kinney County, Texas",271,90400,48
599.0,"Hereford West CCD, Deaf Smith County, Texas",117,91790,48
18348.0,"Hereford East CCD, Deaf Smith County, Texas",117,91785,48
50720.0,"Galveston CCD, Galveston County, Texas",167,91445,48
19368.0,"Borger CCD, Hutchinson County, Texas",233,90385,48
2336.0,"Stinnett CCD, Hutchinson County, Texas",233,93750,48
5371.0,"Dilley CCD, Frio County, Texas",163,91055,48
3314.0,"Crane South CCD, Crane County, Texas",103,90885,48
1522.0,"Crane North CCD, Crane County, Texas",103,90880,48
