B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
9274.0,8405.0,90.0,0.0,143.0,0.0,0.0,223.0,413.0,"Redding town, Fairfield County, Connecticut",001,63480,09
52529.0,33813.0,7531.0,336.0,1700.0,38.0,31.0,1034.0,8046.0,"Stratford town, Fairfield County, Connecticut",001,74190,09
128851.0,63607.0,17573.0,111.0,10871.0,15.0,375.0,2139.0,34160.0,"Stamford town, Fairfield County, Connecticut",001,73070,09
20357.0,17990.0,424.0,0.0,529.0,0.0,40.0,299.0,1075.0,"New Canaan town, Fairfield County, Connecticut",001,50580,09
14091.0,12558.0,99.0,0.0,183.0,0.0,0.0,213.0,1038.0,"New Fairfield town, Fairfield County, Connecticut",001,50860,09
28030.0,24866.0,341.0,39.0,558.0,0.0,0.0,224.0,2002.0,"Newtown town, Fairfield County, Connecticut",001,52980,09
10369.0,9008.0,35.0,0.0,307.0,0.0,12.0,333.0,674.0,"Weston town, Fairfield County, Connecticut",001,83430,09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Fairfield County, Connecticut",001,00000,09
7607.0,7008.0,1.0,0.0,189.0,0.0,0.0,39.0,370.0,"Easton town, Fairfield County, Connecticut",001,23890,09
18659.0,15954.0,195.0,5.0,1426.0,0.0,12.0,469.0,598.0,"Wilton town, Fairfield County, Connecticut",001,86370,09
147586.0,31603.0,48807.0,298.0,4542.0,66.0,1057.0,3293.0,57920.0,"Bridgeport town, Fairfield County, Connecticut",001,08070,09
21742.0,19208.0,143.0,30.0,1345.0,0.0,12.0,323.0,681.0,"Darien town, Fairfield County, Connecticut",001,18850,09
61611.0,52369.0,875.0,16.0,2762.0,18.0,198.0,1464.0,3909.0,"Fairfield town, Fairfield County, Connecticut",001,26620,09
19526.0,16365.0,423.0,5.0,1083.0,14.0,66.0,192.0,1378.0,"Bethel town, Fairfield County, Connecticut",001,04720,09
25206.0,22336.0,219.0,0.0,805.0,0.0,72.0,428.0,1346.0,"Ridgefield town, Fairfield County, Connecticut",001,63970,09
41282.0,35884.0,610.0,7.0,1508.0,0.0,27.0,484.0,2762.0,"Shelton town, Fairfield County, Connecticut",001,68170,09
27777.0,23743.0,155.0,12.0,1893.0,0.0,33.0,730.0,1211.0,"Westport town, Fairfield County, Connecticut",001,83500,09
84573.0,43610.0,5195.0,178.0,5152.0,49.0,2996.0,1355.0,26038.0,"Danbury town, Fairfield County, Connecticut",001,18500,09
6108.0,5476.0,115.0,0.0,38.0,0.0,0.0,46.0,433.0,"Beacon Falls town, New Haven County, Connecticut",009,03250,09
55044.0,27949.0,11454.0,87.0,2168.0,0.0,266.0,1568.0,11552.0,"West Haven town, New Haven County, Connecticut",009,82870,09
5526.0,4752.0,67.0,0.0,288.0,0.0,0.0,65.0,354.0,"Bethany town, New Haven County, Connecticut",009,04580,09
