B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
4037.0,3837.0,27.0,0.0,0.0,0.0,0.0,136.0,37.0,"South Wheatland township, Macon County, Illinois",115,71357,17
51086.0,33199.0,12170.0,183.0,580.0,0.0,123.0,3298.0,1533.0,"Decatur township, Macon County, Illinois",115,18836,17
1496.0,1432.0,0.0,2.0,0.0,0.0,0.0,51.0,11.0,"Pleasant View township, Macon County, Illinois",115,60677,17
10370.0,9572.0,217.0,3.0,73.0,0.0,0.0,245.0,260.0,"Long Creek township, Macon County, Illinois",115,44511,17
7110.0,6476.0,195.0,19.0,15.0,0.0,0.0,405.0,0.0,"Mount Zion township, Macon County, Illinois",115,51219,17
197.0,184.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,"Austin township, Macon County, Illinois",115,03051,17
1752.0,1567.0,17.0,0.0,0.0,0.0,0.0,89.0,79.0,"Illini township, Macon County, Illinois",115,37023,17
532.0,494.0,0.0,0.0,24.0,0.0,0.0,7.0,7.0,"Lynnville precinct, Morgan County, Illinois",137,91962,17
1879.0,1632.0,11.0,0.0,12.0,0.0,0.0,183.0,41.0,"Maroa township, Macon County, Illinois",115,47085,17
881.0,845.0,3.0,4.0,0.0,0.0,0.0,29.0,0.0,"Blue Mound township, Macon County, Illinois",115,06769,17
18084.0,14400.0,1856.0,100.0,479.0,4.0,0.0,953.0,292.0,"Hickory Point township, Macon County, Illinois",115,34527,17
619.0,590.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,"Niantic township, Macon County, Illinois",115,52974,17
1013.0,853.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,"Oakley township, Macon County, Illinois",115,54859,17
1568.0,1247.0,138.0,0.0,25.0,0.0,0.0,151.0,7.0,"Jacksonville No. 2 precinct, Morgan County, Illinois",137,91712,17
1023.0,791.0,206.0,0.0,0.0,0.0,0.0,26.0,0.0,"Jacksonville No. 9 precinct, Morgan County, Illinois",137,91719,17
299.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Nortonville precinct, Morgan County, Illinois",137,92268,17
783.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Markham precinct, Morgan County, Illinois",137,92034,17
701.0,592.0,76.0,0.0,0.0,0.0,0.0,20.0,13.0,"Jacksonville No. 5 precinct, Morgan County, Illinois",137,91715,17
1143.0,979.0,80.0,0.0,15.0,0.0,0.0,64.0,5.0,"Jacksonville No. 6 precinct, Morgan County, Illinois",137,91716,17
460.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Appanoose township, Hancock County, Illinois",067,01621,17
428.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"Harmony township, Hancock County, Illinois",067,32993,17
322.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rock Creek township, Hancock County, Illinois",067,64876,17
645.0,642.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,"Sonora township, Hancock County, Illinois",067,70499,17
326.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"Walker township, Hancock County, Illinois",067,78422,17
505.0,501.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"Chili township, Hancock County, Illinois",067,14104,17
35932.0,30799.0,2979.0,150.0,295.0,0.0,0.0,744.0,965.0,"Collinsville township, Madison County, Illinois",119,15612,17
521.0,513.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,"St. Mary township, Hancock County, Illinois",067,67054,17
1114.0,1055.0,47.0,0.0,0.0,0.0,0.0,4.0,8.0,"Dallas City township, Hancock County, Illinois",067,18433,17
27037.0,18199.0,7063.0,22.0,136.0,0.0,0.0,1067.0,550.0,"Alton township, Madison County, Illinois",119,01127,17
99.0,91.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,"Wilcox township, Hancock County, Illinois",067,81607,17
2648.0,2612.0,0.0,4.0,0.0,0.0,0.0,4.0,28.0,"St. Jacob township, Madison County, Illinois",119,66872,17
30795.0,29130.0,457.0,0.0,248.0,3.0,35.0,396.0,526.0,"Wood River township, Madison County, Illinois",119,83284,17
2138.0,2061.0,0.0,0.0,16.0,0.0,0.0,7.0,54.0,"Marine township, Madison County, Illinois",119,46877,17
2590.0,2433.0,8.0,0.0,11.0,0.0,10.0,84.0,44.0,"Omphghent township, Madison County, Illinois",119,56068,17
5641.0,1599.0,3827.0,7.0,62.0,0.0,0.0,95.0,51.0,"Venice township, Madison County, Illinois",119,77486,17
8067.0,7485.0,193.0,11.0,9.0,0.0,7.0,58.0,304.0,"Chouteau township, Madison County, Illinois",119,14260,17
14346.0,13040.0,246.0,19.0,136.0,0.0,0.0,272.0,633.0,"Jarvis township, Madison County, Illinois",119,38245,17
12445.0,10126.0,1001.0,22.0,38.0,0.0,10.0,249.0,999.0,"Nameoki township, Madison County, Illinois",119,51583,17
26451.0,22067.0,1486.0,110.0,237.0,14.0,0.0,426.0,2111.0,"Granite City township, Madison County, Illinois",119,30939,17
8566.0,7789.0,132.0,11.0,117.0,0.0,0.0,8.0,509.0,"Helvetia township, Madison County, Illinois",119,33981,17
4013.0,3731.0,94.0,17.0,53.0,0.0,9.0,80.0,29.0,"Foster township, Madison County, Illinois",119,27182,17
3513.0,3486.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,"Moro township, Madison County, Illinois",119,50465,17
3930.0,3609.0,39.0,0.0,91.0,47.0,0.0,65.0,79.0,"Pin Oak township, Madison County, Illinois",119,60014,17
2508.0,2471.0,5.0,0.0,16.0,5.0,0.0,5.0,6.0,"Hamel township, Madison County, Illinois",119,32421,17
38155.0,31886.0,3828.0,90.0,746.0,19.0,0.0,656.0,930.0,"Edwardsville township, Madison County, Illinois",119,22710,17
507.0,484.0,16.0,1.0,0.0,0.0,0.0,2.0,4.0,"New Douglas township, Madison County, Illinois",119,52428,17
6282.0,6005.0,10.0,0.0,101.0,0.0,26.0,4.0,136.0,"Saline township, Madison County, Illinois",119,67275,17
708.0,667.0,0.0,0.0,2.0,0.0,0.0,1.0,38.0,"Leef township, Madison County, Illinois",119,42652,17
1665.0,1629.0,1.0,10.0,3.0,0.0,0.0,4.0,18.0,"Olive township, Madison County, Illinois",119,55834,17
9028.0,8723.0,63.0,0.0,32.0,0.0,0.0,142.0,68.0,"Fort Russell township, Madison County, Illinois",119,27130,17
17733.0,16139.0,1024.0,0.0,85.0,0.0,5.0,272.0,208.0,"Godfrey township, Madison County, Illinois",119,30107,17
4353.0,3934.0,72.0,10.0,48.0,0.0,0.0,96.0,193.0,"Felix township, Grundy County, Illinois",063,25778,17
391.0,230.0,0.0,0.0,36.0,0.0,0.0,0.0,125.0,"Goodfarm township, Grundy County, Illinois",063,30432,17
1542.0,1442.0,0.0,0.0,3.0,0.0,0.0,6.0,91.0,"Mazon township, Grundy County, Illinois",063,47800,17
1455.0,1434.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,"Alhambra township, Madison County, Illinois",119,00750,17
1330.0,1273.0,0.0,0.0,30.0,0.0,0.0,0.0,27.0,"Goose Lake township, Grundy County, Illinois",063,30549,17
702.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,"Vienna township, Grundy County, Illinois",063,77850,17
2502.0,2432.0,16.0,0.0,28.0,0.0,0.0,4.0,22.0,"Erienna township, Grundy County, Illinois",063,24400,17
1419.0,1330.0,12.0,2.0,29.0,0.0,0.0,0.0,46.0,"Garfield township, Grundy County, Illinois",063,28677,17
1210.0,1122.0,0.0,0.0,0.0,0.0,0.0,4.0,84.0,"Greenfield township, Grundy County, Illinois",063,31381,17
305.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Norman township, Grundy County, Illinois",063,53286,17
330.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"Highland township, Grundy County, Illinois",063,34657,17
6326.0,5475.0,156.0,9.0,36.0,0.0,0.0,47.0,603.0,"Saratoga township, Grundy County, Illinois",063,67678,17
2264.0,2162.0,9.0,0.0,22.0,0.0,0.0,17.0,54.0,"Wauponsee township, Grundy County, Illinois",063,79345,17
531.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,"Nettle Creek township, Grundy County, Illinois",063,52038,17
6340.0,5780.0,86.0,0.0,4.0,0.0,0.0,43.0,427.0,"Braceville township, Grundy County, Illinois",063,07653,17
13180.0,10369.0,232.0,0.0,114.0,15.0,100.0,262.0,2088.0,"Aux Sable township, Grundy County, Illinois",063,03090,17
7313.0,6274.0,75.0,0.0,26.0,0.0,0.0,112.0,826.0,"Morris township, Grundy County, Illinois",063,50504,17
1208.0,1078.0,26.0,61.0,1.0,0.0,0.0,29.0,13.0,"Salina township, Kankakee County, Illinois",091,67262,17
3711.0,3033.0,184.0,0.0,11.0,0.0,0.0,44.0,439.0,"Momence township, Kankakee County, Illinois",091,49906,17
2252.0,1696.0,18.0,15.0,3.0,0.0,12.0,6.0,502.0,"St. Anne township, Kankakee County, Illinois",091,66651,17
846.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"Rockville township, Kankakee County, Illinois",091,65195,17
4907.0,4735.0,58.0,0.0,36.0,0.0,3.0,15.0,60.0,"Limestone township, Kankakee County, Illinois",091,43497,17
2331.0,1983.0,194.0,0.0,0.0,0.0,0.0,5.0,149.0,"Otto township, Kankakee County, Illinois",091,57017,17
789.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,"Sumner township, Kankakee County, Illinois",091,73690,17
39546.0,31869.0,3127.0,0.0,486.0,0.0,38.0,636.0,3390.0,"Bourbonnais township, Kankakee County, Illinois",091,07484,17
1600.0,1536.0,7.0,0.0,4.0,0.0,0.0,17.0,36.0,"Essex township, Kankakee County, Illinois",091,24465,17
11006.0,9792.0,268.0,0.0,158.0,0.0,28.0,142.0,618.0,"Manteno township, Kankakee County, Illinois",091,46513,17
3115.0,1979.0,734.0,0.0,0.0,0.0,0.0,29.0,373.0,"Ganeer township, Kankakee County, Illinois",091,28456,17
26632.0,11349.0,9864.0,144.0,331.0,13.0,22.0,272.0,4637.0,"Kankakee township, Kankakee County, Illinois",091,38947,17
1119.0,1080.0,0.0,0.0,4.0,0.0,0.0,2.0,33.0,"Norton township, Kankakee County, Illinois",091,54352,17
2114.0,181.0,1649.0,0.0,29.0,0.0,0.0,63.0,192.0,"Pembroke township, Kankakee County, Illinois",091,58538,17
5007.0,3827.0,543.0,0.0,18.0,0.0,5.0,249.0,365.0,"Aroma township, Kankakee County, Illinois",091,02245,17
394.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,"Abington township, Mercer County, Illinois",131,00126,17
408.0,403.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,"North Henderson township, Mercer County, Illinois",131,53806,17
2137.0,2063.0,44.0,0.0,7.0,0.0,0.0,23.0,0.0,"Richland Grove township, Mercer County, Illinois",131,63628,17
414.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,"Perryton township, Mercer County, Illinois",131,59182,17
1314.0,1184.0,0.0,0.0,0.0,0.0,0.0,34.0,96.0,"Greene township, Mercer County, Illinois",131,31342,17
857.0,810.0,0.0,2.0,0.0,0.0,0.0,0.0,45.0,"New Boston township, Mercer County, Illinois",131,52233,17
608.0,592.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,"Suez township, Mercer County, Illinois",131,73339,17
150.0,137.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,"Ohio Grove township, Mercer County, Illinois",131,55405,17
1861.0,1743.0,0.0,1.0,10.0,0.0,0.0,18.0,89.0,"Preemption township, Mercer County, Illinois",131,61795,17
1434.0,1383.0,5.0,0.0,0.0,0.0,0.0,26.0,20.0,"Rivoli township, Mercer County, Illinois",131,64551,17
522.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Eliza township, Mercer County, Illinois",131,23152,17
3939.0,3804.0,39.0,0.0,18.0,0.0,0.0,24.0,54.0,"Mercer township, Mercer County, Illinois",131,48398,17
618.0,599.0,0.0,1.0,5.0,0.0,0.0,9.0,4.0,"Keithsburg township, Mercer County, Illinois",131,39311,17
119572.0,87567.0,5929.0,53.0,14497.0,0.0,158.0,2718.0,8650.0,"Lisle township, DuPage County, Illinois",043,43952,17
730.0,701.0,0.0,1.0,3.0,0.0,0.0,2.0,23.0,"Millersburg township, Mercer County, Illinois",131,49256,17
408.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Duncan township, Mercer County, Illinois",131,20968,17
295.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,"Maine township, Grundy County, Illinois",063,46175,17
2002.0,1947.0,8.0,0.0,0.0,0.0,0.0,30.0,17.0,"Pilot township, Kankakee County, Illinois",091,59819,17
2616.0,2266.0,1.0,22.0,0.0,0.0,0.0,34.0,293.0,"Yellowhead township, Kankakee County, Illinois",091,83856,17
118505.0,91213.0,5801.0,54.0,10276.0,44.0,34.0,2671.0,8412.0,"Milton township, DuPage County, Illinois",043,49451,17
46938.0,25819.0,1262.0,0.0,1801.0,0.0,41.0,637.0,17378.0,"Winfield township, DuPage County, Illinois",043,82413,17
125800.0,92637.0,5069.0,105.0,12456.0,6.0,90.0,2306.0,13131.0,"York township, DuPage County, Illinois",043,83947,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Chicago city, DuPage County, Illinois",043,14000,17
149100.0,114583.0,5752.0,62.0,15178.0,18.0,130.0,3045.0,10332.0,"Downers Grove township, DuPage County, Illinois",043,20604,17
102202.0,61266.0,8947.0,105.0,18269.0,0.0,181.0,3041.0,10393.0,"Naperville township, DuPage County, Illinois",043,51635,17
8527.0,8113.0,43.0,9.0,87.0,0.0,0.0,220.0,55.0,"Clear Lake township, Sangamon County, Illinois",167,14858,17
773.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"Cotton Hill township, Sangamon County, Illinois",167,16574,17
316.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Maxwell township, Sangamon County, Illinois",167,47618,17
1452.0,1394.0,18.0,0.0,4.0,0.0,11.0,7.0,18.0,"Cartwright township, Sangamon County, Illinois",167,11579,17
7388.0,6919.0,87.0,0.0,62.0,0.0,30.0,44.0,246.0,"Chatham township, Sangamon County, Illinois",167,12697,17
600.0,591.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,"Island Grove township, Sangamon County, Illinois",167,37881,17
89700.0,50657.0,1761.0,27.0,5665.0,0.0,28.0,1116.0,30446.0,"Addison township, DuPage County, Illinois",043,00250,17
112757.0,64732.0,6552.0,82.0,16423.0,130.0,383.0,1930.0,22525.0,"Bloomingdale township, DuPage County, Illinois",043,06600,17
67252.0,43868.0,1389.0,53.0,10667.0,48.0,108.0,1096.0,10023.0,"Wayne township, DuPage County, Illinois",043,79410,17
2671.0,2602.0,33.0,0.0,0.0,0.0,0.0,18.0,18.0,"Mechanicsburg township, Sangamon County, Illinois",167,48034,17
4266.0,4068.0,50.0,0.0,46.0,0.0,26.0,52.0,24.0,"Gardner township, Sangamon County, Illinois",167,28651,17
1804.0,1783.0,3.0,0.0,0.0,0.0,0.0,11.0,7.0,"New Berlin township, Sangamon County, Illinois",167,52181,17
1392.0,1337.0,16.0,0.0,18.0,0.0,0.0,6.0,15.0,"Curran township, Sangamon County, Illinois",167,18160,17
6281.0,6032.0,49.0,0.0,44.0,0.0,0.0,28.0,128.0,"Auburn township, Sangamon County, Illinois",167,02928,17
128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Buffalo Hart township, Sangamon County, Illinois",167,09486,17
1317.0,1300.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,"Divernon township, Sangamon County, Illinois",167,20058,17
156.0,122.0,0.0,0.0,9.0,0.0,0.0,0.0,25.0,"Lanesville township, Sangamon County, Illinois",167,41976,17
5757.0,4863.0,662.0,0.0,7.0,0.0,0.0,138.0,87.0,"Springfield township, Sangamon County, Illinois",167,72013,17
11288.0,9646.0,907.0,24.0,140.0,20.0,24.0,295.0,232.0,"Woodside township, Sangamon County, Illinois",167,83310,17
115987.0,83043.0,22963.0,51.0,3167.0,42.0,580.0,3063.0,3078.0,"Capital township, Sangamon County, Illinois",167,11046,17
5745.0,5589.0,0.0,1.0,0.0,0.0,0.0,35.0,120.0,"Fancy Creek township, Sangamon County, Illinois",167,25323,17
1345.0,1317.0,0.0,3.0,0.0,0.0,0.0,10.0,15.0,"Illiopolis township, Sangamon County, Illinois",167,37140,17
3533.0,3445.0,0.0,0.0,0.0,0.0,7.0,14.0,67.0,"Williams township, Sangamon County, Illinois",167,81776,17
704.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cooper township, Sangamon County, Illinois",167,16223,17
1068.0,971.0,8.0,1.0,5.0,0.0,0.0,19.0,64.0,"Loami township, Sangamon County, Illinois",167,44186,17
3025.0,2977.0,10.0,0.0,7.0,0.0,5.0,15.0,11.0,"Pawnee township, Sangamon County, Illinois",167,58187,17
