B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
1206.0,1068.0,0.0,0.0,0.0,0.0,30.0,89.0,19.0,"District 3, Sequatchie County, Tennessee",153,90534,47
1632.0,1387.0,26.0,0.0,0.0,0.0,0.0,172.0,47.0,"District 4, Sequatchie County, Tennessee",153,90724,47
3666.0,3666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 7, Scott County, Tennessee",151,91292,47
1856.0,1741.0,0.0,25.0,0.0,0.0,0.0,90.0,0.0,"District 2, Sequatchie County, Tennessee",153,90344,47
1760.0,1682.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,"District 5, Sequatchie County, Tennessee",153,90914,47
2216.0,1709.0,0.0,23.0,0.0,0.0,0.0,232.0,252.0,"District 6, Sequatchie County, Tennessee",153,91104,47
1413.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,"District 4, Jackson County, Tennessee",087,90658,47
1865.0,1779.0,14.0,0.0,0.0,0.0,0.0,64.0,8.0,"District 1, Jackson County, Tennessee",087,90088,47
1747.0,1702.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,"District 7, Macon County, Tennessee",111,91252,47
1902.0,1720.0,0.0,35.0,16.0,0.0,0.0,15.0,116.0,"District 6, Macon County, Tennessee",111,91062,47
2566.0,2304.0,28.0,7.0,0.0,0.0,0.0,142.0,85.0,"District 4, Macon County, Tennessee",111,90682,47
2402.0,2290.0,62.0,0.0,0.0,0.0,0.0,24.0,26.0,"District 5, Macon County, Tennessee",111,90872,47
2328.0,2261.0,0.0,0.0,46.0,0.0,0.0,0.0,21.0,"District 8, Macon County, Tennessee",111,91442,47
2113.0,2113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 9, Macon County, Tennessee",111,91632,47
2808.0,2581.0,0.0,0.0,0.0,0.0,0.0,44.0,183.0,"District 10, Macon County, Tennessee",111,91822,47
2077.0,1977.0,0.0,23.0,0.0,0.0,0.0,74.0,3.0,"District 5, Bledsoe County, Tennessee",007,90768,47
2324.0,2281.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,"District 6, Bledsoe County, Tennessee",007,90958,47
12081.0,9541.0,1056.0,24.0,268.0,64.0,0.0,319.0,809.0,"District 1, Blount County, Tennessee",009,90010,47
11908.0,11031.0,336.0,75.0,11.0,0.0,0.0,202.0,253.0,"District 2, Blount County, Tennessee",009,90200,47
12127.0,10750.0,285.0,25.0,67.0,12.0,0.0,347.0,641.0,"District 3, Blount County, Tennessee",009,90390,47
19696.0,18570.0,297.0,98.0,108.0,0.0,7.0,399.0,217.0,"District 4, Blount County, Tennessee",009,90580,47
11694.0,10953.0,220.0,0.0,65.0,0.0,0.0,271.0,185.0,"District 5, Blount County, Tennessee",009,90770,47
12628.0,12123.0,72.0,19.0,126.0,0.0,0.0,85.0,203.0,"District 6, Blount County, Tennessee",009,90960,47
11586.0,11013.0,9.0,50.0,22.0,0.0,0.0,109.0,383.0,"District 7, Blount County, Tennessee",009,91150,47
11719.0,10983.0,0.0,122.0,86.0,0.0,0.0,151.0,377.0,"District 8, Blount County, Tennessee",009,91340,47
12428.0,11056.0,414.0,0.0,17.0,6.0,0.0,276.0,659.0,"District 9, Blount County, Tennessee",009,91530,47
11268.0,10184.0,504.0,19.0,98.0,0.0,0.0,213.0,250.0,"District 10, Blount County, Tennessee",009,91720,47
15600.0,14898.0,259.0,61.0,127.0,0.0,0.0,172.0,83.0,"District 1, Bradley County, Tennessee",011,90012,47
14775.0,13027.0,827.0,20.0,85.0,0.0,41.0,182.0,593.0,"District 2, Bradley County, Tennessee",011,90202,47
15220.0,12005.0,1044.0,26.0,356.0,7.0,95.0,209.0,1478.0,"District 3, Bradley County, Tennessee",011,90392,47
13737.0,13322.0,203.0,0.0,25.0,0.0,0.0,8.0,179.0,"District 4, Bradley County, Tennessee",011,90582,47
13538.0,10931.0,1455.0,7.0,98.0,25.0,0.0,286.0,736.0,"District 5, Bradley County, Tennessee",011,90772,47
16105.0,14970.0,5.0,0.0,70.0,0.0,22.0,352.0,686.0,"District 6, Bradley County, Tennessee",011,90962,47
14691.0,10545.0,1275.0,10.0,411.0,0.0,8.0,168.0,2274.0,"District 7, Bradley County, Tennessee",011,91152,47
7739.0,7492.0,0.0,23.0,0.0,0.0,10.0,51.0,163.0,"District 1, Campbell County, Tennessee",013,90014,47
7809.0,7734.0,26.0,0.0,0.0,0.0,0.0,20.0,29.0,"District 2, Campbell County, Tennessee",013,90204,47
7339.0,6957.0,40.0,29.0,79.0,0.0,0.0,43.0,191.0,"District 3, Campbell County, Tennessee",013,90394,47
9352.0,9092.0,26.0,21.0,63.0,0.0,0.0,69.0,81.0,"District 4, Campbell County, Tennessee",013,90584,47
