B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
6170.0,4758.0,16.0,2.0,20.0,34.0,0.0,346.0,994.0,"Bow CCD, Skagit County, Washington",057,90272,53
2917.0,2152.0,6.0,532.0,16.0,18.0,6.0,86.0,101.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
36771.0,21721.0,428.0,518.0,1015.0,56.0,43.0,925.0,12065.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
13785.0,8884.0,95.0,59.0,266.0,93.0,20.0,304.0,4064.0,"Burlington CCD, Skagit County, Washington",057,90384,53
3422.0,2994.0,9.0,0.0,57.0,4.0,0.0,128.0,230.0,"Conway CCD, Skagit County, Washington",057,90768,53
3343.0,2902.0,3.0,22.0,11.0,3.0,0.0,65.0,337.0,"La Conner CCD, Skagit County, Washington",057,91536,53
2740.0,2501.0,1.0,35.0,0.0,3.0,0.0,75.0,125.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
14060.0,11250.0,73.0,104.0,45.0,7.0,0.0,602.0,1979.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
1889.0,1816.0,0.0,0.0,0.0,0.0,0.0,20.0,53.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
20948.0,18861.0,94.0,157.0,488.0,25.0,7.0,448.0,868.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
5442.0,4884.0,38.0,38.0,16.0,0.0,0.0,143.0,323.0,"Springdale CCD, Stevens County, Washington",065,93232,53
5769.0,5103.0,105.0,113.0,60.0,0.0,0.0,323.0,65.0,"Chewelah CCD, Stevens County, Washington",065,90560,53
11203.0,10066.0,17.0,67.0,106.0,1.0,0.0,431.0,515.0,"Colville CCD, Stevens County, Washington",065,90688,53
2145.0,329.0,9.0,1455.0,3.0,15.0,0.0,190.0,144.0,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
10719.0,9873.0,19.0,172.0,97.0,0.0,0.0,382.0,176.0,"Loon Lake CCD, Stevens County, Washington",065,91680,53
6899.0,6271.0,10.0,49.0,22.0,0.0,17.0,232.0,298.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
366704.0,308429.0,6052.0,4750.0,8931.0,2225.0,188.0,15341.0,20788.0,"Spokane CCD, Spokane County, Washington",063,93200,53
30885.0,28748.0,27.0,154.0,270.0,47.0,0.0,490.0,1149.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
2733.0,2563.0,1.0,37.0,21.0,0.0,0.0,52.0,59.0,"Rockford CCD, Spokane County, Washington",063,92816,53
3054.0,2892.0,30.0,19.0,79.0,0.0,0.0,5.0,29.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
14006.0,11140.0,420.0,296.0,364.0,10.0,28.0,788.0,960.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
10765.0,10412.0,0.0,54.0,0.0,0.0,0.0,98.0,201.0,"Colbert CCD, Spokane County, Washington",063,90640,53
17978.0,16077.0,85.0,76.0,337.0,0.0,0.0,571.0,832.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
6130.0,5572.0,95.0,28.0,92.0,0.0,0.0,92.0,251.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
3044.0,2759.0,20.0,27.0,11.0,9.0,0.0,132.0,86.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
2752.0,2438.0,24.0,81.0,30.0,18.0,0.0,55.0,106.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
4548.0,4304.0,13.0,28.0,24.0,9.0,0.0,39.0,131.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
40979.0,27008.0,215.0,442.0,303.0,40.0,0.0,873.0,12098.0,"Wenatchee CCD, Chelan County, Washington",007,93712,53
11574.0,8229.0,8.0,71.0,329.0,0.0,0.0,30.0,2907.0,"Cashmere CCD, Chelan County, Washington",007,90448,53
6604.0,5881.0,32.0,74.0,71.0,0.0,0.0,230.0,316.0,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",007,91600,53
35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Stehekin CCD, Chelan County, Washington",007,93280,53
31266.0,26283.0,467.0,1030.0,525.0,35.0,54.0,1204.0,1668.0,"Port Angeles CCD, Clallam County, Washington",009,92592,53
6620.0,4669.0,134.0,521.0,19.0,5.0,0.0,266.0,1006.0,"Forks CCD, Clallam County, Washington",009,91168,53
10486.0,9974.0,0.0,38.0,49.0,0.0,8.0,171.0,246.0,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
3549.0,2937.0,11.0,235.0,19.0,2.0,0.0,183.0,162.0,"Crescent CCD, Clallam County, Washington",009,90816,53
64181.0,51823.0,576.0,738.0,1148.0,168.0,34.0,2876.0,6818.0,"Longview-Kelso CCD, Cowlitz County, Washington",015,91664,53
6440.0,5947.0,0.0,35.0,48.0,0.0,0.0,170.0,240.0,"Kalama CCD, Cowlitz County, Washington",015,91440,53
5024.0,4583.0,0.0,0.0,17.0,28.0,0.0,185.0,211.0,"Rose Valley CCD, Cowlitz County, Washington",015,92864,53
10806.0,9436.0,30.0,20.0,13.0,0.0,0.0,144.0,1163.0,"Woodland CCD, Cowlitz County, Washington",015,93856,53
15304.0,13896.0,85.0,184.0,76.0,23.0,20.0,580.0,440.0,"Castle Rock CCD, Cowlitz County, Washington",015,90464,53
1329.0,1095.0,2.0,6.0,64.0,1.0,0.0,128.0,33.0,"Curlew CCD, Ferry County, Washington",019,90832,53
1703.0,515.0,0.0,955.0,0.0,38.0,0.0,135.0,60.0,"Colville Reservation CCD, Ferry County, Washington",019,90704,53
