B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
12894.0,4171.0,8723.0,"East Lansing city, Ingham County, Michigan",065,24120,26
934.0,853.0,81.0,"Leslie township, Ingham County, Michigan",065,47200,26
3193.0,1991.0,1202.0,"Mason city, Ingham County, Michigan",065,52180,26
3901.0,2075.0,1826.0,"Lansing charter township, Ingham County, Michigan",065,46020,26
673.0,528.0,145.0,"Leslie city, Ingham County, Michigan",065,47180,26
636.0,562.0,74.0,"Locke township, Ingham County, Michigan",065,49040,26
18008.0,10977.0,7031.0,"Meridian charter township, Ingham County, Michigan",065,53140,26
1084.0,958.0,126.0,"Onondaga township, Ingham County, Michigan",065,60800,26
1353.0,1110.0,243.0,"Leroy township, Ingham County, Michigan",065,47080,26
1463.0,1404.0,59.0,"Aurelius township, Ingham County, Michigan",065,04240,26
1106.0,1015.0,91.0,"Alaiedon township, Ingham County, Michigan",065,00800,26
1604.0,1089.0,515.0,"Williamston city, Ingham County, Michigan",065,87420,26
620.0,572.0,48.0,"Wheatfield township, Ingham County, Michigan",065,86520,26
870.0,803.0,67.0,"Ingham township, Ingham County, Michigan",065,40640,26
448.0,383.0,65.0,"White Oak township, Ingham County, Michigan",065,86900,26
761.0,620.0,141.0,"Beaverton township, Gladwin County, Michigan",051,06680,26
354.0,323.0,31.0,"Bentley township, Gladwin County, Michigan",051,07360,26
1086.0,1019.0,67.0,"Billings township, Gladwin County, Michigan",051,08360,26
456.0,405.0,51.0,"Sherman township, Gladwin County, Michigan",051,73140,26
881.0,814.0,67.0,"Butman township, Gladwin County, Michigan",051,12180,26
969.0,855.0,114.0,"Sage township, Gladwin County, Michigan",051,70500,26
602.0,542.0,60.0,"Hay township, Gladwin County, Michigan",051,37300,26
1267.0,633.0,634.0,"Gladwin city, Gladwin County, Michigan",051,32320,26
410.0,362.0,48.0,"Gladwin township, Gladwin County, Michigan",051,32340,26
214.0,200.0,14.0,"Bourret township, Gladwin County, Michigan",051,09720,26
531.0,470.0,61.0,"Buckeye township, Gladwin County, Michigan",051,11440,26
452.0,428.0,24.0,"Clement township, Gladwin County, Michigan",051,16360,26
1098.0,987.0,111.0,"Tobacco township, Gladwin County, Michigan",051,79860,26
650.0,589.0,61.0,"Grout township, Gladwin County, Michigan",051,35620,26
651.0,623.0,28.0,"Secord township, Gladwin County, Michigan",051,72240,26
558.0,269.0,289.0,"Beaverton city, Gladwin County, Michigan",051,06660,26
50.0,45.0,5.0,"Grim township, Gladwin County, Michigan",051,35340,26
510.0,444.0,66.0,"Wakeshma township, Kalamazoo County, Michigan",077,82840,26
28996.0,12998.0,15998.0,"Kalamazoo city, Kalamazoo County, Michigan",077,42160,26
2345.0,2168.0,177.0,"Pavilion township, Kalamazoo County, Michigan",077,62960,26
19552.0,13258.0,6294.0,"Portage city, Kalamazoo County, Michigan",077,65560,26
833.0,818.0,15.0,"Prairie Ronde township, Kalamazoo County, Michigan",077,66200,26
2055.0,1730.0,325.0,"Ross township, Kalamazoo County, Michigan",077,69820,26
827.0,426.0,401.0,"Parchment city, Kalamazoo County, Michigan",077,62340,26
828.0,429.0,399.0,"Galesburg city, Kalamazoo County, Michigan",077,31260,26
2999.0,2347.0,652.0,"Richland township, Kalamazoo County, Michigan",077,68260,26
1620.0,1357.0,263.0,"Brady township, Kalamazoo County, Michigan",077,09920,26
769.0,726.0,43.0,"Charleston township, Kalamazoo County, Michigan",077,14720,26
3290.0,2686.0,604.0,"Schoolcraft township, Kalamazoo County, Michigan",077,71880,26
946.0,854.0,92.0,"Climax township, Kalamazoo County, Michigan",077,16460,26
0.0,0.0,0.0,"County subdivisions not defined, Leelanau County, Michigan",089,00000,26
1873.0,1554.0,319.0,"Elmwood charter township, Leelanau County, Michigan",089,25700,26
1030.0,923.0,107.0,"Bingham township, Leelanau County, Michigan",089,08440,26
520.0,455.0,65.0,"Centerville township, Leelanau County, Michigan",089,14340,26
597.0,541.0,56.0,"Empire township, Leelanau County, Michigan",089,26000,26
614.0,554.0,60.0,"Solon township, Leelanau County, Michigan",089,74500,26
551.0,486.0,65.0,"Burlington township, Lapeer County, Michigan",087,11840,26
1714.0,1653.0,61.0,"Hadley township, Lapeer County, Michigan",087,35840,26
3565.0,1669.0,1896.0,"Lapeer city, Lapeer County, Michigan",087,46040,26
1920.0,1655.0,265.0,"Lapeer township, Lapeer County, Michigan",087,46060,26
3051.0,2660.0,391.0,"Mayfield township, Lapeer County, Michigan",087,52500,26
1728.0,1522.0,206.0,"Marathon township, Lapeer County, Michigan",087,51420,26
565.0,509.0,56.0,"Rich township, Lapeer County, Michigan",087,68160,26
2069.0,1900.0,169.0,"Elba township, Lapeer County, Michigan",087,25160,26
1032.0,934.0,98.0,"Imlay township, Lapeer County, Michigan",087,40300,26
1609.0,1335.0,274.0,"Metamora township, Lapeer County, Michigan",087,53360,26
1708.0,1519.0,189.0,"Attica township, Lapeer County, Michigan",087,04040,26
677.0,609.0,68.0,"Burnside township, Lapeer County, Michigan",087,11900,26
4.0,0.0,4.0,"Brown City city, Lapeer County, Michigan",087,11180,26
660.0,581.0,79.0,"Goodland township, Lapeer County, Michigan",087,32960,26
1754.0,1527.0,227.0,"Dryden township, Lapeer County, Michigan",087,23160,26
1415.0,1081.0,334.0,"North Branch township, Lapeer County, Michigan",087,58090,26
2531.0,2220.0,311.0,"Almont township, Lapeer County, Michigan",087,01680,26
1199.0,1123.0,76.0,"Arcadia township, Lapeer County, Michigan",087,03280,26
2126.0,1986.0,140.0,"Oregon township, Lapeer County, Michigan",087,61060,26
19585.0,12328.0,7257.0,"Roseville city, Macomb County, Michigan",099,69800,26
0.0,0.0,0.0,"County subdivisions not defined, Macomb County, Michigan",099,00000,26
12539.0,7914.0,4625.0,"Eastpointe city, Macomb County, Michigan",099,24290,26
366.0,210.0,156.0,"Memphis city, Macomb County, Michigan",099,52960,26
2061.0,1864.0,197.0,"Armada township, Macomb County, Michigan",099,03540,26
1477.0,1449.0,28.0,"Alamo township, Kalamazoo County, Michigan",077,00840,26
804.0,671.0,133.0,"Aetna township, Mecosta County, Michigan",107,00500,26
2008.0,1788.0,220.0,"Deerfield township, Lapeer County, Michigan",087,21160,26
1266.0,591.0,675.0,"Imlay City city, Lapeer County, Michigan",087,40320,26
505.0,442.0,63.0,"Frost township, Clare County, Michigan",035,30900,26
460.0,434.0,26.0,"Greenwood township, Clare County, Michigan",035,35120,26
371.0,320.0,51.0,"Hatton township, Clare County, Michigan",035,37160,26
1859.0,1526.0,333.0,"Hayes township, Clare County, Michigan",035,37340,26
183.0,170.0,13.0,"Summerfield township, Clare County, Michigan",035,77120,26
249.0,224.0,25.0,"Arthur township, Clare County, Michigan",035,03620,26
312.0,294.0,18.0,"Franklin township, Clare County, Michigan",035,30280,26
815.0,746.0,69.0,"Hamilton township, Clare County, Michigan",035,36140,26
760.0,659.0,101.0,"Lincoln township, Clare County, Michigan",035,47620,26
2396.0,2054.0,342.0,"York charter township, Washtenaw County, Michigan",161,89100,26
2198.0,2116.0,82.0,"Lodi township, Washtenaw County, Michigan",161,49120,26
3294.0,2567.0,727.0,"Northfield township, Washtenaw County, Michigan",161,58280,26
14096.0,7975.0,6121.0,"Pittsfield charter township, Washtenaw County, Michigan",161,64560,26
47524.0,21803.0,25721.0,"Ann Arbor city, Washtenaw County, Michigan",161,03000,26
1317.0,1212.0,105.0,"Lima township, Washtenaw County, Michigan",161,47460,26
7865.0,2421.0,5444.0,"Ypsilanti city, Washtenaw County, Michigan",161,89140,26
2231.0,2072.0,159.0,"Dexter township, Washtenaw County, Michigan",161,22180,26
837.0,678.0,159.0,"Spaulding township, Saginaw County, Michigan",145,75480,26
3198.0,2571.0,627.0,"Tittabawassee township, Saginaw County, Michigan",145,79840,26
375.0,315.0,60.0,"Chapin township, Saginaw County, Michigan",145,14660,26
2286.0,1569.0,717.0,"Frankenmuth city, Saginaw County, Michigan",145,30200,26
381.0,345.0,36.0,"Lakefield township, Saginaw County, Michigan",145,44560,26
2462.0,2009.0,453.0,"Birch Run township, Saginaw County, Michigan",145,08560,26
1858.0,1440.0,418.0,"Chesaning township, Saginaw County, Michigan",145,15160,26
755.0,701.0,54.0,"James township, Saginaw County, Michigan",145,41480,26
618.0,543.0,75.0,"Jonesfield township, Saginaw County, Michigan",145,41900,26
1212.0,945.0,267.0,"Kochville township, Saginaw County, Michigan",145,43800,26
939.0,858.0,81.0,"Maple Grove township, Saginaw County, Michigan",145,51060,26
1560.0,1446.0,114.0,"Taymouth township, Saginaw County, Michigan",145,79100,26
4237.0,3404.0,833.0,"Bridgeport charter township, Saginaw County, Michigan",145,10460,26
17913.0,11587.0,6326.0,"Saginaw charter township, Saginaw County, Michigan",145,70540,26
4721.0,4128.0,593.0,"Thomas township, Saginaw County, Michigan",145,79520,26
673.0,494.0,179.0,"Zilwaukee city, Saginaw County, Michigan",145,89320,26
1326.0,968.0,358.0,"St. Charles township, Saginaw County, Michigan",145,70660,26
955.0,877.0,78.0,"Swan Creek township, Saginaw County, Michigan",145,77660,26
806.0,739.0,67.0,"Brady township, Saginaw County, Michigan",145,09940,26
3640.0,2303.0,1337.0,"Buena Vista charter township, Saginaw County, Michigan",145,11560,26
736.0,680.0,56.0,"Blumfield township, Saginaw County, Michigan",145,09400,26
779.0,756.0,23.0,"Fremont township, Saginaw County, Michigan",145,30720,26
19778.0,11825.0,7953.0,"Saginaw city, Saginaw County, Michigan",145,70520,26
744.0,682.0,62.0,"Albee township, Saginaw County, Michigan",145,00920,26
750.0,693.0,57.0,"Brant township, Saginaw County, Michigan",145,10100,26
2234.0,1458.0,776.0,"Carrollton township, Saginaw County, Michigan",145,13540,26
1598.0,1314.0,284.0,"Richland township, Saginaw County, Michigan",145,68340,26
42.0,31.0,11.0,"Zilwaukee township, Saginaw County, Michigan",145,89340,26
712.0,658.0,54.0,"Frankenmuth township, Saginaw County, Michigan",145,30220,26
206.0,180.0,26.0,"Winterfield township, Clare County, Michigan",035,87980,26
483.0,451.0,32.0,"Sheridan township, Clare County, Michigan",035,73000,26
811.0,693.0,118.0,"Garfield township, Clare County, Michigan",035,31560,26
926.0,561.0,365.0,"Harrison city, Clare County, Michigan",035,36800,26
160.0,135.0,25.0,"Redding township, Clare County, Michigan",035,67600,26
1424.0,1171.0,253.0,"Surrey township, Clare County, Michigan",035,77580,26
492.0,462.0,30.0,"Freeman township, Clare County, Michigan",035,30560,26
1274.0,1121.0,153.0,"Grant township, Clare County, Michigan",035,34220,26
