B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
1674.0,1177.0,497.0,"District 2, Yazoo County, Mississippi",163,91476,28
2111.0,1238.0,873.0,"District 4, Yazoo County, Mississippi",163,92952,28
1656.0,1294.0,362.0,"District 2, Winston County, Mississippi",159,91458,28
1296.0,898.0,398.0,"District 1, Winston County, Mississippi",159,90720,28
2124.0,1815.0,309.0,"District 1, Yazoo County, Mississippi",163,90738,28
1507.0,647.0,860.0,"District 3, Yazoo County, Mississippi",163,92214,28
1226.0,476.0,750.0,"District 5, Yazoo County, Mississippi",163,93690,28
1549.0,1184.0,365.0,"District 1, Attala County, Mississippi",007,90036,28
1529.0,994.0,535.0,"District 2, Attala County, Mississippi",007,90774,28
1260.0,929.0,331.0,"District 5, Attala County, Mississippi",007,92988,28
1285.0,936.0,349.0,"District 4, Attala County, Mississippi",007,92250,28
1551.0,1018.0,533.0,"District 3, Attala County, Mississippi",007,91512,28
685.0,603.0,82.0,"District 4, Benton County, Mississippi",009,92259,28
422.0,338.0,84.0,"District 2, Benton County, Mississippi",009,90783,28
599.0,427.0,172.0,"District 3, Benton County, Mississippi",009,91521,28
594.0,439.0,155.0,"District 5, Benton County, Mississippi",009,92997,28
595.0,516.0,79.0,"District 5, Franklin County, Mississippi",037,93123,28
660.0,642.0,18.0,"District 1, Benton County, Mississippi",009,90045,28
607.0,453.0,154.0,"District 1, Franklin County, Mississippi",037,90171,28
598.0,431.0,167.0,"District 2, Franklin County, Mississippi",037,90909,28
532.0,293.0,239.0,"District 3, Franklin County, Mississippi",037,91647,28
765.0,677.0,88.0,"District 4, Franklin County, Mississippi",037,92385,28
1843.0,1045.0,798.0,"District 5, Coahoma County, Mississippi",027,93078,28
1974.0,1068.0,906.0,"District 1, Coahoma County, Mississippi",027,90126,28
2134.0,840.0,1294.0,"District 3, Coahoma County, Mississippi",027,91602,28
1212.0,482.0,730.0,"District 4, Coahoma County, Mississippi",027,92340,28
1806.0,1161.0,645.0,"District 2, Coahoma County, Mississippi",027,90864,28
1218.0,1009.0,209.0,"District 5, Jasper County, Mississippi",061,93231,28
1330.0,1096.0,234.0,"District 4, Jasper County, Mississippi",061,92493,28
1420.0,1290.0,130.0,"District 2, Jasper County, Mississippi",061,91017,28
1342.0,1177.0,165.0,"District 1, Jasper County, Mississippi",061,90279,28
1507.0,1164.0,343.0,"District 3, Jasper County, Mississippi",061,91755,28
5128.0,4367.0,761.0,"District 3, Jones County, Mississippi",067,91782,28
5167.0,3804.0,1363.0,"District 2, Jones County, Mississippi",067,91044,28
1079.0,942.0,137.0,"District 2, Walthall County, Mississippi",147,91404,28
5517.0,4389.0,1128.0,"District 4, Jones County, Mississippi",067,92520,28
4874.0,3189.0,1685.0,"District 1, Jones County, Mississippi",067,90306,28
3977.0,2155.0,1822.0,"District 5, Jones County, Mississippi",067,93258,28
1149.0,1093.0,56.0,"District 1, Walthall County, Mississippi",147,90666,28
1246.0,1083.0,163.0,"District 3, Walthall County, Mississippi",147,92142,28
1216.0,1133.0,83.0,"District 5, Walthall County, Mississippi",147,93618,28
1213.0,1029.0,184.0,"District 4, Walthall County, Mississippi",147,92880,28
2764.0,2164.0,600.0,"District 3, Monroe County, Mississippi",095,91908,28
2494.0,1677.0,817.0,"District 4, Monroe County, Mississippi",095,92646,28
2949.0,2065.0,884.0,"District 5, Monroe County, Mississippi",095,93384,28
2937.0,2230.0,707.0,"District 2, Monroe County, Mississippi",095,91170,28
2898.0,2386.0,512.0,"District 1, Monroe County, Mississippi",095,90432,28
2003.0,1434.0,569.0,"District 4, Pontotoc County, Mississippi",115,92736,28
2098.0,1569.0,529.0,"District 3, Pontotoc County, Mississippi",115,91998,28
1680.0,1014.0,666.0,"District 2, Sunflower County, Mississippi",133,91341,28
1826.0,1515.0,311.0,"District 5, Pontotoc County, Mississippi",115,93474,28
2527.0,1799.0,728.0,"District 1, Pontotoc County, Mississippi",115,90522,28
2391.0,1538.0,853.0,"District 2, Pontotoc County, Mississippi",115,91260,28
1828.0,1116.0,712.0,"District 4, Sunflower County, Mississippi",133,92817,28
1535.0,725.0,810.0,"District 5, Sunflower County, Mississippi",133,93555,28
1855.0,1013.0,842.0,"District 3, Sunflower County, Mississippi",133,92079,28
1607.0,916.0,691.0,"District 1, Sunflower County, Mississippi",133,90603,28
910.0,784.0,126.0,"District 5, Webster County, Mississippi",155,93654,28
779.0,477.0,302.0,"District 3, Webster County, Mississippi",155,92178,28
814.0,648.0,166.0,"District 4, Webster County, Mississippi",155,92916,28
634.0,476.0,158.0,"District 1, Webster County, Mississippi",155,90702,28
705.0,478.0,227.0,"District 2, Webster County, Mississippi",155,91440,28
2552.0,1918.0,634.0,"District 2, Alcorn County, Mississippi",003,90756,28
2896.0,1966.0,930.0,"District 3, Alcorn County, Mississippi",003,91494,28
2892.0,2347.0,545.0,"District 1, Alcorn County, Mississippi",003,90018,28
3248.0,2049.0,1199.0,"District 5, Alcorn County, Mississippi",003,92970,28
3087.0,2023.0,1064.0,"District 4, Alcorn County, Mississippi",003,92232,28
2026.0,1305.0,721.0,"District 4, Adams County, Mississippi",001,92223,28
2175.0,1420.0,755.0,"District 5, Adams County, Mississippi",001,92961,28
2728.0,1854.0,874.0,"District 2, Adams County, Mississippi",001,90747,28
2364.0,1510.0,854.0,"District 1, Adams County, Mississippi",001,90009,28
2216.0,1100.0,1116.0,"District 3, Adams County, Mississippi",001,91485,28
1476.0,1092.0,384.0,"District 3, Clay County, Mississippi",025,91593,28
1737.0,1461.0,276.0,"District 2, Clay County, Mississippi",025,90855,28
1631.0,1056.0,575.0,"District 1, Clay County, Mississippi",025,90117,28
1472.0,1076.0,396.0,"District 5, Clay County, Mississippi",025,93069,28
1365.0,829.0,536.0,"District 4, Clay County, Mississippi",025,92331,28
7348.0,4766.0,2582.0,"District 4, DeSoto County, Mississippi",033,92367,28
15600.0,11852.0,3748.0,"District 5, DeSoto County, Mississippi",033,93105,28
