B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
4748.0,3378.0,1370.0,"Shiprock-Sanostee CCD, San Juan County, New Mexico",045,92970,35
5796.0,4370.0,1426.0,"Bloomfield CCD, San Juan County, New Mexico",045,90360,35
18417.0,12364.0,6053.0,"Farmington CCD, San Juan County, New Mexico",045,91290,35
573.0,519.0,54.0,"Naschitti CCD, San Juan County, New Mexico",045,92160,35
8997.0,7234.0,1763.0,"Aztec CCD, San Juan County, New Mexico",045,90180,35
156.0,132.0,24.0,"San Jon CCD, Quay County, New Mexico",037,92730,35
2381.0,1510.0,871.0,"Tucumcari CCD, Quay County, New Mexico",037,93540,35
437.0,290.0,147.0,"Hondo CCD, Lincoln County, New Mexico",027,91500,35
464.0,404.0,60.0,"Logan-Nara Visa CCD, Quay County, New Mexico",037,91830,35
84.0,69.0,15.0,"House-Forrest CCD, Quay County, New Mexico",037,91530,35
151.0,120.0,31.0,"Corona CCD, Lincoln County, New Mexico",027,90780,35
550.0,471.0,79.0,"Carrizozo CCD, Lincoln County, New Mexico",027,90510,35
1222.0,1031.0,191.0,"Capitan CCD, Lincoln County, New Mexico",027,90450,35
5542.0,4278.0,1264.0,"Ruidoso CCD, Lincoln County, New Mexico",027,92700,35
866.0,702.0,164.0,"Hagerman CCD, Chaves County, New Mexico",005,91410,35
1225.0,1044.0,181.0,"Northwest Chaves CCD, Chaves County, New Mexico",005,92280,35
1875.0,1282.0,593.0,"Southwest Chaves CCD, Chaves County, New Mexico",005,93240,35
816.0,556.0,260.0,"Dexter CCD, Chaves County, New Mexico",005,90960,35
515.0,346.0,169.0,"Southeast Chaves CCD, Chaves County, New Mexico",005,93090,35
18024.0,11918.0,6106.0,"Roswell CCD, Chaves County, New Mexico",005,92670,35
22.0,22.0,0.0,"Northeast Chaves CCD, Chaves County, New Mexico",005,92190,35
4698.0,3325.0,1373.0,"Lovington CCD, Lea County, New Mexico",025,91950,35
793.0,538.0,255.0,"Jal CCD, Lea County, New Mexico",025,91620,35
15032.0,9949.0,5083.0,"Hobbs CCD, Lea County, New Mexico",025,91470,35
1064.0,852.0,212.0,"Eunice CCD, Lea County, New Mexico",025,91230,35
442.0,335.0,107.0,"Tatum CCD, Lea County, New Mexico",025,93360,35
16677.0,14148.0,2529.0,"Santa Fe South CCD, Santa Fe County, New Mexico",049,92880,35
37827.0,24048.0,13779.0,"Santa Fe CCD, Santa Fe County, New Mexico",049,92820,35
7147.0,5150.0,1997.0,"Santa Fe North CCD, Santa Fe County, New Mexico",049,92850,35
253.0,204.0,49.0,"Clayton North CCD, Union County, New Mexico",059,90660,35
1171.0,733.0,438.0,"Clayton South CCD, Union County, New Mexico",059,90690,35
1145.0,1021.0,124.0,"Truth or Consequences West CCD, Sierra County, New Mexico",051,93510,35
4255.0,2998.0,1257.0,"Truth or Consequences East CCD, Sierra County, New Mexico",051,93480,35
769.0,713.0,56.0,"Magdalena CCD, Socorro County, New Mexico",053,91980,35
15.0,15.0,0.0,"Claunch CCD, Socorro County, New Mexico",053,90630,35
6090.0,3588.0,2502.0,"Portales CCD, Roosevelt County, New Mexico",041,92430,35
425.0,311.0,114.0,"Elida CCD, Roosevelt County, New Mexico",041,91140,35
610.0,459.0,151.0,"Dora CCD, Roosevelt County, New Mexico",041,91080,35
5302.0,3508.0,1794.0,"Los Alamos CCD, Los Alamos County, New Mexico",028,91860,35
2223.0,2035.0,188.0,"White Rock CCD, Los Alamos County, New Mexico",028,93810,35
444.0,376.0,68.0,"Dixon CCD, Rio Arriba County, New Mexico",039,91020,35
1006.0,946.0,60.0,"Rio Chama CCD, Rio Arriba County, New Mexico",039,92610,35
563.0,454.0,109.0,"Coyote CCD, Rio Arriba County, New Mexico",039,90810,35
1295.0,1054.0,241.0,"Tierra Amarilla CCD, Rio Arriba County, New Mexico",039,93390,35
10.0,10.0,0.0,"Conchas Dam CCD, San Miguel County, New Mexico",047,90750,35
827.0,683.0,144.0,"Villanueva CCD, San Miguel County, New Mexico",047,93690,35
2741.0,1913.0,828.0,"South Rio Arriba CCD, Rio Arriba County, New Mexico",039,93210,35
1014.0,836.0,178.0,"Chimayo CCD, Rio Arriba County, New Mexico",039,90570,35
2806.0,2152.0,654.0,"Pecos CCD, San Miguel County, New Mexico",047,92310,35
2995.0,2122.0,873.0,"Santa Clara Pueblo CCD, Rio Arriba County, New Mexico",039,92790,35
7301.0,4844.0,2457.0,"Las Vegas CCD, San Miguel County, New Mexico",047,91770,35
