B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
837.0,637.0,200.0,"Mary Ann township, Licking County, Ohio",089,48132,39
523.0,474.0,49.0,"Burlington township, Licking County, Ohio",089,10366,39
375.0,362.0,13.0,"Fallsbury township, Licking County, Ohio",089,26530,39
455.0,391.0,64.0,"Hopewell township, Licking County, Ohio",089,36316,39
819.0,792.0,27.0,"Newark township, Licking County, Ohio",089,54054,39
5449.0,3954.0,1495.0,"Pataskala city, Licking County, Ohio",089,61112,39
1040.0,954.0,86.0,"St. Albans township, Licking County, Ohio",089,69456,39
1158.0,809.0,349.0,"Washington township, Licking County, Ohio",089,81410,39
566.0,529.0,37.0,"Bennington township, Licking County, Ohio",089,05494,39
511.0,497.0,14.0,"Bowling Green township, Licking County, Ohio",089,07944,39
631.0,528.0,103.0,"McKean township, Licking County, Ohio",089,46116,39
312.0,257.0,55.0,"Eden township, Licking County, Ohio",089,24332,39
5696.0,4544.0,1152.0,"Etna township, Licking County, Ohio",089,25690,39
2737.0,2219.0,518.0,"Granville township, Licking County, Ohio",089,31416,39
2980.0,2781.0,199.0,"Harrison township, Licking County, Ohio",089,33894,39
601.0,561.0,40.0,"Perry township, Licking County, Ohio",089,61924,39
513.0,423.0,90.0,"Hartford township, Licking County, Ohio",089,34188,39
3481.0,2589.0,892.0,"Union township, Licking County, Ohio",089,78400,39
1208.0,1074.0,134.0,"Jersey township, Licking County, Ohio",089,39102,39
3892.0,2369.0,1523.0,"Sharon township, Richland County, Ohio",139,71830,39
4420.0,3510.0,910.0,"Springfield township, Richland County, Ohio",139,74128,39
1026.0,844.0,182.0,"Bennington township, Morrow County, Ohio",117,05508,39
476.0,462.0,14.0,"Westfield township, Morrow County, Ohio",117,83454,39
410.0,375.0,35.0,"Canaan township, Morrow County, Ohio",117,11248,39
437.0,437.0,0.0,"Troy township, Morrow County, Ohio",117,77602,39
513.0,497.0,16.0,"Franklin township, Morrow County, Ohio",117,28378,39
288.0,277.0,11.0,"Buffalo township, Noble County, Ohio",121,10142,39
106.0,80.0,26.0,"Jackson township, Noble County, Ohio",121,37940,39
265.0,256.0,9.0,"Jefferson township, Noble County, Ohio",121,38766,39
139.0,123.0,16.0,"Stock township, Noble County, Ohio",121,74728,39
225.0,187.0,38.0,"Wayne township, Noble County, Ohio",121,82250,39
262.0,241.0,21.0,"Enoch township, Noble County, Ohio",121,25438,39
105.0,103.0,2.0,"Sharon township, Noble County, Ohio",121,71826,39
1566.0,1123.0,443.0,"Olive township, Noble County, Ohio",121,58310,39
58.0,58.0,0.0,"Brookfield township, Noble County, Ohio",121,09162,39
98.0,83.0,15.0,"Elk township, Noble County, Ohio",121,24878,39
284.0,263.0,21.0,"Beaver township, Noble County, Ohio",121,04682,39
185.0,164.0,21.0,"Marion township, Noble County, Ohio",121,47810,39
729.0,626.0,103.0,"Noble township, Noble County, Ohio",121,56028,39
297.0,262.0,35.0,"Seneca township, Noble County, Ohio",121,71352,39
405.0,378.0,27.0,"Center township, Noble County, Ohio",121,12994,39
9780.0,7848.0,1932.0,"Orange township, Delaware County, Ohio",041,58618,39
317.0,256.0,61.0,"Oxford township, Delaware County, Ohio",041,59262,39
830.0,686.0,144.0,"Trenton township, Delaware County, Ohio",041,77336,39
142.0,93.0,49.0,"Marlboro township, Delaware County, Ohio",041,47908,39
761.0,676.0,85.0,"Troy township, Delaware County, Ohio",041,77560,39
3413.0,3015.0,398.0,"Concord township, Delaware County, Ohio",041,18140,39
8642.0,8343.0,299.0,"Genoa township, Delaware County, Ohio",041,29694,39
10017.0,9003.0,1014.0,"Liberty township, Delaware County, Ohio",041,43106,39
628.0,612.0,16.0,"Radnor township, Delaware County, Ohio",041,65312,39
1216.0,1114.0,102.0,"Scioto township, Delaware County, Ohio",041,70842,39
2234.0,2102.0,132.0,"Berlin township, Delaware County, Ohio",041,05788,39
1834.0,1709.0,125.0,"Chardon township, Geauga County, Ohio",055,13561,39
4107.0,3818.0,289.0,"Chester township, Geauga County, Ohio",055,13988,39
434.0,333.0,101.0,"Ohio township, Gallia County, Ohio",053,57974,39
507.0,401.0,106.0,"Huntington township, Gallia County, Ohio",053,36848,39
498.0,430.0,68.0,"Cheshire township, Gallia County, Ohio",053,13946,39
484.0,416.0,68.0,"Morgan township, Gallia County, Ohio",053,52094,39
782.0,581.0,201.0,"Monroe township, Preble County, Ohio",135,51548,39
1112.0,974.0,138.0,"Twin township, Preble County, Ohio",135,77994,39
406.0,299.0,107.0,"Israel township, Preble County, Ohio",135,37590,39
154.0,106.0,48.0,"Dixon township, Preble County, Ohio",135,22106,39
1352.0,954.0,398.0,"Jefferson township, Preble County, Ohio",135,38780,39
1382.0,1046.0,336.0,"Lanier township, Preble County, Ohio",135,41846,39
477.0,377.0,100.0,"Jackson township, Preble County, Ohio",135,38010,39
1447.0,1089.0,358.0,"Somers township, Preble County, Ohio",135,72964,39
676.0,560.0,116.0,"Washington township, Preble County, Ohio",135,81564,39
3445.0,2028.0,1417.0,"Eaton city, Preble County, Ohio",135,24234,39
