B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
367.0,290.0,77.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
376.0,300.0,76.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
2775.0,1996.0,779.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
785.0,495.0,290.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
3892.0,1707.0,2185.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
10822.0,6949.0,3873.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
836.0,770.0,66.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
426.0,330.0,96.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
446.0,331.0,115.0,"Powers CCD, Coos County, Oregon",011,92567,41
3059.0,1971.0,1088.0,"Bandon CCD, Coos County, Oregon",011,90221,41
2021.0,1404.0,617.0,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
12896.0,7433.0,5463.0,"Coos Bay CCD, Coos County, Oregon",011,90629,41
2318.0,1844.0,474.0,"Eastside CCD, Coos County, Oregon",011,91003,41
3302.0,2276.0,1026.0,"Coquille CCD, Coos County, Oregon",011,90646,41
2431.0,2002.0,429.0,"North Bayside CCD, Coos County, Oregon",011,92159,41
1467.0,1030.0,437.0,"Port Orford CCD, Curry County, Oregon",015,92533,41
7.0,7.0,0.0,"Agness CCD, Curry County, Oregon",015,90051,41
3959.0,2409.0,1550.0,"Brookings CCD, Curry County, Oregon",015,90357,41
2479.0,1768.0,711.0,"Gold Beach CCD, Curry County, Oregon",015,91207,41
2470.0,1795.0,675.0,"Harbor CCD, Curry County, Oregon",015,91275,41
463.0,303.0,160.0,"Condon CCD, Gilliam County, Oregon",021,90612,41
342.0,212.0,130.0,"Arlington CCD, Gilliam County, Oregon",021,90102,41
487.0,390.0,97.0,"Parkdale CCD, Hood River County, Oregon",027,92431,41
1894.0,1329.0,565.0,"Odell CCD, Hood River County, Oregon",027,92380,41
346.0,251.0,95.0,"Dee CCD, Hood River County, Oregon",027,90850,41
