B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
1653.0,1277.0,376.0,"Little Compton town, Newport County, Rhode Island",005,42400,44
6832.0,3574.0,3258.0,"Middletown town, Newport County, Rhode Island",005,45460,44
10523.0,4248.0,6275.0,"Newport city, Newport County, Rhode Island",005,49960,44
0.0,0.0,0.0,"County subdivisions not defined, Newport County, Rhode Island",005,00000,44
2303.0,1888.0,415.0,"Jamestown town, Newport County, Rhode Island",005,36820,44
7269.0,5534.0,1735.0,"Portsmouth town, Newport County, Rhode Island",005,57880,44
6841.0,5452.0,1389.0,"Tiverton town, Newport County, Rhode Island",005,70880,44
34904.0,25057.0,9847.0,"Warwick city, Kent County, Rhode Island",003,74300,44
14005.0,10872.0,3133.0,"Coventry town, Kent County, Rhode Island",003,18640,44
12797.0,6985.0,5812.0,"West Warwick town, Kent County, Rhode Island",003,78440,44
2195.0,1783.0,412.0,"West Greenwich town, Kent County, Rhode Island",003,77720,44
5112.0,3951.0,1161.0,"East Greenwich town, Kent County, Rhode Island",003,22240,44
13541.0,9961.0,3580.0,"Cumberland town, Providence County, Rhode Island",007,20080,44
17054.0,6277.0,10777.0,"Woonsocket city, Providence County, Rhode Island",007,80780,44
14032.0,8222.0,5810.0,"North Providence town, Providence County, Rhode Island",007,51760,44
7942.0,5152.0,2790.0,"Lincoln town, Providence County, Rhode Island",007,41500,44
19913.0,11728.0,8185.0,"East Providence city, Providence County, Rhode Island",007,22960,44
3607.0,3272.0,335.0,"Glocester town, Providence County, Rhode Island",007,30340,44
4536.0,3469.0,1067.0,"North Smithfield town, Providence County, Rhode Island",007,52480,44
6310.0,1439.0,4871.0,"Central Falls city, Providence County, Rhode Island",007,14140,44
7517.0,6016.0,1501.0,"Smithfield town, Providence County, Rhode Island",007,66200,44
27635.0,12082.0,15553.0,"Pawtucket city, Providence County, Rhode Island",007,54640,44
62057.0,21503.0,40554.0,"Providence city, Providence County, Rhode Island",007,59000,44
1782.0,1487.0,295.0,"Foster town, Providence County, Rhode Island",007,27460,44
11992.0,8134.0,3858.0,"Johnston town, Providence County, Rhode Island",007,37720,44
4068.0,3542.0,526.0,"Scituate town, Providence County, Rhode Island",007,64220,44
5964.0,4386.0,1578.0,"Burrillville town, Providence County, Rhode Island",007,11800,44
30515.0,20177.0,10338.0,"Cranston city, Providence County, Rhode Island",007,19180,44
6075.0,5420.0,655.0,"Barrington town, Bristol County, Rhode Island",001,05140,44
4957.0,2561.0,2396.0,"Warren town, Bristol County, Rhode Island",001,73760,44
8489.0,5485.0,3004.0,"Bristol town, Bristol County, Rhode Island",001,09280,44
9796.0,6116.0,3680.0,"Westerly town, Washington County, Rhode Island",009,77000,44
10300.0,7869.0,2431.0,"North Kingstown town, Washington County, Rhode Island",009,51580,44
10278.0,7390.0,2888.0,"South Kingstown town, Washington County, Rhode Island",009,67460,44
3347.0,2804.0,543.0,"Hopkinton town, Washington County, Rhode Island",009,35380,44
2850.0,2546.0,304.0,"Richmond town, Washington County, Rhode Island",009,61160,44
2584.0,2099.0,485.0,"Exeter town, Washington County, Rhode Island",009,25300,44
6739.0,4482.0,2257.0,"Narragansett town, Washington County, Rhode Island",009,48340,44
443.0,308.0,135.0,"New Shoreham town, Washington County, Rhode Island",009,50500,44
3271.0,2743.0,528.0,"Charlestown town, Washington County, Rhode Island",009,14500,44
