B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
3289.0,2316.0,973.0,"Timberlake district, Campbell County, Virginia",031,96087,51
3767.0,3170.0,597.0,"Concord district, Campbell County, Virginia",031,90968,51
2994.0,2461.0,533.0,"Seneca district, Campbell County, Virginia",031,95623,51
2668.0,1990.0,678.0,"Brookneal district, Campbell County, Virginia",031,90504,51
2984.0,2370.0,614.0,"Rustburg district, Campbell County, Virginia",031,95503,51
25697.0,17009.0,8688.0,"Tuckahoe district, Henrico County, Virginia",087,96119,51
24979.0,14962.0,10017.0,"Fairfield district, Henrico County, Virginia",087,93511,51
25831.0,15160.0,10671.0,"Three Chopt district, Henrico County, Virginia",087,96079,51
3811.0,2997.0,814.0,"Iriswood district, Henry County, Virginia",089,93975,51
25978.0,16114.0,9864.0,"Brookland district, Henrico County, Virginia",087,90496,51
23630.0,16066.0,7564.0,"Varina district, Henrico County, Virginia",087,96175,51
3967.0,2240.0,1727.0,"Collinsville district, Henry County, Virginia",089,90944,51
3622.0,2918.0,704.0,"Reed Creek district, Henry County, Virginia",089,95263,51
3434.0,2614.0,820.0,"Blackberry district, Henry County, Virginia",089,90288,51
3866.0,2800.0,1066.0,"Ridgeway district, Henry County, Virginia",089,95295,51
3461.0,2651.0,810.0,"Horsepasture district, Henry County, Virginia",089,93919,51
1950.0,1064.0,886.0,"Dahlgren district, King George County, Virginia",099,91080,51
2873.0,2334.0,539.0,"James Monroe district, King George County, Virginia",099,94039,51
1839.0,1469.0,370.0,"Shiloh district, King George County, Virginia",099,95687,51
2310.0,1913.0,397.0,"James Madison district, King George County, Virginia",099,94031,51
2228.0,1816.0,412.0,"West Point district, King William County, Virginia",101,96327,51
2678.0,2404.0,274.0,"Acquinton district, King William County, Virginia",101,90016,51
1173.0,1013.0,160.0,"Mangohick district, King William County, Virginia",101,94479,51
1610.0,1373.0,237.0,"Mountain Road district, Louisa County, Virginia",109,94759,51
1859.0,1493.0,366.0,"Patrick Henry district, Louisa County, Virginia",109,95015,51
1838.0,1116.0,722.0,"Louisa district, Louisa County, Virginia",109,94375,51
1843.0,1511.0,332.0,"Mineral district, Louisa County, Virginia",109,94711,51
1571.0,1344.0,227.0,"Cuckoo district, Louisa County, Virginia",109,91040,51
2616.0,2026.0,590.0,"Green Spring district, Louisa County, Virginia",109,93767,51
2114.0,1858.0,256.0,"Jackson district, Louisa County, Virginia",109,93999,51
775.0,659.0,116.0,"Chesapeake district, Mathews County, Virginia",115,90808,51
1492.0,1264.0,228.0,"Westville district, Mathews County, Virginia",115,96335,51
1499.0,1325.0,174.0,"Piankatank district, Mathews County, Virginia",115,95055,51
939.0,689.0,250.0,"Jamaica district, Middlesex County, Virginia",119,94023,51
1997.0,1683.0,314.0,"Pine Top district, Middlesex County, Virginia",119,95079,51
1586.0,1287.0,299.0,"Saluda district, Middlesex County, Virginia",119,95559,51
1207.0,840.0,367.0,"District 501, Prince Edward County, Virginia",147,92593,51
571.0,466.0,105.0,"District 701, Prince Edward County, Virginia",147,92613,51
771.0,593.0,178.0,"District 401, Prince Edward County, Virginia",147,92583,51
957.0,686.0,271.0,"District 201, Prince Edward County, Virginia",147,92563,51
409.0,196.0,213.0,"District 801, Prince Edward County, Virginia",147,92623,51
904.0,697.0,207.0,"District 601, Prince Edward County, Virginia",147,92603,51
992.0,819.0,173.0,"District 301, Prince Edward County, Virginia",147,92573,51
1470.0,425.0,1045.0,"District 101, Prince Edward County, Virginia",147,92553,51
5069.0,2856.0,2213.0,"Bland district, Prince George County, Virginia",149,90352,51
1335.0,1145.0,190.0,"Blackwater district, Prince George County, Virginia",149,90328,51
501.0,397.0,104.0,"Brandon district, Prince George County, Virginia",149,90472,51
2729.0,1875.0,854.0,"Rives district, Prince George County, Virginia",149,95343,51
1664.0,1437.0,227.0,"Templeton district, Prince George County, Virginia",149,96063,51
428.0,274.0,154.0,"District 1, Richmond County, Virginia",159,91271,51
881.0,562.0,319.0,"District 3, Richmond County, Virginia",159,91571,51
609.0,399.0,210.0,"District 2, Richmond County, Virginia",159,91421,51
705.0,604.0,101.0,"District 4, Richmond County, Virginia",159,91721,51
627.0,499.0,128.0,"District 5, Richmond County, Virginia",159,91871,51
5304.0,3692.0,1612.0,"Central district, Rockingham County, Virginia",165,90736,51
5956.0,4093.0,1863.0,"Plains district, Rockingham County, Virginia",165,95095,51
7886.0,6003.0,1883.0,"Stonewall district, Rockingham County, Virginia",165,95951,51
8133.0,5991.0,2142.0,"Ashby district, Rockingham County, Virginia",165,90080,51
3224.0,2572.0,652.0,"Linville district, Rockingham County, Virginia",165,94287,51
1505.0,1159.0,346.0,"District 6, Scott County, Virginia",169,92026,51
1594.0,1203.0,391.0,"District 1, Scott County, Virginia",169,91276,51
1559.0,1180.0,379.0,"District 3, Scott County, Virginia",169,91576,51
1451.0,1070.0,381.0,"District 4, Scott County, Virginia",169,91726,51
1515.0,1186.0,329.0,"District 2, Scott County, Virginia",169,91426,51
1352.0,1133.0,219.0,"District 5, Scott County, Virginia",169,91876,51
5470.0,4872.0,598.0,"Chancellor district, Spotsylvania County, Virginia",177,90760,51
6262.0,5638.0,624.0,"Livingston district, Spotsylvania County, Virginia",177,94311,51
6359.0,4538.0,1821.0,"Lee Hill district, Spotsylvania County, Virginia",177,94231,51
6810.0,4755.0,2055.0,"Battlefield district, Spotsylvania County, Virginia",177,90168,51
6606.0,4254.0,2352.0,"Courtland district, Spotsylvania County, Virginia",177,91008,51
5848.0,4876.0,972.0,"Berkeley district, Spotsylvania County, Virginia",177,90232,51
5924.0,4549.0,1375.0,"Salem district, Spotsylvania County, Virginia",177,95543,51
517.0,447.0,70.0,"Bacons Castle district, Surry County, Virginia",181,90136,51
491.0,350.0,141.0,"Carsley district, Surry County, Virginia",181,90624,51
548.0,357.0,191.0,"Claremont district, Surry County, Virginia",181,90848,51
574.0,469.0,105.0,"Dendron district, Surry County, Virginia",181,91136,51
643.0,487.0,156.0,"Surry district, Surry County, Virginia",181,96023,51
1022.0,869.0,153.0,"Russell district, Clarke County, Virginia",043,95495,51
1082.0,772.0,310.0,"White Post district, Clarke County, Virginia",043,96367,51
1280.0,749.0,531.0,"Berryville district, Clarke County, Virginia",043,90256,51
1156.0,913.0,243.0,"Buckmarsh district, Clarke County, Virginia",043,90544,51
1028.0,873.0,155.0,"Millwood district, Clarke County, Virginia",043,94703,51
3024.0,2680.0,344.0,"Blackwater district, Franklin County, Virginia",067,90320,51
3132.0,2170.0,962.0,"Snow Creek district, Franklin County, Virginia",067,95743,51
2619.0,1970.0,649.0,"Blue Ridge district, Franklin County, Virginia",067,90392,51
3550.0,3161.0,389.0,"Gills Creek district, Franklin County, Virginia",067,93703,51
3503.0,2955.0,548.0,"Union Hall district, Franklin County, Virginia",067,96151,51
3632.0,3029.0,603.0,"Boone district, Franklin County, Virginia",067,90432,51
3743.0,2428.0,1315.0,"Rocky Mount district, Franklin County, Virginia",067,95431,51
485.0,327.0,158.0,"Buena Vista district, King and Queen County, Virginia",097,90552,51
686.0,585.0,101.0,"Stevensville district, King and Queen County, Virginia",097,95903,51
539.0,420.0,119.0,"Shanghai district, King and Queen County, Virginia",097,95631,51
483.0,355.0,128.0,"Newtown district, King and Queen County, Virginia",097,94863,51
618.0,526.0,92.0,"St. Stephens Church district, King and Queen County, Virginia",097,95527,51
1237.0,699.0,538.0,"District 5, Mecklenburg County, Virginia",117,91853,51
1359.0,931.0,428.0,"District 1, Mecklenburg County, Virginia",117,91253,51
1791.0,1403.0,388.0,"District 3, Mecklenburg County, Virginia",117,91553,51
1040.0,740.0,300.0,"District 7, Mecklenburg County, Virginia",117,92153,51
1440.0,1231.0,209.0,"District 9, Mecklenburg County, Virginia",117,92453,51
1215.0,702.0,513.0,"District 4, Mecklenburg County, Virginia",117,91703,51
1410.0,1062.0,348.0,"District 6, Mecklenburg County, Virginia",117,92003,51
1472.0,1165.0,307.0,"District 8, Mecklenburg County, Virginia",117,92303,51
821.0,570.0,251.0,"District 2, Mecklenburg County, Virginia",117,91403,51
1461.0,1303.0,158.0,"District 2, New Kent County, Virginia",127,91407,51
1360.0,883.0,477.0,"District 4, New Kent County, Virginia",127,91707,51
1429.0,1162.0,267.0,"District 1, New Kent County, Virginia",127,91257,51
1223.0,1100.0,123.0,"District 3, New Kent County, Virginia",127,91557,51
2082.0,1734.0,348.0,"District 5, New Kent County, Virginia",127,91857,51
3204.0,2694.0,510.0,"Pastures district, Augusta County, Virginia",015,94999,51
4435.0,3485.0,950.0,"Wayne district, Augusta County, Virginia",015,96271,51
3736.0,2621.0,1115.0,"Beverley Manor district, Augusta County, Virginia",015,90272,51
4596.0,3690.0,906.0,"South River district, Augusta County, Virginia",015,95791,51
4226.0,3328.0,898.0,"Riverheads district, Augusta County, Virginia",015,95335,51
4286.0,3628.0,658.0,"North River district, Augusta County, Virginia",015,94911,51
4307.0,3328.0,979.0,"Middle River district, Augusta County, Virginia",015,94671,51
739.0,596.0,143.0,"District 1, Cumberland County, Virginia",049,91220,51
916.0,650.0,266.0,"District 2, Cumberland County, Virginia",049,91370,51
729.0,588.0,141.0,"District 3, Cumberland County, Virginia",049,91520,51
714.0,557.0,157.0,"District 4, Cumberland County, Virginia",049,91670,51
874.0,479.0,395.0,"District 5, Cumberland County, Virginia",049,91820,51
1292.0,1002.0,290.0,"Clintwood district, Dickenson County, Virginia",051,90880,51
1259.0,899.0,360.0,"Sand Lick district, Dickenson County, Virginia",051,95575,51
1038.0,790.0,248.0,"Ervinton district, Dickenson County, Virginia",051,93495,51
1292.0,964.0,328.0,"Kenady district, Dickenson County, Virginia",051,94135,51
1215.0,975.0,240.0,"Willis district, Dickenson County, Virginia",051,96407,51
1211.0,1110.0,101.0,"District 3, Goochland County, Virginia",075,91532,51
1982.0,1922.0,60.0,"District 5, Goochland County, Virginia",075,91832,51
2054.0,1660.0,394.0,"District 4, Goochland County, Virginia",075,91682,51
1424.0,1170.0,254.0,"District 2, Goochland County, Virginia",075,91382,51
1586.0,1324.0,262.0,"District 1, Goochland County, Virginia",075,91232,51
1899.0,1240.0,659.0,"District 6, Halifax County, Virginia",083,91986,51
1977.0,1578.0,399.0,"District 5, Halifax County, Virginia",083,91836,51
1925.0,1319.0,606.0,"District 2, Halifax County, Virginia",083,91386,51
1644.0,1333.0,311.0,"District 1, Halifax County, Virginia",083,91236,51
1562.0,920.0,642.0,"District 8, Halifax County, Virginia",083,92286,51
1797.0,1441.0,356.0,"District 3, Halifax County, Virginia",083,91536,51
1416.0,862.0,554.0,"District 4, Halifax County, Virginia",083,91686,51
1864.0,1527.0,337.0,"District 7, Halifax County, Virginia",083,92136,51
13177.0,11985.0,1192.0,"Catoctin district, Loudoun County, Virginia",107,90656,51
18706.0,15809.0,2897.0,"Blue Ridge district, Loudoun County, Virginia",107,90400,51
15519.0,10525.0,4994.0,"Leesburg district, Loudoun County, Virginia",107,94247,51
12704.0,9537.0,3167.0,"Sterling district, Loudoun County, Virginia",107,95887,51
16087.0,10366.0,5721.0,"Broad Run district, Loudoun County, Virginia",107,90488,51
16881.0,14148.0,2733.0,"Dulles district, Loudoun County, Virginia",107,93415,51
