B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
4138.0,3446.0,692.0,"Northern district, Harrison County, West Virginia",033,92352,54
4271.0,3526.0,745.0,"Southwest district, Harrison County, West Virginia",033,92952,54
4565.0,2966.0,1599.0,"South Urban district, Harrison County, West Virginia",033,92932,54
4995.0,3872.0,1123.0,"Southern district, Harrison County, West Virginia",033,92923,54
3992.0,2524.0,1468.0,"North Urban district, Harrison County, West Virginia",033,92368,54
5581.0,4179.0,1402.0,"Eastern district, Harrison County, West Virginia",033,90975,54
5378.0,2890.0,2488.0,"District 2, Ohio County, West Virginia",069,90824,54
6463.0,4617.0,1846.0,"District 3, Ohio County, West Virginia",069,90862,54
6005.0,4875.0,1130.0,"District 1, Ohio County, West Virginia",069,90788,54
661.0,592.0,69.0,"Grant district, Ritchie County, West Virginia",085,91380,54
464.0,373.0,91.0,"Murphy district, Ritchie County, West Virginia",085,92244,54
1317.0,940.0,377.0,"Union district, Ritchie County, West Virginia",085,93336,54
1383.0,1102.0,281.0,"Clay district, Ritchie County, West Virginia",085,90552,54
576.0,444.0,132.0,"District 4, Calhoun County, West Virginia",013,90873,54
503.0,459.0,44.0,"District 1, Calhoun County, West Virginia",013,90766,54
709.0,617.0,92.0,"District 5, Calhoun County, West Virginia",013,90885,54
579.0,420.0,159.0,"District 3, Calhoun County, West Virginia",013,90836,54
441.0,415.0,26.0,"District 2, Calhoun County, West Virginia",013,90800,54
2532.0,1780.0,752.0,"District 2, Morgan County, West Virginia",065,90822,54
2265.0,1944.0,321.0,"District 1, Morgan County, West Virginia",065,90786,54
2321.0,2052.0,269.0,"District 3, Morgan County, West Virginia",065,90858,54
10233.0,7025.0,3208.0,"District 2, Raleigh County, West Virginia",081,90828,54
9472.0,7511.0,1961.0,"District 1, Raleigh County, West Virginia",081,90792,54
11364.0,8200.0,3164.0,"District 3, Raleigh County, West Virginia",081,90864,54
1450.0,1176.0,274.0,"Western district, Braxton County, West Virginia",007,93597,54
1428.0,1111.0,317.0,"Northern district, Braxton County, West Virginia",007,92346,54
1450.0,1181.0,269.0,"Southern district, Braxton County, West Virginia",007,92922,54
1170.0,799.0,371.0,"Eastern district, Braxton County, West Virginia",007,90968,54
4078.0,3207.0,871.0,"Curry district, Putnam County, West Virginia",079,90720,54
4217.0,3599.0,618.0,"Buffalo-Union district, Putnam County, West Virginia",079,90292,54
3344.0,2621.0,723.0,"Pocatalico district, Putnam County, West Virginia",079,92508,54
