B25003_001E,B25003_002E,B25003_003E,name,county,county subdivision,state
4685.0,3546.0,1139.0,"Torrington CCD, Goshen County, Wyoming",015,93465,56
472.0,355.0,117.0,"Goshen Hole CCD, Goshen County, Wyoming",015,91430,56
171.0,149.0,22.0,"Rawhide Creek CCD, Goshen County, Wyoming",015,92585,56
5443.0,3767.0,1676.0,"Evanston CCD, Uinta County, Wyoming",041,91155,56
2262.0,1789.0,473.0,"Bridger Valley CCD, Uinta County, Wyoming",041,90440,56
351.0,249.0,102.0,"Ten Sleep CCD, Washakie County, Wyoming",043,93300,56
3139.0,2408.0,731.0,"Worland CCD, Washakie County, Wyoming",043,93795,56
1921.0,1537.0,384.0,"Thermopolis West CCD, Hot Springs County, Wyoming",017,93410,56
232.0,138.0,94.0,"Thermopolis East CCD, Hot Springs County, Wyoming",017,93355,56
822.0,601.0,221.0,"Dubois CCD, Fremont County, Wyoming",013,91045,56
4623.0,3315.0,1308.0,"Lander CCD, Fremont County, Wyoming",013,92035,56
339.0,223.0,116.0,"Shoshoni CCD, Fremont County, Wyoming",013,93080,56
2348.0,1793.0,555.0,"Pinedale CCD, Sublette County, Wyoming",035,92475,56
73.0,60.0,13.0,"Boulder CCD, Sublette County, Wyoming",035,90385,56
776.0,566.0,210.0,"Big Piney CCD, Sublette County, Wyoming",035,90330,56
658.0,461.0,197.0,"Upton CCD, Weston County, Wyoming",045,93520,56
2524.0,1976.0,548.0,"Newcastle CCD, Weston County, Wyoming",045,92255,56
1368.0,997.0,371.0,"Central Big Horn CCD, Big Horn County, Wyoming",003,90688,56
2046.0,1475.0,571.0,"North Big Horn CCD, Big Horn County, Wyoming",003,92393,56
9338.0,6529.0,2809.0,"Wind River Reservation CCD, Fremont County, Wyoming",013,93742,56
93.0,52.0,41.0,"Wind River Reservation CCD, Hot Springs County, Wyoming",017,93744,56
1067.0,783.0,284.0,"South Big Horn CCD, Big Horn County, Wyoming",003,93142,56
406.0,285.0,121.0,"East Niobrara CCD, Niobrara County, Wyoming",027,91128,56
576.0,418.0,158.0,"West Niobrara CCD, Niobrara County, Wyoming",027,93603,56
6325.0,4632.0,1693.0,"Gillette South CCD, Campbell County, Wyoming",005,91265,56
11263.0,7943.0,3320.0,"Gillette North CCD, Campbell County, Wyoming",005,91210,56
4898.0,3815.0,1083.0,"Afton CCD, Lincoln County, Wyoming",023,90055,56
443.0,393.0,50.0,"Kemmerer West CCD, Lincoln County, Wyoming",023,91980,56
1722.0,1331.0,391.0,"Kemmerer East CCD, Lincoln County, Wyoming",023,91925,56
332.0,210.0,122.0,"Kaycee CCD, Johnson County, Wyoming",019,91870,56
3446.0,2508.0,938.0,"Buffalo CCD, Johnson County, Wyoming",019,90495,56
22940.0,14046.0,8894.0,"Casper CCD, Natrona County, Wyoming",025,90550,56
5243.0,4056.0,1187.0,"Casper South CCD, Natrona County, Wyoming",025,90660,56
2328.0,1950.0,378.0,"Casper North CCD, Natrona County, Wyoming",025,90605,56
2473.0,1924.0,549.0,"Hells Half Acre CCD, Natrona County, Wyoming",025,91705,56
3722.0,3445.0,277.0,"Cheyenne East CCD, Laramie County, Wyoming",021,90770,56
31258.0,20655.0,10603.0,"Cheyenne CCD, Laramie County, Wyoming",021,90715,56
2100.0,1559.0,541.0,"Cheyenne West CCD, Laramie County, Wyoming",021,90825,56
1367.0,991.0,376.0,"Pine Bluffs CCD, Laramie County, Wyoming",021,92420,56
