B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
76.0,76.0,0.0,"Marana CCD, Pima County, Arizona",019,92040,04
26.0,0.0,26.0,"Ajo CCD, Pima County, Arizona",019,90051,04
9906.0,5268.0,4638.0,"Tucson CCD, Pima County, Arizona",019,93570,04
346.0,253.0,93.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
60.0,51.0,9.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
10242.0,7984.0,2258.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
37719.0,20471.0,17248.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
4248.0,3186.0,1062.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
51.0,14.0,37.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
0.0,0.0,0.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
453.0,403.0,50.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
326.0,318.0,8.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
29.0,29.0,0.0,"Payson CCD, Gila County, Arizona",007,92570,04
6.0,0.0,6.0,"Winkelman CCD, Gila County, Arizona",007,93927,04
53.0,48.0,5.0,"Salt River CCD, Maricopa County, Arizona",013,93060,04
58.0,33.0,25.0,"Globe-Miami CCD, Gila County, Arizona",007,91495,04
0.0,0.0,0.0,"Bonita-Klondyke CCD, Graham County, Arizona",009,90357,04
2.0,2.0,0.0,"Pima CCD, Graham County, Arizona",009,92652,04
50.0,42.0,8.0,"Safford CCD, Graham County, Arizona",009,92907,04
155.0,110.0,45.0,"Nogales CCD, Santa Cruz County, Arizona",023,92295,04
5.0,5.0,0.0,"Patagonia CCD, Santa Cruz County, Arizona",023,92550,04
0.0,0.0,0.0,"Benson CCD, Cochise County, Arizona",003,90255,04
575.0,269.0,306.0,"Sierra Vista CCD, Cochise County, Arizona",003,93182,04
0.0,0.0,0.0,"Willcox CCD, Cochise County, Arizona",003,93825,04
68.0,53.0,15.0,"Douglas CCD, Cochise County, Arizona",003,90969,04
165.0,140.0,25.0,"Bisbee CCD, Cochise County, Arizona",003,90306,04
77.0,62.0,15.0,"Parker CCD, La Paz County, Arizona",012,92480,04
0.0,0.0,0.0,"Elfrida CCD, Cochise County, Arizona",003,91122,04
0.0,0.0,0.0,"Bowie CCD, Cochise County, Arizona",003,90408,04
0.0,0.0,0.0,"Fort Apache CCD, Apache County, Arizona",001,91275,04
0.0,0.0,0.0,"Dennehotso CCD, Apache County, Arizona",001,90918,04
5.0,5.0,0.0,"Sweetwater CCD, Apache County, Arizona",001,93315,04
12.0,10.0,2.0,"Chinle CCD, Apache County, Arizona",001,90612,04
65.0,26.0,39.0,"Fort Defiance CCD, Apache County, Arizona",001,91326,04
0.0,0.0,0.0,"Eagar-Springerville CCD, Apache County, Arizona",001,91071,04
6.0,0.0,6.0,"Puerco CCD, Apache County, Arizona",001,92805,04
10.0,10.0,0.0,"St. Johns CCD, Apache County, Arizona",001,92958,04
63.0,30.0,33.0,"Tuba City CCD, Coconino County, Arizona",005,93519,04
0.0,0.0,0.0,"Havasupai CCD, Coconino County, Arizona",005,91530,04
0.0,0.0,0.0,"Hualapai CCD, Coconino County, Arizona",005,91683,04
0.0,0.0,0.0,"Hopi CCD, Coconino County, Arizona",005,91581,04
11.0,0.0,11.0,"Williams CCD, Coconino County, Arizona",005,93876,04
457.0,358.0,99.0,"Prescott CCD, Yavapai County, Arizona",025,92754,04
0.0,0.0,0.0,"Congress CCD, Yavapai County, Arizona",025,90765,04
58.0,50.0,8.0,"Mingus Mountain CCD, Yavapai County, Arizona",025,92193,04
857.0,420.0,437.0,"Yuma CCD, Yuma County, Arizona",027,93978,04
32.0,32.0,0.0,"Wellton CCD, Yuma County, Arizona",027,93672,04
46.0,46.0,0.0,"Somerton CCD, Yuma County, Arizona",027,93264,04
4.0,0.0,4.0,"Clifton CCD, Greenlee County, Arizona",011,90663,04
0.0,0.0,0.0,"Duncan CCD, Greenlee County, Arizona",011,91020,04
19.0,13.0,6.0,"Eloy CCD, Pinal County, Arizona",021,91173,04
51.0,44.0,7.0,"Snowflake CCD, Navajo County, Arizona",017,93213,04
33.0,8.0,25.0,"Hopi CCD, Navajo County, Arizona",017,91632,04
9.0,9.0,0.0,"Indian Wells CCD, Navajo County, Arizona",017,91785,04
89.0,65.0,24.0,"Florence CCD, Pinal County, Arizona",021,91224,04
774.0,664.0,110.0,"North Pinal CCD, Pinal County, Arizona",021,92346,04
7.0,0.0,7.0,"Coolidge CCD, Pinal County, Arizona",021,90816,04
627.0,524.0,103.0,"Maricopa-Stanfield CCD, Pinal County, Arizona",021,92091,04
54.0,8.0,46.0,"Gila River CCD, Pinal County, Arizona",021,91428,04
253.0,195.0,58.0,"Casa Grande CCD, Pinal County, Arizona",021,90510,04
6.0,6.0,0.0,"San Manuel CCD, Pinal County, Arizona",021,93162,04
272.0,242.0,30.0,"Kingman CCD, Mohave County, Arizona",015,91885,04
0.0,0.0,0.0,"Ash Fork CCD, Yavapai County, Arizona",025,90204,04
33.0,33.0,0.0,"Tonto National Forest CCD, Maricopa County, Arizona",013,93472,04
160.0,153.0,7.0,"Camp Verde-Sedona CCD, Yavapai County, Arizona",025,90484,04
667.0,250.0,417.0,"Flagstaff CCD, Coconino County, Arizona",005,91198,04
12.0,0.0,12.0,"Kaibab Plateau CCD, Coconino County, Arizona",005,91838,04
373.0,115.0,258.0,"Bullhead City CCD, Mohave County, Arizona",015,90470,04
0.0,0.0,0.0,"North Mohave CCD, Mohave County, Arizona",015,92340,04
193.0,97.0,96.0,"Lake Havasu City CCD, Mohave County, Arizona",015,91964,04
40.0,20.0,20.0,"Fort Apache CCD, Navajo County, Arizona",017,91279,04
38.0,11.0,27.0,"Winslow-Holbrook CCD, Navajo County, Arizona",017,93952,04
13.0,13.0,0.0,"Kayenta CCD, Navajo County, Arizona",017,91860,04
39.0,16.0,23.0,"San Carlos CCD, Gila County, Arizona",007,93109,04
0.0,0.0,0.0,"Tonto Basin CCD, Gila County, Arizona",007,93470,04
0.0,0.0,0.0,"Fort Apache CCD, Gila County, Arizona",007,91277,04
23.0,23.0,0.0,"Cordes Lakes-Mayer CCD, Yavapai County, Arizona",025,90840,04
47.0,8.0,39.0,"Piñon CCD, Navajo County, Arizona",017,92703,04
0.0,0.0,0.0,"Tohono O'odham Nation CCD, Pinal County, Arizona",021,93377,04
21.0,11.0,10.0,"Tohono O'odham Nation CCD, Pima County, Arizona",019,93375,04
