B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Skinnersville township, Washington County, North Carolina",187,92968,37
0.0,0.0,0.0,"Plymouth township, Washington County, North Carolina",187,92540,37
12.0,12.0,0.0,"Scuppernong township, Washington County, North Carolina",187,92876,37
0.0,0.0,0.0,"Lees Mill township, Washington County, North Carolina",187,91768,37
0.0,0.0,0.0,"Courthouse township, Camden County, North Carolina",029,90784,37
48.0,14.0,34.0,"Shiloh township, Camden County, North Carolina",029,92920,37
12.0,12.0,0.0,"South Mills township, Camden County, North Carolina",029,93044,37
0.0,0.0,0.0,"Sweetwater township, Clay County, North Carolina",043,93192,37
0.0,0.0,0.0,"Shooting Creek township, Clay County, North Carolina",043,92944,37
0.0,0.0,0.0,"Tusquittee township, Clay County, North Carolina",043,93792,37
0.0,0.0,0.0,"Brasstown township, Clay County, North Carolina",043,90360,37
0.0,0.0,0.0,"Hayesville township, Clay County, North Carolina",043,91436,37
4.0,4.0,0.0,"Black River township, Cumberland County, North Carolina",051,90288,37
41.0,39.0,2.0,"Eastover township, Cumberland County, North Carolina",051,90968,37
695.0,478.0,217.0,"Cross Creek township, Cumberland County, North Carolina",051,90832,37
381.0,285.0,96.0,"Rockfish township, Cumberland County, North Carolina",051,92724,37
977.0,570.0,407.0,"Seventy-First township, Cumberland County, North Carolina",051,92892,37
22.0,22.0,0.0,"Grays Creek township, Cumberland County, North Carolina",051,91296,37
0.0,0.0,0.0,"Beaver Dam township, Cumberland County, North Carolina",051,90192,37
84.0,36.0,48.0,"Pearces Mill township, Cumberland County, North Carolina",051,92460,37
156.0,78.0,78.0,"Carvers Creek township, Cumberland County, North Carolina",051,90532,37
188.0,28.0,160.0,"Manchester township, Cumberland County, North Carolina",051,91964,37
36.0,25.0,11.0,"Cedar Creek township, Cumberland County, North Carolina",051,90572,37
335.0,290.0,45.0,"South Point township, Gaston County, North Carolina",071,93048,37
0.0,0.0,0.0,"Crowders Mountain township, Gaston County, North Carolina",071,90844,37
538.0,415.0,123.0,"Gastonia township, Gaston County, North Carolina",071,91216,37
0.0,0.0,0.0,"Minneapolis township, Avery County, North Carolina",011,92090,37
3.0,3.0,0.0,"Banner Elk township, Avery County, North Carolina",011,90148,37
0.0,0.0,0.0,"Carey's Flat township, Avery County, North Carolina",011,90510,37
0.0,0.0,0.0,"Roaring Creek township, Avery County, North Carolina",011,92708,37
0.0,0.0,0.0,"Pyatte township, Avery County, North Carolina",011,92586,37
0.0,0.0,0.0,"Linville township, Avery County, North Carolina",011,91826,37
0.0,0.0,0.0,"Pineola township, Avery County, North Carolina",011,92502,37
0.0,0.0,0.0,"Altamont township, Avery County, North Carolina",011,90052,37
0.0,0.0,0.0,"Hughes township, Avery County, North Carolina",011,91558,37
0.0,0.0,0.0,"Frank township, Avery County, North Carolina",011,91154,37
0.0,0.0,0.0,"Cranberry township, Avery County, North Carolina",011,90812,37
0.0,0.0,0.0,"Beech Mountain township, Avery County, North Carolina",011,90212,37
0.0,0.0,0.0,"Heaton township, Avery County, North Carolina",011,91442,37
29.0,29.0,0.0,"Lower Hominy township, Buncombe County, North Carolina",021,91932,37
12.0,12.0,0.0,"Reems Creek township, Buncombe County, North Carolina",021,92648,37
41.0,9.0,32.0,"Leicester township, Buncombe County, North Carolina",021,91776,37
0.0,0.0,0.0,"French Broad township, Buncombe County, North Carolina",021,91176,37
0.0,0.0,0.0,"Ivy township, Buncombe County, North Carolina",021,91604,37
164.0,100.0,64.0,"Limestone township, Buncombe County, North Carolina",021,91816,37
0.0,0.0,0.0,"Upper Hominy township, Buncombe County, North Carolina",021,93840,37
66.0,66.0,0.0,"Avery Creek township, Buncombe County, North Carolina",021,90108,37
0.0,0.0,0.0,"Broad River township, Buncombe County, North Carolina",021,90380,37
12.0,12.0,0.0,"Fairview township, Buncombe County, North Carolina",021,91056,37
0.0,0.0,0.0,"Sandy Mush township, Buncombe County, North Carolina",021,92832,37
11.0,0.0,11.0,"Jerusalem township, Davie County, North Carolina",059,91660,37
