B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Liberty township, Plymouth County, Iowa",149,92484,19
0.0,0.0,0.0,"Sioux City city, Plymouth County, Iowa",149,93925,19
0.0,0.0,0.0,"Union township, Plymouth County, Iowa",149,94254,19
0.0,0.0,0.0,"Henry township, Plymouth County, Iowa",149,91908,19
0.0,0.0,0.0,"Preston township, Plymouth County, Iowa",149,93507,19
0.0,0.0,0.0,"Remsen township, Plymouth County, Iowa",149,93564,19
0.0,0.0,0.0,"Johnson township, Plymouth County, Iowa",149,92274,19
0.0,0.0,0.0,"Marion township, Plymouth County, Iowa",149,92865,19
0.0,0.0,0.0,"Washington township, Plymouth County, Iowa",149,94545,19
0.0,0.0,0.0,"Lincoln township, Plymouth County, Iowa",149,92589,19
0.0,0.0,0.0,"Sioux township, Plymouth County, Iowa",149,93921,19
0.0,0.0,0.0,"Portland township, Plymouth County, Iowa",149,93462,19
0.0,0.0,0.0,"Buffalo township, Buchanan County, Iowa",019,90384,19
0.0,0.0,0.0,"Fremont township, Buchanan County, Iowa",019,91461,19
32.0,0.0,32.0,"Washington township, Buchanan County, Iowa",019,94458,19
0.0,0.0,0.0,"Sumner township, Buchanan County, Iowa",019,94047,19
0.0,0.0,0.0,"Homer township, Buchanan County, Iowa",019,91977,19
0.0,0.0,0.0,"Madison township, Buchanan County, Iowa",019,92751,19
17.0,0.0,17.0,"West Holman township, Osceola County, Iowa",143,94678,19
18.0,0.0,18.0,"Evansdale city, Black Hawk County, Iowa",013,91252,19
0.0,0.0,0.0,"Julien township, Dubuque County, Iowa",061,92285,19
0.0,0.0,0.0,"East Holman township, Osceola County, Iowa",143,91111,19
0.0,0.0,0.0,"Willow township, Greene County, Iowa",073,94746,19
0.0,0.0,0.0,"Bristol township, Greene County, Iowa",073,90342,19
0.0,0.0,0.0,"Cedar township, Greene County, Iowa",073,90537,19
0.0,0.0,0.0,"Highland township, Greene County, Iowa",073,91932,19
0.0,0.0,0.0,"Hardin township, Greene County, Iowa",073,91830,19
0.0,0.0,0.0,"Washington township, Greene County, Iowa",073,94497,19
0.0,0.0,0.0,"Franklin township, Greene County, Iowa",073,91404,19
0.0,0.0,0.0,"Dawson township, Greene County, Iowa",073,90897,19
0.0,0.0,0.0,"Greenbrier township, Greene County, Iowa",073,91746,19
0.0,0.0,0.0,"Jefferson city, Greene County, Iowa",073,92221,19
0.0,0.0,0.0,"Scranton township, Greene County, Iowa",073,93804,19
0.0,0.0,0.0,"Grant township, Greene County, Iowa",073,91653,19
0.0,0.0,0.0,"Jackson township, Greene County, Iowa",073,92115,19
0.0,0.0,0.0,"Kendrick township, Greene County, Iowa",073,92304,19
0.0,0.0,0.0,"Buckeye township, Hardin County, Iowa",083,90372,19
0.0,0.0,0.0,"Eldora township, Hardin County, Iowa",083,91158,19
0.0,0.0,0.0,"Etna township, Hardin County, Iowa",083,91245,19
0.0,0.0,0.0,"Concord township, Hardin County, Iowa",083,90804,19
0.0,0.0,0.0,"Pleasant township, Hardin County, Iowa",083,93363,19
0.0,0.0,0.0,"Alden township, Hardin County, Iowa",083,90036,19
0.0,0.0,0.0,"Harrison township, Harrison County, Iowa",085,91863,19
0.0,0.0,0.0,"Ellis township, Hardin County, Iowa",083,91206,19
0.0,0.0,0.0,"Eldora city, Hardin County, Iowa",083,91157,19
0.0,0.0,0.0,"Jackson township, Hardin County, Iowa",083,92121,19
0.0,0.0,0.0,"Providence township, Hardin County, Iowa",083,93516,19
0.0,0.0,0.0,"Clay township, Hardin County, Iowa",083,90678,19
0.0,0.0,0.0,"Allen township, Harrison County, Iowa",085,90039,19
0.0,0.0,0.0,"Calhoun township, Harrison County, Iowa",085,90444,19
0.0,0.0,0.0,"Cass township, Harrison County, Iowa",085,90507,19
0.0,0.0,0.0,"Washington township, Harrison County, Iowa",085,94503,19
0.0,0.0,0.0,"Morgan township, Harrison County, Iowa",085,93012,19
0.0,0.0,0.0,"Raglan township, Harrison County, Iowa",085,93534,19
0.0,0.0,0.0,"Cincinnati township, Harrison County, Iowa",085,90666,19
