B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Castleton town, Rutland County, Vermont",021,11950,50
6.0,6.0,0.0,"Pittsford town, Rutland County, Vermont",021,55600,50
0.0,0.0,0.0,"Shrewsbury town, Rutland County, Vermont",021,65275,50
0.0,0.0,0.0,"Brandon town, Rutland County, Vermont",021,07750,50
0.0,0.0,0.0,"Hubbardton town, Rutland County, Vermont",021,34450,50
0.0,0.0,0.0,"Killington town, Rutland County, Vermont",021,37685,50
0.0,0.0,0.0,"Middletown Springs town, Rutland County, Vermont",021,44800,50
0.0,0.0,0.0,"Mendon town, Rutland County, Vermont",021,44125,50
0.0,0.0,0.0,"Mount Holly town, Rutland County, Vermont",021,47200,50
0.0,0.0,0.0,"West Rutland town, Rutland County, Vermont",021,82300,50
0.0,0.0,0.0,"Proctor town, Rutland County, Vermont",021,57250,50
0.0,0.0,0.0,"Ira town, Rutland County, Vermont",021,35425,50
0.0,0.0,0.0,"Benson town, Rutland County, Vermont",021,05200,50
0.0,0.0,0.0,"Clarendon town, Rutland County, Vermont",021,14500,50
0.0,0.0,0.0,"Danby town, Rutland County, Vermont",021,16825,50
0.0,0.0,0.0,"Fair Haven town, Rutland County, Vermont",021,25375,50
0.0,0.0,0.0,"Poultney town, Rutland County, Vermont",021,56875,50
0.0,0.0,0.0,"Mount Tabor town, Rutland County, Vermont",021,47425,50
0.0,0.0,0.0,"Pittsfield town, Rutland County, Vermont",021,55450,50
49.0,26.0,23.0,"Rutland city, Rutland County, Vermont",021,61225,50
0.0,0.0,0.0,"Chittenden town, Rutland County, Vermont",021,14350,50
12.0,4.0,8.0,"Pawlet town, Rutland County, Vermont",021,54250,50
0.0,0.0,0.0,"Tinmouth town, Rutland County, Vermont",021,72925,50
0.0,0.0,0.0,"Wallingford town, Rutland County, Vermont",021,75925,50
0.0,0.0,0.0,"Wells town, Rutland County, Vermont",021,77950,50
0.0,0.0,0.0,"West Haven town, Rutland County, Vermont",021,80875,50
0.0,0.0,0.0,"Sudbury town, Rutland County, Vermont",021,71050,50
14.0,0.0,14.0,"Rutland town, Rutland County, Vermont",021,61300,50
0.0,0.0,0.0,"Glover town, Orleans County, Vermont",019,28075,50
3.0,0.0,3.0,"Troy town, Orleans County, Vermont",019,73525,50
0.0,0.0,0.0,"Albany town, Orleans County, Vermont",019,00475,50
0.0,0.0,0.0,"Greensboro town, Orleans County, Vermont",019,30175,50
2.0,2.0,0.0,"Jay town, Orleans County, Vermont",019,36325,50
0.0,0.0,0.0,"Irasburg town, Orleans County, Vermont",019,35575,50
0.0,0.0,0.0,"Westfield town, Orleans County, Vermont",019,80200,50
0.0,0.0,0.0,"Charleston town, Orleans County, Vermont",019,13150,50
0.0,0.0,0.0,"Derby town, Orleans County, Vermont",019,17350,50
5.0,5.0,0.0,"Lowell town, Orleans County, Vermont",019,40525,50
0.0,0.0,0.0,"Holland town, Orleans County, Vermont",019,33775,50
0.0,0.0,0.0,"Newport city, Orleans County, Vermont",019,48850,50
0.0,0.0,0.0,"Morgan town, Orleans County, Vermont",019,46450,50
0.0,0.0,0.0,"Newport town, Orleans County, Vermont",019,48925,50
13.0,10.0,3.0,"Barton town, Orleans County, Vermont",019,03550,50
0.0,0.0,0.0,"Westmore town, Orleans County, Vermont",019,81700,50
0.0,0.0,0.0,"Brownington town, Orleans County, Vermont",019,09850,50
6.0,6.0,0.0,"Coventry town, Orleans County, Vermont",019,16150,50
0.0,0.0,0.0,"Craftsbury town, Orleans County, Vermont",019,16300,50
0.0,0.0,0.0,"Grand Isle town, Grand Isle County, Vermont",013,29275,50
0.0,0.0,0.0,"North Hero town, Grand Isle County, Vermont",013,50650,50
0.0,0.0,0.0,"South Hero town, Grand Isle County, Vermont",013,67000,50
0.0,0.0,0.0,"Isle La Motte town, Grand Isle County, Vermont",013,35875,50
0.0,0.0,0.0,"Braintree town, Orange County, Vermont",017,07600,50
0.0,0.0,0.0,"Tunbridge town, Orange County, Vermont",017,73675,50
7.0,7.0,0.0,"Vershire town, Orange County, Vermont",017,74950,50
5.0,0.0,5.0,"Newbury town, Orange County, Vermont",017,48175,50
0.0,0.0,0.0,"Bradford town, Orange County, Vermont",017,07375,50
0.0,0.0,0.0,"Chelsea town, Orange County, Vermont",017,13525,50
0.0,0.0,0.0,"West Fairlee town, Orange County, Vermont",017,79975,50
0.0,0.0,0.0,"Williamstown town, Orange County, Vermont",017,84175,50
0.0,0.0,0.0,"Topsham town, Orange County, Vermont",017,73075,50
0.0,0.0,0.0,"Orange town, Orange County, Vermont",017,53425,50
14.0,14.0,0.0,"Washington town, Orange County, Vermont",017,76750,50
0.0,0.0,0.0,"Brookfield town, Orange County, Vermont",017,09325,50
