B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
11.0,6.0,5.0,"Louisville CCD, Barbour County, Alabama",005,91989,01
136.0,37.0,99.0,"Eufaula CCD, Barbour County, Alabama",005,91017,01
21.0,9.0,12.0,"Clayton CCD, Barbour County, Alabama",005,90630,01
46.0,18.0,28.0,"Clio CCD, Barbour County, Alabama",005,90648,01
41.0,28.0,13.0,"Bakerhill CCD, Barbour County, Alabama",005,90189,01
42.0,29.0,13.0,"West Blocton CCD, Bibb County, Alabama",007,93438,01
77.0,33.0,44.0,"Centreville-Brent CCD, Bibb County, Alabama",007,90531,01
0.0,0.0,0.0,"Piper-Coleanor CCD, Bibb County, Alabama",007,92601,01
0.0,0.0,0.0,"Midway CCD, Bullock County, Alabama",011,92133,01
33.0,0.0,33.0,"Union Springs CCD, Bullock County, Alabama",011,93249,01
0.0,0.0,0.0,"Fitzpatrick CCD, Bullock County, Alabama",011,91098,01
0.0,0.0,0.0,"Inverness CCD, Bullock County, Alabama",011,91701,01
143.0,93.0,50.0,"Jacksonville CCD, Calhoun County, Alabama",015,91746,01
21.0,0.0,21.0,"Choccolocco CCD, Calhoun County, Alabama",015,90585,01
0.0,0.0,0.0,"Ohatchee CCD, Calhoun County, Alabama",015,92430,01
58.0,43.0,15.0,"Piedmont CCD, Calhoun County, Alabama",015,92556,01
0.0,0.0,0.0,"Waverly CCD, Chambers County, Alabama",017,93393,01
886.0,441.0,445.0,"Anniston CCD, Calhoun County, Alabama",015,90099,01
0.0,0.0,0.0,"Five Points CCD, Chambers County, Alabama",017,91107,01
71.0,71.0,0.0,"Lanett CCD, Chambers County, Alabama",017,91827,01
0.0,0.0,0.0,"Milltown CCD, Chambers County, Alabama",017,92169,01
116.0,41.0,75.0,"La Fayette CCD, Chambers County, Alabama",017,91818,01
0.0,0.0,0.0,"Coffeeville CCD, Clarke County, Alabama",025,90675,01
0.0,0.0,0.0,"Grove Hill CCD, Clarke County, Alabama",025,91440,01
0.0,0.0,0.0,"Fulton CCD, Clarke County, Alabama",025,91260,01
