B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
708.0,335.0,373.0,"Sonora CCD, Tuolumne County, California",109,93080,06
287.0,218.0,69.0,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
1105.0,503.0,602.0,"Escalon CCD, San Joaquin County, California",077,90900,06
1099.0,615.0,484.0,"Thornton CCD, San Joaquin County, California",077,93340,06
636.0,268.0,368.0,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
899.0,257.0,642.0,"Lockeford CCD, San Joaquin County, California",077,91690,06
7620.0,2994.0,4626.0,"Lodi CCD, San Joaquin County, California",077,91700,06
41306.0,17252.0,24054.0,"Stockton CCD, San Joaquin County, California",077,93240,06
9792.0,5266.0,4526.0,"Manteca CCD, San Joaquin County, California",077,91870,06
1021.0,535.0,486.0,"Ripon CCD, San Joaquin County, California",077,92620,06
9554.0,4514.0,5040.0,"Tracy CCD, San Joaquin County, California",077,93400,06
206.0,143.0,63.0,"Sutter Creek-Plymouth CCD, Amador County, California",005,93300,06
167.0,93.0,74.0,"Jackson CCD, Amador County, California",005,91430,06
358.0,358.0,0.0,"Pine Grove-Silver Lake CCD, Amador County, California",005,92470,06
299.0,255.0,44.0,"Ione CCD, Amador County, California",005,91410,06
1647.0,1085.0,562.0,"Dos Palos CCD, Merced County, California",047,90720,06
1807.0,1024.0,783.0,"Planada-Le Grand CCD, Merced County, California",047,92500,06
7079.0,3308.0,3771.0,"Los Banos CCD, Merced County, California",047,91760,06
13476.0,5085.0,8391.0,"Merced CCD, Merced County, California",047,91960,06
106.0,8.0,98.0,"Snelling CCD, Merced County, California",047,93050,06
696.0,248.0,448.0,"Hilmar-Irwin CCD, Merced County, California",047,91290,06
1229.0,542.0,687.0,"Gustine CCD, Merced County, California",047,91210,06
400.0,176.0,224.0,"Lakeport CCD, Lake County, California",033,91540,06
368.0,172.0,196.0,"Mariposa CCD, Mariposa County, California",043,91880,06
215.0,141.0,74.0,"Coulterville CCD, Mariposa County, California",043,90600,06
