B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
2085.0,834.0,1251.0,"Lower Christiana CCD, New Castle County, Delaware",003,91924,10
219.0,138.0,81.0,"Piedmont CCD, New Castle County, Delaware",003,92960,10
2421.0,737.0,1684.0,"Wilmington CCD, New Castle County, Delaware",003,93996,10
187.0,169.0,18.0,"Red Lion CCD, New Castle County, Delaware",003,93256,10
856.0,379.0,477.0,"Upper Christiana CCD, New Castle County, Delaware",003,93848,10
708.0,347.0,361.0,"Brandywine CCD, New Castle County, Delaware",003,90148,10
600.0,354.0,246.0,"Middletown-Odessa CCD, New Castle County, Delaware",003,92072,10
1230.0,729.0,501.0,"Pike Creek-Central Kirkwood CCD, New Castle County, Delaware",003,93108,10
333.0,211.0,122.0,"Laurel-Delmar CCD, Sussex County, Delaware",005,91628,10
254.0,130.0,124.0,"Milton CCD, Sussex County, Delaware",005,92664,10
3278.0,1704.0,1574.0,"New Castle CCD, New Castle County, Delaware",003,92812,10
509.0,346.0,163.0,"Bridgeville-Greenwood CCD, Sussex County, Delaware",005,90296,10
463.0,313.0,150.0,"Lewes CCD, Sussex County, Delaware",005,91776,10
450.0,273.0,177.0,"Millsboro CCD, Sussex County, Delaware",005,92516,10
599.0,329.0,270.0,"Seaford CCD, Sussex County, Delaware",005,93404,10
700.0,345.0,355.0,"Milford South CCD, Sussex County, Delaware",005,92368,10
906.0,261.0,645.0,"Georgetown CCD, Sussex County, Delaware",005,91036,10
83.0,25.0,58.0,"Kenton CCD, Kent County, Delaware",001,91480,10
189.0,71.0,118.0,"Milford North CCD, Kent County, Delaware",001,92220,10
127.0,114.0,13.0,"Harrington CCD, Kent County, Delaware",001,91332,10
129.0,83.0,46.0,"Felton CCD, Kent County, Delaware",001,90888,10
1832.0,723.0,1109.0,"Dover CCD, Kent County, Delaware",001,90740,10
488.0,326.0,162.0,"Central Kent CCD, Kent County, Delaware",001,90444,10
559.0,339.0,220.0,"Smyrna CCD, Kent County, Delaware",001,93700,10
1839.0,628.0,1211.0,"Newark CCD, New Castle County, Delaware",003,92738,10
824.0,595.0,229.0,"Glasgow CCD, New Castle County, Delaware",003,91110,10
568.0,119.0,449.0,"Selbyville-Frankford CCD, Sussex County, Delaware",005,93552,10
