B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
1158.0,539.0,619.0,"Hilo CCD, Hawaii County, Hawaii",001,90630,15
295.0,105.0,190.0,"South Kona CCD, Hawaii County, Hawaii",001,93240,15
825.0,367.0,458.0,"North Kona CCD, Hawaii County, Hawaii",001,92610,15
98.0,51.0,47.0,"Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",001,90720,15
72.0,21.0,51.0,"Paauhau-Paauilo CCD, Hawaii County, Hawaii",001,92700,15
401.0,211.0,190.0,"Pahoa-Kalapana CCD, Hawaii County, Hawaii",001,92790,15
181.0,134.0,47.0,"North Kohala CCD, Hawaii County, Hawaii",001,92520,15
172.0,115.0,57.0,"Papaikou-Wailea CCD, Hawaii County, Hawaii",001,92880,15
230.0,145.0,85.0,"Kau CCD, Hawaii County, Hawaii",001,91170,15
382.0,269.0,113.0,"South Kohala CCD, Hawaii County, Hawaii",001,93150,15
1397.0,864.0,533.0,"Keaau-Mountain View CCD, Hawaii County, Hawaii",001,91350,15
44.0,18.0,26.0,"North Hilo CCD, Hawaii County, Hawaii",001,92430,15
2379.0,960.0,1419.0,"Koolaupoko CCD, Honolulu County, Hawaii",003,91800,15
1480.0,169.0,1311.0,"Wahiawa CCD, Honolulu County, Hawaii",003,93420,15
8023.0,3795.0,4228.0,"Ewa CCD, Honolulu County, Hawaii",003,90270,15
402.0,147.0,255.0,"Waialua CCD, Honolulu County, Hawaii",003,93510,15
299.0,128.0,171.0,"Koolauloa CCD, Honolulu County, Hawaii",003,91710,15
1460.0,644.0,816.0,"Waianae CCD, Honolulu County, Hawaii",003,93600,15
7434.0,1506.0,5928.0,"Honolulu CCD, Honolulu County, Hawaii",003,90810,15
264.0,134.0,130.0,"Kula CCD, Maui County, Hawaii",009,91890,15
616.0,337.0,279.0,"Makawao-Paia CCD, Maui County, Hawaii",009,92250,15
752.0,166.0,586.0,"Kihei CCD, Maui County, Hawaii",009,91530,15
228.0,94.0,134.0,"Haiku-Pauwela CCD, Maui County, Hawaii",009,90360,15
18.0,18.0,0.0,"Hana CCD, Maui County, Hawaii",009,90450,15
636.0,230.0,406.0,"Wailuku CCD, Maui County, Hawaii",009,93870,15
37.0,7.0,30.0,"Lanai CCD, Maui County, Hawaii",009,92070,15
184.0,153.0,31.0,"Waihee-Waikapu CCD, Maui County, Hawaii",009,93690,15
734.0,167.0,567.0,"Lahaina CCD, Maui County, Hawaii",009,91980,15
24.0,13.0,11.0,"West Molokai CCD, Maui County, Hawaii",009,93960,15
28.0,28.0,0.0,"East Molokai CCD, Maui County, Hawaii",009,90090,15
812.0,226.0,586.0,"Kahului CCD, Maui County, Hawaii",009,90900,15
0.0,0.0,0.0,"Puunene CCD, Maui County, Hawaii",009,93060,15
12.0,12.0,0.0,"Spreckelsville CCD, Maui County, Hawaii",009,93330,15
0.0,0.0,0.0,"Niihau CCD, Kauai County, Hawaii",007,92340,15
145.0,62.0,83.0,"Kekaha-Waimea CCD, Kauai County, Hawaii",007,91440,15
144.0,44.0,100.0,"Lihue CCD, Kauai County, Hawaii",007,92160,15
139.0,74.0,65.0,"Puhi-Hanamaulu CCD, Kauai County, Hawaii",007,92970,15
129.0,61.0,68.0,"Kaumakani-Hanapepe CCD, Kauai County, Hawaii",007,91260,15
402.0,226.0,176.0,"Eleele-Kalaheo CCD, Kauai County, Hawaii",007,90180,15
206.0,115.0,91.0,"Kapaa CCD, Kauai County, Hawaii",007,91080,15
380.0,202.0,178.0,"Wailua-Anahola CCD, Kauai County, Hawaii",007,93780,15
135.0,42.0,93.0,"Hanalei CCD, Kauai County, Hawaii",007,90540,15
154.0,64.0,90.0,"Koloa-Poipu CCD, Kauai County, Hawaii",007,91620,15
2.0,0.0,2.0,"Kalawao CCD, Kalawao County, Hawaii",005,90990,15
