B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
6.0,6.0,0.0,"Boulder Junction town, Vilas County, Wisconsin",125,08950,55
0.0,0.0,0.0,"Plum Lake town, Vilas County, Wisconsin",125,63625,55
3.0,3.0,0.0,"Lincoln town, Vilas County, Wisconsin",125,44525,55
9.0,9.0,0.0,"St. Germain town, Vilas County, Wisconsin",125,70725,55
0.0,0.0,0.0,"Arbor Vitae town, Vilas County, Wisconsin",125,02450,55
24.0,0.0,24.0,"Prairie du Chien city, Crawford County, Wisconsin",023,65050,55
0.0,0.0,0.0,"Lynxville village, Crawford County, Wisconsin",023,46675,55
0.0,0.0,0.0,"Marietta town, Crawford County, Wisconsin",023,49275,55
0.0,0.0,0.0,"Eastman village, Crawford County, Wisconsin",023,21900,55
0.0,0.0,0.0,"Steuben village, Crawford County, Wisconsin",023,77175,55
0.0,0.0,0.0,"Wauzeka village, Crawford County, Wisconsin",023,84725,55
11.0,11.0,0.0,"Bridgeport town, Crawford County, Wisconsin",023,09550,55
0.0,0.0,0.0,"Mount Sterling village, Crawford County, Wisconsin",023,54900,55
0.0,0.0,0.0,"De Soto village, Crawford County, Wisconsin",023,19850,55
10.0,10.0,0.0,"Clayton town, Crawford County, Wisconsin",023,15075,55
0.0,0.0,0.0,"Eastman town, Crawford County, Wisconsin",023,21925,55
0.0,0.0,0.0,"Haney town, Crawford County, Wisconsin",023,32500,55
4.0,0.0,4.0,"Scott town, Crawford County, Wisconsin",023,72275,55
0.0,0.0,0.0,"Soldiers Grove village, Crawford County, Wisconsin",023,74550,55
0.0,0.0,0.0,"Wauzeka town, Crawford County, Wisconsin",023,84750,55
0.0,0.0,0.0,"Freeman town, Crawford County, Wisconsin",023,27700,55
3.0,3.0,0.0,"Bell Center village, Crawford County, Wisconsin",023,06225,55
2.0,2.0,0.0,"Camp Douglas village, Juneau County, Wisconsin",057,12350,55
0.0,0.0,0.0,"Finley town, Juneau County, Wisconsin",057,25850,55
16.0,16.0,0.0,"Necedah town, Juneau County, Wisconsin",057,55725,55
6.0,6.0,0.0,"Germantown town, Juneau County, Wisconsin",057,28850,55
