B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
497.0,310.0,187.0,"Torrington CCD, Goshen County, Wyoming",015,93465,56
18.0,1.0,17.0,"Goshen Hole CCD, Goshen County, Wyoming",015,91430,56
12.0,12.0,0.0,"Rawhide Creek CCD, Goshen County, Wyoming",015,92585,56
621.0,278.0,343.0,"Evanston CCD, Uinta County, Wyoming",041,91155,56
26.0,26.0,0.0,"Bridger Valley CCD, Uinta County, Wyoming",041,90440,56
4.0,2.0,2.0,"Ten Sleep CCD, Washakie County, Wyoming",043,93300,56
411.0,296.0,115.0,"Worland CCD, Washakie County, Wyoming",043,93795,56
55.0,55.0,0.0,"Thermopolis West CCD, Hot Springs County, Wyoming",017,93410,56
12.0,12.0,0.0,"Thermopolis East CCD, Hot Springs County, Wyoming",017,93355,56
29.0,29.0,0.0,"Dubois CCD, Fremont County, Wyoming",013,91045,56
159.0,94.0,65.0,"Lander CCD, Fremont County, Wyoming",013,92035,56
29.0,16.0,13.0,"Shoshoni CCD, Fremont County, Wyoming",013,93080,56
160.0,131.0,29.0,"Pinedale CCD, Sublette County, Wyoming",035,92475,56
0.0,0.0,0.0,"Boulder CCD, Sublette County, Wyoming",035,90385,56
36.0,26.0,10.0,"Big Piney CCD, Sublette County, Wyoming",035,90330,56
44.0,0.0,44.0,"Upton CCD, Weston County, Wyoming",045,93520,56
0.0,0.0,0.0,"Newcastle CCD, Weston County, Wyoming",045,92255,56
115.0,72.0,43.0,"Central Big Horn CCD, Big Horn County, Wyoming",003,90688,56
149.0,64.0,85.0,"North Big Horn CCD, Big Horn County, Wyoming",003,92393,56
439.0,240.0,199.0,"Wind River Reservation CCD, Fremont County, Wyoming",013,93742,56
0.0,0.0,0.0,"Wind River Reservation CCD, Hot Springs County, Wyoming",017,93744,56
53.0,13.0,40.0,"South Big Horn CCD, Big Horn County, Wyoming",003,93142,56
0.0,0.0,0.0,"East Niobrara CCD, Niobrara County, Wyoming",027,91128,56
5.0,5.0,0.0,"West Niobrara CCD, Niobrara County, Wyoming",027,93603,56
433.0,300.0,133.0,"Gillette South CCD, Campbell County, Wyoming",005,91265,56
585.0,315.0,270.0,"Gillette North CCD, Campbell County, Wyoming",005,91210,56
125.0,38.0,87.0,"Afton CCD, Lincoln County, Wyoming",023,90055,56
17.0,0.0,17.0,"Kemmerer West CCD, Lincoln County, Wyoming",023,91980,56
73.0,62.0,11.0,"Kemmerer East CCD, Lincoln County, Wyoming",023,91925,56
23.0,0.0,23.0,"Kaycee CCD, Johnson County, Wyoming",019,91870,56
54.0,14.0,40.0,"Buffalo CCD, Johnson County, Wyoming",019,90495,56
1568.0,669.0,899.0,"Casper CCD, Natrona County, Wyoming",025,90550,56
191.0,127.0,64.0,"Casper South CCD, Natrona County, Wyoming",025,90660,56
138.0,132.0,6.0,"Casper North CCD, Natrona County, Wyoming",025,90605,56
