B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
7347.0,6715.0,632.0,"Elizabeth CCD, Elbert County, Colorado",039,91190,08
216.0,178.0,38.0,"Agate CCD, Elbert County, Colorado",039,90019,08
137.0,93.0,44.0,"Kim CCD, Las Animas County, Colorado",071,91976,08
602.0,461.0,141.0,"Simla CCD, Elbert County, Colorado",039,93325,08
59.0,53.0,6.0,"Model CCD, Las Animas County, Colorado",071,92508,08
74.0,51.0,23.0,"Branson CCD, Las Animas County, Colorado",071,90361,08
286.0,208.0,78.0,"Aguilar CCD, Las Animas County, Colorado",071,90038,08
437.0,338.0,99.0,"Weston CCD, Las Animas County, Colorado",071,93838,08
2636.0,1881.0,755.0,"Trinidad CCD, Las Animas County, Colorado",071,93648,08
1726.0,1303.0,423.0,"Yuma CCD, Yuma County, Colorado",125,93952,08
1353.0,821.0,532.0,"Wray CCD, Yuma County, Colorado",125,93914,08
362.0,260.0,102.0,"Hugo CCD, Lincoln County, Colorado",073,91824,08
310.0,196.0,114.0,"Yampa CCD, Routt County, Colorado",107,93933,08
963.0,689.0,274.0,"Hayden CCD, Routt County, Colorado",107,91729,08
6316.0,4337.0,1979.0,"Steamboat Springs CCD, Routt County, Colorado",107,93496,08
1423.0,1082.0,341.0,"Oak Creek CCD, Routt County, Colorado",107,92717,08
2992.0,1996.0,996.0,"Silverthorne CCD, Summit County, Colorado",117,93287,08
5445.0,3934.0,1511.0,"Breckenridge CCD, Summit County, Colorado",117,90380,08
157.0,121.0,36.0,"Arriba CCD, Lincoln County, Colorado",073,90133,08
155.0,116.0,39.0,"Karval CCD, Lincoln County, Colorado",073,91919,08
680.0,480.0,200.0,"Limon CCD, Lincoln County, Colorado",073,92261,08
2922.0,2362.0,560.0,"Idaho Springs CCD, Clear Creek County, Colorado",019,91843,08
1192.0,881.0,311.0,"Georgetown CCD, Clear Creek County, Colorado",019,91463,08
329.0,247.0,82.0,"Mosca-Hooper CCD, Alamosa County, Colorado",003,92584,08
2805.0,1714.0,1091.0,"Alamosa CCD, Alamosa County, Colorado",003,90076,08
4471.0,2917.0,1554.0,"Delta CCD, Delta County, Colorado",029,90988,08
1385.0,1130.0,255.0,"Paonia CCD, Delta County, Colorado",029,92831,08
3062.0,2369.0,693.0,"Cedaredge CCD, Delta County, Colorado",029,90532,08
1799.0,1336.0,463.0,"Hotchkiss CCD, Delta County, Colorado",029,91786,08
1603.0,1351.0,252.0,"Cotopaxi CCD, Fremont County, Colorado",043,90836,08
1547.0,1339.0,208.0,"Penrose-Portland CCD, Fremont County, Colorado",043,92888,08
2372.0,1730.0,642.0,"Florence CCD, Fremont County, Colorado",043,91311,08
23326.0,14769.0,8557.0,"Pueblo CCD, Pueblo County, Colorado",101,92983,08
1500.0,1216.0,284.0,"Colorado City-Rye CCD, Pueblo County, Colorado",101,90722,08
259.0,241.0,18.0,"Huerfano Valley CCD, Pueblo County, Colorado",101,91805,08
2249.0,2051.0,198.0,"St. Charles Mesa CCD, Pueblo County, Colorado",101,93154,08
8657.0,7287.0,1370.0,"Pueblo West CCD, Pueblo County, Colorado",101,93002,08
659.0,502.0,157.0,"Avondale CCD, Pueblo County, Colorado",101,90209,08
174.0,142.0,32.0,"Northeast Pueblo CCD, Pueblo County, Colorado",101,92660,08
10955.0,7595.0,3360.0,"Montrose CCD, Montrose County, Colorado",085,92546,08
1035.0,750.0,285.0,"Nucla CCD, Montrose County, Colorado",085,92698,08
2038.0,1575.0,463.0,"Olathe CCD, Montrose County, Colorado",085,92736,08
336.0,244.0,92.0,"Weldona CCD, Morgan County, Colorado",087,93781,08
2374.0,1561.0,813.0,"Brush CCD, Morgan County, Colorado",087,90418,08
3683.0,2576.0,1107.0,"Fort Morgan CCD, Morgan County, Colorado",087,91368,08
978.0,781.0,197.0,"Wiggins CCD, Morgan County, Colorado",087,93876,08
5676.0,4414.0,1262.0,"Fairplay CCD, Park County, Colorado",093,91254,08
1093.0,1076.0,17.0,"Lake George CCD, Park County, Colorado",093,92128,08
350.0,267.0,83.0,"Center CCD, Saguache County, Colorado",109,90551,08
78.0,54.0,24.0,"Cochetopa CCD, Saguache County, Colorado",109,90684,08
1353.0,1042.0,311.0,"Saguache CCD, Saguache County, Colorado",109,93135,08
8329.0,6440.0,1889.0,"Fruita CCD, Mesa County, Colorado",077,91425,08
9604.0,6661.0,2943.0,"Clifton CCD, Mesa County, Colorado",077,90665,08
30392.0,20105.0,10287.0,"Grand Junction CCD, Mesa County, Colorado",077,91596,08
301.0,243.0,58.0,"De Beque CCD, Mesa County, Colorado",077,90950,08
776.0,612.0,164.0,"Collbran CCD, Mesa County, Colorado",077,90703,08
1008.0,973.0,35.0,"Glade Park-Gateway CCD, Mesa County, Colorado",077,91501,08
135.0,88.0,47.0,"Granada CCD, Prowers County, Colorado",099,91558,08
2814.0,1938.0,876.0,"Lamar CCD, Prowers County, Colorado",099,92147,08
87.0,66.0,21.0,"Two Butte Creek CCD, Prowers County, Colorado",099,93667,08
17740.0,12277.0,5463.0,"Fountain CCD, El Paso County, Colorado",041,91387,08
331.0,232.0,99.0,"Holly CCD, Prowers County, Colorado",099,91748,08
351.0,247.0,104.0,"Lake City CCD, Hinsdale County, Colorado",053,92109,08
17723.0,13084.0,4639.0,"Elsmere CCD, El Paso County, Colorado",041,91197,08
1503.0,1194.0,309.0,"Pikes Peak CCD, El Paso County, Colorado",041,92907,08
3506.0,2810.0,696.0,"Cheyenne Mountain CCD, El Paso County, Colorado",041,90627,08
