B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
376.0,298.0,78.0,"Skinnersville township, Washington County, North Carolina",187,92968,37
1305.0,1040.0,265.0,"Plymouth township, Washington County, North Carolina",187,92540,37
518.0,368.0,150.0,"Scuppernong township, Washington County, North Carolina",187,92876,37
462.0,392.0,70.0,"Lees Mill township, Washington County, North Carolina",187,91768,37
1169.0,811.0,358.0,"Courthouse township, Camden County, North Carolina",029,90784,37
795.0,555.0,240.0,"Shiloh township, Camden County, North Carolina",029,92920,37
1140.0,1069.0,71.0,"South Mills township, Camden County, North Carolina",029,93044,37
361.0,343.0,18.0,"Sweetwater township, Clay County, North Carolina",043,93192,37
592.0,413.0,179.0,"Shooting Creek township, Clay County, North Carolina",043,92944,37
355.0,339.0,16.0,"Tusquittee township, Clay County, North Carolina",043,93792,37
933.0,869.0,64.0,"Brasstown township, Clay County, North Carolina",043,90360,37
1727.0,1114.0,613.0,"Hayesville township, Clay County, North Carolina",043,91436,37
544.0,399.0,145.0,"Black River township, Cumberland County, North Carolina",051,90288,37
3389.0,2564.0,825.0,"Eastover township, Cumberland County, North Carolina",051,90968,37
13180.0,7690.0,5490.0,"Cross Creek township, Cumberland County, North Carolina",051,90832,37
11367.0,7959.0,3408.0,"Rockfish township, Cumberland County, North Carolina",051,92724,37
14345.0,6427.0,7918.0,"Seventy-First township, Cumberland County, North Carolina",051,92892,37
2557.0,2153.0,404.0,"Grays Creek township, Cumberland County, North Carolina",051,91296,37
423.0,251.0,172.0,"Beaver Dam township, Cumberland County, North Carolina",051,90192,37
3164.0,1917.0,1247.0,"Pearces Mill township, Cumberland County, North Carolina",051,92460,37
4483.0,2647.0,1836.0,"Carvers Creek township, Cumberland County, North Carolina",051,90532,37
3557.0,410.0,3147.0,"Manchester township, Cumberland County, North Carolina",051,91964,37
3140.0,2461.0,679.0,"Cedar Creek township, Cumberland County, North Carolina",051,90572,37
14165.0,10279.0,3886.0,"South Point township, Gaston County, North Carolina",071,93048,37
4977.0,3674.0,1303.0,"Crowders Mountain township, Gaston County, North Carolina",071,90844,37
21473.0,14682.0,6791.0,"Gastonia township, Gaston County, North Carolina",071,91216,37
206.0,152.0,54.0,"Minneapolis township, Avery County, North Carolina",011,92090,37
1311.0,1016.0,295.0,"Banner Elk township, Avery County, North Carolina",011,90148,37
49.0,49.0,0.0,"Carey's Flat township, Avery County, North Carolina",011,90510,37
246.0,181.0,65.0,"Roaring Creek township, Avery County, North Carolina",011,92708,37
212.0,168.0,44.0,"Pyatte township, Avery County, North Carolina",011,92586,37
227.0,174.0,53.0,"Linville township, Avery County, North Carolina",011,91826,37
459.0,368.0,91.0,"Pineola township, Avery County, North Carolina",011,92502,37
549.0,478.0,71.0,"Altamont township, Avery County, North Carolina",011,90052,37
130.0,105.0,25.0,"Hughes township, Avery County, North Carolina",011,91558,37
97.0,69.0,28.0,"Frank township, Avery County, North Carolina",011,91154,37
241.0,214.0,27.0,"Cranberry township, Avery County, North Carolina",011,90812,37
251.0,225.0,26.0,"Beech Mountain township, Avery County, North Carolina",011,90212,37
99.0,80.0,19.0,"Heaton township, Avery County, North Carolina",011,91442,37
3778.0,2744.0,1034.0,"Lower Hominy township, Buncombe County, North Carolina",021,91932,37
5330.0,4147.0,1183.0,"Reems Creek township, Buncombe County, North Carolina",021,92648,37
7115.0,5580.0,1535.0,"Leicester township, Buncombe County, North Carolina",021,91776,37
2316.0,1819.0,497.0,"French Broad township, Buncombe County, North Carolina",021,91176,37
1322.0,1085.0,237.0,"Ivy township, Buncombe County, North Carolina",021,91604,37
5347.0,4066.0,1281.0,"Limestone township, Buncombe County, North Carolina",021,91816,37
6257.0,4667.0,1590.0,"Upper Hominy township, Buncombe County, North Carolina",021,93840,37
2899.0,2403.0,496.0,"Avery Creek township, Buncombe County, North Carolina",021,90108,37
661.0,532.0,129.0,"Broad River township, Buncombe County, North Carolina",021,90380,37
4015.0,3196.0,819.0,"Fairview township, Buncombe County, North Carolina",021,91056,37
