B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
1279.0,1032.0,247.0,"Canisteo town, Steuben County, New York",101,12265,36
486.0,411.0,75.0,"Thurston town, Steuben County, New York",101,73836,36
906.0,681.0,225.0,"Urbana town, Steuben County, New York",101,76496,36
4857.0,2546.0,2311.0,"Corning city, Steuben County, New York",101,18256,36
423.0,373.0,50.0,"Fremont town, Steuben County, New York",101,27551,36
575.0,461.0,114.0,"Howard town, Steuben County, New York",101,35837,36
627.0,569.0,58.0,"Pulteney town, Steuben County, New York",101,59982,36
448.0,384.0,64.0,"Wheeler town, Steuben County, New York",101,81457,36
764.0,622.0,142.0,"Lindley town, Steuben County, New York",101,42576,36
848.0,628.0,220.0,"Avoca town, Steuben County, New York",101,03342,36
696.0,639.0,57.0,"Caton town, Steuben County, New York",101,12991,36
531.0,427.0,104.0,"Tuscarora town, Steuben County, New York",101,75737,36
393.0,347.0,46.0,"Troupsburg town, Steuben County, New York",101,75440,36
378.0,311.0,67.0,"Rathbone town, Steuben County, New York",101,60653,36
457.0,429.0,28.0,"Wayne town, Steuben County, New York",101,78883,36
111.0,82.0,29.0,"West Union town, Steuben County, New York",101,81105,36
1898.0,1527.0,371.0,"Volney town, Oswego County, New York",075,77662,36
1523.0,1376.0,147.0,"Oswego town, Oswego County, New York",075,55585,36
1334.0,1036.0,298.0,"Palermo town, Oswego County, New York",075,56154,36
2714.0,2160.0,554.0,"Scriba town, Oswego County, New York",075,65992,36
419.0,364.0,55.0,"Williamstown town, Oswego County, New York",075,82073,36
2116.0,1447.0,669.0,"Richland town, Oswego County, New York",075,61533,36
831.0,664.0,167.0,"Albion town, Oswego County, New York",075,01055,36
1892.0,1500.0,392.0,"Mexico town, Oswego County, New York",075,46822,36
195.0,176.0,19.0,"Redfield town, Oswego County, New York",075,60873,36
460.0,415.0,45.0,"Orwell town, Oswego County, New York",075,55453,36
916.0,775.0,141.0,"Parish town, Oswego County, New York",075,56352,36
1627.0,1314.0,313.0,"Hannibal town, Oswego County, New York",075,32028,36
1076.0,895.0,181.0,"Laurens town, Otsego County, New York",077,41531,36
113.0,96.0,17.0,"Decatur town, Otsego County, New York",077,19895,36
3791.0,1845.0,1946.0,"Oneonta city, Otsego County, New York",077,54881,36
673.0,561.0,112.0,"Edmeston town, Otsego County, New York",077,23613,36
786.0,590.0,196.0,"Maryland town, Otsego County, New York",077,45920,36
669.0,514.0,155.0,"Morris town, Otsego County, New York",077,48494,36
1924.0,1677.0,247.0,"Oneonta town, Otsego County, New York",077,54892,36
943.0,648.0,295.0,"Richfield town, Otsego County, New York",077,61467,36
285.0,249.0,36.0,"Roseboom town, Otsego County, New York",077,63638,36
856.0,705.0,151.0,"Worcester town, Otsego County, New York",077,83129,36
1218.0,992.0,226.0,"Otego town, Otsego County, New York",077,55629,36
474.0,430.0,44.0,"Pittsfield town, Otsego County, New York",077,58343,36
0.0,0.0,0.0,"County subdivisions not defined, Wayne County, New York",117,00000,36
1793.0,1569.0,224.0,"Marion town, Wayne County, New York",117,45645,36
2458.0,1986.0,472.0,"Williamson town, Wayne County, New York",117,82040,36
4117.0,3263.0,854.0,"Ontario town, Wayne County, New York",117,55013,36
1699.0,1276.0,423.0,"Wolcott town, Wayne County, New York",117,82689,36
960.0,870.0,90.0,"Knox town, Albany County, New York",001,40002,36
23817.0,11741.0,12076.0,"Albany city, Albany County, New York",001,01000,36
6602.0,2967.0,3635.0,"Cohoes city, Albany County, New York",001,16749,36
3688.0,1509.0,2179.0,"Watervliet city, Albany County, New York",001,78674,36
1069.0,981.0,88.0,"Berne town, Albany County, New York",001,06211,36
12660.0,9656.0,3004.0,"Bethlehem town, Albany County, New York",001,06354,36
26890.0,19904.0,6986.0,"Colonie town, Albany County, New York",001,17343,36
1054.0,362.0,692.0,"Green Island town, Albany County, New York",001,30532,36
12403.0,8644.0,3759.0,"Guilderland town, Albany County, New York",001,31104,36
1653.0,1358.0,295.0,"Chautauqua town, Chautauqua County, New York",013,14069,36
